ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
211565_at	1.20e-22	4.01e-27	-2.63e+01	51.100771	-6.3430579	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3	6457
1561754_at	7.81e-21	5.23e-25	-2.32e+01	46.527598	-5.7563269			
1558254_s_at	1.37e-20	1.37e-24	2.26e+01	45.610264	3.8895469	SRPK2	SRSF protein kinase 2	6733
205597_at	6.64e-20	8.89e-24	2.15e+01	43.829364	5.8506839	SLC44A4	solute carrier family 44 member 4	80736
1562527_at	2.29e-19	3.83e-23	-2.07e+01	42.428158	-5.3855643	LOC441666	zinc finger protein 91 pseudogene	441666
224012_at	1.72e-18	3.57e-22	-1.94e+01	40.278811	-4.9447556	ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A1	ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A1	728747///441430///441425///84210
222699_s_at	1.72e-18	4.48e-22	1.93e+01	40.058884	4.9842024	PLEKHF2	pleckstrin homology and FYVE domain containing 2	79666
215646_s_at	1.72e-18	4.61e-22	1.93e+01	40.030289	7.451328	VCAN	versican	1462
211571_s_at	1.75e-18	5.27e-22	1.92e+01	39.90091	7.8933993	VCAN	versican	1462
243689_s_at	1.85e-18	6.18e-22	-1.92e+01	39.746437	-6.0733301	FRG1BP	FSHD region gene 1 family member B, pseudogene	284802
220232_at	2.44e-18	8.98e-22	-1.90e+01	39.385096	-3.9069022	SCD5	stearoyl-CoA desaturase 5	79966
219121_s_at	4.98e-18	2.00e-21	1.86e+01	38.609283	4.7158383	ESRP1	epithelial splicing regulatory protein 1	54845
202543_s_at	5.09e-18	2.22e-21	1.85e+01	38.509409	3.9251841	GMFB	glia maturation factor beta	2764
1562755_at	8.23e-18	3.86e-21	-1.82e+01	37.970393	-5.6467849			
231597_x_at	1.46e-17	7.34e-21	-1.79e+01	37.344637	-5.6859354			
205941_s_at	1.54e-17	8.23e-21	1.78e+01	37.233702	8.6416566	COL10A1	collagen type X alpha 1 chain	1300
231766_s_at	1.99e-17	1.13e-20	1.77e+01	36.92408	7.2005029	COL12A1	collagen type XII alpha 1 chain	1303
233103_at	2.16e-17	1.30e-20	-1.76e+01	36.788874	-2.0968618			
208622_s_at	2.18e-17	1.39e-20	1.76e+01	36.725544	5.3879842	EZR	ezrin	7430
212344_at	3.49e-17	2.34e-20	1.73e+01	36.214969	5.9441309	SULF1	sulfatase 1	23213
201971_s_at	3.67e-17	2.62e-20	1.73e+01	36.105454	4.8691674	ATP6V1A	ATPase H+ transporting V1 subunit A	523
213715_s_at	3.67e-17	2.75e-20	-1.73e+01	36.055969	-2.7142395	KANK3	KN motif and ankyrin repeat domains 3	256949
217777_s_at	3.67e-17	2.83e-20	1.72e+01	36.029624	5.4702156	HACD3	3-hydroxyacyl-CoA dehydratase 3	51495
201663_s_at	4.55e-17	3.66e-20	1.71e+01	35.778918	4.7503845	SMC4	structural maintenance of chromosomes 4	10051
205824_at	4.68e-17	3.92e-20	-1.71e+01	35.71146	-3.4290466	HSPB2	heat shock protein family B (small) member 2	3316
211612_s_at	6.24e-17	5.43e-20	1.69e+01	35.391885	4.2197237	IL13RA1	interleukin 13 receptor subunit alpha 1	3597
231031_at	8.90e-17	8.05e-20	-1.67e+01	35.007807	-2.6781331	FGF7P3	fibroblast growth factor 7 pseudogene 3	654466
