#node	identifier	node_degree
ABL1	9606.ENSP00000361423	20
AKT1	9606.ENSP00000451828	24
AKT2	9606.ENSP00000375892	20
AKT3	9606.ENSP00000500582	20
ARAF	9606.ENSP00000290277	10
BAD	9606.ENSP00000378040	9
BAK1	9606.ENSP00000363591	3
BAX	9606.ENSP00000293288	4
BCL2L1	9606.ENSP00000365230	12
BCR	9606.ENSP00000303507	16
BRAF	9606.ENSP00000419060	12
CBL	9606.ENSP00000264033	17
CCND1	9606.ENSP00000227507	14
CDK4	9606.ENSP00000257904	13
CDK6	9606.ENSP00000265734	11
CDKN1A	9606.ENSP00000384849	25
CDKN1B	9606.ENSP00000228872	17
CDKN2A	9606.ENSP00000418915	12
CHUK	9606.ENSP00000359424	10
CRK	9606.ENSP00000300574	15
CRKL	9606.ENSP00000346300	21
CTBP1	9606.ENSP00000290921	6
CTBP2	9606.ENSP00000311825	6
DDB2	9606.ENSP00000256996	3
E2F1	9606.ENSP00000345571	14
E2F2	9606.ENSP00000355249	8
E2F3	9606.ENSP00000262904	8
GAB2	9606.ENSP00000354952	20
GADD45A	9606.ENSP00000360025	4
GADD45B	9606.ENSP00000215631	3
GADD45G	9606.ENSP00000252506	4
GRB2	9606.ENSP00000376345	27
HDAC1	9606.ENSP00000362649	17
HDAC2	9606.ENSP00000430432	10
HRAS	9606.ENSP00000407586	26
IKBKB	9606.ENSP00000430684	9
IKBKG	9606.ENSP00000483825	8
KRAS	9606.ENSP00000256078	28
MAP2K1	9606.ENSP00000302486	12
MAP2K2	9606.ENSP00000262948	10
MAPK1	9606.ENSP00000215832	25
MAPK3	9606.ENSP00000263025	22
MDM2	9606.ENSP00000258149	11
MECOM	9606.ENSP00000264674	7
MYC	9606.ENSP00000478887	15
NFKB1	9606.ENSP00000226574	13
NFKBIA	9606.ENSP00000216797	6
NRAS	9606.ENSP00000358548	26
PIK3CA	9606.ENSP00000263967	21
PIK3CB	9606.ENSP00000501150	21
PIK3CD	9606.ENSP00000366563	20
PIK3R1	9606.ENSP00000428056	26
PIK3R2	9606.ENSP00000222254	21
PIK3R3	9606.ENSP00000262741	20
POLK	9606.ENSP00000241436	1
PTPN11	9606.ENSP00000489597	25
RAF1	9606.ENSP00000401888	24
RB1	9606.ENSP00000267163	16
RELA	9606.ENSP00000384273	15
RUNX1	9606.ENSP00000300305	9
SHC1	9606.ENSP00000401303	24
SHC2	9606.ENSP00000264554	10
SHC3	9606.ENSP00000364995	11
SHC4	9606.ENSP00000329668	6
SMAD3	9606.ENSP00000332973	14
SMAD4	9606.ENSP00000341551	10
SOS1	9606.ENSP00000384675	22
SOS2	9606.ENSP00000216373	12
STAT5A	9606.ENSP00000341208	12
STAT5B	9606.ENSP00000293328	8
TGFB1	9606.ENSP00000221930	5
TGFB3	9606.ENSP00000238682	3
TGFBR1	9606.ENSP00000447297	6
TGFBR2	9606.ENSP00000351905	10
TP53	9606.ENSP00000269305	29
