#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	MDM2	9606.ENSP00000451828	9606.ENSP00000258149	0	0.657	0	0	0.657
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0.457	0	0	0.457
AKT1	EGFR	9606.ENSP00000451828	9606.ENSP00000275493	0	0.523	0	0	0.523
AKT1	PTEN	9606.ENSP00000451828	9606.ENSP00000361021	0	0.471	0	0	0.471
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0	0	0.655
AKT1	BAD	9606.ENSP00000451828	9606.ENSP00000378040	0	0.657	0	0	0.657
AKT1	CDKN1A	9606.ENSP00000451828	9606.ENSP00000384849	0	0.657	0	0	0.657
AKT1	RAF1	9606.ENSP00000451828	9606.ENSP00000401888	0	0.657	0	0	0.657
AKT1	BRAF	9606.ENSP00000451828	9606.ENSP00000419060	0	0.542	0	0	0.542
AKT1	PIK3R1	9606.ENSP00000451828	9606.ENSP00000428056	0	0.476	0	0	0.476
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0	0	0.592
ARAF	KRAS	9606.ENSP00000290277	9606.ENSP00000256078	0	0.561	0	0	0.561
ARAF	MAP2K2	9606.ENSP00000290277	9606.ENSP00000262948	0	0.727	0	0	0.727
ARAF	PIK3R1	9606.ENSP00000290277	9606.ENSP00000428056	0	0.457	0	0	0.457
ARAF	MAP2K1	9606.ENSP00000290277	9606.ENSP00000302486	0	0.709	0	0	0.709
ARAF	HRAS	9606.ENSP00000290277	9606.ENSP00000407586	0	0.639	0	0	0.639
ARAF	NRAS	9606.ENSP00000290277	9606.ENSP00000358548	0	0.461	0	0	0.461
ARAF	RAF1	9606.ENSP00000290277	9606.ENSP00000401888	0	0.615	0	0	0.615
ARAF	BRAF	9606.ENSP00000290277	9606.ENSP00000419060	0	0.654	0	0	0.654
BAD	BAX	9606.ENSP00000378040	9606.ENSP00000293288	0	0.505	0	0	0.505
BAD	RAF1	9606.ENSP00000378040	9606.ENSP00000401888	0	0.657	0	0	0.657
BAK1	TP53	9606.ENSP00000363591	9606.ENSP00000269305	0	0.457	0	0	0.457
BAK1	BAX	9606.ENSP00000363591	9606.ENSP00000293288	0	0.671	0	0	0.671
BAX	TP53	9606.ENSP00000293288	9606.ENSP00000269305	0	0.542	0	0	0.542
BRAF	MAPK1	9606.ENSP00000419060	9606.ENSP00000215832	0	0.457	0	0	0.457
BRAF	KRAS	9606.ENSP00000419060	9606.ENSP00000256078	0	0.662	0	0	0.662
BRAF	MAP2K2	9606.ENSP00000419060	9606.ENSP00000262948	0	0.697	0	0	0.697
BRAF	MAPK3	9606.ENSP00000419060	9606.ENSP00000263025	0	0.542	0	0	0.542
BRAF	MAP2K1	9606.ENSP00000419060	9606.ENSP00000302486	0	0.972	0	0	0.972
BRAF	NRAS	9606.ENSP00000419060	9606.ENSP00000358548	0	0.537	0	0	0.537
BRAF	RAF1	9606.ENSP00000419060	9606.ENSP00000401888	0	0.664	0	0	0.664
BRAF	HRAS	9606.ENSP00000419060	9606.ENSP00000407586	0	0.712	0	0	0.712
CCND1	CDKN2A	9606.ENSP00000227507	9606.ENSP00000418915	0	0.457	0	0	0.457
CCND1	RB1	9606.ENSP00000227507	9606.ENSP00000267163	0	0.457	0	0	0.457
CCND1	CDK6	9606.ENSP00000227507	9606.ENSP00000265734	0	0.739	0	0	0.739
CCND1	CDK4	9606.ENSP00000227507	9606.ENSP00000257904	0	0.972	0	0	0.972
CCND1	CDKN1A	9606.ENSP00000227507	9606.ENSP00000384849	0	0.971	0	0	0.971
CDH1	MDM2	9606.ENSP00000261769	9606.ENSP00000258149	0	0.457	0	0	0.457
CDH1	FGFR1	9606.ENSP00000261769	9606.ENSP00000393312	0	0.542	0	0	0.542
CDH1	EGFR	9606.ENSP00000261769	9606.ENSP00000275493	0	0.542	0	0	0.542
CDK4	TP53	9606.ENSP00000257904	9606.ENSP00000269305	0	0.457	0	0	0.457
CDK4	RB1	9606.ENSP00000257904	9606.ENSP00000267163	0	0.457	0	0	0.457
CDK4	CDKN2A	9606.ENSP00000257904	9606.ENSP00000418915	0	0.734	0	0	0.734
CDK4	CDK6	9606.ENSP00000257904	9606.ENSP00000265734	0	0.653	0	0	0.653
CDK4	CDKN1A	9606.ENSP00000257904	9606.ENSP00000384849	0	0.972	0	0	0.972
CDK6	RB1	9606.ENSP00000265734	9606.ENSP00000267163	0	0.457	0	0	0.457
CDK6	CDKN1A	9606.ENSP00000265734	9606.ENSP00000384849	0	0.734	0	0	0.734
CDK6	CDKN2A	9606.ENSP00000265734	9606.ENSP00000418915	0	0.972	0	0	0.972
CDKN1A	GADD45G	9606.ENSP00000384849	9606.ENSP00000252506	0	0.457	0	0	0.457
CDKN1A	MDM2	9606.ENSP00000384849	9606.ENSP00000258149	0	0.657	0	0	0.657
CDKN1A	TP53	9606.ENSP00000384849	9606.ENSP00000269305	0	0.657	0	0	0.657
CDKN1A	GADD45A	9606.ENSP00000384849	9606.ENSP00000360025	0	0.457	0	0	0.457
CDKN2A	MDM2	9606.ENSP00000418915	9606.ENSP00000258149	0	0.470	0	0	0.470
CDKN2A	TP53	9606.ENSP00000418915	9606.ENSP00000269305	0	0.465	0	0	0.465
CDKN2A	E2F1	9606.ENSP00000418915	9606.ENSP00000345571	0	0.457	0	0	0.457
E2F1	MDM2	9606.ENSP00000345571	9606.ENSP00000258149	0	0.457	0	0	0.457
E2F1	E2F3	9606.ENSP00000345571	9606.ENSP00000262904	0	0.492	0	0	0.491
E2F1	RB1	9606.ENSP00000345571	9606.ENSP00000267163	0	0.965	0	0	0.965
E2F1	TP53	9606.ENSP00000345571	9606.ENSP00000269305	0	0.457	0	0	0.457
E2F1	E2F2	9606.ENSP00000345571	9606.ENSP00000355249	0	0.550	0	0	0.550
E2F2	RB1	9606.ENSP00000355249	9606.ENSP00000267163	0	0.965	0	0	0.965
E2F3	RB1	9606.ENSP00000262904	9606.ENSP00000267163	0	0.567	0	0	0.567
EGF	FGF5	9606.ENSP00000265171	9606.ENSP00000311697	0	0.403	0	0	0.402
EGF	EGFR	9606.ENSP00000265171	9606.ENSP00000275493	0	0.972	0	0	0.972
EGFR	PIK3R2	9606.ENSP00000275493	9606.ENSP00000222254	0	0.550	0	0	0.550
EGFR	KRAS	9606.ENSP00000275493	9606.ENSP00000256078	0	0.457	0	0	0.457
EGFR	PDGFRA	9606.ENSP00000275493	9606.ENSP00000257290	0	0.564	0	0	0.564
EGFR	PDGFRB	9606.ENSP00000275493	9606.ENSP00000261799	0	0.457	0	0	0.457
EGFR	PIK3R3	9606.ENSP00000275493	9606.ENSP00000262741	0	0.542	0	0	0.542
EGFR	PIK3CA	9606.ENSP00000275493	9606.ENSP00000263967	0	0.550	0	0	0.550
EGFR	PTEN	9606.ENSP00000275493	9606.ENSP00000361021	0	0.457	0	0	0.457
EGFR	RAF1	9606.ENSP00000275493	9606.ENSP00000401888	0	0.523	0	0	0.523
EGFR	PIK3CB	9606.ENSP00000275493	9606.ENSP00000501150	0	0.550	0	0	0.550
EGFR	PIK3R1	9606.ENSP00000275493	9606.ENSP00000428056	0	0.657	0	0	0.657
EGFR	IGF1R	9606.ENSP00000275493	9606.ENSP00000497069	0	0.457	0	0	0.457
EGFR	MET	9606.ENSP00000275493	9606.ENSP00000317272	0	0.457	0	0	0.457
FGF1	FGFR1	9606.ENSP00000480791	9606.ENSP00000393312	0	0.743	0	0	0.743
FGF2	FGFR1	9606.ENSP00000264498	9606.ENSP00000393312	0	0.809	0	0	0.809
FGF20	FGF9	9606.ENSP00000180166	9606.ENSP00000371790	0	0.481	0	0	0.481
FGF23	FGFR1	9606.ENSP00000237837	9606.ENSP00000393312	0	0.953	0	0	0.953
FGF4	FGFR1	9606.ENSP00000168712	9606.ENSP00000393312	0	0.559	0	0	0.559
FGF6	FGFR1	9606.ENSP00000228837	9606.ENSP00000393312	0	0.419	0	0	0.419
FGF8	FGFR1	9606.ENSP00000321797	9606.ENSP00000393312	0	0.684	0	0	0.684
FGF9	FGFR1	9606.ENSP00000371790	9606.ENSP00000393312	0	0.601	0	0	0.601
FGFR1	PIK3R1	9606.ENSP00000393312	9606.ENSP00000428056	0	0.657	0	0	0.657
HGF	MET	9606.ENSP00000222390	9606.ENSP00000317272	0	0.965	0	0	0.965
HRAS	KRAS	9606.ENSP00000407586	9606.ENSP00000256078	0	0.880	0	0	0.880
HRAS	PIK3CA	9606.ENSP00000407586	9606.ENSP00000263967	0	0.457	0	0	0.457
HRAS	PIK3CD	9606.ENSP00000407586	9606.ENSP00000366563	0	0.457	0	0	0.457
