date,weight
2012-06-04,91.9
2012-06-12,89.7
2012-06-18,88.1
2012-06-25,88.5
2012-07-02,88.7
2012-07-09,87.4
2012-07-17,89.4
2012-07-30,89.7
2012-08-06,89.6
2012-08-13,90.3
2012-08-20,90.7
2012-08-27,88.7
2012-09-03,89.8
2012-09-10,89.8
2012-09-17,88.8
2012-09-24,88.5
2012-10-01,89.5
2012-10-08,88.6
2012-10-13,87.1
2012-10-22,87.0
2012-10-29,86.2
2012-11-05,85.2
2012-11-12,85.3
2012-11-19,85.0
2012-11-24,84.0
2012-12-01,85.1
2012-12-10,84.4
2012-12-17,83.2
2012-12-23,83.9
2013-01-03,84.4
2013-01-16,83.4
2013-02-20,82.0
2013-02-26,80.0
2013-03-04,81.3
2013-03-11,80.3
2013-03-18,79.6
2013-03-22,78.8
2013-03-25,79.2
2013-04-01,80.2
2013-04-10,80.4
2013-04-22,80.9
2013-04-29,80.9
2013-05-13,81.5
2013-05-20,81.4
2013-05-27,79.7
2013-06-16,80.1
2013-06-24,80.1
2013-07-01,80.0
2013-07-15,81.3
2013-07-22,81.5
2013-07-29,81.6
2013-08-05,83.1
2013-08-12,83.5
2013-08-19,82.1
2013-08-26,82.0
2013-09-02,82.9
2013-09-09,82.8
2013-09-16,82.9
2013-09-29,81.9
2013-10-04,82.0
2013-10-07,82.5
2013-10-14,81.5
2013-10-21,81.4
2013-10-28,82.0
2013-11-12,79.2
2013-11-18,79.1
2013-11-24,80.8
2013-11-28,80.3
2013-12-10,79.6
2013-12-16,79.4
2013-12-23,80.7
2014-01-01,79.7
2014-01-13,78.6
2014-01-20,77.5
2014-01-27,77.1
2014-02-03,76.4
2014-02-20,76.4
2014-02-24,77.1
2014-03-03,76.1
2014-03-17,76.6
2014-03-24,75.9
2014-04-07,76.1
2014-04-12,74.6
2014-04-14,75.6
2014-04-21,76.5
2014-05-05,75.7
2014-05-12,76.7
2014-05-19,75.7
2014-05-26,76.6
2014-06-02,76.3
2014-06-09,76.9
2014-06-23,77.7
2014-06-30,76.1
2014-07-15,76.1
2014-09-01,74.2
2014-09-21,75.0
2014-10-02,75.4
2014-10-13,74.1
2014-11-03,74.4
2014-12-01,74.3
2014-12-08,73.7
2014-12-15,75.4
2015-02-12,73.6
2015-03-18,73.8
2015-03-23,75.4
2015-04-13,75.1
2015-04-20,75.9
2015-05-11,73.8
2015-05-18,74.3
2015-06-08,75.6
2015-06-15,75.6
2015-06-22,74.9
2015-06-30,75.4
2015-08-17,77.0
2015-09-08,77.4
2015-09-14,76.6
2015-09-21,75.5
2015-09-28,76.0
2015-10-20,76.0
2015-11-03,76.2
2015-11-09,76.0
2015-12-23,75.3
2016-07-24,78.8
2016-08-06,76.2
2017-09-29,77.4
2017-10-17,77.8
2017-10-22,77.9
2017-11-01,78.4
2017-11-06,78.1
2017-11-13,78.2
2018-01-04,79.2
2018-04-12,78.1
2018-04-27,80.9
2018-05-02,82.4
2018-05-03,81.3
2018-05-06,80.7
2018-05-09,80.1
2018-05-10,79.7
2018-06-10,80.8
2018-06-26,81.9
2018-07-07,80.1
2018-07-31,83.9
2018-08-05,83.0
2018-08-10,83.0
2018-08-17,84.0
2018-08-27,84.7
2018-09-19,85.0
2018-09-26,82.9
2018-10-01,83.5
2018-10-17,83.6
2018-11-24,84.9
2019-01-02,87.5
2019-01-08,84.7
2019-03-07,85.0
2019-03-19,84.4
2019-04-04,82.6
2019-04-15,86.6
2019-04-22,86.4
2019-07-30,89.3
2019-08-09,86.9
2019-08-12,88.4
2019-09-22,83.5
2019-10-03,84.2
2020-01-02,85.6
2020-01-05,85.3
2020-01-06,85.0
2020-01-08,82.9
2020-02-27,84.9
2020-03-02,84.0
2020-03-09,84.5
2020-03-11,83.7
2020-07-02,85.0
2020-07-28,84.6
2020-09-25,85.1
2020-10-26,87.9
2020-11-06,86.5
2020-11-20,85.6
2021-03-08,88.7
2021-03-19,87.0
2021-04-03,89.2
2021-09-26,88.4
2021-09-30,87.4
2022-01-03,92.2
2022-01-06,90.5
2022-01-08,91.2
2022-01-10,89.7
2022-01-11,89.3
2022-01-15,89.3
2022-01-18,88.5
2022-01-25,88.3
2022-01-27,87.5
2022-02-04,86.2
2022-02-08,85.6
2022-03-03,88.7
2022-03-11,86.3
2022-03-18,87.1
2022-03-27,87.4
2022-04-05,87.6
2022-05-03,88.6
2022-06-27,87.4
2022-08-15,91.4
2022-08-21,88.5
2022-09-29,87.1
2022-10-01,87.7
2022-10-06,86.4
2022-10-29,89.4
2022-11-16,90.6
2022-11-21,88.8
2022-11-23,87.9
2022-11-29,90.2
2022-12-08,88.0
2022-12-13,88.0
2022-12-20,86.6
2023-01-02,91.6
2023-01-05,89.5
2023-01-09,89.1
2023-01-12,88.2
2023-02-01,89.1
2023-02-12,86.7
2023-03-01,87.8
2023-03-06,87.8
