MeSH Symptom Term	MeSH Disease Term	PubMed occurrence	TFIDF score
Aging, Premature	Respiratory Syncytial Virus Infections	1	3.4645514895379677
Aging, Premature	Orthomyxoviridae Infections	1	3.4645514895379677
Aging, Premature	HIV Infections	3	10.393654468613903
Aging, Premature	Acquired Immunodeficiency Syndrome	3	10.393654468613903
Aging, Premature	Breast Neoplasms	1	3.4645514895379677
Aging, Premature	Colonic Neoplasms	1	3.4645514895379677
Aging, Premature	Mammary Neoplasms, Animal	1	3.4645514895379677
Aging, Premature	Skin Neoplasms	3	10.393654468613903
Aging, Premature	Neoplasms, Experimental	1	3.4645514895379677
Aging, Premature	Cell Transformation, Neoplastic	3	10.393654468613903
Aging, Premature	Neoplastic Syndromes, Hereditary	1	3.4645514895379677
Aging, Premature	Li-Fraumeni Syndrome	2	6.929102979075935
Aging, Premature	Bone Diseases	1	3.4645514895379677
Aging, Premature	Bone Diseases, Developmental	2	6.929102979075935
Aging, Premature	Cockayne Syndrome	6	20.787308937227806
Aging, Premature	Bone Diseases, Metabolic	1	3.4645514895379677
Aging, Premature	Osteoporosis	10	34.64551489537968
Aging, Premature	Spinal Diseases	1	3.4645514895379677
Aging, Premature	Scoliosis	1	3.4645514895379677
Aging, Premature	Jaw, Edentulous	1	3.4645514895379677
Aging, Premature	Joint Diseases	1	3.4645514895379677
Aging, Premature	Arthritis, Rheumatoid	2	6.929102979075935
Aging, Premature	Fibromyalgia	1	3.4645514895379677
Aging, Premature	MELAS Syndrome	1	3.4645514895379677
Aging, Premature	Ophthalmoplegia, Chronic Progressive External	1	3.4645514895379677
Aging, Premature	Muscular Dystrophy, Emery-Dreifuss	1	3.4645514895379677
Aging, Premature	Craniofacial Abnormalities	2	6.929102979075935
Aging, Premature	Microcephaly	1	3.4645514895379677
Aging, Premature	Colitis	1	3.4645514895379677
Aging, Premature	Ileitis	1	3.4645514895379677
Aging, Premature	Malabsorption Syndromes	1	3.4645514895379677
Aging, Premature	Fatty Liver	2	6.929102979075935
Aging, Premature	Liver Cirrhosis	1	3.4645514895379677
Aging, Premature	Pancreatitis, Chronic	1	3.4645514895379677
Aging, Premature	Facial Paralysis	1	3.4645514895379677
Aging, Premature	Tooth Loss	1	3.4645514895379677
Aging, Premature	Tooth Attrition	1	3.4645514895379677
Aging, Premature	Lung Diseases	1	3.4645514895379677
Aging, Premature	Wolfram Syndrome	1	3.4645514895379677
Aging, Premature	Hearing Loss, Sensorineural	2	6.929102979075935
Aging, Premature	Brain Diseases	1	3.4645514895379677
Aging, Premature	Huntington Disease	1	3.4645514895379677
Aging, Premature	Cerebral Palsy	1	3.4645514895379677
Aging, Premature	Ataxia Telangiectasia	2	6.929102979075935
Aging, Premature	Cerebrovascular Disorders	1	3.4645514895379677
Aging, Premature	Dementia	5	17.32275744768984
Aging, Premature	Alzheimer Disease	4	13.85820595815187
Aging, Premature	Essential Tremor	1	3.4645514895379677
Aging, Premature	Chronobiology Disorders	1	3.4645514895379677
Aging, Premature	Charcot-Marie-Tooth Disease	1	3.4645514895379677
Aging, Premature	Neurocutaneous Syndromes	1	3.4645514895379677
Aging, Premature	Neurodegenerative Diseases	3	10.393654468613903
Aging, Premature	Learning Disorders	1	3.4645514895379677
Aging, Premature	Memory Disorders	2	6.929102979075935
Aging, Premature	Mental Retardation	2	6.929102979075935
Aging, Premature	De Lange Syndrome	1	3.4645514895379677
Aging, Premature	Down Syndrome	6	20.787308937227806
Aging, Premature	Pain	1	3.4645514895379677
Aging, Premature	Neuromuscular Diseases	2	6.929102979075935
Aging, Premature	Alcohol-Induced Disorders, Nervous System	1	3.4645514895379677
Aging, Premature	Sleep Disorders	1	3.4645514895379677
Aging, Premature	Sleep Initiation and Maintenance Disorders	2	6.929102979075935
Aging, Premature	Albinism	1	3.4645514895379677
Aging, Premature	Cataract	2	6.929102979075935
Aging, Premature	Infertility, Male	1	3.4645514895379677
Aging, Premature	Varicocele	1	3.4645514895379677
Aging, Premature	Kidney Diseases	1	3.4645514895379677
Aging, Premature	Hypertension, Renal	1	3.4645514895379677
Aging, Premature	Glomerulonephritis	1	3.4645514895379677
Aging, Premature	Uremia	1	3.4645514895379677
Aging, Premature	Primary Ovarian Insufficiency	2	6.929102979075935
Aging, Premature	Abortion, Habitual	1	3.4645514895379677
Aging, Premature	Sinoatrial Block	1	3.4645514895379677
Aging, Premature	Cardiomyopathies	1	3.4645514895379677
Aging, Premature	Heart Arrest	1	3.4645514895379677
Aging, Premature	Myocardial Ischemia	1	3.4645514895379677
Aging, Premature	Coronary Artery Disease	1	3.4645514895379677
Aging, Premature	Vascular Diseases	1	3.4645514895379677
Aging, Premature	Atherosclerosis	2	6.929102979075935
Aging, Premature	Hypertension	1	3.4645514895379677
Aging, Premature	Abnormalities, Multiple	4	13.85820595815187
Aging, Premature	Bloom Syndrome	2	6.929102979075935
Aging, Premature	Skin Abnormalities	2	6.929102979075935
Aging, Premature	Dyskeratosis Congenita	3	10.393654468613903
Aging, Premature	Rothmund-Thomson Syndrome	1	3.4645514895379677
Aging, Premature	Genetic Diseases, Inborn	1	3.4645514895379677
Aging, Premature	Metabolism, Inborn Errors	2	6.929102979075935
Aging, Premature	Amyloidosis, Familial	1	3.4645514895379677
Aging, Premature	Progeria	20	69.29102979075935
Aging, Premature	Cutis Laxa	5	17.32275744768984
Aging, Premature	Werner Syndrome	18	62.36192681168342
Aging, Premature	Severe Combined Immunodeficiency	1	3.4645514895379677
Aging, Premature	Connective Tissue Diseases	2	6.929102979075935
Aging, Premature	Collagen Diseases	1	3.4645514895379677
Aging, Premature	Scleroderma, Systemic	1	3.4645514895379677
Aging, Premature	Scleroderma, Diffuse	1	3.4645514895379677
Aging, Premature	Skin Diseases	4	13.85820595815187
Aging, Premature	Hair Diseases	3	10.393654468613903
Aging, Premature	Vitiligo	1	3.4645514895379677
Aging, Premature	Lipodystrophy	5	17.32275744768984
Aging, Premature	DNA Repair-Deficiency Disorders	1	3.4645514895379677
Aging, Premature	Diabetes Mellitus, Experimental	2	6.929102979075935
Aging, Premature	Diabetes Mellitus, Type 2	2	6.929102979075935
Aging, Premature	Hyperglycemia	1	3.4645514895379677
Aging, Premature	Insulin Resistance	2	6.929102979075935
Aging, Premature	Metabolic Syndrome X	1	3.4645514895379677
Aging, Premature	Hyperlipidemias	2	6.929102979075935
Aging, Premature	Hypertriglyceridemia	1	3.4645514895379677
Aging, Premature	Mitochondrial Diseases	1	3.4645514895379677
Aging, Premature	Vitamin D Deficiency	1	3.4645514895379677
Aging, Premature	Obesity	2	6.929102979075935
Aging, Premature	Adrenal Cortex Diseases	1	3.4645514895379677
Aging, Premature	Autoimmune Diseases	2	6.929102979075935
Aging, Premature	Combat Disorders	1	3.4645514895379677
Aging, Premature	Stress Disorders, Post-Traumatic	2	6.929102979075935
Aging, Premature	Cognition Disorders	2	6.929102979075935
Aging, Premature	Developmental Disabilities	1	3.4645514895379677
Aging, Premature	Hernia	1	3.4645514895379677
Aging, Premature	Death, Sudden	1	3.4645514895379677
Aging, Premature	Genetic Predisposition to Disease	3	10.393654468613903
Aging, Premature	Genomic Instability	2	6.929102979075935
Aging, Premature	Gliosis	1	3.4645514895379677
Aging, Premature	Growth Disorders	3	10.393654468613903
Aging, Premature	Inflammation	1	3.4645514895379677
Aging, Premature	Ischemia	1	3.4645514895379677
Aging, Premature	Neovascularization, Pathologic	1	3.4645514895379677
Aging, Premature	Nerve Degeneration	4	13.85820595815187
Aging, Premature	Alcohol-Related Disorders	1	3.4645514895379677
Aging, Premature	Alcoholism	3	10.393654468613903
Aging, Premature	Athletic Injuries	1	3.4645514895379677
Aging, Premature	Radiation Injuries	2	6.929102979075935
Aging, Premature	Radiation Injuries, Experimental	4	13.85820595815187
Asthenia	Bacteremia	1	2.0632192510535368
Asthenia	Meningitis, Meningococcal	2	4.1264385021070735
Asthenia	Waterhouse-Friderichsen Syndrome	1	2.0632192510535368
Asthenia	Anaplasmosis	1	2.0632192510535368
Asthenia	Brucellosis	2	4.1264385021070735
Asthenia	Psittacosis	1	2.0632192510535368
Asthenia	Typhoid Fever	1	2.0632192510535368
Asthenia	Helicobacter Infections	1	2.0632192510535368
Asthenia	Meningococcal Infections	3	6.18965775316061
Asthenia	Tularemia	1	2.0632192510535368
Asthenia	Syphilis	1	2.0632192510535368
Asthenia	Diphtheria	1	2.0632192510535368
Asthenia	Leprosy	1	2.0632192510535368
Asthenia	Tuberculosis	2	4.1264385021070735
Asthenia	Tuberculosis, Endocrine	1	2.0632192510535368
Asthenia	Tuberculosis, Spinal	1	2.0632192510535368
Asthenia	Tuberculosis, Pulmonary	11	22.695411761588904
Asthenia	Botulism	2	4.1264385021070735
Asthenia	Enterocolitis, Pseudomembranous	1	2.0632192510535368
Asthenia	Tetanus	1	2.0632192510535368
Asthenia	Staphylococcal Infections	2	4.1264385021070735
Asthenia	Rheumatic Fever	3	6.18965775316061
Asthenia	Rheumatic Heart Disease	1	2.0632192510535368
Asthenia	Infection	3	6.18965775316061
Asthenia	Discitis	1	2.0632192510535368
Asthenia	Cross Infection	1	2.0632192510535368
Asthenia	Pregnancy Complications, Infectious	1	2.0632192510535368
Asthenia	Respiratory Tract Infections	2	4.1264385021070735
Asthenia	Sepsis	1	2.0632192510535368
Asthenia	Dermatomycoses	1	2.0632192510535368
Asthenia	Paracoccidioidomycosis	1	2.0632192510535368
Asthenia	Mycoses	2	4.1264385021070735
Asthenia	Histoplasmosis	1	2.0632192510535368
Asthenia	Lung Diseases, Fungal	3	6.18965775316061
Asthenia	Encephalitis	2	4.1264385021070735
Asthenia	Meningitis, Viral	2	4.1264385021070735
Asthenia	Poliomyelitis	1	2.0632192510535368
Asthenia	Hepatitis B	1	2.0632192510535368
Asthenia	Cytomegalovirus Infections	1	2.0632192510535368
Asthenia	Infectious Mononucleosis	1	2.0632192510535368
Asthenia	Sarcoma, Kaposi	1	2.0632192510535368
Asthenia	Fatigue Syndrome, Chronic	8	16.505754008428294
Asthenia	Hepatitis A	3	6.18965775316061
Asthenia	Hepatitis C	3	6.18965775316061
Asthenia	Hepatitis C, Chronic	6	12.37931550632122
Asthenia	Hepatitis D	1	2.0632192510535368
Asthenia	Hemorrhagic Fever with Renal Syndrome	1	2.0632192510535368
Asthenia	Common Cold	2	4.1264385021070735
Asthenia	HIV Infections	4	8.252877004214147
Asthenia	Acquired Immunodeficiency Syndrome	1	2.0632192510535368
Asthenia	AIDS-Related Complex	1	2.0632192510535368
Asthenia	Cestode Infections	1	2.0632192510535368
Asthenia	Echinococcosis	1	2.0632192510535368
Asthenia	Echinococcosis, Hepatic	1	2.0632192510535368
Asthenia	Trematode Infections	2	4.1264385021070735
Asthenia	Fascioliasis	4	8.252877004214147
Asthenia	Opisthorchiasis	2	4.1264385021070735
Asthenia	Schistosomiasis	2	4.1264385021070735
Asthenia	Intestinal Diseases, Parasitic	1	2.0632192510535368
Asthenia	Liver Diseases, Parasitic	1	2.0632192510535368
Asthenia	Lung Diseases, Parasitic	1	2.0632192510535368
Asthenia	Amebiasis	1	2.0632192510535368
Asthenia	Toxoplasmosis	2	4.1264385021070735
Asthenia	Leishmaniasis, Visceral	1	2.0632192510535368
Asthenia	Trypanosomiasis, African	1	2.0632192510535368
Asthenia	Malaria	1	2.0632192510535368
Asthenia	Malaria, Falciparum	1	2.0632192510535368
Asthenia	Trichomonas Infections	1	2.0632192510535368
Asthenia	Cysts	3	6.18965775316061
Asthenia	Arachnoid Cysts	1	2.0632192510535368
Asthenia	Dermoid Cyst	2	4.1264385021070735
Asthenia	Leukemia	2	4.1264385021070735
Asthenia	Leukemia, Hairy Cell	1	2.0632192510535368
Asthenia	Leukemia, Lymphoid	1	2.0632192510535368
Asthenia	Leukemia, Myeloid	3	6.18965775316061
