Ensembl.ID,Gene_name,log2FoldChange,padj
ENSG00000131845,ZNF304,-0.585085522,0.029045963
ENSG00000156502,SUPV3L1,-0.586085331,0.001891461
ENSG00000154781,CCDC174,-0.588955646,0.008868516
ENSG00000088038,CNOT3,-0.588963338,0.036273945
ENSG00000141367,CLTC,-0.590050444,0.00086193
ENSG00000171612,SLC25A33,-0.590710338,5.03E-06
ENSG00000137288,UQCC2,-0.590994198,0.009656369
ENSG00000197451,HNRNPAB,-0.591847783,0.000138753
ENSG00000104517,UBR5,-0.592077428,0.007894568
ENSG00000128581,IFT22,-0.592262806,0.006110714
ENSG00000123360,PDE1B,-0.593957967,0.013621739
ENSG00000020129,NCDN,-0.595596728,0.001345458
ENSG00000126368,NR1D1,-0.596550409,0.018634302
ENSG00000100311,PDGFB,-0.598012132,0.006468486
ENSG00000127328,RAB3IP,-0.598148298,0.016872639
ENSG00000108848,LUC7L3,-0.599183021,0.000248119
ENSG00000085982,USP40,-0.599341223,0.006584423
ENSG00000074695,LMAN1,-0.599784062,0.0153043
ENSG00000144036,EXOC6B,-0.599844468,0.020790152
ENSG00000181638,ZFP41,-0.602916933,0.041088451
ENSG00000131697,NPHP4,-0.605662521,0.006923028
ENSG00000137692,DCUN1D5,-0.606474509,0.022740289
ENSG00000143870,PDIA6,-0.606658366,4.16E-05
ENSG00000182324,KCNJ14,-0.607007066,0.023310054
ENSG00000173692,PSMD1,-0.607732143,0.011871337
ENSG00000048991,R3HDM1,-0.608097105,0.000353647
ENSG00000134318,ROCK2,-0.609307479,0.004865468
ENSG00000180346,TIGD2,-0.609806773,0.047462163
ENSG00000176454,LPCAT4,-0.611235433,0.011093716
ENSG00000049883,PTCD2,-0.611776581,0.009656369
ENSG00000166986,MARS1,-0.612399981,0.012001979
ENSG00000184575,XPOT,-0.613080899,0.010731832
ENSG00000166446,CDYL2,-0.613573905,0.001279868
ENSG00000072310,SREBF1,-0.613979724,0.018762223
ENSG00000010278,CD9,-0.614217124,0.033182594
ENSG00000124216,SNAI1,-0.615150098,0.001285556
ENSG00000172893,DHCR7,-0.615684753,0.002166245
ENSG00000153885,KCTD15,-0.616742028,0.017545014
ENSG00000104341,LAPTM4B,-0.618653156,0.01412692
ENSG00000139977,NAA30,-0.618659446,0.010374963
ENSG00000109606,DHX15,-0.620602238,0.008435394
ENSG00000142599,RERE,-0.620724435,0.002882369
ENSG00000112651,MRPL2,-0.623028913,0.034280193
ENSG00000161013,MGAT4B,-0.62406623,0.011694382
ENSG00000117906,RCN2,-0.625189262,0.028971306
ENSG00000156017,CARNMT1,-0.625746322,0.019724751
ENSG00000180902,D2HGDH,-0.625773628,0.002606275
ENSG00000163399,ATP1A1,-0.625930658,2.54E-05
ENSG00000159086,PAXBP1,-0.626501907,0.001273893
ENSG00000196141,SPATS2L,-0.62839295,0.00481337
ENSG00000139428,MMAB,-0.629388257,0.036317818
ENSG00000168273,SMIM4,-0.629673144,3.00E-05
ENSG00000167680,SEMA6B,-0.631310612,0.000476907
ENSG00000121690,DEPDC7,-0.633937184,0.013318315
ENSG00000178175,ZNF366,-0.634156625,0.000405589
ENSG00000176014,TUBB6,-0.635046611,0.020578401
ENSG00000109458,GAB1,-0.635652317,0.025914183
ENSG00000140391,TSPAN3,-0.63605806,0.001195094
ENSG00000216490,IFI30,-0.637252301,0.005596127
ENSG00000143614,GATAD2B,-0.637320843,0.029003565
ENSG00000130559,CAMSAP1,-0.638278134,0.000778812
ENSG00000102595,UGGT2,-0.63842123,0.002628404
ENSG00000215912,TTC34,-0.640145574,0.009445229
ENSG00000114107,CEP70,-0.640777638,0.010717177
ENSG00000145391,SETD7,-0.641550897,0.008021988
ENSG00000178409,BEND3,-0.643398571,0.009024161
ENSG00000116062,MSH6,-0.64511904,0.007822857
ENSG00000106105,GARS1,-0.647142062,0.001575282
ENSG00000165029,ABCA1,-0.647304323,0.000395313
