label,Cluster
RELB,C9
SOS2,C3
TGFB1,C1
GADD45B,C1
MAPK13,C6
FGF20,C1
MAPK12,C6
DUSP3,C13
FGF22,C7
CACNG3,C2
NGFR,C7
MAP2K5,C10
HGF,C7
EFNA2,C7
TAB1,C1
FGF4,C1
TNFRSF1A,C7
CACNG1,C2
MAPK1,C6
PPP5C,C3
FLT3,C14
FGF6,C1
RAC2,C8
TGFB3,C1
RRAS,C8
PPP3CC,C12
DUSP1,C13
MKNK2,C6
CDC25B,C9
RAP1B,C8
PSPN,C7
HSPB1,C3
DUSP4,C13
JUND,C9
GADD45G,C1
CACNG6,C2
MAPK14,C6
RAF1,C10
NFKB1,C3
FGF23,C7
MAPK8IP1,C9
EREG,C7
TRAF2,C3
PPP3R1,C3
EGF,C14
RASGRF2,C3
MAP3K10,C10
MAP4K3,C10
MAPT,C9
MAPK3,C6
FGF10,C7
SRF,C9
PRKCG,C6
IL1A,C1
KDR,C14
MAP3K8,C10
ATF2,C9
PDGFRA,C14
PDGFRB,C14
CACNG4,C2
MAP3K13,C10
TAOK1,C10
FLT4,C14
MAP2K2,C10
IL1B,C1
RPS6KA2,C6
RPS6KA6,C6
RRAS2,C8
MAP3K11,C10
VEGFB,C7
GDNF,C7
MAP4K2,C10
RASA2,C1
FGF5,C7
PTPRR,C14
PAK2,C10
VEGFD,C7
HSPA6,C4
DUSP16,C13
EGFR,C14
CASP3,C1
PLA2G4D,C1
TP53,C9
MAP2K3,C10
TRADD,C3
NFATC3,C9
HRAS,C8
MAP3K14,C10
FGFR4,C14
KIT,C14
FLT1,C14
MAPK11,C6
CACNG2,C2
CRK,C1
CACNG8,C2
RASGRP1,C3
CACNB2,C9
RAC3,C8
PRKACA,C6
DUSP2,C13
TGFA,C7
ARRB2,C1
IGF1,C7
DDIT3,C9
KRAS,C8
MAP2K1,C10
NTRK2,C14
DUSP6,C13
PPM1B,C1
RPS6KA4,C6
GNA12,C8
TAOK2,C10
NRTN,C7
FGF1,C1
CSF1,C9
DUSP9,C13
RASA1,C3
MAP4K4,C10
ERBB2,C14
FGF18,C7
MAPK8IP2,C9
ERBB4,C14
FGF19,C1
TGFBR2,C10
CD14,C3
ECSIT,C1
GRB2,C1
CACNB3,C9
FGF7,C1
FOS,C9
EFNA5,C7
CACNA1F,C5
FGF8,C7
ERBB3,C14
PDGFB,C7
INSR,C14
RAC1,C8
FGF3,C7
MAP2K7,C10
HSPA1L,C4
IRAK1,C10
NLK,C6
MAP3K5,C10
RELA,C9
CACNA1C,C5
RAP1A,C8
AREG,C9
TNF,C1
RASGRP3,C3
MKNK1,C6
ANGPT4,C3
TNF,C1
PLA2G4A,C1
AKT2,C6
DAXX,C11
PPP3R2,C3
CACNA1H,C5
PLA2G4F,C1
MAP2K4,C10
GADD45A,C1
ELK4,C9
TGFBR1,C10
DAXX,C9
FLNA,C14
MAP3K6,C10
ARAF,C10
HSPA1B,C4
STK3,C10
NF1,C3
DUSP10,C13
JMJD7-PLA2G4B,C1
NTF3,C1
CACNA1I,C5
MRAS,C8
CACNB1,C9
FGF9,C1
CACNA1S,C5
PPM1A,C1
MAP3K3,C10
PRKCA,C6
EFNA1,C7
PTPN5,C14
TGFB2,C1
ARTN,C7
MAPK7,C10
TEK,C14
MET,C1
HSPA1A,C4
HSPA1A,C4
BDNF,C1
SOS1,C3
MAP3K7,C10
INS,C7
ELK1,C9
MAPK8,C6
DUSP8,C13
TAOK3,C10
PDGFD,C1
DUSP5,C13
MAP3K1,C9
CACNA2D1,C1
HSPA1L,C4
PPP3CA,C12
PDGFA,C7
PRKACG,C6
STK4,C10
RPS6KA1,C6
PRKACB,C6
NRAS,C8
FASLG,C7
HSPA1B,C4
ARRB1,C1
EPHA2,C14
CHUK,C10
RPS6KA3,C6
EFNA3,C7
IGF2,C7
TNF,C1
RASGRP2,C3
MAX,C9
MAPKAPK2,C6
CACNG7,C2
FGF17,C1
CACNA2D4,C1
TNF,C1
DAXX,C9
CACNA1G,C5
RET,C14
CACNA1D,C5
FGFR2,C14
CRKL,C1
JUN,C9
MAP3K20,C10
IL1R1,C14
NR4A1,C9
MAP4K1,C10
GNG12,C1
HSPA1L,C4
CACNA1E,C5
MAP3K21,C10
DAXX,C9
PPP3CB,C12
EFNA4,C7
CACNA1A,C5
CACNA1B,C5
PAK1,C10
MAP3K4,C3
NGF,C7
MAP2K6,C10
IKBKB,C10
FGF16,C1
CSF1R,C14
DUSP16,C13
PLA2G4C,C1
RAPGEF2,C3
PRKCB,C6
FAS,C7
VEGFC,C7
NTRK1,C14
AKT3,C6
HRAS,C8
PLA2G4B,C1
ANGPT2,C3
VEGFA,C7
CACNA2D4,C1
IRAK4,C10
MAP3K12,C10
FLT3LG,C7
DAXX,C9
MYC,C9
IL1RAP,C14
LAMTOR3,C1
CACNG5,C2
PRKACA,C6
EFNA4-EFNA3,C7
STMN1,C9
MEF2C,C9
HSPA8,C4
DUSP7,C13
TNF,C1
MAPK10,C6
NTF4,C7
HSPA1B,C4
HSPA1L,C4
MAP3K2,C10
MECOM,C9
DUSP8,C13
NFATC1,C9
FGF21,C7
PTPN7,C14
FGFR3,C14
TAB2,C9
PGF,C7
MAPT,C9
AKT3,C6
HSPA1B,C4
CACNA2D3,C1
MAPKAPK3,C6
PDGFC,C7
RPS6KA5,C6
PLA2G4E,C1
RPS6KA1,C6
ATF4,C9
KITLG,C1
MAP3K9,C10
RASGRF1,C3
HSPA1A,C4
IKBKG,C3
CACNA2D2,C1
MAPK9,C6
DAXX,C9
HSPA1A,C4
HSPA1L,C4
ANGPT1,C3
CDC42,C8
TNF,C1
BRAF,C10
DUSP8,C13
MAPK8IP3,C9
NFKB2,C3
DUSP8,C13
MAPT,C9
IGF1R,C14
AKT1,C6
HSPA1B,C4
RASGRP4,C3
TNF,C1
TNF,C1
FGF2,C1
MAPKAPK5,C6
MAP3K14,C11
TRAF6,C3
FGFR1,C14
MYD88,C1
HSPA1A,C4
CACNB4,C9
CACNA1C,C5
