source,target,type,subtype
RASGRF1,fu:ea3af571,gene_to_fu,
RASGRF2,fu:ea3af571,gene_to_fu,
DUSP10,fu:bd9bd64d,gene_to_fu,
DUSP1,fu:bd9bd64d,gene_to_fu,
DUSP2,fu:bd9bd64d,gene_to_fu,
DUSP4,fu:bd9bd64d,gene_to_fu,
DUSP5,fu:bd9bd64d,gene_to_fu,
DUSP6,fu:bd9bd64d,gene_to_fu,
DUSP7,fu:bd9bd64d,gene_to_fu,
DUSP8,fu:bd9bd64d,gene_to_fu,
DUSP9,fu:bd9bd64d,gene_to_fu,
DUSP16,fu:bd9bd64d,gene_to_fu,
DUSP3,fu:645ada17,gene_to_fu,
PTPN7,fu:645ada17,gene_to_fu,
PTPRR,fu:645ada17,gene_to_fu,
PTPN5,fu:645ada17,gene_to_fu,
PPM1B,fu:3c67a02d,gene_to_fu,
FASLG,fu:d4ebbf2b,gene_to_fu,
MAP4K4,fu:f0d46f11,gene_to_fu,
PLA2G4B,fu:0c2b138c,gene_to_fu,
PLA2G4E,fu:0c2b138c,gene_to_fu,
PLA2G4F,fu:0c2b138c,gene_to_fu,
PLA2G4D,fu:0c2b138c,gene_to_fu,
PLA2G4A,fu:0c2b138c,gene_to_fu,
PLA2G4C,fu:0c2b138c,gene_to_fu,
JMJD7-PLA2G4B,fu:0c2b138c,gene_to_fu,
STMN1,fu:e661480b,gene_to_fu,
MAPT,fu:7e702847,gene_to_fu,
NFKB1,fu:3c93b301,gene_to_fu,
NFKB2,fu:3c93b301,gene_to_fu,
RELA,fu:3c93b301,gene_to_fu,
RELB,fu:3c93b301,gene_to_fu,
CHUK,fu:523a744b,gene_to_fu,
IKBKB,fu:523a744b,gene_to_fu,
IKBKG,fu:523a744b,gene_to_fu,
MAP3K14,fu:b9ec221f,gene_to_fu,
MAPK1,fu:7c6d4d4a,gene_to_fu,
MAPK3,fu:7c6d4d4a,gene_to_fu,
LAMTOR3,fu:93eeec94,gene_to_fu,
MAP2K2,fu:4781eb07,gene_to_fu,
MAP2K1,fu:ee804b17,gene_to_fu,
RAF1,fu:5324c493,gene_to_fu,
BRAF,fu:7cec7b64,gene_to_fu,
RASA1,fu:30ad397b,gene_to_fu,
NF1,fu:3968d652,gene_to_fu,
PRKCA,fu:6fc31f40,gene_to_fu,
PRKCB,fu:6fc31f40,gene_to_fu,
PRKCG,fu:6fc31f40,gene_to_fu,
RAP1A,fu:5264ac6f,gene_to_fu,
RAP1B,fu:5264ac6f,gene_to_fu,
PRKACA,fu:0ddd2c17,gene_to_fu,
PRKACB,fu:0ddd2c17,gene_to_fu,
PRKACG,fu:0ddd2c17,gene_to_fu,
RAPGEF2,fu:cbc27d79,gene_to_fu,
RASA2,fu:7d8d1672,gene_to_fu,
RRAS2,fu:cb603216,gene_to_fu,
MRAS,fu:cb603216,gene_to_fu,
HRAS,fu:cb603216,gene_to_fu,
KRAS,fu:cb603216,gene_to_fu,
NRAS,fu:cb603216,gene_to_fu,
RRAS,fu:cb603216,gene_to_fu,
RASGRP1,fu:a6602c7f,gene_to_fu,
RASGRP2,fu:a6602c7f,gene_to_fu,
RASGRP4,fu:a6602c7f,gene_to_fu,
RASGRP3,fu:a6602c7f,gene_to_fu,
SOS1,fu:9bd0df30,gene_to_fu,
SOS2,fu:9bd0df30,gene_to_fu,
GNA12,fu:c3d880e8,gene_to_fu,
GNG12,fu:c3d880e8,gene_to_fu,
GRB2,fu:0d65318d,gene_to_fu,
CSF1R,fu:727cb396,gene_to_fu,
EGFR,fu:727cb396,gene_to_fu,
EPHA2,fu:727cb396,gene_to_fu,
ERBB2,fu:727cb396,gene_to_fu,
ERBB3,fu:727cb396,gene_to_fu,
ERBB4,fu:727cb396,gene_to_fu,
FGFR1,fu:727cb396,gene_to_fu,
FGFR3,fu:727cb396,gene_to_fu,
FGFR2,fu:727cb396,gene_to_fu,
FGFR4,fu:727cb396,gene_to_fu,
FLT1,fu:727cb396,gene_to_fu,
FLT3,fu:727cb396,gene_to_fu,
FLT4,fu:727cb396,gene_to_fu,
IGF1R,fu:727cb396,gene_to_fu,
INSR,fu:727cb396,gene_to_fu,
KDR,fu:727cb396,gene_to_fu,
KIT,fu:727cb396,gene_to_fu,
MET,fu:727cb396,gene_to_fu,
NGFR,fu:727cb396,gene_to_fu,
NTRK1,fu:727cb396,gene_to_fu,
NTRK2,fu:727cb396,gene_to_fu,
PDGFRA,fu:727cb396,gene_to_fu,
PDGFRB,fu:727cb396,gene_to_fu,
RET,fu:727cb396,gene_to_fu,
TEK,fu:727cb396,gene_to_fu,
CACNG3,fu:bd379c39,gene_to_fu,
CACNG2,fu:bd379c39,gene_to_fu,
CACNG5,fu:bd379c39,gene_to_fu,
CACNG4,fu:bd379c39,gene_to_fu,
CACNA2D3,fu:bd379c39,gene_to_fu,
CACNG8,fu:bd379c39,gene_to_fu,
CACNG7,fu:bd379c39,gene_to_fu,
CACNG6,fu:bd379c39,gene_to_fu,
CACNA1A,fu:bd379c39,gene_to_fu,
CACNA1B,fu:bd379c39,gene_to_fu,
CACNA1C,fu:bd379c39,gene_to_fu,
CACNA1D,fu:bd379c39,gene_to_fu,
CACNA1E,fu:bd379c39,gene_to_fu,
CACNA1F,fu:bd379c39,gene_to_fu,
CACNA1S,fu:bd379c39,gene_to_fu,
CACNA2D1,fu:bd379c39,gene_to_fu,
CACNB1,fu:bd379c39,gene_to_fu,
CACNB2,fu:bd379c39,gene_to_fu,
CACNB3,fu:bd379c39,gene_to_fu,
CACNB4,fu:bd379c39,gene_to_fu,
CACNG1,fu:bd379c39,gene_to_fu,
CACNA1I,fu:bd379c39,gene_to_fu,
CACNA1H,fu:bd379c39,gene_to_fu,
CACNA1G,fu:bd379c39,gene_to_fu,
CACNA2D2,fu:bd379c39,gene_to_fu,
CACNA2D4,fu:bd379c39,gene_to_fu,
NR4A1,fu:14d50a78,gene_to_fu,
MAPK7,fu:f05aba10,gene_to_fu,
MAP2K5,fu:faf1b7e0,gene_to_fu,
NLK,fu:db8a4a8a,gene_to_fu,
CDC25B,fu:e45fbd5c,gene_to_fu,
RPS6KA4,fu:b8ada536,gene_to_fu,
RPS6KA5,fu:b8ada536,gene_to_fu,
MAPKAPK3,fu:8c7ba104,gene_to_fu,
MAPKAPK2,fu:8c7ba104,gene_to_fu,
ATF4,fu:7bca3a7b,gene_to_fu,
MEF2C,fu:f101a6f1,gene_to_fu,
MAX,fu:45df5340,gene_to_fu,
DDIT3,fu:dda08e08,gene_to_fu,
ELK4,fu:0a37beb9,gene_to_fu,
TP53,fu:31725aa3,gene_to_fu,
ELK1,fu:5fde3828,gene_to_fu,
ATF2,fu:bfc9ae48,gene_to_fu,
MAPK14,fu:5800992d,gene_to_fu,
MAPK11,fu:5800992d,gene_to_fu,
MAPK13,fu:5800992d,gene_to_fu,
MAPK12,fu:5800992d,gene_to_fu,
PPP5C,fu:306b6021,gene_to_fu,
MAP2K6,fu:5e60e9dc,gene_to_fu,
MAP2K3,fu:416a5afd,gene_to_fu,
DUSP10,fu:da3df1ca,gene_to_fu,
DUSP2,fu:da3df1ca,gene_to_fu,
DUSP4,fu:da3df1ca,gene_to_fu,
DUSP5,fu:da3df1ca,gene_to_fu,
DUSP7,fu:da3df1ca,gene_to_fu,
DUSP8,fu:da3df1ca,gene_to_fu,
DUSP9,fu:da3df1ca,gene_to_fu,
DUSP16,fu:da3df1ca,gene_to_fu,
DUSP3,fu:7da6eba5,gene_to_fu,
PTPN7,fu:7da6eba5,gene_to_fu,
PTPRR,fu:7da6eba5,gene_to_fu,
PTPN5,fu:7da6eba5,gene_to_fu,
PPM1A,fu:5dc42453,gene_to_fu,
AKT3,fu:41203a8a,gene_to_fu,
AKT1,fu:41203a8a,gene_to_fu,
AKT2,fu:41203a8a,gene_to_fu,
TAOK3,fu:0c8f7154,gene_to_fu,
TAOK1,fu:0c8f7154,gene_to_fu,
TAOK2,fu:0c8f7154,gene_to_fu,
MAP3K4,fu:8cf03d63,gene_to_fu,
HSPB1,fu:6953fac9,gene_to_fu,
MAP3K7,fu:cabad419,gene_to_fu,
MAP3K5,fu:aacf07bb,gene_to_fu,
MAP3K6,fu:e9c5128e,gene_to_fu,
MAP3K20,fu:8ce177b4,gene_to_fu,
MAP3K12,fu:1ee1c600,gene_to_fu,
MAP3K13,fu:1ee1c600,gene_to_fu,
MAP3K9,fu:e7b77b07,gene_to_fu,
MAP3K10,fu:e7b77b07,gene_to_fu,
MAP3K21,fu:e7b77b07,gene_to_fu,
MAP4K2,fu:b8f9f795,gene_to_fu,
STK3,fu:b9db94ef,gene_to_fu,
STK4,fu:b9db94ef,gene_to_fu,
ECSIT,fu:3285e573,gene_to_fu,
TAB2,fu:545ebf7d,gene_to_fu,
TAB1,fu:d7d24a4c,gene_to_fu,
GADD45G,fu:41822415,gene_to_fu,
GADD45A,fu:41822415,gene_to_fu,
GADD45B,fu:41822415,gene_to_fu,
TRAF6,fu:4d346bcc,gene_to_fu,
DAXX,fu:02465256,gene_to_fu,
TRAF2,fu:af1b2d2f,gene_to_fu,
CASP3,fu:eda4acea,gene_to_fu,
CD14,fu:cec976f1,gene_to_fu,
TGFBR1,fu:e1dd59a5,gene_to_fu,
TGFBR2,fu:e1dd59a5,gene_to_fu,
FAS,fu:12950895,gene_to_fu,
IL1R1,fu:9274968e,gene_to_fu,
IL1RAP,fu:9274968e,gene_to_fu,
TNFRSF1A,fu:cb1c88d1,gene_to_fu,
TGFB1,fu:619d8916,gene_to_fu,
TGFB2,fu:619d8916,gene_to_fu,
TGFB3,fu:619d8916,gene_to_fu,
IL1A,fu:5b3ce1d9,gene_to_fu,
IL1B,fu:5b3ce1d9,gene_to_fu,
TNF,fu:93677f06,gene_to_fu,
MAPKAPK5,fu:9ac97dd2,gene_to_fu,
RAC1,fu:e2794b69,gene_to_fu,
RAC2,fu:e2794b69,gene_to_fu,
RAC3,fu:e2794b69,gene_to_fu,
CDC42,fu:e2794b69,gene_to_fu,
