id,type,logic
RASGRF1,gene,
RASGRF2,gene,
fu:b239070e,functional_unit,OR
DUSP10,gene,
DUSP1,gene,
DUSP2,gene,
DUSP4,gene,
DUSP5,gene,
DUSP6,gene,
DUSP7,gene,
DUSP8,gene,
DUSP9,gene,
DUSP16,gene,
fu:2e5b15fb,functional_unit,OR
DUSP3,gene,
PTPN7,gene,
PTPRR,gene,
PTPN5,gene,
fu:6ca79243,functional_unit,OR
PPM1B,gene,
fu:3f241bac,functional_unit,SINGLE
FASLG,gene,
fu:5e25b40b,functional_unit,SINGLE
MAP4K4,gene,
fu:d673f627,functional_unit,SINGLE
PLA2G4B,gene,
PLA2G4E,gene,
PLA2G4F,gene,
PLA2G4D,gene,
PLA2G4A,gene,
PLA2G4C,gene,
JMJD7-PLA2G4B,gene,
fu:63c6b922,functional_unit,OR
STMN1,gene,
fu:1be34426,functional_unit,SINGLE
MAPT,gene,
fu:eee648f7,functional_unit,SINGLE
NFKB1,gene,
NFKB2,gene,
RELA,gene,
RELB,gene,
fu:2ec3e54c,functional_unit,OR
CHUK,gene,
IKBKB,gene,
IKBKG,gene,
fu:a206441c,functional_unit,OR
MAP3K14,gene,
fu:f1eaa454,functional_unit,SINGLE
MAPK1,gene,
MAPK3,gene,
fu:383f1304,functional_unit,OR
LAMTOR3,gene,
fu:a9592f1b,functional_unit,SINGLE
MAP2K2,gene,
fu:050ca8f5,functional_unit,SINGLE
MAP2K1,gene,
fu:d670eb75,functional_unit,SINGLE
RAF1,gene,
fu:10a6a5d5,functional_unit,SINGLE
BRAF,gene,
fu:842f5a0a,functional_unit,SINGLE
RASA1,gene,
fu:d464bec2,functional_unit,SINGLE
NF1,gene,
fu:584a338d,functional_unit,SINGLE
PRKCA,gene,
PRKCB,gene,
PRKCG,gene,
fu:f507c8a6,functional_unit,OR
RAP1A,gene,
RAP1B,gene,
fu:e6ee29bb,functional_unit,OR
PRKACA,gene,
PRKACB,gene,
PRKACG,gene,
fu:fbf67e39,functional_unit,OR
RAPGEF2,gene,
fu:71cc3a45,functional_unit,SINGLE
RASA2,gene,
fu:c4faf693,functional_unit,SINGLE
RRAS2,gene,
MRAS,gene,
HRAS,gene,
KRAS,gene,
NRAS,gene,
RRAS,gene,
fu:a147cdf0,functional_unit,OR
RASGRP1,gene,
RASGRP2,gene,
RASGRP4,gene,
RASGRP3,gene,
fu:f55a51af,functional_unit,OR
SOS1,gene,
SOS2,gene,
fu:64c8c922,functional_unit,OR
GNA12,gene,
GNG12,gene,
fu:ab986177,functional_unit,OR
GRB2,gene,
fu:d399a73c,functional_unit,SINGLE
CSF1R,gene,
EGFR,gene,
EPHA2,gene,
ERBB2,gene,
ERBB3,gene,
ERBB4,gene,
FGFR1,gene,
FGFR3,gene,
FGFR2,gene,
FGFR4,gene,
FLT1,gene,
FLT3,gene,
FLT4,gene,
IGF1R,gene,
INSR,gene,
KDR,gene,
KIT,gene,
MET,gene,
NGFR,gene,
NTRK1,gene,
NTRK2,gene,
PDGFRA,gene,
PDGFRB,gene,
RET,gene,
TEK,gene,
fu:71d04263,functional_unit,OR
CACNG3,gene,
CACNG2,gene,
CACNG5,gene,
CACNG4,gene,
CACNA2D3,gene,
CACNG8,gene,
CACNG7,gene,
CACNG6,gene,
CACNA1A,gene,
CACNA1B,gene,
