source,target,source_label,target_label,type,subtype
hsa:5923,fu:d9cb13f7,RASGRF1,fu:d9cb13f7,gene_to_fu,
hsa:5924,fu:d9cb13f7,RASGRF2,fu:d9cb13f7,gene_to_fu,
hsa:11221,fu:60e236ec,DUSP10,fu:60e236ec,gene_to_fu,
hsa:1843,fu:60e236ec,DUSP1,fu:60e236ec,gene_to_fu,
hsa:1844,fu:60e236ec,DUSP2,fu:60e236ec,gene_to_fu,
hsa:1846,fu:60e236ec,DUSP4,fu:60e236ec,gene_to_fu,
hsa:1847,fu:60e236ec,DUSP5,fu:60e236ec,gene_to_fu,
hsa:1848,fu:60e236ec,DUSP6,fu:60e236ec,gene_to_fu,
hsa:1849,fu:60e236ec,DUSP7,fu:60e236ec,gene_to_fu,
hsa:1850,fu:60e236ec,DUSP8,fu:60e236ec,gene_to_fu,
hsa:1852,fu:60e236ec,DUSP9,fu:60e236ec,gene_to_fu,
hsa:80824,fu:60e236ec,DUSP16,fu:60e236ec,gene_to_fu,
hsa:1845,fu:1fded98d,DUSP3,fu:1fded98d,gene_to_fu,
hsa:5778,fu:1fded98d,PTPN7,fu:1fded98d,gene_to_fu,
hsa:5801,fu:1fded98d,PTPRR,fu:1fded98d,gene_to_fu,
hsa:84867,fu:1fded98d,PTPN5,fu:1fded98d,gene_to_fu,
hsa:5495,fu:ae2d1643,PPM1B,fu:ae2d1643,gene_to_fu,
hsa:356,fu:660f6698,FASLG,fu:660f6698,gene_to_fu,
hsa:9448,fu:c516e24a,MAP4K4,fu:c516e24a,gene_to_fu,
hsa:100137049,fu:afc36910,PLA2G4B,fu:afc36910,gene_to_fu,
hsa:123745,fu:afc36910,PLA2G4E,fu:afc36910,gene_to_fu,
hsa:255189,fu:afc36910,PLA2G4F,fu:afc36910,gene_to_fu,
hsa:283748,fu:afc36910,PLA2G4D,fu:afc36910,gene_to_fu,
hsa:5321,fu:afc36910,PLA2G4A,fu:afc36910,gene_to_fu,
hsa:8605,fu:afc36910,PLA2G4C,fu:afc36910,gene_to_fu,
hsa:8681,fu:afc36910,JMJD7-PLA2G4B,fu:afc36910,gene_to_fu,
hsa:3925,fu:1c5fa37c,STMN1,fu:1c5fa37c,gene_to_fu,
hsa:4137,fu:e3c2e161,MAPT,fu:e3c2e161,gene_to_fu,
hsa:4790,fu:a9305fcb,NFKB1,fu:a9305fcb,gene_to_fu,
hsa:4791,fu:a9305fcb,NFKB2,fu:a9305fcb,gene_to_fu,
hsa:5970,fu:a9305fcb,RELA,fu:a9305fcb,gene_to_fu,
hsa:5971,fu:a9305fcb,RELB,fu:a9305fcb,gene_to_fu,
hsa:1147,fu:2aaff0ef,CHUK,fu:2aaff0ef,gene_to_fu,
hsa:3551,fu:2aaff0ef,IKBKB,fu:2aaff0ef,gene_to_fu,
hsa:8517,fu:2aaff0ef,IKBKG,fu:2aaff0ef,gene_to_fu,
hsa:9020,fu:b7ac05e6,MAP3K14,fu:b7ac05e6,gene_to_fu,
hsa:5594,fu:db5eb53a,MAPK1,fu:db5eb53a,gene_to_fu,
hsa:5595,fu:db5eb53a,MAPK3,fu:db5eb53a,gene_to_fu,
hsa:8649,fu:1deb785f,LAMTOR3,fu:1deb785f,gene_to_fu,
hsa:5605,fu:623f23ba,MAP2K2,fu:623f23ba,gene_to_fu,
hsa:5604,fu:beffb338,MAP2K1,fu:beffb338,gene_to_fu,
hsa:5894,fu:f11c723f,RAF1,fu:f11c723f,gene_to_fu,
hsa:673,fu:31df8378,BRAF,fu:31df8378,gene_to_fu,
hsa:5921,fu:a9511836,RASA1,fu:a9511836,gene_to_fu,
hsa:4763,fu:64721de4,NF1,fu:64721de4,gene_to_fu,
hsa:5578,fu:011d9d9b,PRKCA,fu:011d9d9b,gene_to_fu,
hsa:5579,fu:011d9d9b,PRKCB,fu:011d9d9b,gene_to_fu,
hsa:5582,fu:011d9d9b,PRKCG,fu:011d9d9b,gene_to_fu,
hsa:5906,fu:307bc9c7,RAP1A,fu:307bc9c7,gene_to_fu,
hsa:5908,fu:307bc9c7,RAP1B,fu:307bc9c7,gene_to_fu,
hsa:5566,fu:2e629c93,PRKACA,fu:2e629c93,gene_to_fu,
hsa:5567,fu:2e629c93,PRKACB,fu:2e629c93,gene_to_fu,
hsa:5568,fu:2e629c93,PRKACG,fu:2e629c93,gene_to_fu,
hsa:9693,fu:5291bfed,RAPGEF2,fu:5291bfed,gene_to_fu,
hsa:5922,fu:5e9bf09f,RASA2,fu:5e9bf09f,gene_to_fu,
hsa:22800,fu:6af6d78a,RRAS2,fu:6af6d78a,gene_to_fu,
hsa:22808,fu:6af6d78a,MRAS,fu:6af6d78a,gene_to_fu,
hsa:3265,fu:6af6d78a,HRAS,fu:6af6d78a,gene_to_fu,
hsa:3845,fu:6af6d78a,KRAS,fu:6af6d78a,gene_to_fu,
hsa:4893,fu:6af6d78a,NRAS,fu:6af6d78a,gene_to_fu,
hsa:6237,fu:6af6d78a,RRAS,fu:6af6d78a,gene_to_fu,
