id,label,full_label,type,logic,pathway
hsa:5923,RASGRF1,"RASGRF1, CDC25, CDC25L, GNRP, GRF1, GRF55, H-GRF55, PP13187, ras-GRF1; ras-specific guanine nucleotide-releasing factor 1 isoform 1",gene,,path:hsa04010
hsa:5924,RASGRF2,"RASGRF2, GRF2, RAS-GRF2; ras-specific guanine nucleotide-releasing factor 2",gene,,path:hsa04010
fu:d9cb13f7,fu:d9cb13f7,,functional_unit,OR,path:hsa04010
hsa:11221,DUSP10,"DUSP10, MKP-5, MKP5; dual specificity protein phosphatase 10",gene,,path:hsa04010
hsa:1843,DUSP1,"DUSP1, CL100, HVH1, MKP-1, MKP1, PTPN10; dual specificity protein phosphatase 1",gene,,path:hsa04010
hsa:1844,DUSP2,"DUSP2, PAC-1, PAC1; dual specificity protein phosphatase 2",gene,,path:hsa04010
hsa:1846,DUSP4,"DUSP4, HVH2, MKP-2, MKP2, TYP; dual specificity protein phosphatase 4 isoform 1",gene,,path:hsa04010
hsa:1847,DUSP5,"DUSP5, DUSP, HVH3; dual specificity protein phosphatase 5",gene,,path:hsa04010
hsa:1848,DUSP6,"DUSP6, HH19, MKP3, PYST1; dual specificity protein phosphatase 6 isoform a",gene,,path:hsa04010
hsa:1849,DUSP7,"DUSP7, MKPX, PYST2; dual specificity protein phosphatase 7",gene,,path:hsa04010
hsa:1850,DUSP8,"DUSP8, C11orf81, HB5, HVH-5, HVH8; dual specificity protein phosphatase 8",gene,,path:hsa04010
hsa:1852,DUSP9,"DUSP9, MKP-4, MKP4; dual specificity protein phosphatase 9",gene,,path:hsa04010
hsa:80824,DUSP16,"DUSP16, MKP-7, MKP7; dual specificity protein phosphatase 16",gene,,path:hsa04010
fu:60e236ec,fu:60e236ec,,functional_unit,OR,path:hsa04010
hsa:1845,DUSP3,"DUSP3, VHR; dual specificity protein phosphatase 3",gene,,path:hsa04010
hsa:5778,PTPN7,"PTPN7, BPTP-4, HEPTP, LC-PTP, LPTP, PTPNI; tyrosine-protein phosphatase non-receptor type 7 isoform 1",gene,,path:hsa04010
hsa:5801,PTPRR,"PTPRR, EC-PTP, PCPTP1, PTP-SL, PTPBR7, PTPRQ; receptor-type tyrosine-protein phosphatase R isoform 1 precursor",gene,,path:hsa04010
hsa:84867,PTPN5,"PTPN5, PTPSTEP, STEP, STEP61; tyrosine-protein phosphatase non-receptor type 5 isoform a",gene,,path:hsa04010
fu:1fded98d,fu:1fded98d,,functional_unit,OR,path:hsa04010
hsa:5495,PPM1B,"PPM1B, PP2C-beta, PP2C-beta-X, PP2CB, PP2CBETA, PPC2BETAX; protein phosphatase 1B isoform 1",gene,,path:hsa04010
fu:ae2d1643,fu:ae2d1643,,functional_unit,SINGLE,path:hsa04010
hsa:356,FASLG,"FASLG, ALPS1B, APT1LG1, APTL, CD178, CD95-L, CD95L, FASL, TNFSF6, TNLG1A; tumor necrosis factor ligand superfamily member 6 isoform 1",gene,,path:hsa04010
fu:660f6698,fu:660f6698,,functional_unit,SINGLE,path:hsa04010
hsa:9448,MAP4K4,"MAP4K4, FLH21957, HEL-S-31, HGK, MEKKK4, NIK; mitogen-activated protein kinase kinase kinase kinase 4 isoform 4",gene,,path:hsa04010
fu:c516e24a,fu:c516e24a,,functional_unit,SINGLE,path:hsa04010
hsa:100137049,PLA2G4B,"PLA2G4B, HsT16992, cPLA2-beta; cytosolic phospholipase A2 beta",gene,,path:hsa04010
hsa:123745,PLA2G4E,PLA2G4E; cytosolic phospholipase A2 epsilon isoform 1,gene,,path:hsa04010
hsa:255189,PLA2G4F,"PLA2G4F, PLA2G4FZ; cytosolic phospholipase A2 zeta",gene,,path:hsa04010
hsa:283748,PLA2G4D,"PLA2G4D, cPLA2delta; cytosolic phospholipase A2 delta",gene,,path:hsa04010
hsa:5321,PLA2G4A,"PLA2G4A, GURDP, PLA2G4, cPLA2, cPLA2-alpha; cytosolic phospholipase A2 isoform 1",gene,,path:hsa04010
hsa:8605,PLA2G4C,"PLA2G4C, CPLA2-gamma; cytosolic phospholipase A2 gamma isoform 1 precursor",gene,,path:hsa04010
hsa:8681,JMJD7-PLA2G4B,"JMJD7-PLA2G4B, HsT16992, cPLA2-beta; JMJD7-PLA2G4B protein isoform b",gene,,path:hsa04010
fu:afc36910,fu:afc36910,,functional_unit,OR,path:hsa04010
hsa:3925,STMN1,"STMN1, C1orf215, LAP18, Lag, OP18, PP17, PP19, PR22, SMN; stathmin isoform a",gene,,path:hsa04010
fu:1c5fa37c,fu:1c5fa37c,,functional_unit,SINGLE,path:hsa04010
hsa:4137,MAPT,"MAPT, DDPAC, FTD1, FTDP-17, MAPTL, MSTD, MTBT1, MTBT2, PPND, PPP1R103, TAU, Tau-PHF6, tau-40; microtubule-associated protein tau isoform 1",gene,,path:hsa04010
fu:e3c2e161,fu:e3c2e161,,functional_unit,SINGLE,path:hsa04010
hsa:4790,NFKB1,"NFKB1, CVID12, EBP-1, KBF1, NF-kB, NF-kB1, NF-kappa-B1, NF-kappaB, NF-kappabeta, NFKB-p105, NFKB-p50, NFkappaB; nuclear factor NF-kappa-B p105 subunit isoform 2 proprotein",gene,,path:hsa04010
hsa:4791,NFKB2,"NFKB2, CVID10, H2TF1, LYT-10, LYT10, NF-kB2, p100, p49/p100, p52; nuclear factor NF-kappa-B p100 subunit isoform a",gene,,path:hsa04010
hsa:5970,RELA,"RELA, AIF3BL3, CMCU, NFKB3, p65; transcription factor p65 isoform 1",gene,,path:hsa04010
hsa:5971,RELB,"RELB, I-REL, IMD53, IREL, REL-B; transcription factor RelB isoform 1",gene,,path:hsa04010
fu:a9305fcb,fu:a9305fcb,,functional_unit,OR,path:hsa04010
hsa:1147,CHUK,"CHUK, BPS2, IKBKA, IKK-1, IKK-alpha, IKK1, IKKA, NFKBIKA, TCF16; inhibitor of nuclear factor kappa-B kinase subunit alpha isoform 1",gene,,path:hsa04010
hsa:3551,IKBKB,"IKBKB, IKK-2, IKK-beta, IKK2, IKKB, IMD15, IMD15A, IMD15B, NFKBIKB; inhibitor of nuclear factor kappa-B kinase subunit beta isoform 1",gene,,path:hsa04010
hsa:8517,IKBKG,"IKBKG, AMCBX1, EDAID1, FIP-3, FIP3, Fip3p, IKK-gamma, IKKAP1, IKKG, IMD33, IP, IP1, IP2, IPD2, NEMO, SAIDX, ZC2HC9; NF-kappa-B essential modulator isoform a",gene,,path:hsa04010
fu:2aaff0ef,fu:2aaff0ef,,functional_unit,OR,path:hsa04010
hsa:9020,MAP3K14,"MAP3K14, FTDCR1B, HS, HSNIK, IMD112, NIK; mitogen-activated protein kinase kinase kinase 14",gene,,path:hsa04010
fu:b7ac05e6,fu:b7ac05e6,,functional_unit,SINGLE,path:hsa04010
hsa:5594,MAPK1,"MAPK1, ERK, ERK-2, ERK2, ERT1, MAPK2, NS13, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk, p42-MAPK; mitogen-activated protein kinase 1",gene,,path:hsa04010
hsa:5595,MAPK3,"MAPK3, ERK-1, ERK1, ERT2, HS44KDAP, HUMKER1A, P44ERK1, P44MAPK, PRKM3, p44-ERK1, p44-MAPK; mitogen-activated protein kinase 3 isoform 1",gene,,path:hsa04010
fu:db5eb53a,fu:db5eb53a,,functional_unit,OR,path:hsa04010
hsa:8649,LAMTOR3,"LAMTOR3, MAP2K1IP1, MAPBP, MAPKSP1, MP1, PRO0633, Ragulator3; ragulator complex protein LAMTOR3 isoform 1",gene,,path:hsa04010
fu:1deb785f,fu:1deb785f,,functional_unit,SINGLE,path:hsa04010
hsa:5605,MAP2K2,"MAP2K2, CFC4, MAPKK2, MEK2, MKK2, PRKMK2; dual specificity mitogen-activated protein kinase kinase 2 isoform 1",gene,,path:hsa04010
fu:623f23ba,fu:623f23ba,,functional_unit,SINGLE,path:hsa04010
hsa:5604,MAP2K1,"MAP2K1, CFC3, MAPKK1, MEK1, MEL, MKK1, PRKMK1; dual specificity mitogen-activated protein kinase kinase 1 isoform 1",gene,,path:hsa04010
fu:beffb338,fu:beffb338,,functional_unit,SINGLE,path:hsa04010
hsa:5894,RAF1,"RAF1, CMD1NN, CRAF, NS5, Raf-1, c-Raf; RAF proto-oncogene serine/threonine-protein kinase isoform b",gene,,path:hsa04010
fu:f11c723f,fu:f11c723f,,functional_unit,SINGLE,path:hsa04010
hsa:673,BRAF,"BRAF, B-RAF1, B-raf, BRAF-1, BRAF1, NS7, RAFB1; serine/threonine-protein kinase B-raf isoform 1",gene,,path:hsa04010
fu:31df8378,fu:31df8378,,functional_unit,SINGLE,path:hsa04010
hsa:5921,RASA1,"RASA1, CM-AVM, CMAVM, CMAVM1, GAP, PKWS, RASA, RASGAP, p120, p120GAP, p120RASGAP; ras GTPase-activating protein 1 isoform 1",gene,,path:hsa04010
fu:a9511836,fu:a9511836,,functional_unit,SINGLE,path:hsa04010
hsa:4763,NF1,"NF1, NFNS, VRNF, WSS; neurofibromin isoform 1",gene,,path:hsa04010
fu:64721de4,fu:64721de4,,functional_unit,SINGLE,path:hsa04010
hsa:5578,PRKCA,"PRKCA, AAG6, PKC-alpha, PKCA, PKCI+/-, PKCalpha, PRKACA; protein kinase C alpha type",gene,,path:hsa04010
hsa:5579,PRKCB,"PRKCB, PKC-beta, PKCB, PKCI(2), PKCbeta, PRKCB1, PRKCB2; protein kinase C beta type isoform 1",gene,,path:hsa04010
hsa:5582,PRKCG,"PRKCG, PKC-gamma, PKCC, PKCG, PKCI(3), PKCgamma, SCA14; protein kinase C gamma type isoform 2",gene,,path:hsa04010
fu:011d9d9b,fu:011d9d9b,,functional_unit,OR,path:hsa04010
hsa:5906,RAP1A,"RAP1A, C21KG, G-22K, KREV-1, KREV1, RAP1, SMGP21; ras-related protein Rap-1A precursor",gene,,path:hsa04010
hsa:5908,RAP1B,"RAP1B, K-REV, RAL1B, THC11; ras-related protein Rap-1b isoform 1 precursor",gene,,path:hsa04010
fu:307bc9c7,fu:307bc9c7,,functional_unit,OR,path:hsa04010
hsa:5566,PRKACA,"PRKACA, CAFD1, PKACA, PPNAD4; cAMP-dependent protein kinase catalytic subunit alpha isoform Calpha1",gene,,path:hsa04010
hsa:5567,PRKACB,"PRKACB, CAFD2, PKA C-beta, PKACB; cAMP-dependent protein kinase catalytic subunit beta isoform 2",gene,,path:hsa04010
hsa:5568,PRKACG,"PRKACG, BDPLT19, KAPG, PKACg; cAMP-dependent protein kinase catalytic subunit gamma",gene,,path:hsa04010
fu:2e629c93,fu:2e629c93,,functional_unit,OR,path:hsa04010
hsa:9693,RAPGEF2,"RAPGEF2, CNrasGEF, NRAPGEP, PDZ-GEF1, PDZGEF1, RA-GEF, RA-GEF-1, RAGEF, Rap-GEP, nRap GEP; rap guanine nucleotide exchange factor 2 isoform 5",gene,,path:hsa04010
fu:5291bfed,fu:5291bfed,,functional_unit,SINGLE,path:hsa04010
hsa:5922,RASA2,"RASA2, GAP1M; ras GTPase-activating protein 2 isoform 2",gene,,path:hsa04010
fu:5e9bf09f,fu:5e9bf09f,,functional_unit,SINGLE,path:hsa04010
hsa:22800,RRAS2,"RRAS2, NS12, TC21; ras-related protein R-Ras2 isoform a",gene,,path:hsa04010
hsa:22808,MRAS,"MRAS, M-RAs, NS11, R-RAS3, RRAS3; ras-related protein M-Ras isoform 1 precursor",gene,,path:hsa04010
hsa:3265,HRAS,"HRAS, C-BAS/HAS, C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV, HRAS1, RASH1, p21ras; GTPase HRas isoform 1",gene,,path:hsa04010
hsa:3845,KRAS,"KRAS, 'C-K-RAS, C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, K-Ras, K-Ras 2, KI-RAS, KRAS1, KRAS2, NS, NS3, OES, RALD, RASK2, c-Ki-ras, c-Ki-ras2; GTPase KRas isoform a",gene,,path:hsa04010
hsa:4893,NRAS,"NRAS, ALPS4, CMNS, KRAS, N-ras, NCMS, NRAS1, NS6; GTPase NRas",gene,,path:hsa04010
hsa:6237,RRAS,"RRAS, R-Ras, RRAS1; ras-related protein R-Ras",gene,,path:hsa04010
