source,target,type,subtype
hsa:5923,fu:7462a4ff,gene_to_fu,
hsa:5924,fu:7462a4ff,gene_to_fu,
hsa:11221,fu:a5c81f05,gene_to_fu,
hsa:1843,fu:a5c81f05,gene_to_fu,
hsa:1844,fu:a5c81f05,gene_to_fu,
hsa:1846,fu:a5c81f05,gene_to_fu,
hsa:1847,fu:a5c81f05,gene_to_fu,
hsa:1848,fu:a5c81f05,gene_to_fu,
hsa:1849,fu:a5c81f05,gene_to_fu,
hsa:1850,fu:a5c81f05,gene_to_fu,
hsa:1852,fu:a5c81f05,gene_to_fu,
hsa:80824,fu:a5c81f05,gene_to_fu,
hsa:1845,fu:8e98fd2a,gene_to_fu,
hsa:5778,fu:8e98fd2a,gene_to_fu,
hsa:5801,fu:8e98fd2a,gene_to_fu,
hsa:84867,fu:8e98fd2a,gene_to_fu,
hsa:5495,fu:9f0d4dae,gene_to_fu,
hsa:356,fu:3a120078,gene_to_fu,
hsa:9448,fu:aa79d693,gene_to_fu,
hsa:100137049,fu:60ce16db,gene_to_fu,
hsa:123745,fu:60ce16db,gene_to_fu,
hsa:255189,fu:60ce16db,gene_to_fu,
hsa:283748,fu:60ce16db,gene_to_fu,
hsa:5321,fu:60ce16db,gene_to_fu,
hsa:8605,fu:60ce16db,gene_to_fu,
hsa:8681,fu:60ce16db,gene_to_fu,
hsa:3925,fu:5d3cbbaa,gene_to_fu,
hsa:4137,fu:a04ac493,gene_to_fu,
hsa:4790,fu:528fb5a2,gene_to_fu,
hsa:4791,fu:528fb5a2,gene_to_fu,
hsa:5970,fu:528fb5a2,gene_to_fu,
hsa:5971,fu:528fb5a2,gene_to_fu,
hsa:1147,fu:bed1be9d,gene_to_fu,
hsa:3551,fu:bed1be9d,gene_to_fu,
hsa:8517,fu:bed1be9d,gene_to_fu,
hsa:9020,fu:09d2f54b,gene_to_fu,
hsa:5594,fu:5407a9ad,gene_to_fu,
hsa:5595,fu:5407a9ad,gene_to_fu,
hsa:8649,fu:119b4c82,gene_to_fu,
hsa:5605,fu:dd3c84d0,gene_to_fu,
hsa:5604,fu:9e600bb6,gene_to_fu,
hsa:5894,fu:72601542,gene_to_fu,
hsa:673,fu:6ebd9c99,gene_to_fu,
hsa:5921,fu:eeadc956,gene_to_fu,
hsa:4763,fu:0e48a824,gene_to_fu,
hsa:5578,fu:d9d0e44c,gene_to_fu,
hsa:5579,fu:d9d0e44c,gene_to_fu,
hsa:5582,fu:d9d0e44c,gene_to_fu,
hsa:5906,fu:88783e79,gene_to_fu,
hsa:5908,fu:88783e79,gene_to_fu,
hsa:5566,fu:912ae783,gene_to_fu,
hsa:5567,fu:912ae783,gene_to_fu,
hsa:5568,fu:912ae783,gene_to_fu,
hsa:9693,fu:cc70a016,gene_to_fu,
hsa:5922,fu:16973f90,gene_to_fu,
hsa:22800,fu:8268d012,gene_to_fu,
hsa:22808,fu:8268d012,gene_to_fu,
hsa:3265,fu:8268d012,gene_to_fu,
hsa:3845,fu:8268d012,gene_to_fu,
hsa:4893,fu:8268d012,gene_to_fu,
hsa:6237,fu:8268d012,gene_to_fu,
hsa:10125,fu:fcafd86b,gene_to_fu,
hsa:10235,fu:fcafd86b,gene_to_fu,
hsa:115727,fu:fcafd86b,gene_to_fu,
hsa:25780,fu:fcafd86b,gene_to_fu,
hsa:6654,fu:44d36263,gene_to_fu,
hsa:6655,fu:44d36263,gene_to_fu,
hsa:2768,fu:3f98ef0f,gene_to_fu,
hsa:55970,fu:3f98ef0f,gene_to_fu,
hsa:2885,fu:15e947ef,gene_to_fu,
hsa:1436,fu:f49ca807,gene_to_fu,
hsa:1956,fu:f49ca807,gene_to_fu,
hsa:1969,fu:f49ca807,gene_to_fu,
hsa:2064,fu:f49ca807,gene_to_fu,
hsa:2065,fu:f49ca807,gene_to_fu,
hsa:2066,fu:f49ca807,gene_to_fu,
hsa:2260,fu:f49ca807,gene_to_fu,
hsa:2261,fu:f49ca807,gene_to_fu,
hsa:2263,fu:f49ca807,gene_to_fu,
hsa:2264,fu:f49ca807,gene_to_fu,
hsa:2321,fu:f49ca807,gene_to_fu,
hsa:2322,fu:f49ca807,gene_to_fu,
hsa:2324,fu:f49ca807,gene_to_fu,
hsa:3480,fu:f49ca807,gene_to_fu,
hsa:3643,fu:f49ca807,gene_to_fu,
hsa:3791,fu:f49ca807,gene_to_fu,
hsa:3815,fu:f49ca807,gene_to_fu,
hsa:4233,fu:f49ca807,gene_to_fu,
hsa:4804,fu:f49ca807,gene_to_fu,
hsa:4914,fu:f49ca807,gene_to_fu,
hsa:4915,fu:f49ca807,gene_to_fu,
hsa:5156,fu:f49ca807,gene_to_fu,
hsa:5159,fu:f49ca807,gene_to_fu,
hsa:5979,fu:f49ca807,gene_to_fu,
hsa:7010,fu:f49ca807,gene_to_fu,
hsa:10368,fu:50b8d5ca,gene_to_fu,
hsa:10369,fu:50b8d5ca,gene_to_fu,
hsa:27091,fu:50b8d5ca,gene_to_fu,
hsa:27092,fu:50b8d5ca,gene_to_fu,
hsa:55799,fu:50b8d5ca,gene_to_fu,
hsa:59283,fu:50b8d5ca,gene_to_fu,
hsa:59284,fu:50b8d5ca,gene_to_fu,
hsa:59285,fu:50b8d5ca,gene_to_fu,
hsa:773,fu:50b8d5ca,gene_to_fu,
hsa:774,fu:50b8d5ca,gene_to_fu,
hsa:775,fu:50b8d5ca,gene_to_fu,
hsa:776,fu:50b8d5ca,gene_to_fu,
hsa:777,fu:50b8d5ca,gene_to_fu,
hsa:778,fu:50b8d5ca,gene_to_fu,
hsa:779,fu:50b8d5ca,gene_to_fu,
hsa:781,fu:50b8d5ca,gene_to_fu,
hsa:782,fu:50b8d5ca,gene_to_fu,
hsa:783,fu:50b8d5ca,gene_to_fu,
hsa:784,fu:50b8d5ca,gene_to_fu,
hsa:785,fu:50b8d5ca,gene_to_fu,
hsa:786,fu:50b8d5ca,gene_to_fu,
hsa:8911,fu:50b8d5ca,gene_to_fu,
hsa:8912,fu:50b8d5ca,gene_to_fu,
hsa:8913,fu:50b8d5ca,gene_to_fu,
hsa:9254,fu:50b8d5ca,gene_to_fu,
hsa:93589,fu:50b8d5ca,gene_to_fu,
hsa:3164,fu:2bd73b60,gene_to_fu,
hsa:5598,fu:7bae22aa,gene_to_fu,
hsa:5607,fu:7a9bcb8b,gene_to_fu,
hsa:51701,fu:d4eaeabe,gene_to_fu,
hsa:994,fu:6f5d1977,gene_to_fu,
hsa:8986,fu:12c0edde,gene_to_fu,
hsa:9252,fu:12c0edde,gene_to_fu,
hsa:7867,fu:e02d83fb,gene_to_fu,
hsa:9261,fu:e02d83fb,gene_to_fu,
hsa:468,fu:e4d57228,gene_to_fu,
hsa:4208,fu:a418f206,gene_to_fu,
hsa:4149,fu:710fa26e,gene_to_fu,
hsa:1649,fu:d3a7cd16,gene_to_fu,
hsa:2005,fu:6e8358a6,gene_to_fu,
hsa:7157,fu:2765f866,gene_to_fu,
hsa:2002,fu:2829f3fa,gene_to_fu,
hsa:1386,fu:b8daabb1,gene_to_fu,
hsa:1432,fu:0e6de9c1,gene_to_fu,
hsa:5600,fu:0e6de9c1,gene_to_fu,
hsa:5603,fu:0e6de9c1,gene_to_fu,
hsa:6300,fu:0e6de9c1,gene_to_fu,
hsa:5536,fu:bcd1b474,gene_to_fu,
hsa:5608,fu:9b79cc66,gene_to_fu,
hsa:5606,fu:8e7a48d2,gene_to_fu,
hsa:11221,fu:c7805fb1,gene_to_fu,
hsa:1844,fu:c7805fb1,gene_to_fu,
hsa:1846,fu:c7805fb1,gene_to_fu,
hsa:1847,fu:c7805fb1,gene_to_fu,
hsa:1849,fu:c7805fb1,gene_to_fu,
hsa:1850,fu:c7805fb1,gene_to_fu,
hsa:1852,fu:c7805fb1,gene_to_fu,
hsa:80824,fu:c7805fb1,gene_to_fu,
hsa:1845,fu:18dd62ea,gene_to_fu,
hsa:5778,fu:18dd62ea,gene_to_fu,
hsa:5801,fu:18dd62ea,gene_to_fu,
hsa:84867,fu:18dd62ea,gene_to_fu,
hsa:5494,fu:6a59bd52,gene_to_fu,
hsa:10000,fu:f16704ad,gene_to_fu,
hsa:207,fu:f16704ad,gene_to_fu,
hsa:208,fu:f16704ad,gene_to_fu,
hsa:51347,fu:1f4f74f7,gene_to_fu,
hsa:57551,fu:1f4f74f7,gene_to_fu,
hsa:9344,fu:1f4f74f7,gene_to_fu,
hsa:4216,fu:d786dc07,gene_to_fu,
hsa:3315,fu:994a391a,gene_to_fu,
hsa:6885,fu:97879d88,gene_to_fu,
hsa:4217,fu:4d24e602,gene_to_fu,
hsa:9064,fu:c15cfcb3,gene_to_fu,
hsa:51776,fu:6d639c82,gene_to_fu,
hsa:7786,fu:cde1c9cd,gene_to_fu,
