id,type,label,logic,pathway,full_label
hsa:5923,gene,RASGRF1,,path:hsa04010,"RASGRF1, CDC25, CDC25L, GNRP, GRF1, GRF55, H-GRF55, PP13187, ras-GRF1; ras-specific guanine nucleotide-releasing factor 1 isoform 1"
hsa:5924,gene,RASGRF2,,path:hsa04010,"RASGRF2, GRF2, RAS-GRF2; ras-specific guanine nucleotide-releasing factor 2"
fu:7462a4ff,functional_unit,fu:7462a4ff,OR,path:hsa04010,
hsa:11221,gene,DUSP10,,path:hsa04010,"DUSP10, MKP-5, MKP5; dual specificity protein phosphatase 10"
hsa:1843,gene,DUSP1,,path:hsa04010,"DUSP1, CL100, HVH1, MKP-1, MKP1, PTPN10; dual specificity protein phosphatase 1"
hsa:1844,gene,DUSP2,,path:hsa04010,"DUSP2, PAC-1, PAC1; dual specificity protein phosphatase 2"
hsa:1846,gene,DUSP4,,path:hsa04010,"DUSP4, HVH2, MKP-2, MKP2, TYP; dual specificity protein phosphatase 4 isoform 1"
hsa:1847,gene,DUSP5,,path:hsa04010,"DUSP5, DUSP, HVH3; dual specificity protein phosphatase 5"
hsa:1848,gene,DUSP6,,path:hsa04010,"DUSP6, HH19, MKP3, PYST1; dual specificity protein phosphatase 6 isoform a"
hsa:1849,gene,DUSP7,,path:hsa04010,"DUSP7, MKPX, PYST2; dual specificity protein phosphatase 7"
hsa:1850,gene,DUSP8,,path:hsa04010,"DUSP8, C11orf81, HB5, HVH-5, HVH8; dual specificity protein phosphatase 8"
hsa:1852,gene,DUSP9,,path:hsa04010,"DUSP9, MKP-4, MKP4; dual specificity protein phosphatase 9"
hsa:80824,gene,DUSP16,,path:hsa04010,"DUSP16, MKP-7, MKP7; dual specificity protein phosphatase 16"
fu:a5c81f05,functional_unit,fu:a5c81f05,OR,path:hsa04010,
hsa:1845,gene,DUSP3,,path:hsa04010,"DUSP3, VHR; dual specificity protein phosphatase 3"
hsa:5778,gene,PTPN7,,path:hsa04010,"PTPN7, BPTP-4, HEPTP, LC-PTP, LPTP, PTPNI; tyrosine-protein phosphatase non-receptor type 7 isoform 1"
hsa:5801,gene,PTPRR,,path:hsa04010,"PTPRR, EC-PTP, PCPTP1, PTP-SL, PTPBR7, PTPRQ; receptor-type tyrosine-protein phosphatase R isoform 1 precursor"
hsa:84867,gene,PTPN5,,path:hsa04010,"PTPN5, PTPSTEP, STEP, STEP61; tyrosine-protein phosphatase non-receptor type 5 isoform a"
fu:8e98fd2a,functional_unit,fu:8e98fd2a,OR,path:hsa04010,
hsa:5495,gene,PPM1B,,path:hsa04010,"PPM1B, PP2C-beta, PP2C-beta-X, PP2CB, PP2CBETA, PPC2BETAX; protein phosphatase 1B isoform 1"
fu:9f0d4dae,functional_unit,fu:9f0d4dae,SINGLE,path:hsa04010,
hsa:356,gene,FASLG,,path:hsa04010,"FASLG, ALPS1B, APT1LG1, APTL, CD178, CD95-L, CD95L, FASL, TNFSF6, TNLG1A; tumor necrosis factor ligand superfamily member 6 isoform 1"
