"subject","predicate","object"
"http://dbpedia.org/resource/Multiple_myeloma","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BRAF_(gene)"
"http://dbpedia.org/resource/Teva_Pharmaceuticals","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BRAF_(gene)"
"http://dbpedia.org/resource/C-Raf","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BRAF_(gene)"
"http://dbpedia.org/resource/Cardiofaciocutaneous_syndrome","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BRAF_(gene)"
"http://dbpedia.org/resource/Christopher_Marshall_(doctor)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BRAF_(gene)"
"http://dbpedia.org/resource/Epstein–Barr_virus–associated_lymphoproliferative_diseases","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BRAF_(gene)"
"http://dbpedia.org/resource/RET_inhibitor","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BRAF_(gene)"
"http://dbpedia.org/resource/BRAF","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BRAF_(gene)"
"http://dbpedia.org/resource/BRAF","http://dbpedia.org/ontology/wikiPageDisambiguates","http://dbpedia.org/resource/BRAF_(gene)"
"http://dbpedia.org/resource/Trametinib","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BRAF_(gene)"
"http://dbpedia.org/resource/Monomorphic_epitheliotropic_intestinal_T_cell_lymphoma","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BRAF_(gene)"
"http://dbpedia.org/resource/Eosinophilic_granuloma","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BRAF_(gene)"
"http://dbpedia.org/resource/Keratoacanthoma","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BRAF_(gene)"
"http://dbpedia.org/resource/Gastrointestinal_stromal_tumor","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BRAF_(gene)"
"http://dbpedia.org/resource/Monoclonal_B-cell_lymphocytosis","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/BRAF_(gene)"
