layer,source,target,edge_type,edge_subtype,mean_attention,head_1_attention,head_2_attention,head_3_attention,head_4_attention
1,TP53,FU_TP53,association,gene_to_fu,0.33832231163978577,0.33095142245292664,0.35883644223213196,0.3312261998653412,0.3322751522064209
1,MDM2,FU_MDM2,association,gene_to_fu,0.4993627667427063,0.4983328878879547,0.5068897604942322,0.49766597151756287,0.49456244707107544
1,CDKN1A,FU_CDKN1A,association,gene_to_fu,0.33739975094795227,0.329125314950943,0.357778400182724,0.3307296335697174,0.3319656550884247
1,BRCA1,FU_BRCA1,association,gene_to_fu,1.0,1.0,1.0,1.0,1.0
1,MYC,FU_MYC,association,gene_to_fu,0.335940957069397,0.33313116431236267,0.34708359837532043,0.33192309737205505,0.33162593841552734
1,PTEN,FU_PTEN,association,gene_to_fu,1.0,1.0,1.0,1.0,1.0
1,FU_TP53,FU_MDM2,interaction,protein_protein_interaction,0.5006372332572937,0.5016670823097229,0.4931102693080902,0.5023340582847595,0.5054375529289246
1,FU_MDM2,FU_TP53,interaction,protein_protein_interaction,0.3308388590812683,0.3345243036746979,0.3205817639827728,0.3343868851661682,0.33386242389678955
1,FU_TP53,FU_CDKN1A,regulation,gene_expression_regulation,0.33130010962486267,0.3354373276233673,0.3211108148097992,0.3346351683139801,0.33401715755462646
1,FU_TP53,FU_MYC,regulation,gene_expression_regulation,0.3320295214653015,0.33343440294265747,0.3264581859111786,0.3340384364128113,0.33418703079223633
1,FU_BRCA1,FU_TP53,interaction,protein_protein_interaction,0.3308388590812683,0.3345243036746979,0.3205817639827728,0.3343868851661682,0.33386242389678955
1,FU_PTEN,FU_MYC,regulation,gene_expression_regulation,0.3320295214653015,0.33343440294265747,0.3264581859111786,0.3340384364128113,0.33418703079223633
1,FU_MDM2,FU_CDKN1A,regulation,gene_expression_regulation,0.33130010962486267,0.3354373276233673,0.3211108148097992,0.3346351683139801,0.33401715755462646
1,miR-34a,TP53,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
1,miR-21,PTEN,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
1,miR-155,BRCA1,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
1,miR-21,CDKN1A,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
2,TP53,FU_TP53,association,gene_to_fu,0.3330942988395691,0.3323061168193817,0.33287525177001953,0.3340293765068054,0.3331664800643921
2,MDM2,FU_MDM2,association,gene_to_fu,0.4999384880065918,0.49957701563835144,0.5006716251373291,0.5013114809989929,0.4981937110424042
2,CDKN1A,FU_CDKN1A,association,gene_to_fu,0.33325719833374023,0.3328142464160919,0.333254337310791,0.3336372971534729,0.3333229720592499
2,BRCA1,FU_BRCA1,association,gene_to_fu,1.0,1.0,1.0,1.0,1.0
2,MYC,FU_MYC,association,gene_to_fu,0.33295291662216187,0.33201661705970764,0.33393725752830505,0.33432653546333313,0.331531286239624
2,PTEN,FU_PTEN,association,gene_to_fu,1.0,1.0,1.0,1.0,1.0
2,FU_TP53,FU_MDM2,interaction,protein_protein_interaction,0.5000615119934082,0.5004229545593262,0.4993283748626709,0.4986885190010071,0.5018062591552734
2,FU_MDM2,FU_TP53,interaction,protein_protein_interaction,0.33347561955451965,0.3325175642967224,0.33320602774620056,0.33356407284736633,0.3346148729324341
2,FU_TP53,FU_CDKN1A,regulation,gene_expression_regulation,0.3333095908164978,0.3341818153858185,0.3331812620162964,0.33324530720710754,0.3326300084590912
2,FU_TP53,FU_MYC,regulation,gene_expression_regulation,0.33355236053466797,0.33376845717430115,0.33304134011268616,0.3334644138813019,0.33393532037734985
2,FU_BRCA1,FU_TP53,interaction,protein_protein_interaction,0.33343005180358887,0.3351762890815735,0.3339186906814575,0.33240655064582825,0.3322186768054962
2,FU_PTEN,FU_MYC,regulation,gene_expression_regulation,0.33349472284317017,0.3342149257659912,0.33302146196365356,0.3322090804576874,0.3345334529876709
2,FU_MDM2,FU_CDKN1A,regulation,gene_expression_regulation,0.3334331512451172,0.3330039083957672,0.3335644006729126,0.33311739563941956,0.33404698967933655
2,miR-34a,TP53,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
2,miR-21,PTEN,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
2,miR-155,BRCA1,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
2,miR-21,CDKN1A,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
3,TP53,FU_TP53,association,gene_to_fu,0.3334255814552307,0.33361515402793884,0.3336816728115082,0.33345097303390503,0.332954466342926
3,MDM2,FU_MDM2,association,gene_to_fu,0.5003073215484619,0.5006371736526489,0.5004545450210571,0.5009589791297913,0.49917858839035034
3,CDKN1A,FU_CDKN1A,association,gene_to_fu,0.3335559368133545,0.3337639570236206,0.33356788754463196,0.3340148627758026,0.332876980304718
3,BRCA1,FU_BRCA1,association,gene_to_fu,1.0,1.0,1.0,1.0,1.0
3,MYC,FU_MYC,association,gene_to_fu,0.33363577723503113,0.3341054618358612,0.3341297209262848,0.33368784189224243,0.3326200246810913
3,PTEN,FU_PTEN,association,gene_to_fu,1.0,1.0,1.0,1.0,1.0
3,FU_TP53,FU_MDM2,interaction,protein_protein_interaction,0.4996926784515381,0.49936288595199585,0.49954545497894287,0.49904099106788635,0.5008214116096497
3,FU_MDM2,FU_TP53,interaction,protein_protein_interaction,0.3334044814109802,0.3331618905067444,0.3340607285499573,0.3331671357154846,0.33322805166244507
3,FU_TP53,FU_CDKN1A,regulation,gene_expression_regulation,0.33302366733551025,0.3329255282878876,0.33248528838157654,0.3327113687992096,0.3339725136756897
3,FU_TP53,FU_MYC,regulation,gene_expression_regulation,0.33301979303359985,0.33254340291023254,0.3330453038215637,0.33277568221092224,0.33371469378471375
3,FU_BRCA1,FU_TP53,interaction,protein_protein_interaction,0.33316996693611145,0.3332229256629944,0.33225759863853455,0.33338189125061035,0.3338174819946289
3,FU_PTEN,FU_MYC,regulation,gene_expression_regulation,0.333344429731369,0.33335116505622864,0.3328249454498291,0.33353641629219055,0.33366525173187256
3,FU_MDM2,FU_CDKN1A,regulation,gene_expression_regulation,0.33342039585113525,0.3333105146884918,0.3339468240737915,0.3332737386226654,0.3331505060195923
3,miR-34a,TP53,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
