source,target,type,subtype,final_layer_mean_attn,final_layer_max_attn
TP53,FU_TP53,association,gene_to_fu,0.3331284821033478,0.3334321081638336
MDM2,FU_MDM2,association,gene_to_fu,0.4999609589576721,0.5001580119132996
CDKN1A,FU_CDKN1A,association,gene_to_fu,0.33311039209365845,0.3335023522377014
BRCA1,FU_BRCA1,association,gene_to_fu,1.0,1.0
MYC,FU_MYC,association,gene_to_fu,0.33331596851348877,0.3334035575389862
PTEN,FU_PTEN,association,gene_to_fu,1.0,1.0
FU_TP53,FU_MDM2,interaction,protein_protein_interaction,0.5000390410423279,0.5003339052200317
FU_MDM2,FU_TP53,interaction,protein_protein_interaction,0.33374303579330444,0.33477070927619934
FU_TP53,FU_CDKN1A,regulation,gene_expression_regulation,0.3331622779369354,0.3333383798599243
FU_TP53,FU_MYC,regulation,gene_expression_regulation,0.33336809277534485,0.33363020420074463
FU_BRCA1,FU_TP53,interaction,protein_protein_interaction,0.3331284821033478,0.3334321081638336
FU_PTEN,FU_MYC,regulation,gene_expression_regulation,0.33331596851348877,0.3334035575389862
FU_MDM2,FU_CDKN1A,regulation,gene_expression_regulation,0.33372732996940613,0.33462193608283997
miR-34a,TP53,regulation,mir_regulates_mrna,1.0,1.0
miR-21,PTEN,regulation,mir_regulates_mrna,1.0,1.0
miR-155,BRCA1,regulation,mir_regulates_mrna,1.0,1.0
miR-21,CDKN1A,regulation,mir_regulates_mrna,1.0,1.0
