source,target,type,subtype
TP53,FU_TP53,association,gene_to_fu
MDM2,FU_MDM2,association,gene_to_fu
CDKN1A,FU_CDKN1A,association,gene_to_fu
BRCA1,FU_BRCA1,association,gene_to_fu
MYC,FU_MYC,association,gene_to_fu
PTEN,FU_PTEN,association,gene_to_fu
FU_TP53,FU_MDM2,interaction,protein_protein_interaction
FU_MDM2,FU_TP53,interaction,protein_protein_interaction
FU_TP53,FU_CDKN1A,regulation,gene_expression_regulation
FU_TP53,FU_MYC,regulation,gene_expression_regulation
FU_BRCA1,FU_TP53,interaction,protein_protein_interaction
FU_PTEN,FU_MYC,regulation,gene_expression_regulation
FU_MDM2,FU_CDKN1A,regulation,gene_expression_regulation
miR-34a,TP53,regulation,mir_regulates_mrna
miR-21,PTEN,regulation,mir_regulates_mrna
miR-155,BRCA1,regulation,mir_regulates_mrna
miR-21,CDKN1A,regulation,mir_regulates_mrna
