source,target,type,subtype,final_layer_mean_attn,final_layer_max_attn
TP53,FU_TP53,association,gene_to_fu,0.33337828516960144,0.3334609866142273
MDM2,FU_MDM2,association,gene_to_fu,0.4999186098575592,0.5000700950622559
CDKN1A,FU_CDKN1A,association,gene_to_fu,0.3332921862602234,0.33332982659339905
BRCA1,FU_BRCA1,association,gene_to_fu,1.0,1.0
MYC,FU_MYC,association,gene_to_fu,0.33325743675231934,0.3333941400051117
PTEN,FU_PTEN,association,gene_to_fu,1.0,1.0
FU_TP53,FU_MDM2,interaction,protein_protein_interaction,0.5000814199447632,0.5002492070198059
FU_MDM2,FU_TP53,interaction,protein_protein_interaction,0.33330878615379333,0.33333536982536316
FU_TP53,FU_CDKN1A,regulation,gene_expression_regulation,0.33335864543914795,0.33339378237724304
FU_TP53,FU_MYC,regulation,gene_expression_regulation,0.33336859941482544,0.33344948291778564
FU_BRCA1,FU_TP53,interaction,protein_protein_interaction,0.33331298828125,0.33333462476730347
FU_PTEN,FU_MYC,regulation,gene_expression_regulation,0.3333739638328552,0.3334496021270752
FU_MDM2,FU_CDKN1A,regulation,gene_expression_regulation,0.3333491384983063,0.3333572447299957
miR-34a,TP53,regulation,mir_regulates_mrna,1.0,1.0
miR-21,PTEN,regulation,mir_regulates_mrna,1.0,1.0
miR-155,BRCA1,regulation,mir_regulates_mrna,1.0,1.0
miR-21,CDKN1A,regulation,mir_regulates_mrna,1.0,1.0
