source,target,type,subtype,final_layer_mean_attn,final_layer_max_attn
RASGRF1,fu:ea3af571,gene_to_fu,,0.3330470025539398,0.33384016156196594
RASGRF2,fu:ea3af571,gene_to_fu,,0.33313459157943726,0.3356570899486542
DUSP10,fu:bd9bd64d,gene_to_fu,,0.09999749064445496,0.10007273405790329
DUSP1,fu:bd9bd64d,gene_to_fu,,0.09999749064445496,0.10007273405790329
DUSP2,fu:bd9bd64d,gene_to_fu,,0.09999749064445496,0.10007273405790329
DUSP4,fu:bd9bd64d,gene_to_fu,,0.09999749064445496,0.10007273405790329
DUSP5,fu:bd9bd64d,gene_to_fu,,0.09999749064445496,0.10007273405790329
DUSP6,fu:bd9bd64d,gene_to_fu,,0.09999749064445496,0.10007273405790329
DUSP7,fu:bd9bd64d,gene_to_fu,,0.09999749064445496,0.10007273405790329
DUSP8,fu:bd9bd64d,gene_to_fu,,0.09999749064445496,0.10007273405790329
DUSP9,fu:bd9bd64d,gene_to_fu,,0.09999749064445496,0.10007273405790329
DUSP16,fu:bd9bd64d,gene_to_fu,,0.10002262890338898,0.10048957169055939
DUSP3,fu:645ada17,gene_to_fu,,0.24995559453964233,0.25137025117874146
PTPN7,fu:645ada17,gene_to_fu,,0.2500148117542267,0.25033876299858093
PTPRR,fu:645ada17,gene_to_fu,,0.2500148117542267,0.25033876299858093
PTPN5,fu:645ada17,gene_to_fu,,0.2500148117542267,0.25033876299858093
PPM1B,fu:3c67a02d,gene_to_fu,,1.0,1.0
FASLG,fu:d4ebbf2b,gene_to_fu,,1.0,1.0
MAP4K4,fu:f0d46f11,gene_to_fu,,1.0,1.0
PLA2G4B,fu:0c2b138c,gene_to_fu,,0.12502308189868927,0.12544497847557068
PLA2G4E,fu:0c2b138c,gene_to_fu,,0.12499251216650009,0.12539175152778625
PLA2G4F,fu:0c2b138c,gene_to_fu,,0.12499251216650009,0.12539175152778625
PLA2G4D,fu:0c2b138c,gene_to_fu,,0.12499251216650009,0.12539175152778625
PLA2G4A,fu:0c2b138c,gene_to_fu,,0.12502308189868927,0.12544497847557068
PLA2G4C,fu:0c2b138c,gene_to_fu,,0.12502308189868927,0.12544497847557068
JMJD7-PLA2G4B,fu:0c2b138c,gene_to_fu,,0.12502308189868927,0.12544497847557068
STMN1,fu:e661480b,gene_to_fu,,0.49986445903778076,0.5003392696380615
MAPT,fu:7e702847,gene_to_fu,,0.49978911876678467,0.5003392696380615
NFKB1,fu:3c93b301,gene_to_fu,,0.16671329736709595,0.16684220731258392
NFKB2,fu:3c93b301,gene_to_fu,,0.16675524413585663,0.1676226556301117
RELA,fu:3c93b301,gene_to_fu,,0.16671329736709595,0.16684220731258392
RELB,fu:3c93b301,gene_to_fu,,0.16675524413585663,0.1676226556301117
CHUK,fu:523a744b,gene_to_fu,,0.14282067120075226,0.14372318983078003
IKBKB,fu:523a744b,gene_to_fu,,0.14278379082679749,0.14294520020484924
IKBKG,fu:523a744b,gene_to_fu,,0.14278379082679749,0.14294520020484924
MAP3K14,fu:b9ec221f,gene_to_fu,,0.3332363963127136,0.33517923951148987
MAPK1,fu:7c6d4d4a,gene_to_fu,,0.1665082573890686,0.16690002381801605
MAPK3,fu:7c6d4d4a,gene_to_fu,,0.1665082573890686,0.16690002381801605
LAMTOR3,fu:93eeec94,gene_to_fu,,0.49986445903778076,0.5003392696380615
MAP2K2,fu:4781eb07,gene_to_fu,,0.14265136420726776,0.14349745213985443
MAP2K1,fu:ee804b17,gene_to_fu,,0.14268144965171814,0.1430465579032898
RAF1,fu:5324c493,gene_to_fu,,0.3329004645347595,0.3344078063964844
BRAF,fu:7cec7b64,gene_to_fu,,0.3332750201225281,0.33409351110458374
RASA1,fu:30ad397b,gene_to_fu,,1.0,1.0
NF1,fu:3968d652,gene_to_fu,,1.0,1.0
PRKCA,fu:6fc31f40,gene_to_fu,,0.3333059549331665,0.33414286375045776
PRKCB,fu:6fc31f40,gene_to_fu,,0.3333059549331665,0.33414286375045776
PRKCG,fu:6fc31f40,gene_to_fu,,0.3333880305290222,0.33454060554504395
RAP1A,fu:5264ac6f,gene_to_fu,,0.3332273066043854,0.3338013291358948
RAP1B,fu:5264ac6f,gene_to_fu,,0.3332273066043854,0.3338013291358948
PRKACA,fu:0ddd2c17,gene_to_fu,,0.3333059549331665,0.33414286375045776
PRKACB,fu:0ddd2c17,gene_to_fu,,0.3333059549331665,0.33414286375045776
PRKACG,fu:0ddd2c17,gene_to_fu,,0.3333880305290222,0.33454060554504395
RAPGEF2,fu:cbc27d79,gene_to_fu,,1.0,1.0
RASA2,fu:7d8d1672,gene_to_fu,,0.49967578053474426,0.5028551816940308
RRAS2,fu:cb603216,gene_to_fu,,0.07128868997097015,0.07152996212244034
MRAS,fu:cb603216,gene_to_fu,,0.07128868997097015,0.07152996212244034
