node_index,id,type,logic,embedding_l2_norm
0,RASGRF1,gene,,0.0
1,RASGRF2,gene,,0.0
2,fu:ea3af571,functional_unit,OR,0.009568196721374989
3,DUSP10,gene,,0.0
4,DUSP1,gene,,0.0
5,DUSP2,gene,,0.0
6,DUSP4,gene,,0.0
7,DUSP5,gene,,0.0
8,DUSP6,gene,,0.0
9,DUSP7,gene,,0.0
10,DUSP8,gene,,0.0
11,DUSP9,gene,,0.0
12,DUSP16,gene,,0.0
13,fu:bd9bd64d,functional_unit,OR,0.012948200106620789
14,DUSP3,gene,,0.0
15,PTPN7,gene,,0.0
16,PTPRR,gene,,0.0
17,PTPN5,gene,,0.0
18,fu:645ada17,functional_unit,OR,0.003599202958866954
19,PPM1B,gene,,0.0
20,fu:3c67a02d,functional_unit,SINGLE,0.014385388232767582
21,FASLG,gene,,0.0
22,fu:d4ebbf2b,functional_unit,SINGLE,0.014385388232767582
23,MAP4K4,gene,,0.0
24,fu:f0d46f11,functional_unit,SINGLE,0.0
25,PLA2G4B,gene,,0.0
26,PLA2G4E,gene,,0.0
27,PLA2G4F,gene,,0.0
28,PLA2G4D,gene,,0.0
29,PLA2G4A,gene,,0.0
30,PLA2G4C,gene,,0.0
31,JMJD7-PLA2G4B,gene,,0.0
32,fu:0c2b138c,functional_unit,OR,0.007201712112873793
33,STMN1,gene,,0.0
34,fu:e661480b,functional_unit,SINGLE,0.014406654052436352
35,MAPT,gene,,0.0
36,fu:7e702847,functional_unit,SINGLE,0.014406654052436352
37,NFKB1,gene,,0.0
38,NFKB2,gene,,0.0
39,RELA,gene,,0.0
40,RELB,gene,,0.0
41,fu:3c93b301,functional_unit,OR,0.009629327803850174
42,CHUK,gene,,0.0
43,IKBKB,gene,,0.0
44,IKBKG,gene,,0.0
45,fu:523a744b,functional_unit,OR,0.012335185892879963
46,MAP3K14,gene,,0.0
47,fu:b9ec221f,functional_unit,SINGLE,0.00954131968319416
48,MAPK1,gene,,0.0
