source,target,type,subtype,final_layer_mean_attn,final_layer_max_attn
RASGRF1,fu:ea3af571,gene_to_fu,,0.3334219455718994,0.33361124992370605
RASGRF2,fu:ea3af571,gene_to_fu,,0.3334219455718994,0.33361124992370605
DUSP10,fu:bd9bd64d,gene_to_fu,,0.10000000149011612,0.10000000149011612
DUSP1,fu:bd9bd64d,gene_to_fu,,0.10000000149011612,0.10000000149011612
DUSP2,fu:bd9bd64d,gene_to_fu,,0.10000000149011612,0.10000000149011612
DUSP4,fu:bd9bd64d,gene_to_fu,,0.10000000149011612,0.10000000149011612
DUSP5,fu:bd9bd64d,gene_to_fu,,0.10000000149011612,0.10000000149011612
DUSP6,fu:bd9bd64d,gene_to_fu,,0.10000000149011612,0.10000000149011612
DUSP7,fu:bd9bd64d,gene_to_fu,,0.10000000149011612,0.10000000149011612
DUSP8,fu:bd9bd64d,gene_to_fu,,0.10000000149011612,0.10000000149011612
DUSP9,fu:bd9bd64d,gene_to_fu,,0.10000000149011612,0.10000000149011612
DUSP16,fu:bd9bd64d,gene_to_fu,,0.10000000149011612,0.10000000149011612
DUSP3,fu:645ada17,gene_to_fu,,0.25,0.25
PTPN7,fu:645ada17,gene_to_fu,,0.25,0.25
PTPRR,fu:645ada17,gene_to_fu,,0.25,0.25
PTPN5,fu:645ada17,gene_to_fu,,0.25,0.25
PPM1B,fu:3c67a02d,gene_to_fu,,1.0,1.0
FASLG,fu:d4ebbf2b,gene_to_fu,,1.0,1.0
MAP4K4,fu:f0d46f11,gene_to_fu,,1.0,1.0
PLA2G4B,fu:0c2b138c,gene_to_fu,,0.12499840557575226,0.12503266334533691
PLA2G4E,fu:0c2b138c,gene_to_fu,,0.12499840557575226,0.12503266334533691
PLA2G4F,fu:0c2b138c,gene_to_fu,,0.12499840557575226,0.12503266334533691
PLA2G4D,fu:0c2b138c,gene_to_fu,,0.12499840557575226,0.12503266334533691
PLA2G4A,fu:0c2b138c,gene_to_fu,,0.12499840557575226,0.12503266334533691
PLA2G4C,fu:0c2b138c,gene_to_fu,,0.12499840557575226,0.12503266334533691
JMJD7-PLA2G4B,fu:0c2b138c,gene_to_fu,,0.12499840557575226,0.12503266334533691
STMN1,fu:e661480b,gene_to_fu,,0.5001041293144226,0.5007042288780212
MAPT,fu:7e702847,gene_to_fu,,0.5001040697097778,0.5007040500640869
NFKB1,fu:3c93b301,gene_to_fu,,0.16671472787857056,0.16679933667182922
NFKB2,fu:3c93b301,gene_to_fu,,0.16671472787857056,0.16679933667182922
RELA,fu:3c93b301,gene_to_fu,,0.16671472787857056,0.16679933667182922
RELB,fu:3c93b301,gene_to_fu,,0.16671472787857056,0.16679933667182922
CHUK,fu:523a744b,gene_to_fu,,0.14291594922542572,0.14304743707180023
IKBKB,fu:523a744b,gene_to_fu,,0.14291594922542572,0.14304743707180023
IKBKG,fu:523a744b,gene_to_fu,,0.14291594922542572,0.14304743707180023
MAP3K14,fu:b9ec221f,gene_to_fu,,0.33370038866996765,0.33418869972229004
MAPK1,fu:7c6d4d4a,gene_to_fu,,0.16681791841983795,0.16700021922588348
MAPK3,fu:7c6d4d4a,gene_to_fu,,0.16681791841983795,0.16700021922588348
LAMTOR3,fu:93eeec94,gene_to_fu,,0.5001041293144226,0.5007042288780212
MAP2K2,fu:4781eb07,gene_to_fu,,0.14307187497615814,0.1433231234550476
MAP2K1,fu:ee804b17,gene_to_fu,,0.14307519793510437,0.14331574738025665
RAF1,fu:5324c493,gene_to_fu,,0.33376502990722656,0.33429625630378723
BRAF,fu:7cec7b64,gene_to_fu,,0.33354753255844116,0.33437594771385193
RASA1,fu:30ad397b,gene_to_fu,,1.0,1.0
NF1,fu:3968d652,gene_to_fu,,1.0,1.0
PRKCA,fu:6fc31f40,gene_to_fu,,0.3333333432674408,0.3333333432674408
PRKCB,fu:6fc31f40,gene_to_fu,,0.3333333432674408,0.3333333432674408
PRKCG,fu:6fc31f40,gene_to_fu,,0.3333333432674408,0.3333333432674408
RAP1A,fu:5264ac6f,gene_to_fu,,0.33343565464019775,0.3336547017097473
RAP1B,fu:5264ac6f,gene_to_fu,,0.33343565464019775,0.3336547017097473
PRKACA,fu:0ddd2c17,gene_to_fu,,0.3333333432674408,0.3333333432674408
PRKACB,fu:0ddd2c17,gene_to_fu,,0.3333333432674408,0.3333333432674408
PRKACG,fu:0ddd2c17,gene_to_fu,,0.3333333432674408,0.3333333432674408
RAPGEF2,fu:cbc27d79,gene_to_fu,,1.0,1.0
RASA2,fu:7d8d1672,gene_to_fu,,0.5003144145011902,0.5010882019996643
RRAS2,fu:cb603216,gene_to_fu,,0.07149107754230499,0.0715615525841713
MRAS,fu:cb603216,gene_to_fu,,0.07149107754230499,0.0715615525841713
HRAS,fu:cb603216,gene_to_fu,,0.07149107754230499,0.0715615525841713
KRAS,fu:cb603216,gene_to_fu,,0.07149107754230499,0.0715615525841713
NRAS,fu:cb603216,gene_to_fu,,0.07149107754230499,0.0715615525841713
RRAS,fu:cb603216,gene_to_fu,,0.07149107754230499,0.0715615525841713
RASGRP1,fu:a6602c7f,gene_to_fu,,0.20003187656402588,0.20010001957416534
RASGRP2,fu:a6602c7f,gene_to_fu,,0.20003187656402588,0.20010001957416534
RASGRP4,fu:a6602c7f,gene_to_fu,,0.20003187656402588,0.20010001957416534
RASGRP3,fu:a6602c7f,gene_to_fu,,0.20003187656402588,0.20010001957416534
SOS1,fu:9bd0df30,gene_to_fu,,0.5,0.5
