source,target,type,subtype
MIMAT0000430,NFKB1,mir_to_gene,
MIMAT0002809,TRAF6,mir_to_gene,
MIMAT0000461,FGF2,mir_to_gene,
MIMAT0000461,TAOK1,mir_to_gene,
MIMAT0000461,VEGFA,mir_to_gene,
MIMAT0000461,MAP4K2,mir_to_gene,
MIMAT0000232,FGF2,mir_to_gene,
MIMAT0000232,MET,mir_to_gene,
MIMAT0000232,MAPK9,mir_to_gene,
MIMAT0000232,HGF,mir_to_gene,
MIMAT0004563,FGF2,mir_to_gene,
MIMAT0004563,MET,mir_to_gene,
MIMAT0000263,KIT,mir_to_gene,
MIMAT0000265,NTRK2,mir_to_gene,
MIMAT0000265,BDNF,mir_to_gene,
MIMAT0000265,TGFBR1,mir_to_gene,
MIMAT0000265,CACNG8,mir_to_gene,
MIMAT0000265,CDC42,mir_to_gene,
MIMAT0000265,PPP3R1,mir_to_gene,
MIMAT0001413,MAP3K2,mir_to_gene,
MIMAT0001413,IRAK4,mir_to_gene,
MIMAT0001413,DUSP2,mir_to_gene,
MIMAT0001413,MAPK9,mir_to_gene,
MIMAT0001413,RPS6KA5,mir_to_gene,
MIMAT0000076,ATF2,mir_to_gene,
MIMAT0000271,FGFR1,mir_to_gene,
MIMAT0000271,MAPK8,mir_to_gene,
MIMAT0000271,MEF2C,mir_to_gene,
MIMAT0000271,RASA1,mir_to_gene,
MIMAT0000271,NRAS,mir_to_gene,
MIMAT0000271,MAPK14,mir_to_gene,
MIMAT0000278,ERBB4,mir_to_gene,
MIMAT0000278,MAPK10,mir_to_gene,
MIMAT0000278,AKT3,mir_to_gene,
MIMAT0000278,MAP3K2,mir_to_gene,
MIMAT0000278,KIT,mir_to_gene,
MIMAT0000278,STMN1,mir_to_gene,
MIMAT0000279,AKT3,mir_to_gene,
MIMAT0004501,EGFR,mir_to_gene,
MIMAT0000089,RASA1,mir_to_gene,
MIMAT0000255,AKT1,mir_to_gene,
MIMAT0000255,VEGFA,mir_to_gene,
MIMAT0000255,PDGFRA,mir_to_gene,
MIMAT0000255,RRAS,mir_to_gene,
MIMAT0000255,TNF,mir_to_gene,
MIMAT0000255,TGFBR2,mir_to_gene,
MIMAT0003322,STK4,mir_to_gene,
MIMAT0003322,MRAS,mir_to_gene,
MIMAT0000252,EGFR,mir_to_gene,
MIMAT0000252,PAK1,mir_to_gene,
MIMAT0000252,GNA12,mir_to_gene,
MIMAT0000252,CACNG5,mir_to_gene,
MIMAT0000441,TAOK1,mir_to_gene,
RASGRF1,fu:94ced6e1,gene_to_fu,
RASGRF2,fu:94ced6e1,gene_to_fu,
DUSP10,fu:426ff04d,gene_to_fu,
DUSP1,fu:426ff04d,gene_to_fu,
DUSP2,fu:426ff04d,gene_to_fu,
DUSP4,fu:426ff04d,gene_to_fu,
DUSP5,fu:426ff04d,gene_to_fu,
DUSP6,fu:426ff04d,gene_to_fu,
DUSP7,fu:426ff04d,gene_to_fu,
DUSP8,fu:426ff04d,gene_to_fu,
DUSP9,fu:426ff04d,gene_to_fu,
DUSP16,fu:426ff04d,gene_to_fu,
DUSP3,fu:eb0913c8,gene_to_fu,
PTPN7,fu:eb0913c8,gene_to_fu,
PTPRR,fu:eb0913c8,gene_to_fu,
PTPN5,fu:eb0913c8,gene_to_fu,
PPM1B,fu:8f4928df,gene_to_fu,
FASLG,fu:e31b7340,gene_to_fu,
MAP4K4,fu:2800db3e,gene_to_fu,
PLA2G4B,fu:ad28b956,gene_to_fu,
PLA2G4E,fu:ad28b956,gene_to_fu,
PLA2G4F,fu:ad28b956,gene_to_fu,
PLA2G4D,fu:ad28b956,gene_to_fu,
PLA2G4A,fu:ad28b956,gene_to_fu,
PLA2G4C,fu:ad28b956,gene_to_fu,
JMJD7-PLA2G4B,fu:ad28b956,gene_to_fu,
STMN1,fu:d344b8ad,gene_to_fu,
MAPT,fu:3ee88785,gene_to_fu,
NFKB1,fu:6a14651d,gene_to_fu,
NFKB2,fu:6a14651d,gene_to_fu,
RELA,fu:6a14651d,gene_to_fu,
RELB,fu:6a14651d,gene_to_fu,
CHUK,fu:42758e63,gene_to_fu,
IKBKB,fu:42758e63,gene_to_fu,
IKBKG,fu:42758e63,gene_to_fu,
MAP3K14,fu:cd063ff0,gene_to_fu,
MAPK1,fu:7322350d,gene_to_fu,
MAPK3,fu:7322350d,gene_to_fu,
LAMTOR3,fu:cd963cb8,gene_to_fu,
MAP2K2,fu:edebe3a1,gene_to_fu,
MAP2K1,fu:6d8ebe0b,gene_to_fu,
RAF1,fu:3e4de2c7,gene_to_fu,
BRAF,fu:b344d97f,gene_to_fu,
RASA1,fu:4362baed,gene_to_fu,
NF1,fu:7f8d78d3,gene_to_fu,
PRKCA,fu:91b0acc6,gene_to_fu,
PRKCB,fu:91b0acc6,gene_to_fu,
PRKCG,fu:91b0acc6,gene_to_fu,
RAP1A,fu:8a875718,gene_to_fu,
RAP1B,fu:8a875718,gene_to_fu,
PRKACA,fu:67180032,gene_to_fu,
PRKACB,fu:67180032,gene_to_fu,
PRKACG,fu:67180032,gene_to_fu,
RAPGEF2,fu:292747d5,gene_to_fu,
RASA2,fu:a74f111b,gene_to_fu,
RRAS2,fu:de327064,gene_to_fu,
MRAS,fu:de327064,gene_to_fu,
HRAS,fu:de327064,gene_to_fu,
KRAS,fu:de327064,gene_to_fu,
NRAS,fu:de327064,gene_to_fu,
RRAS,fu:de327064,gene_to_fu,
RASGRP1,fu:3306f113,gene_to_fu,
RASGRP2,fu:3306f113,gene_to_fu,
RASGRP4,fu:3306f113,gene_to_fu,
RASGRP3,fu:3306f113,gene_to_fu,
SOS1,fu:1296c511,gene_to_fu,
SOS2,fu:1296c511,gene_to_fu,
GNA12,fu:618f9b57,gene_to_fu,
GNG12,fu:618f9b57,gene_to_fu,
GRB2,fu:25ce285e,gene_to_fu,
CSF1R,fu:a5ece49b,gene_to_fu,
EGFR,fu:a5ece49b,gene_to_fu,
EPHA2,fu:a5ece49b,gene_to_fu,
ERBB2,fu:a5ece49b,gene_to_fu,
ERBB3,fu:a5ece49b,gene_to_fu,
ERBB4,fu:a5ece49b,gene_to_fu,
FGFR1,fu:a5ece49b,gene_to_fu,
FGFR3,fu:a5ece49b,gene_to_fu,
FGFR2,fu:a5ece49b,gene_to_fu,
FGFR4,fu:a5ece49b,gene_to_fu,
FLT1,fu:a5ece49b,gene_to_fu,
FLT3,fu:a5ece49b,gene_to_fu,
FLT4,fu:a5ece49b,gene_to_fu,
IGF1R,fu:a5ece49b,gene_to_fu,
INSR,fu:a5ece49b,gene_to_fu,
KDR,fu:a5ece49b,gene_to_fu,
KIT,fu:a5ece49b,gene_to_fu,
MET,fu:a5ece49b,gene_to_fu,
NGFR,fu:a5ece49b,gene_to_fu,
NTRK1,fu:a5ece49b,gene_to_fu,
NTRK2,fu:a5ece49b,gene_to_fu,
PDGFRA,fu:a5ece49b,gene_to_fu,
PDGFRB,fu:a5ece49b,gene_to_fu,
RET,fu:a5ece49b,gene_to_fu,
TEK,fu:a5ece49b,gene_to_fu,
CACNG3,fu:5010a05c,gene_to_fu,
CACNG2,fu:5010a05c,gene_to_fu,
CACNG5,fu:5010a05c,gene_to_fu,
CACNG4,fu:5010a05c,gene_to_fu,
CACNA2D3,fu:5010a05c,gene_to_fu,
CACNG8,fu:5010a05c,gene_to_fu,
CACNG7,fu:5010a05c,gene_to_fu,
CACNG6,fu:5010a05c,gene_to_fu,
CACNA1A,fu:5010a05c,gene_to_fu,
CACNA1B,fu:5010a05c,gene_to_fu,
CACNA1C,fu:5010a05c,gene_to_fu,
CACNA1D,fu:5010a05c,gene_to_fu,
CACNA1E,fu:5010a05c,gene_to_fu,
CACNA1F,fu:5010a05c,gene_to_fu,
CACNA1S,fu:5010a05c,gene_to_fu,
CACNA2D1,fu:5010a05c,gene_to_fu,
CACNB1,fu:5010a05c,gene_to_fu,
CACNB2,fu:5010a05c,gene_to_fu,
CACNB3,fu:5010a05c,gene_to_fu,
CACNB4,fu:5010a05c,gene_to_fu,
CACNG1,fu:5010a05c,gene_to_fu,
CACNA1I,fu:5010a05c,gene_to_fu,
CACNA1H,fu:5010a05c,gene_to_fu,
CACNA1G,fu:5010a05c,gene_to_fu,
CACNA2D2,fu:5010a05c,gene_to_fu,
CACNA2D4,fu:5010a05c,gene_to_fu,
NR4A1,fu:cf682b35,gene_to_fu,
MAPK7,fu:28d0b5d1,gene_to_fu,
MAP2K5,fu:e95555b8,gene_to_fu,
NLK,fu:cf3a93c5,gene_to_fu,
CDC25B,fu:d7926132,gene_to_fu,
RPS6KA4,fu:5ae2c9f2,gene_to_fu,
RPS6KA5,fu:5ae2c9f2,gene_to_fu,
MAPKAPK3,fu:665381ed,gene_to_fu,
MAPKAPK2,fu:665381ed,gene_to_fu,
ATF4,fu:3d349895,gene_to_fu,
MEF2C,fu:ab399c96,gene_to_fu,
MAX,fu:11606ae6,gene_to_fu,
DDIT3,fu:531a5e06,gene_to_fu,
ELK4,fu:fa58328a,gene_to_fu,
TP53,fu:19f5b351,gene_to_fu,
ELK1,fu:ee039625,gene_to_fu,
ATF2,fu:256c4bca,gene_to_fu,
MAPK14,fu:295bf12c,gene_to_fu,
MAPK11,fu:295bf12c,gene_to_fu,
MAPK13,fu:295bf12c,gene_to_fu,
MAPK12,fu:295bf12c,gene_to_fu,
PPP5C,fu:944102db,gene_to_fu,
MAP2K6,fu:ebeb97f3,gene_to_fu,
MAP2K3,fu:8a4c69b0,gene_to_fu,
DUSP10,fu:282f2b98,gene_to_fu,
DUSP2,fu:282f2b98,gene_to_fu,
DUSP4,fu:282f2b98,gene_to_fu,
DUSP5,fu:282f2b98,gene_to_fu,
DUSP7,fu:282f2b98,gene_to_fu,
DUSP8,fu:282f2b98,gene_to_fu,
DUSP9,fu:282f2b98,gene_to_fu,
DUSP16,fu:282f2b98,gene_to_fu,
DUSP3,fu:0eea7c8b,gene_to_fu,
PTPN7,fu:0eea7c8b,gene_to_fu,
PTPRR,fu:0eea7c8b,gene_to_fu,
PTPN5,fu:0eea7c8b,gene_to_fu,
PPM1A,fu:67e73720,gene_to_fu,
AKT3,fu:7fdcbeec,gene_to_fu,
AKT1,fu:7fdcbeec,gene_to_fu,
AKT2,fu:7fdcbeec,gene_to_fu,
TAOK3,fu:de878e1b,gene_to_fu,
TAOK1,fu:de878e1b,gene_to_fu,
TAOK2,fu:de878e1b,gene_to_fu,
MAP3K4,fu:d2a67a69,gene_to_fu,
HSPB1,fu:52a04670,gene_to_fu,
MAP3K7,fu:ae916742,gene_to_fu,
MAP3K5,fu:d9ef3265,gene_to_fu,
MAP3K6,fu:4b9b7996,gene_to_fu,
MAP3K20,fu:36a80391,gene_to_fu,
MAP3K12,fu:ddbbf138,gene_to_fu,
MAP3K13,fu:ddbbf138,gene_to_fu,
MAP3K9,fu:fb8bcd03,gene_to_fu,
MAP3K10,fu:fb8bcd03,gene_to_fu,
MAP3K21,fu:fb8bcd03,gene_to_fu,
MAP4K2,fu:18665bcd,gene_to_fu,
STK3,fu:3e5ba6c9,gene_to_fu,
STK4,fu:3e5ba6c9,gene_to_fu,
ECSIT,fu:c78f0cde,gene_to_fu,
TAB2,fu:04aa3206,gene_to_fu,
TAB1,fu:57402cbc,gene_to_fu,
GADD45G,fu:e2184ef8,gene_to_fu,
GADD45A,fu:e2184ef8,gene_to_fu,
GADD45B,fu:e2184ef8,gene_to_fu,
TRAF6,fu:23393f96,gene_to_fu,
DAXX,fu:83ff1a97,gene_to_fu,
TRAF2,fu:c888309f,gene_to_fu,
CASP3,fu:639267b9,gene_to_fu,
CD14,fu:1984f1f8,gene_to_fu,
TGFBR1,fu:b909e99b,gene_to_fu,
TGFBR2,fu:b909e99b,gene_to_fu,
FAS,fu:249a5b6e,gene_to_fu,
IL1R1,fu:c561a985,gene_to_fu,
IL1RAP,fu:c561a985,gene_to_fu,
TNFRSF1A,fu:994f289b,gene_to_fu,
TGFB1,fu:e57e5d99,gene_to_fu,
TGFB2,fu:e57e5d99,gene_to_fu,
TGFB3,fu:e57e5d99,gene_to_fu,
IL1A,fu:637bcc89,gene_to_fu,
IL1B,fu:637bcc89,gene_to_fu,
