layer,source,target,edge_type,edge_subtype,mean_attention,head_1_attention,head_2_attention,head_3_attention,head_4_attention
1,MIMAT0000430,NFKB1,mir_to_gene,,0.4979097247123718,0.5091747641563416,0.48393714427948,0.49721863865852356,0.5013083815574646
1,MIMAT0002809,TRAF6,mir_to_gene,,0.4971708059310913,0.5048892498016357,0.4850323796272278,0.4977931082248688,0.5009683966636658
1,MIMAT0000461,FGF2,mir_to_gene,,0.24935632944107056,0.24929963052272797,0.2464752197265625,0.25089502334594727,0.2507554590702057
1,MIMAT0000461,TAOK1,mir_to_gene,,0.3323834538459778,0.33646807074546814,0.3267052471637726,0.3326558470726013,0.3337046504020691
1,MIMAT0000461,VEGFA,mir_to_gene,,0.3312284052371979,0.3347480595111847,0.32281869649887085,0.334258109331131,0.33308878540992737
1,MIMAT0000461,MAP4K2,mir_to_gene,,0.49557197093963623,0.5036799907684326,0.4807826578617096,0.4969283938407898,0.5008969306945801
1,MIMAT0000232,FGF2,mir_to_gene,,0.24930861592292786,0.24928171932697296,0.2463284432888031,0.25081607699394226,0.2508082091808319
1,MIMAT0000232,MET,mir_to_gene,,0.3320993483066559,0.3363894820213318,0.32557353377342224,0.332632839679718,0.3338015675544739
1,MIMAT0000232,MAPK9,mir_to_gene,,0.331650048494339,0.335450679063797,0.3242223858833313,0.33328431844711304,0.3336428105831146
1,MIMAT0000232,HGF,mir_to_gene,,0.4969032406806946,0.5053018927574158,0.48553329706192017,0.4961962401866913,0.5005815029144287
1,MIMAT0004563,FGF2,mir_to_gene,,0.24930861592292786,0.24928171932697296,0.2463284432888031,0.25081607699394226,0.2508082091808319
1,MIMAT0004563,MET,mir_to_gene,,0.3320993483066559,0.3363894820213318,0.32557353377342224,0.332632839679718,0.3338015675544739
1,MIMAT0000263,KIT,mir_to_gene,,0.3316483497619629,0.3360872268676758,0.32470834255218506,0.3321428894996643,0.3336549699306488
1,MIMAT0000265,NTRK2,mir_to_gene,,0.49667710065841675,0.5075085759162903,0.4813712537288666,0.4971454441547394,0.5006831288337708
1,MIMAT0000265,BDNF,mir_to_gene,,0.4957060217857361,0.502485990524292,0.47704803943634033,0.5013298988342285,0.5019602179527283
1,MIMAT0000265,TGFBR1,mir_to_gene,,0.4950827360153198,0.5065510272979736,0.4760739505290985,0.4971064031124115,0.5005995631217957
1,MIMAT0000265,CACNG8,mir_to_gene,,0.4925653338432312,0.5035491585731506,0.47093895077705383,0.4955786168575287,0.5001946091651917
1,MIMAT0000265,CDC42,mir_to_gene,,0.49634072184562683,0.502370297908783,0.47636768221855164,0.5040095448493958,0.5026153326034546
1,MIMAT0000265,PPP3R1,mir_to_gene,,0.498319149017334,0.5024265050888062,0.4862182140350342,0.5024082064628601,0.5022236704826355
1,MIMAT0001413,MAP3K2,mir_to_gene,,0.33233457803726196,0.33651408553123474,0.3263081908226013,0.33299776911735535,0.33351826667785645
1,MIMAT0001413,IRAK4,mir_to_gene,,0.4985233247280121,0.5102002024650574,0.48168593645095825,0.5009106397628784,0.5012965202331543
1,MIMAT0001413,DUSP2,mir_to_gene,,0.4938157796859741,0.5017365217208862,0.471242755651474,0.5021015405654907,0.5001822113990784
1,MIMAT0001413,MAPK9,mir_to_gene,,0.3325549364089966,0.3377648890018463,0.3241415321826935,0.33477386832237244,0.33353954553604126
1,MIMAT0001413,RPS6KA5,mir_to_gene,,0.49799680709838867,0.5089148879051208,0.4829680025577545,0.4986012578010559,0.5015029907226562
1,MIMAT0000076,ATF2,mir_to_gene,,0.4977458119392395,0.507543683052063,0.48040714859962463,0.5022431015968323,0.50078946352005
1,MIMAT0000271,FGFR1,mir_to_gene,,0.4961448013782501,0.5064384937286377,0.479068398475647,0.498428612947464,0.5006437301635742
1,MIMAT0000271,MAPK8,mir_to_gene,,0.4970616400241852,0.5064647793769836,0.4798000156879425,0.5013487935066223,0.5006328821182251
1,MIMAT0000271,MEF2C,mir_to_gene,,0.497023344039917,0.5048255324363708,0.48341891169548035,0.4988868236541748,0.5009621381759644
1,MIMAT0000271,RASA1,mir_to_gene,,0.33118435740470886,0.33537501096725464,0.3244321346282959,0.3313615918159485,0.3335686922073364
1,MIMAT0000271,NRAS,mir_to_gene,,0.49625852704048157,0.5020828247070312,0.47883710265159607,0.5016284584999084,0.5024856328964233
1,MIMAT0000271,MAPK14,mir_to_gene,,0.4962751269340515,0.5055583119392395,0.4764248728752136,0.5017356872558594,0.5013815760612488
1,MIMAT0000278,ERBB4,mir_to_gene,,0.4968334138393402,0.505486249923706,0.484757661819458,0.49576544761657715,0.5013242959976196
1,MIMAT0000278,MAPK10,mir_to_gene,,0.4975889325141907,0.5084385871887207,0.4802997410297394,0.5003237128257751,0.5012935996055603
1,MIMAT0000278,AKT3,mir_to_gene,,0.3326786160469055,0.3376098573207855,0.3267170786857605,0.3323957324028015,0.3339918553829193
1,MIMAT0000278,MAP3K2,mir_to_gene,,0.33223956823349,0.33558380603790283,0.32767453789711,0.3317440152168274,0.3339559733867645
1,MIMAT0000278,KIT,mir_to_gene,,0.3326217532157898,0.3377675414085388,0.32596251368522644,0.33272457122802734,0.33403244614601135
1,MIMAT0000278,STMN1,mir_to_gene,,0.5041666030883789,0.5068797469139099,0.4938909113407135,0.510501503944397,0.5053941011428833
1,MIMAT0000279,AKT3,mir_to_gene,,0.3326008915901184,0.3371390104293823,0.3263777196407318,0.33305835723876953,0.33382847905158997
1,MIMAT0004501,EGFR,mir_to_gene,,0.33256518840789795,0.3365125060081482,0.3270357847213745,0.33262205123901367,0.33409035205841064
1,MIMAT0000089,RASA1,mir_to_gene,,0.3315219283103943,0.3370426595211029,0.3236943185329437,0.33147096633911133,0.3338797986507416
1,MIMAT0000255,AKT1,mir_to_gene,,0.49766698479652405,0.5083343386650085,0.48263004422187805,0.4986347258090973,0.5010688304901123
1,MIMAT0000255,VEGFA,mir_to_gene,,0.33134645223617554,0.3349730670452118,0.32286038994789124,0.33441969752311707,0.33313265442848206
1,MIMAT0000255,PDGFRA,mir_to_gene,,0.49748310446739197,0.5079460144042969,0.4837472140789032,0.4969285726547241,0.5013105869293213
1,MIMAT0000255,RRAS,mir_to_gene,,0.4955101013183594,0.5009072422981262,0.4773942232131958,0.5023562908172607,0.50138258934021
1,MIMAT0000255,TNF,mir_to_gene,,0.49518054723739624,0.4984253942966461,0.47815123200416565,0.5021259188652039,0.5020197033882141
1,MIMAT0000255,TGFBR2,mir_to_gene,,0.49714964628219604,0.5055913925170898,0.4845147728919983,0.4976482391357422,0.5008441805839539
1,MIMAT0003322,STK4,mir_to_gene,,0.4987695813179016,0.5093620419502258,0.4850181043148041,0.4998922348022461,0.5008059144020081
1,MIMAT0003322,MRAS,mir_to_gene,,0.497927188873291,0.5042421221733093,0.4807263910770416,0.5044798254966736,0.5022605061531067
1,MIMAT0000252,EGFR,mir_to_gene,,0.33151793479919434,0.3352760076522827,0.32556700706481934,0.331533282995224,0.3336954414844513
1,MIMAT0000252,PAK1,mir_to_gene,,0.49885061383247375,0.5100016593933105,0.4846813976764679,0.49965134263038635,0.501068115234375
1,MIMAT0000252,GNA12,mir_to_gene,,0.4961285889148712,0.5026430487632751,0.48013439774513245,0.5017601251602173,0.4999767243862152
1,MIMAT0000252,CACNG5,mir_to_gene,,0.4941731095314026,0.49852320551872253,0.47640225291252136,0.5003346800804138,0.5014323592185974
1,MIMAT0000441,TAOK1,mir_to_gene,,0.33223992586135864,0.3365534245967865,0.3258996605873108,0.33260905742645264,0.33389759063720703
1,RASGRF1,fu:94ced6e1,gene_to_fu,,0.25130927562713623,0.24824321269989014,0.2570120096206665,0.2507369816303253,0.24924488365650177
1,RASGRF2,fu:94ced6e1,gene_to_fu,,0.25147196650505066,0.2476102113723755,0.2582813799381256,0.25038760900497437,0.24960868060588837
1,DUSP10,fu:426ff04d,gene_to_fu,,0.09008695185184479,0.08976734429597855,0.08863810449838638,0.09126709401607513,0.09067525714635849
1,DUSP1,fu:426ff04d,gene_to_fu,,0.09141156822443008,0.09080006927251816,0.09367850422859192,0.09032370895147324,0.09084396809339523
1,DUSP2,fu:426ff04d,gene_to_fu,,0.09228941053152084,0.09192637354135513,0.09552444517612457,0.09065347164869308,0.09105333685874939
1,DUSP4,fu:426ff04d,gene_to_fu,,0.09139091521501541,0.09116056561470032,0.09261436015367508,0.09078347682952881,0.09100526571273804
1,DUSP5,fu:426ff04d,gene_to_fu,,0.09157048910856247,0.09070202708244324,0.09429643303155899,0.09030873328447342,0.09097477048635483
1,DUSP6,fu:426ff04d,gene_to_fu,,0.0905560776591301,0.09068920463323593,0.08983251452445984,0.09093961119651794,0.09076297283172607
1,DUSP7,fu:426ff04d,gene_to_fu,,0.09059137105941772,0.09004807472229004,0.09058827906847,0.09097988158464432,0.09074924886226654
1,DUSP8,fu:426ff04d,gene_to_fu,,0.09116242080926895,0.09110221266746521,0.09112288057804108,0.0913090705871582,0.09111551195383072
1,DUSP9,fu:426ff04d,gene_to_fu,,0.09167096763849258,0.09179072827100754,0.09265773743391037,0.09125663340091705,0.09097877144813538
1,DUSP16,fu:426ff04d,gene_to_fu,,0.0901729092001915,0.09019018709659576,0.08870522677898407,0.09107861667871475,0.0907176211476326
1,DUSP3,fu:eb0913c8,gene_to_fu,,0.2009178251028061,0.202361062169075,0.2042093575000763,0.19838427007198334,0.19871659576892853
1,PTPN7,fu:eb0913c8,gene_to_fu,,0.2014142870903015,0.19920210540294647,0.2077716439962387,0.19855338335037231,0.20013000071048737
1,PTPRR,fu:eb0913c8,gene_to_fu,,0.19971998035907745,0.19869649410247803,0.20005036890506744,0.19992592930793762,0.2002071738243103
1,PTPN5,fu:eb0913c8,gene_to_fu,,0.20078697800636292,0.1980569213628769,0.20186953246593475,0.2029242217540741,0.2002972513437271
1,PPM1B,fu:8f4928df,gene_to_fu,,0.5044451355934143,0.49271440505981445,0.5217376351356506,0.5041297078132629,0.499198853969574
1,FASLG,fu:e31b7340,gene_to_fu,,0.5058066844940186,0.5008912086486816,0.5263153910636902,0.4976196587085724,0.49840041995048523
1,MAP4K4,fu:2800db3e,gene_to_fu,,0.5033480525016785,0.49558860063552856,0.5151419043540955,0.5027966499328613,0.4998651146888733
1,PLA2G4B,fu:ad28b956,gene_to_fu,,0.10971993207931519,0.11249847710132599,0.10476408898830414,0.11019855737686157,0.11141861975193024
1,PLA2G4E,fu:ad28b956,gene_to_fu,,0.11154314875602722,0.11061055958271027,0.11360533535480499,0.11096254736185074,0.11099415272474289
1,PLA2G4F,fu:ad28b956,gene_to_fu,,0.11228661239147186,0.11139033734798431,0.11443466693162918,0.11247629672288895,0.1108451634645462
