source,target,type,subtype,final_layer_mean_attn,final_layer_max_attn
MIMAT0000430,NFKB1,mir_to_gene,,0.5002819299697876,0.5008299350738525
MIMAT0002809,TRAF6,mir_to_gene,,0.5002570748329163,0.5010761618614197
MIMAT0000461,FGF2,mir_to_gene,,0.24998264014720917,0.25010523200035095
MIMAT0000461,TAOK1,mir_to_gene,,0.3334105610847473,0.3336716294288635
MIMAT0000461,VEGFA,mir_to_gene,,0.3333010971546173,0.3335588872432709
MIMAT0000461,MAP4K2,mir_to_gene,,0.5002334117889404,0.500935435295105
MIMAT0000232,FGF2,mir_to_gene,,0.250027596950531,0.2500731647014618
MIMAT0000232,MET,mir_to_gene,,0.33337539434432983,0.3335231840610504
MIMAT0000232,MAPK9,mir_to_gene,,0.3334437906742096,0.3335203528404236
MIMAT0000232,HGF,mir_to_gene,,0.5003289580345154,0.5008189082145691
MIMAT0004563,FGF2,mir_to_gene,,0.250027596950531,0.2500731647014618
MIMAT0004563,MET,mir_to_gene,,0.33337539434432983,0.3335231840610504
MIMAT0000263,KIT,mir_to_gene,,0.3333178758621216,0.33346617221832275
MIMAT0000265,NTRK2,mir_to_gene,,0.5002752542495728,0.5008767247200012
MIMAT0000265,BDNF,mir_to_gene,,0.5000114440917969,0.5005614757537842
MIMAT0000265,TGFBR1,mir_to_gene,,0.5001992583274841,0.5008822083473206
MIMAT0000265,CACNG8,mir_to_gene,,0.499957799911499,0.500812292098999
MIMAT0000265,CDC42,mir_to_gene,,0.5001916289329529,0.5007175803184509
MIMAT0000265,PPP3R1,mir_to_gene,,0.5001611709594727,0.5005702376365662
MIMAT0001413,MAP3K2,mir_to_gene,,0.3332754373550415,0.33344846963882446
MIMAT0001413,IRAK4,mir_to_gene,,0.5001835227012634,0.5008326768875122
MIMAT0001413,DUSP2,mir_to_gene,,0.4997515380382538,0.5003904700279236
MIMAT0001413,MAPK9,mir_to_gene,,0.33328887820243835,0.3335440158843994
MIMAT0001413,RPS6KA5,mir_to_gene,,0.5001713037490845,0.5008237361907959
MIMAT0000076,ATF2,mir_to_gene,,0.500207781791687,0.5009631514549255
MIMAT0000271,FGFR1,mir_to_gene,,0.5002017617225647,0.5007371306419373
MIMAT0000271,MAPK8,mir_to_gene,,0.5000523328781128,0.5006563067436218
MIMAT0000271,MEF2C,mir_to_gene,,0.5001634359359741,0.5006659030914307
MIMAT0000271,RASA1,mir_to_gene,,0.3333776593208313,0.3335162103176117
MIMAT0000271,NRAS,mir_to_gene,,0.5000591278076172,0.5003446340560913
MIMAT0000271,MAPK14,mir_to_gene,,0.4998995065689087,0.5006081461906433
MIMAT0000278,ERBB4,mir_to_gene,,0.5003435611724854,0.5009846091270447
MIMAT0000278,MAPK10,mir_to_gene,,0.5002777576446533,0.5009446144104004
MIMAT0000278,AKT3,mir_to_gene,,0.3335040807723999,0.3337964415550232
MIMAT0000278,MAP3K2,mir_to_gene,,0.33348798751831055,0.3336799442768097
MIMAT0000278,KIT,mir_to_gene,,0.33346056938171387,0.33367863297462463
MIMAT0000278,STMN1,mir_to_gene,,0.5002825260162354,0.5011619329452515
MIMAT0000279,AKT3,mir_to_gene,,0.3332947790622711,0.3334912955760956
MIMAT0004501,EGFR,mir_to_gene,,0.33338552713394165,0.3335428833961487
MIMAT0000089,RASA1,mir_to_gene,,0.33336877822875977,0.3335966169834137
MIMAT0000255,AKT1,mir_to_gene,,0.5002899169921875,0.5009014010429382
MIMAT0000255,VEGFA,mir_to_gene,,0.3333328366279602,0.33342862129211426
MIMAT0000255,PDGFRA,mir_to_gene,,0.5003528594970703,0.5008563995361328
MIMAT0000255,RRAS,mir_to_gene,,0.4998960793018341,0.5004879236221313
MIMAT0000255,TNF,mir_to_gene,,0.49989962577819824,0.5005925297737122
MIMAT0000255,TGFBR2,mir_to_gene,,0.5003520250320435,0.5009111762046814
MIMAT0003322,STK4,mir_to_gene,,0.5002425909042358,0.5009562969207764
MIMAT0003322,MRAS,mir_to_gene,,0.5000812411308289,0.5006591081619263
MIMAT0000252,EGFR,mir_to_gene,,0.33338528871536255,0.3335777521133423
MIMAT0000252,PAK1,mir_to_gene,,0.5003179311752319,0.5012564659118652
