node_index,id,type,logic,pathway,logFC,embedding_l2_norm,encoder
0,RASGRF1,gene,,path:hsa04010,4.11654,0.29149284958839417,proteinbert
1,RASGRF2,gene,,path:hsa04010,-0.535876,0.2837005853652954,proteinbert
2,DUSP10,gene,,path:hsa04010,-0.286146,0.2995487451553345,proteinbert
3,DUSP1,gene,,path:hsa04010,-1.38667,0.307903528213501,proteinbert
4,DUSP2,gene,,path:hsa04010,-0.562012,0.07532905787229538,proteinbert
5,DUSP4,gene,,path:hsa04010,2.39998,0.29991817474365234,proteinbert
6,DUSP5,gene,,path:hsa04010,2.11214,0.29943230748176575,proteinbert
7,DUSP6,gene,,path:hsa04010,2.24118,0.3054247796535492,proteinbert
8,DUSP7,gene,,path:hsa04010,0.460727,0.30892065167427063,proteinbert
9,DUSP8,gene,,path:hsa04010,0.417305,0.29458722472190857,proteinbert
10,DUSP9,gene,,path:hsa04010,0.552695,0.30984431505203247,proteinbert
11,DUSP16,gene,,path:hsa04010,-0.0886686,0.2892013490200043,proteinbert
12,DUSP3,gene,,path:hsa04010,-0.103333,0.3111184537410736,proteinbert
13,PTPN7,gene,,path:hsa04010,-0.0676047,0.29886960983276367,proteinbert
14,PTPRR,gene,,path:hsa04010,0.750965,0.28661784529685974,proteinbert
15,PTPN5,gene,,path:hsa04010,0.303387,0.2837425470352173,proteinbert
16,PPM1B,gene,,path:hsa04010,-0.281325,0.2957846522331238,proteinbert
17,FASLG,gene,,path:hsa04010,-0.469873,0.3133827745914459,proteinbert
18,MAP4K4,gene,,path:hsa04010,0.837173,0.2811897099018097,proteinbert
19,PLA2G4B,gene,,path:hsa04010,,0.06365569680929184,proteinbert
20,PLA2G4E,gene,,path:hsa04010,-0.117603,0.28793808817863464,proteinbert
21,PLA2G4F,gene,,path:hsa04010,-1.99594,0.3037988543510437,proteinbert
22,PLA2G4D,gene,,path:hsa04010,0.0833023,0.2911989688873291,proteinbert
23,PLA2G4A,gene,,path:hsa04010,-0.845108,0.2948823869228363,proteinbert
24,PLA2G4C,gene,,path:hsa04010,-0.467076,0.2875910699367523,proteinbert
25,JMJD7-PLA2G4B,gene,,path:hsa04010,-0.114633,0.28028494119644165,proteinbert
26,STMN1,gene,,path:hsa04010,0.759864,0.077128566801548,proteinbert
27,MAPT,gene,,path:hsa04010,-0.561811,0.27597886323928833,proteinbert
28,NFKB1,gene,,path:hsa04010,-0.188556,0.0785813257098198,proteinbert
29,NFKB2,gene,,path:hsa04010,0.362418,0.28934547305107117,proteinbert
30,RELA,gene,,path:hsa04010,0.276725,0.2808159589767456,proteinbert
31,RELB,gene,,path:hsa04010,0.53776,0.2868255376815796,proteinbert
32,CHUK,gene,,path:hsa04010,-0.316108,0.2942284345626831,proteinbert
33,IKBKB,gene,,path:hsa04010,-0.275459,0.3059769570827484,proteinbert
34,IKBKG,gene,,path:hsa04010,-0.110603,0.27841922640800476,proteinbert
35,MAP3K14,gene,,path:hsa04010,-0.129381,0.44884052872657776,proteinbert
36,MAPK1,gene,,path:hsa04010,0.241241,0.29523324966430664,proteinbert
37,MAPK3,gene,,path:hsa04010,-0.0145805,0.2981044352054596,proteinbert
38,LAMTOR3,gene,,path:hsa04010,,0.06365569680929184,proteinbert
39,MAP2K2,gene,,path:hsa04010,0.263747,0.29032158851623535,proteinbert
40,MAP2K1,gene,,path:hsa04010,0.204793,0.2881720960140228,proteinbert
41,RAF1,gene,,path:hsa04010,-0.137046,0.2957453429698944,proteinbert
42,BRAF,gene,,path:hsa04010,-0.0967114,0.29014647006988525,proteinbert
43,RASA1,gene,,path:hsa04010,0.735038,0.06685859709978104,proteinbert
44,NF1,gene,,path:hsa04010,-0.147912,0.29062092304229736,proteinbert
45,PRKCA,gene,,path:hsa04010,-1.32397,0.2902311384677887,proteinbert
46,PRKCB,gene,,path:hsa04010,-0.00504381,0.287712424993515,proteinbert
47,PRKCG,gene,,path:hsa04010,-0.326495,0.2919815182685852,proteinbert
48,RAP1A,gene,,path:hsa04010,-0.0265394,0.3080928921699524,proteinbert
49,RAP1B,gene,,path:hsa04010,0.0542712,0.31219908595085144,proteinbert
50,PRKACA,gene,,path:hsa04010,0.450988,0.28857824206352234,proteinbert
51,PRKACB,gene,,path:hsa04010,-0.832178,0.2931653559207916,proteinbert
52,PRKACG,gene,,path:hsa04010,-0.0172721,0.2927033007144928,proteinbert
53,RAPGEF2,gene,,path:hsa04010,-0.508442,0.2855713963508606,proteinbert
54,RASA2,gene,,path:hsa04010,-0.556066,0.28795498609542847,proteinbert
55,RRAS2,gene,,path:hsa04010,-0.391859,0.295509934425354,proteinbert
56,MRAS,gene,,path:hsa04010,-0.0454231,0.07667417824268341,proteinbert
57,HRAS,gene,,path:hsa04010,0.531869,0.309741348028183,proteinbert
58,KRAS,gene,,path:hsa04010,-0.113046,0.30758604407310486,proteinbert
59,NRAS,gene,,path:hsa04010,-0.156599,0.07142149657011032,proteinbert
60,RRAS,gene,,path:hsa04010,0.96998,0.07421907037496567,proteinbert
61,RASGRP1,gene,,path:hsa04010,-0.127859,0.2849459648132324,proteinbert
62,RASGRP2,gene,,path:hsa04010,-0.592291,0.2929595410823822,proteinbert
63,RASGRP4,gene,,path:hsa04010,0.492533,0.29525530338287354,proteinbert
64,RASGRP3,gene,,path:hsa04010,-0.0383387,0.2928049564361572,proteinbert
65,SOS1,gene,,path:hsa04010,-0.450636,0.27977654337882996,proteinbert
66,SOS2,gene,,path:hsa04010,-0.314144,0.2784804701805115,proteinbert
67,GNA12,gene,,path:hsa04010,-0.0890615,0.07980073243379593,proteinbert
68,GNG12,gene,,path:hsa04010,-0.0881562,0.28533583879470825,proteinbert
69,GRB2,gene,,path:hsa04010,0.0841667,0.2894534766674042,proteinbert
70,CSF1R,gene,,path:hsa04010,0.70339,0.3024740517139435,proteinbert
71,EGFR,gene,,path:hsa04010,0.0236313,0.07188977301120758,proteinbert
72,EPHA2,gene,,path:hsa04010,1.00243,0.2913014590740204,proteinbert
73,ERBB2,gene,,path:hsa04010,0.589685,0.31060734391212463,proteinbert
