id,type,logic,pathway,logFC
RASGRF1,gene,,path:hsa04010,4.11654
RASGRF2,gene,,path:hsa04010,-0.535876
DUSP10,gene,,path:hsa04010,-0.286146
DUSP1,gene,,path:hsa04010,-1.38667
DUSP2,gene,,path:hsa04010,-0.562012
DUSP4,gene,,path:hsa04010,2.39998
DUSP5,gene,,path:hsa04010,2.11214
DUSP6,gene,,path:hsa04010,2.24118
DUSP7,gene,,path:hsa04010,0.460727
DUSP8,gene,,path:hsa04010,0.417305
DUSP9,gene,,path:hsa04010,0.552695
DUSP16,gene,,path:hsa04010,-0.0886686
DUSP3,gene,,path:hsa04010,-0.103333
PTPN7,gene,,path:hsa04010,-0.0676047
PTPRR,gene,,path:hsa04010,0.750965
PTPN5,gene,,path:hsa04010,0.303387
PPM1B,gene,,path:hsa04010,-0.281325
FASLG,gene,,path:hsa04010,-0.469873
MAP4K4,gene,,path:hsa04010,0.837173
PLA2G4B,gene,,path:hsa04010,
PLA2G4E,gene,,path:hsa04010,-0.117603
PLA2G4F,gene,,path:hsa04010,-1.99594
PLA2G4D,gene,,path:hsa04010,0.0833023
PLA2G4A,gene,,path:hsa04010,-0.845108
PLA2G4C,gene,,path:hsa04010,-0.467076
JMJD7-PLA2G4B,gene,,path:hsa04010,-0.114633
STMN1,gene,,path:hsa04010,0.759864
MAPT,gene,,path:hsa04010,-0.561811
NFKB1,gene,,path:hsa04010,-0.188556
NFKB2,gene,,path:hsa04010,0.362418
RELA,gene,,path:hsa04010,0.276725
RELB,gene,,path:hsa04010,0.53776
CHUK,gene,,path:hsa04010,-0.316108
IKBKB,gene,,path:hsa04010,-0.275459
IKBKG,gene,,path:hsa04010,-0.110603
MAP3K14,gene,,path:hsa04010,-0.129381
MAPK1,gene,,path:hsa04010,0.241241
MAPK3,gene,,path:hsa04010,-0.0145805
LAMTOR3,gene,,path:hsa04010,
MAP2K2,gene,,path:hsa04010,0.263747
MAP2K1,gene,,path:hsa04010,0.204793
RAF1,gene,,path:hsa04010,-0.137046
BRAF,gene,,path:hsa04010,-0.0967114
RASA1,gene,,path:hsa04010,0.735038
NF1,gene,,path:hsa04010,-0.147912
PRKCA,gene,,path:hsa04010,-1.32397
PRKCB,gene,,path:hsa04010,-0.00504381
PRKCG,gene,,path:hsa04010,-0.326495
RAP1A,gene,,path:hsa04010,-0.0265394
RAP1B,gene,,path:hsa04010,0.0542712
PRKACA,gene,,path:hsa04010,0.450988
PRKACB,gene,,path:hsa04010,-0.832178
PRKACG,gene,,path:hsa04010,-0.0172721
