layer,source,target,edge_type,edge_subtype,mean_attention,head_1_attention,head_2_attention,head_3_attention,head_4_attention
1,MIMAT0005824,CREB5,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0005824,SETD1B,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0005824,RORA,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0005824,GRIN2B,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0005899,ATXN1,mir_to_gene,,0.25,0.25,0.25,0.25,0.25
1,MIMAT0005899,TCF20,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0005899,EFHD2,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0004607,TPM3,mir_to_gene,,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408
1,MIMAT0004607,ERGIC1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0004607,ATP6V1A,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0004607,CSNK2A1,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0004607,PEX5L,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0004607,SLC46A1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0004607,CYBRD1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0004607,GNA13,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0004607,PAG1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0004607,MECP2,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0004607,IGFBP4,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0004607,YY1,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0004607,RSBN1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000430,EIF4EBP1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000430,RHOC,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000430,DMKN,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000430,DNAJB6,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0000430,NFKB1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000430,LNPEP,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0000430,TERT,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000430,ZMYND11,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0000430,EID1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000430,YAP1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000430,MXD1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000430,MEAF6,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000430,IGF2BP1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000430,BLCAP,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0000430,CELF1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
