Predecessor_CID,Predecessor_Name,Successor_CID,Successor_Name,Transformation,Biosystem,Enzyme,Source_ID,Source,Source_Description,Dataset_DOI,Dataset_Description,Evidence_ID,Evidence_Description
5736,zotepine,12882299,Zotepine -oxide,S-oxidation of diarylthioether to sulfoxide / Human Phase I,Human,CYP1A1; CYP1A2; CYP2B6; CYP3A4; CYP3A5,BIOTID01246,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423"
5736,zotepine,13309858,Zotepine N-oxide,N-oxidation of aliphatic tertiary amine / Human Phase I,Human,CYP3A4,BIOTID01243,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423"
5733,Zomepirac,154699595,Zomepirac O-glucuronide,O-glucuronidation of aliphatic acid / Human Phase II,Human,UGT,BIOTID01678,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,Langendijk PN et al. (1984); Simultaneous determination of zomepirac and its major metabolite zomepirac glucuronide in human plasma and urine; J Chromatogr. 1984 May 11;307(2):371-9.
5732,zolpidem,154699860,methoxyzolpidem,Aliphatic hydroxylation of methyl carbon adjacent to aromatic ring / Human Phase I,Human,CYP3A4(major); CYP1A2 (minor); CYP2D6 (minor),BIOTID01239,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
60857,zolmitriptan,25241756,Zolmitriptan N-oxide,N-oxidation of aliphatic tertiary amine / Human Phase I,Human,CYP1A2,BIOTID01238,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423"
60854,ziprasidone,15959407,Ziprasidone Sulfoxide,S-Oxidation / Human Phase I,Human,CYP3A4,BIOTID01234,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:10771452
10220327,(-)-zileuton,95162932,Zileuton sulfoxide,Thiophene S-oxidation / Human Phase I,Human,CYP3A4,BIOTID00041,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
60490,Zileuton,71752997,Zileuton O-glucuronide,N-hydroxy glucuronidation / Human Phase II,Human,UDP-glucuronosyltransferase 1-9,BIOTID02005,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,https://www.drugbank.ca/metabolites/DBMET00141
5720,zaltoprofen,154699512,Zaltoprofen S-oxide,S-oxidation of dialkylthioether to sulfoxide / Human Phase I,Human,CYP2C9,BIOTID01494,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3683"
5699,xanthurenic acid,11522049,Xanthurenic acid 8-O-sulfate,O-sulfonation / Human Phase II,Human,SULT,BIOTID01905,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,http://www.hmdb.ca/metabolites/HMDB0059741
54697550,8-Hydroxywarfarin,71749423,Warfarin 8-O-glucuronide,Aromatic-OH glucuronidation / Human Phase II,Human,UGT1A9,BIOTID01541,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI 10.1007/s11095-012-0666-z
54692246,7-Hydroxywarfarin,96364756,Warfarin 7-O-glucuronide,Aromatic-OH glucuronidation / Human Phase II,Human,UGT1A9,BIOTID01542,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI 10.1007/s11095-012-0666-z
54731323,6-Hydroxywarfarin,154700067,Warfarin 6-O-glucuronide,Aromatic-OH glucuronidation / Human Phase II,Human,UGT1A9,BIOTID01543,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI 10.1007/s11095-012-0666-z
71616,voriconazole,10044355,Voriconazole N-Oxide,N-oxidation of pyrimidine / Human Phase I,Human,CYP2C9 (major); CYP2C19 (major); CYP3A4 (minor),BIOTID01098,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
5280793,Vitamin D2,6443809,Vitamin D2 3-glucuronide,O-glucuronidation / Human Phase II,Human,UGT,BIOTID01921,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,http://www.hmdb.ca/metabolites/HMDB0010344
27492,Vinyl carbamate,108032,Vinyl carbamate epoxide,Epoxidation / Human Phase I,Human,CYP2E1,BIOTID01289,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:11181492
5641,Urethane,27492,Vinyl carbamate,Dehydrogenation / Human Phase I,Human,CYP2E1,BIOTID01288,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:22531028
3009355,vicriviroc,11577561,Vicriviroc N-oxide ,N-oxidation of pyrimidine / Human Phase I,Human,CYP3A4; CYP3A5,BIOTID01095,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3680"
114431,Epoxy-4-vinylcyclohexene,7833,VCH-diepoxide,Alkene epoxidation / Human Phase I,Human,CYP2B6; CYP2E1,BIOTID01499,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"S. M. FONTAINE et al. (2001); ROLE OF INDUCTION OF SPECIFIC HEPATIC CYTOCHROME P450 ISOFORMS IN EPOXIDATION OF 4-VINYLCYCLOHEXENE; DRUG METABOLISM AND DISPOSITION; Vol. 29, No. 9"
7832,"1,2-Epoxy-4-vinylcyclohexane",7833,VCH-diepoxide,Alkene epoxidation / Human Phase I,Human,CYP2B6; CYP2E1,BIOTID01500,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"S. M. FONTAINE et al. (2001); ROLE OF INDUCTION OF SPECIFIC HEPATIC CYTOCHROME P450 ISOFORMS IN EPOXIDATION OF 4-VINYLCYCLOHEXENE; DRUG METABOLISM AND DISPOSITION; Vol. 29, No. 9"
440775,Uroporphyrinogen I,101695106,uroporphyrin,Aliphatic Hydroxylation / Human Phase I,Human,CYP1A2;CYP2E1;CYP3A4,BIOTID00825,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:9763408
5494449,tozasertib,10321534,Unii-wuu5ros9AF,N-demethylation / Human Phase I,Human,CYP2C8;CYP3A4,BIOTID01037,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:17537870
