Name,InChIKey,InChI,PubChem_CID,SMILES,Synonym1,Synonym2
"1-chloro-2,4-dinitrobenzene",VYZAHLCBVHPDDF-UHFFFAOYSA-N,InChI=1S/C6H3ClN2O4/c7-5-2-1-4(8(10)11)3-6(5)9(12)13/h1-3H,6,c1cc(c(cc1N(=O)=O)N(=O)=O)Cl,,
"1,2,4-trichlorobenzene",PBKONEOXTCPAFI-UHFFFAOYSA-N,InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H,13,c1cc(c(cc1Cl)Cl)Cl,,
2-chloroacetaldehyde,QSKPIOLLBIHNAC-UHFFFAOYSA-N,"InChI=1S/C2H3ClO/c3-1-2-4/h2H,1H2",33,C(C=O)Cl,chloroacetaldehyde,
"2,5-dichlorophenol",RANCECPPZPIPNO-UHFFFAOYSA-N,"InChI=1S/C6H4Cl2O/c7-4-1-2-5(8)6(9)3-4/h1-3,9H",66,c1cc(c(cc1Cl)O)Cl,,
Protocatehuic acid,YQUVCSBJEUQKSH-UHFFFAOYSA-N,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",72,c1cc(c(cc1C(=O)O)O)O,,
3-(3-hydroxyphenyl)propanoic acid,QVWAEZJXDYOKEH-UHFFFAOYSA-N,"InChI=1S/C9H10O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-3,6,10H,4-5H2,(H,11,12)",91,c1cc(CCC(=O)O)cc(c1)O,,
3-Ethenyl-6-[hydroxy-(6-methoxyquinolin-4-yl)methyl]-1-azabicyclo[2.2.2]octan-3-ol,BSRUJCFCZKMFMB-UHFFFAOYSA-N,"InChI=1S/C20H24N2O3/c1-3-20(24)12-22-9-7-13(20)10-18(22)19(23)15-6-8-21-17-5-4-14(25-2)11-16(15)17/h3-6,8,11,13,18-19,23-24H,1,7,9-10,12H2,2H3",92,C=CC1(CN2CCC1CC2C(c1ccnc2ccc(cc12)OC)O)O,,
4-Hydroxybenzyl alcohol,BVJSUAQZOZWCKN-UHFFFAOYSA-N,"InChI=1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2",125,c1cc(ccc1CO)O,,
4-hydroxyphenylacetic acid,XQXPVVBIMDBYFF-UHFFFAOYSA-N,"InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)",127,c1cc(ccc1CC(=O)O)O,,
Acetic Acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",176,CC(=O)O,,
acetaldehyde,IKHGUXGNUITLKF-UHFFFAOYSA-N,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",177,CC=O,,
benzene,UHOVQNZJYSORNB-UHFFFAOYSA-N,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,241,c1ccccc1,,
benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",243,c1ccc(cc1)C(=O)O,,
Benzyl alcohol,WVDDGKGOMKODPV-UHFFFAOYSA-N,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",244,c1ccc(cc1)CO,,
butanol,LRHPLDYGYMQRHN-UHFFFAOYSA-N,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",263,CCCCO,,
Catechol,YCIMNLLNPGFGHC-UHFFFAOYSA-N,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",289,c1ccc(c(c1)O)O,,
Choline,OEYIOHPDSNJKLS-UHFFFAOYSA-N,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",305,C[N+](C)(C)CCO,,
