"biotid","substrate_name","substrate_cid","substrate_inchikey","substrate_inchi","enzyme","reaction_type","biotransformation_type","biosystem","prod_name","prod_cid","prod_inchikey","prod_inchi","reference"
"BIOTID00001","acetaminophen","1983","RZVAJINKPMORJF-UHFFFAOYSA-N","InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)","CYP1A2; CYP2E1; CYP3A4; CYP2A6; CYP2C9; CYP2D6; CYP1A1","Oxidation of p-substituted anilides","Human Phase I","Human","N-Acetyl-p-benzoquinone","39763","URNSECGXFRDEDC-UHFFFAOYSA-N","InChI=1S/C8H7NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5H,1H3","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
"BIOTID00002","acetaminophen","1983","RZVAJINKPMORJF-UHFFFAOYSA-N","InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)","CYP2A6 (major); CYP2E1; CYP1A2; CYP2C8; CYP2C9; CYP3A4","Hydroxylation of benzene on carbon orhto to a strongly electron donating group","Human Phase I","Human","3-Hydroxyacetaminophen","161950","IPFBMHOMTSBTSU-UHFFFAOYSA-N","InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
"BIOTID00003","pinoline","1868","QYMDEOQLJUUNOF-UHFFFAOYSA-N","InChI=1S/C12H14N2O/c1-15-8-2-3-11-10(6-8)9-4-5-13-7-12(9)14-11/h2-3,6,13-14H,4-5,7H2,1H3","CYP2D6","O-aryl demethylation","Human Phase I","Human","1H,2H,3H,4H,9H‐pyrido[3,4‐b]indol‐6‐ol","159959","HASNCBJLQYTILW-UHFFFAOYSA-N","InChI=1S/C11H12N2O/c14-7-1-2-10-9(5-7)8-3-4-12-6-11(8)13-10/h1-2,5,12-14H,3-4,6H2","Yu, A. (2003) Screening for endogenous substrates reveals that CYP2D6 is a 5-methoxyindolethylamine O-demethylase; Pharmacogenetics 2003, Vol 13 No 6"
"BIOTID00004","1-(3-Trifluoromethylphenyl)piperazine","4296","KKIMDKMETPPURN-UHFFFAOYSA-N","InChI=1S/C11H13F3N2/c12-11(13,14)9-2-1-3-10(8-9)16-6-4-15-5-7-16/h1-3,8,15H,4-7H2","CYP2D6; CYP1A2; CYP3A4","Aromatic Hydroxylation","Human Phase I","Human","HO-TFMPP","NULL","IJBCBVIOADJKJZ-UHFFFAOYSA-N","InChI=1S/C11H13F3N2O/c12-11(13,14)9-7-8(1-2-10(9)17)16-5-3-15-4-6-16/h1-2,7,15,17H,3-6H2","PMID:14505325;PMID:14698036;PMID:15833296"
"BIOTID00005","2-Amino-3-methylimidazo(4,5-F)quinoline","53462","ARZWATDYIYAUTA-UHFFFAOYSA-N","InChI=1S/C11H10N4/c1-15-9-5-4-8-7(3-2-6-13-8)10(9)14-11(15)12/h2-6H,1H3,(H2,12,14)","CYP1A2; CYP1A1","N-Hydroxylation","Human Phase I","Human","N-OH-2-amino-3-methylimidazo[4,5-f]quinoline (N-OH-IQ)","105079","QYFQSQCBYZOECM-UHFFFAOYSA-N","InChI=1S/C11H10N4O/c1-15-9-5-4-8-7(3-2-6-12-8)10(9)13-11(15)14-16/h2-6,16H,1H3,(H,13,14)","PMID:9111224"
"BIOTID00006","5-Methoxy-N,N-diisopropyltryptamine","151182","DNBPMBJFRRVTSJ-UHFFFAOYSA-N","InChI=1S/C17H26N2O/c1-12(2)19(13(3)4)9-8-14-11-18-17-7-6-15(20-5)10-16(14)17/h6-7,10-13,18H,8-9H2,1-5H3","CYP2D6","O-Demethylation","Human Phase I","Human","5-OH-DIPT","71360804","HWOLNTJLIUHEOG-UHFFFAOYSA-N","InChI=1S/C16H24N2O/c1-11(2)18(12(3)4)8-7-13-10-17-16-6-5-14(19)9-15(13)16/h5-6,9-12,17,19H,7-8H2,1-4H3","PMID:17980859;PMID:20942780"
"BIOTID00007","5-Methoxy-N,N-diisopropyltryptamine","151182","DNBPMBJFRRVTSJ-UHFFFAOYSA-N","InChI=1S/C17H26N2O/c1-12(2)19(13(3)4)9-8-14-11-18-17-7-6-15(20-5)10-16(14)17/h6-7,10-13,18H,8-9H2,1-5H3","CYP1A2;CYP3A4;CYP2C9;CYP2C19","N-deisopropylation","Human Phase I","Human","5-MeO-IPT","707167","QQZJNZJNPDORBO-UHFFFAOYSA-N","InChI=1S/C14H20N2O/c1-10(2)15-7-6-11-9-16-14-5-4-12(17-3)8-13(11)14/h4-5,8-10,15-16H,6-7H2,1-3H3","PMID:17980859;PMID:20942780"
"BIOTID00008","(R)-halothane","445258","BCQZXOMGPXTTIC-SFOWXEAESA-N","InChI=1S/C2HBrClF3/c3-1(4)2(5,6)7/h1H/t1-/m0/s1","CYP2E1","Oxidation of halotrifluoroethane","Human Phase I","Human","trifluoroacetic acid","23138861","DTQVDTLACAAQTR-UHFFFAOYSA-N","InChI=1S/C2HF3O2/c3-2(4,5)1(6)7/h(H,6,7)","Spracklin, D.K. et al (1996); Human reductive halothane metabolism in vitro is catalyzed by cytochrome P450 2A6 and 3A4; Drug Metab Dispos. 1996 Sep;24(9):976-83.|Rendic,S. (2002) Summary of information on human CYP enzymes: human P450 metabolism data, Drug Metabolism Reviews, 34:1-2, 83-448, DOI:10.1081/ DMR-120001392; PMID:11996015|Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
"BIOTID00009","(R)-halothane","445258","BCQZXOMGPXTTIC-SFOWXEAESA-N","InChI=1S/C2HBrClF3/c3-1(4)2(5,6)7/h1H/t1-/m0/s1","CYP2A6; CYP3A4; CYP2B6; CYP2C9; CYP2D6","Reduction of halotrifluoroethane","Human Phase I","Human","2-chloro-1,1-difluoroethene","9664","HTHNTJCVPNKCPZ-UHFFFAOYSA-N","InChI=1S/C2HClF2/c3-1-2(4)5/h1H","Spracklin, D.K. et al (1996); Human reductive halothane metabolism in vitro is catalyzed by cytochrome P450 2A6 and 3A4; Drug Metab Dispos. 1996 Sep;24(9):976-83.|Rendic,S. (2002) Summary of information on human CYP enzymes: human P450 metabolism data, Drug Metabolism Reviews, 34:1-2, 83-448, DOI:10.1081/ DMR-120001392; PMID:11996015|Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
"BIOTID00010","(R)-halothane","445258","BCQZXOMGPXTTIC-SFOWXEAESA-N","InChI=1S/C2HBrClF3/c3-1(4)2(5,6)7/h1H/t1-/m0/s1","CYP2A6; CYP3A4; CYP2B6; CYP2C9; CYP2D6","Reduction of terminal aliphatic trihalide","Human Phase I","Human","1-chloro-2,2,2-trifluoroethanide","NULL","JUKWCHLDFKRDHO-UHFFFAOYSA-N","InChI=1S/C2HClF3/c3-1-2(4,5)6/h1H/q-1","Spracklin, D.K. et al (1996); Human reductive halothane metabolism in vitro is catalyzed by cytochrome P450 2A6 and 3A4; Drug Metab Dispos. 1996 Sep;24(9):976-83.|Rendic,S. (2002) Summary of information on human CYP enzymes: human P450 metabolism data, Drug Metabolism Reviews, 34:1-2, 83-448, DOI:10.1081/ DMR-120001392; PMID:11996015|Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
