fu,genes
fu:01884b0bfdcf66b05b497ff9b30c888f71b830761896fa8e89417b95184f5887,HSPA1A HSPA1B HSPA1L HSPA6 HSPA8
fu:060db228d4ecce344877a67f06d280345ff592f6c987f9e36e3628a14360a506,ATF4 ATF4
fu:0703554ac1e7565530f6d3e1784ed58f16c1e94180e2141a707900bd368d48dc,CASP3
fu:070787e0eee7c3367cfc05caf8a0b56fb6b7087da1bdb7ef856b82b003fb4ad3,TNF
fu:0bce84db48c33c5b723bda96de34203742d95bae1976b69d1191cd1de5db70fd,TGFB1 TGFB2 TGFB3
fu:0c600b4235779b9f9c30de21a04c10e095f77fc56130c77b772caf9243264887,PRKACA PRKACB PRKACG
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,CSF1R EGFR EPHA2 ERBB2 ERBB3 ERBB4 FGFR1 FGFR3 FGFR2 FGFR4 FLT1 FLT3 FLT4 IGF1R INSR KDR KIT MET NGFR NTRK1 NTRK2 PDGFRA PDGFRB RET TEK
fu:119a02db8768ceadfa489122d36db5b603659dcd389dbcf9865822153e9b6444,MECOM
fu:1293aabc7d9be29c2a493d302247e58520146c546c1956cda254be8480c527de,RPS6KA6 RPS6KA1 RPS6KA2 RPS6KA3
fu:12daed41dad55bedb1042290de043ff6e78af2c932556a26fc3e480cdb394009,RASA2
fu:14f7c1fd37f9324fbeb68563c0c7c5517c8e147f56bbfbb62481da30ba59a2c5,DUSP10 DUSP2 DUSP4 DUSP5 DUSP7 DUSP8 DUSP9 DUSP16
fu:1784ba378ff0cdf17de691d6651718f5f54a4196c998fda24ae4c994ffa53b25,PRKCA PRKCB PRKCG
fu:182546595a64f67c7d531b52f5ea648bfdffbc91c398bcd77b4c3181108d4f47,PLA2G4B PLA2G4E PLA2G4F PLA2G4D PLA2G4A PLA2G4C JMJD7-PLA2G4B
fu:1971bb21cb4f30fdbd158cb4151f34bf54151324d1c2494cd8d9292b4ab61b64,TAOK3 TAOK1 TAOK2
fu:198e05b949c4888a5ff3b09f9f893d3b98d70ab34defa0436e0a3f30f0fb11f1,IRAK1 IRAK4
fu:1b21a0754ae7dbf0fb6c62a3b6bfe4fb4c9e7665dacc2da0032db6955cfd4fb6,MAP4K4
fu:1b27e254e218fb1e9354da9d6528b34c70f504613702fe88976bdda220d4bc87,DUSP10 DUSP1 DUSP2 DUSP4 DUSP5 DUSP6 DUSP7 DUSP8 DUSP9 DUSP16
fu:1b3dbcb87d2db0a8cec37777b136cb88c0927a5376660e801d81733e29df0b54,FLNA
fu:1c8896adfb60b496bbaf8a353bc1a6a30cd72e318c595d5031e7ff39f9f7123c,FAS
fu:227de0aca402ebd76649d4b3506286bd4de9551dce503b98dd6a4c485c9c4ae1,RASGRF1 RASGRF2
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNG3 CACNG2 CACNG5 CACNG4 CACNA2D3 CACNG8 CACNG7 CACNG6 CACNA1A CACNA1B CACNA1C CACNA1D CACNA1E CACNA1F CACNA1S CACNA2D1 CACNB1 CACNB2 CACNB3 CACNB4 CACNG1 CACNA1I CACNA1H CACNA1G CACNA2D2 CACNA2D4
fu:24c02a9cb276f47b5796c2fc03e071e00f423adddf7dd360f2117a7be79dc85e,CRK CRKL
fu:267e9b7495a2eaa9b52ce91d24ebed00d1e401eb04cbdd9644b0ff39c9ca66cd,MAP3K12 MAP3K13
fu:2a7ce807a71a072e33cfa060ae8d961f501535f9fb9ca64c4c08a5b745639afc,MAPT
fu:2e0adbfe408d82b32ac46cefc7a79593a21d7a7230f6a6a7355fd21a63264e33,MAP4K3
fu:2e4f8bca22d5dfb309b27f78dd891a521e37417aab685b77b22f3a8a4214a0ec,RAF1
fu:30387a5244329a17de2105eaeef1ae8376e6d1c9940d3b89ca55dde11ab7cbd2,PPM1A
fu:314abd3f1a80d90d99e4588c090a9959f880fd18a1404d488ee74ee59050e73c,ATF2
fu:323518dc763dadc1e277c74122e9b3b085639abe76d024c1ad0765b21ee8f554,MAP4K1
fu:3603721dc6150b3ca8c6dee07a03605d58860c1bea34f99d1269155bd1bcb71f,MAP2K5
fu:379625cf06357b4b29b1d55e785c1e28d82490773419743bc08dd1e8bd916bc3,MAP3K2 MAP3K3
fu:3ab2780dd65cffc1aa792f93856cfad3af965e6949091c11ace0617c7e5f7966,MAP3K4
fu:3caf9b5f87d63a70dcce3412b65339de9f6db6b4b8d56a08e8f080aff1a80317,GNA12 GNG12
fu:41ffad66a200d33fabc1300aec6b68a20722f16eaeb15a4a189a6dc9b2a040cf,DDIT3
fu:488bc6e28186e5fc78debe7facd69337bc47798c11bd3bc6877d9e889fcdbcd3,PPM1B
fu:4e989969a81f4bd898d33df42d249e6421eadae9031f9e255ffbc88a76341749,RASA1
fu:503ff7009dc7c17fdbeeafa3bf826554b045867b726d353099cbb525a0328140,CHUK IKBKB IKBKG
fu:532463be37aaa68cd16d667a80a19f9ec580db84df95db6d3f65bce0b6124bf4,RAP1A RAP1B
fu:5670ba6c97f929ace90df9c33a929c195cffe83dc50fe4304d743795dfd92dbb,EFNA4-EFNA3 CSF1 EFNA1 EFNA2 EFNA3 EFNA4 EFNA5 EGF EREG FGF1 FGF2 FGF3 FGF4 FGF5 FGF6 FGF7 FGF8 FGF9 FGF10 VEGFD FLT3LG FGF20 FGF21 GDNF FGF22 ANGPT1 ANGPT2 HGF IGF1 IGF2 INS AREG KITLG NGF NRTN NTF3 NTF4 ANGPT4 PDGFA PDGFB PGF PDGFC PSPN BDNF TGFA VEGFA VEGFB VEGFC PDGFD FGF23 FGF18 FGF17 FGF16 ARTN FGF19
fu:5967974e6c51ae9a416c13856c81a3c246da5ea58e14acb820579117ad3a396d,PPP3CA PPP3CB PPP3CC PPP3R1 PPP3R2
fu:5b5e4626ca3a9ed9b4f6cbce92c34a399cbdce634e940c8ddd1f587bf4e7e4e9,BRAF
fu:5c1da86a671666064947fab8dc2c8783e502175cefa547a79fe0fafcad53550d,SRF ELK4 ELK1
fu:5c3f19b6b6afc7965298124bc3ff079a2dc95b1381cd495b44bd15b1d9bd90ab,FOS
