ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
1552477_a_at	IRF6	interferon regulatory factor 6	3.039	5.906
1552509_a_at	CD300LG	CD300 molecule like family member g	-5.75	13.61
1552519_at	ACVR1C	activin A receptor type 1C	-4.439	9.828
1552610_a_at	JAK1	Janus kinase 1	4.852	14.219
1553105_s_at	DSG2	desmoglein 2	4.483	13.058
1553243_at	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5	-3.55	13.732
1553434_at	CYP4Z2P	cytochrome P450 family 4 subfamily Z member 2, pseudogene	3.792	4.544
1553602_at	MUCL1	mucin like 1	-4.945	3.638
1553613_s_at	FOXC1	forkhead box C1	-4.204	15.428
1553622_a_at	FSIP1	fibrous sheath interacting protein 1	4.698	7.596
1553678_a_at	ITGB1	integrin subunit beta 1	3.439	9.608
1553694_a_at	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	3.182	10.234
1553962_s_at	RHOB	ras homolog family member B	4.227	10.207
1554167_a_at	GOLGA7	golgin A7	3.836	11.873
1554260_a_at	FRYL	FRY like transcription coactivator	3.167	15.097
1554365_a_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	3.194	14.238
1554397_s_at	UEVLD	UEV and lactate/malate dehyrogenase domains	3.061	10.423
1554433_a_at	ZNF146	zinc finger protein 146	3.883	15.436
1554441_a_at	WAPL	WAPL cohesin release factor	3.328	15.948
1554464_a_at	CRTAP	cartilage associated protein	3.614	8.157
1554466_a_at	METTL26	methyltransferase like 26	3.634	12.503
1554482_a_at	SAR1B	secretion associated Ras related GTPase 1B	3.165	17.638
1554574_a_at	CYB5R3	cytochrome b5 reductase 3	3.496	9.162
1554627_a_at	ASCC1	activating signal cointegrator 1 complex subunit 1	3.526	14.782
1554679_a_at	LAPTM4B	lysosomal protein transmembrane 4 beta	3.866	10.484
1554747_a_at	SEPT2	septin 2	4.801	17.333
1555226_s_at	C1orf43	chromosome 1 open reading frame 43	4.602	10.589
1555229_a_at	C1S	complement component 1, s subcomponent	4.942	7.837
1555419_a_at	ASAH1	N-acylsphingosine amidohydrolase 1	4.407	10.755
1555460_a_at	SLC39A6	solute carrier family 39 member 6	6.283	14.628
1555618_s_at	SAE1	SUMO1 activating enzyme subunit 1	3.645	14.727
1555725_a_at	RGS5	regulator of G-protein signaling 5	3.185	5.788
1555730_a_at	CFL1	cofilin 1	3.574	12.34
1555736_a_at	AGTRAP	angiotensin II receptor associated protein	3.799	15.421
1555778_a_at	POSTN	periostin	5.768	14.876
1555812_a_at	ARHGDIB	Rho GDP dissociation inhibitor beta	4.047	10.841
1555814_a_at	RHOA	ras homolog family member A	4.615	9.742
1555831_s_at	LRRC41	leucine rich repeat containing 41	3.148	14.117
1555929_s_at			-3.108	13.181
1555948_s_at	FAM120A	family with sequence similarity 120A	3.461	17.294
1555989_at	DAAM1	dishevelled associated activator of morphogenesis 1	3.346	4.583
1555996_s_at	MIR1248///SNORA81///SNORA4///SNORD2///SNORA63///EIF4A2	microRNA 1248///small nucleolar RNA, H/ACA box 81///small nucleolar RNA, H/ACA box 4///small nucleolar RNA, C/D box 2///small nucleolar RNA, H/ACA box 63///eukaryotic translation initiation factor 4A2	4.676	12.915
1556006_s_at	CSNK1A1	casein kinase 1 alpha 1	4.383	18.454
1556007_s_at	CSNK1A1	casein kinase 1 alpha 1	3.382	10.185
1556206_at	LINC00408	long intergenic non-protein coding RNA 408	-4.074	12.376
1556338_at			3.409	10.849
1556347_at			3.295	6.601
1556364_at	ADAMTS9-AS2	ADAMTS9 antisense RNA 2	-3.051	8.223
1556427_s_at	LRRN4CL	LRRN4 C-terminal like	-3.801	7.804
1556474_a_at	LOC285097	uncharacterized FLJ38379	4.798	8.689
1556551_s_at	SLC39A6	solute carrier family 39 member 6	5.353	13.005
1557910_at	HSP90AB1	heat shock protein 90 alpha family class B member 1	5.813	12.196
1557950_at	NEMF	nuclear export mediator factor	3.263	11.714
1558048_x_at			-4.207	14.728
1558080_s_at	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	3.345	12.27
1558093_s_at	SNHG4///MATR3	small nucleolar RNA host gene 4///matrin 3	4.066	13.341
1558111_at	MBNL1	muscleblind like splicing regulator 1	3.157	8.443
1558170_at			-3.926	19.024
1558214_s_at	CTNNA1	catenin alpha 1	3.536	12.678
1558254_s_at	SRPK2	SRSF protein kinase 2	3.89	23.862
1558447_at			3.68	11.728
1559078_at			-3.48	9.523
1559401_a_at			3.09	14.34
1559500_at	VPS8	VPS8, CORVET complex subunit	3.35	10.169
1559881_s_at	ZNF12	zinc finger protein 12	3.404	10.696
1560049_at			-3.066	9.925
1560144_at			-4.904	14.104
1560342_at			3.474	15.231
1561754_at			-5.756	24.282
1562527_at	LOC441666	zinc finger protein 91 pseudogene	-5.386	22.416
1562755_at			-5.647	20.414
1563111_a_at	PIGX	phosphatidylinositol glycan anchor biosynthesis class X	3.46	14.843
1564494_s_at	P4HB	prolyl 4-hydroxylase subunit beta	5.504	15.09
1565717_s_at	FUS	FUS RNA binding protein	5.416	12.297
1566303_s_at	PPP1R11	protein phosphatase 1 regulatory inhibitor subunit 11	3.517	11.557
1566901_at	TGIF1	TGFB induced factor homeobox 1	3.004	10.956
1567628_at	CD74	CD74 molecule	3.36	9.573
1568765_at	SERPINE1	serpin family E member 1	3.557	8.014
1568954_s_at	C16orf72	chromosome 16 open reading frame 72	3.355	18.693
1569003_at	VMP1	vacuole membrane protein 1	5.698	13.832
1569106_s_at	SETD5	SET domain containing 5	4.076	16.837
1569609_at			-3.754	12.964
1569872_a_at	LMF1	lipase maturation factor 1	-3.667	12.466
1570255_s_at	ANKRD20A12P///ANKRD20A8P///ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A5P///ANKRD20A1	ankyrin repeat domain 20 family member A12, pseudogene///ankyrin repeat domain 20 family member A8, pseudogene///ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A5, pseudogene///ankyrin repeat domain 20 family member A1	-4.248	17.643
200008_s_at	GDI2	GDP dissociation inhibitor 2	4.291	11.209
200604_s_at	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	3.295	11.247
200615_s_at	AP2B1	adaptor related protein complex 2 beta 1 subunit	3.211	10.563
200641_s_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	4.631	13.862
200648_s_at	GLUL	glutamate-ammonia ligase	3.278	11.501
200664_s_at	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	3.117	11.705
200712_s_at	MAPRE1	microtubule associated protein RP/EB family member 1	3.607	14.179
200729_s_at	ACTR2	ARP2 actin related protein 2 homolog	3.357	14.892
200730_s_at	PTP4A1	protein tyrosine phosphatase type IVA, member 1	4.208	13.267
200742_s_at	TPP1	tripeptidyl peptidase 1	3.604	11.993
200744_s_at	GNB1	G protein subunit beta 1	3.114	12.379
200751_s_at	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	3.334	15.581
200776_s_at	BZW1	basic leucine zipper and W2 domains 1	3.024	16.357
200778_s_at	SEPT2	septin 2	4.068	14.804
200798_x_at	MCL1	BCL2 family apoptosis regulator	3.231	13.351
200806_s_at	HSPD1	heat shock protein family D (Hsp60) member 1	3.011	9.071
200828_s_at	ZNF207	zinc finger protein 207	3.239	10.568
200894_s_at	FKBP4	FK506 binding protein 4	3.149	11.163
200900_s_at	M6PR	mannose-6-phosphate receptor, cation dependent	4.035	16.342
200922_at	KDELR1	KDEL endoplasmic reticulum protein retention receptor 1	4.063	13.243
201020_at	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	3.213	12.235
201075_s_at	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	3.123	11.08
201096_s_at	ARF4	ADP ribosylation factor 4	3.714	15.293
201104_x_at	NBPF25P///NBPF26///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF14	neuroblastoma breakpoint family member 25, pseudogene///neuroblastoma breakpoint family member 26///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 14	3.137	9.622
201109_s_at	THBS1	thrombospondin 1	3.923	13.985
201110_s_at	THBS1	thrombospondin 1	3.162	10.597
201120_s_at	PGRMC1	progesterone receptor membrane component 1	3.188	9.998
201123_s_at	EIF5A	eukaryotic translation initiation factor 5A	5.038	7.16
201149_s_at	TIMP3	TIMP metallopeptidase inhibitor 3	3.988	7.368
201156_s_at	RAB5C	RAB5C, member RAS oncogene family	3.041	11.315
201169_s_at	BHLHE40	basic helix-loop-helix family member e40	5.584	16.006
201170_s_at	BHLHE40	basic helix-loop-helix family member e40	3.113	13.087
201259_s_at	SYPL1	synaptophysin like 1	3.189	10.878
201262_s_at	BGN	biglycan	4.754	14.227
201291_s_at	TOP2A	topoisomerase (DNA) II alpha	3.767	9.155
201295_s_at	WSB1	WD repeat and SOCS box containing 1	3.577	13.125
201309_x_at	NREP	neuronal regeneration related protein	4.736	17.313
201311_s_at	SH3BGRL	SH3 domain binding glutamate rich protein like	4.023	11.177
201337_s_at	VAMP3	vesicle associated membrane protein 3	4.43	11.604
201340_s_at	ENC1	ectodermal-neural cortex 1	3.025	7.755
201367_s_at	ZFP36L2	ZFP36 ring finger protein like 2	3.657	9.295
201376_s_at	HNRNPF	heterogeneous nuclear ribonucleoprotein F	3.078	13.329
201383_s_at	NBR1	NBR1, autophagy cargo receptor	3.062	13.379
201386_s_at	DHX15	DEAH-box helicase 15	3.404	9.313
201397_at	PHGDH	phosphoglycerate dehydrogenase	-3.101	10.791
201399_s_at	TRAM1	translocation associated membrane protein 1	4.157	14.607
201444_s_at	ATP6AP2	ATPase H+ transporting accessory protein 2	3.643	13.137
201445_at	CNN3	calponin 3	4.036	11.281
201461_s_at	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	3.085	12.339
201476_s_at	RRM1	ribonucleotide reductase catalytic subunit M1	3.202	15.042
201490_s_at	PPIF	peptidylprolyl isomerase F	4.144	13.16
201497_x_at	MYH11	myosin heavy chain 11	-3.539	7.706
201504_s_at	TSN	translin	3.637	17.788
201523_x_at	UBE2N	ubiquitin conjugating enzyme E2 N	4.279	18.021
201540_at	FHL1	four and a half LIM domains 1	-3.008	8.508
201551_s_at	LAMP1	lysosomal associated membrane protein 1	4.386	11.821
201617_x_at	CALD1	caldesmon 1	3.52	10.841
201646_at	SCARB2	scavenger receptor class B member 2	3.873	11.478
201663_s_at	SMC4	structural maintenance of chromosomes 4	4.75	19.437
201688_s_at	TPD52	tumor protein D52	6.282	18.983
201689_s_at	TPD52	tumor protein D52	4.499	14.446
201695_s_at	PNP	purine nucleoside phosphorylase	3.633	14.139
201742_x_at	SRSF1	serine and arginine rich splicing factor 1	5.046	15.154
201820_at	KRT5	keratin 5	-4.311	6.865
201830_s_at	NET1	neuroepithelial cell transforming 1	3.524	12.115
201852_x_at	COL3A1	collagen type III alpha 1 chain	3.283	10.762
201858_s_at	SRGN	serglycin	3.652	7.415
201879_at	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1	3.585	15.501
201908_at	DVL3	dishevelled segment polarity protein 3	3.128	9.49
201912_s_at	GSPT1	G1 to S phase transition 1	3.252	16.03
201946_s_at	CCT2	chaperonin containing TCP1 subunit 2	3.995	13.271
201971_s_at	ATP6V1A	ATPase H+ transporting V1 subunit A	4.869	19.582
202022_at	ALDOC	aldolase, fructose-bisphosphate C	-3.141	9.287
202035_s_at	SFRP1	secreted frizzled related protein 1	-5.483	10.927
202036_s_at	SFRP1	secreted frizzled related protein 1	-5.757	9.143
202037_s_at	SFRP1	secreted frizzled related protein 1	-5.109	6.04
202089_s_at	SLC39A6	solute carrier family 39 member 6	4.468	11.055
