symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
BRCA2	0.9212839848526806	0.7905692212495534	0.9873946398214245	0.9499024563074586	0.9813019915695471	No data	0.7599134970145264	0.9934339184458882	0.607930797611621	No data	0.866273997846718	0.3427518711311005	0.7484167467634353	0.865457038266544	No data	No data	No data	No data	0.9801334095829701	No data	0.4605569999719339	No data	0	0	0	0	0	0	No data	-0.2824048538334253	-0.9475102956278109	0	No data	-1	No data	0.5	0.5
BRCA1	0.9143569868592725	No data	0.9764685251965094	0.9498093507902149	0.9549947196932794	No data	0.7599134970145264	0.9949610393712368	0.607930797611621	No data	0.8673294332592381	0.46829519143464304	0.6868571021082097	0.865457038266544	No data	No data	No data	No data	0.9980922545035777	No data	0.49233074303878244	No data	0	0	0	1	0	0	No data	-0.1446221731936017	-0.9488667918397983	0	No data	-1	No data	-1	-1
PIK3CA	0.8851784402115789	No data	No data	0.850705200438816	No data	No data	0.607930797611621	0.9190679877429972	No data	0.006079307976116211	0.964113391048134	0.9507700923463711	0.8007968431539079	0.9190679877429972	0.9263933578557112	No data	0.45050871494685185	No data	0.9939004808547823	0.02595672151452327	No data	1	0	0	1	1	1	0.9344549999999998	1	-0.9434087148372863	-0.9497310810501532	0	-1	-1	0	-1	-1
ESR1	0.8756148789124797	0.772788165381139	No data	0.27820844960907676	No data	No data	No data	No data	No data	No data	0.9321603717983165	0.7281513591756279	0.3799567485072632	0.9607983220922475	0.9926491834222386	No data	0.40285549686197236	No data	0.99929844832945	0.09467508312887606	0.2784930983858836	1	0	0	1	1	1	0.4789900000000003	1	-0.734142305570877	-0.9363843084471015	0	-1	-1	0	0.5	0
PALB2	0.8752950760324587	0.8024871321064571	0.9717428307927161	0.96938753885069	0.979400228199195	No data	0.7599134970145264	No data	No data	No data	0.8412836902101531	No data	No data	No data	No data	No data	No data	No data	0.9701631505747056	No data	No data	No data	0	0	0	0	1	0	No data	-0.11902923331494764	-0.888002481402976	0	No data	No data	No data	-1	-1
CHEK2	0.8690810224566764	0.855010030909952	0.9558142900173375	0.949713145258192	0.9539870382404698	No data	0.607930797611621	0.7599134970145264	No data	No data	0.6893009908072479	0.15198269940290526	0.6015981851365001	No data	0.12158615952232422	No data	No data	No data	0.9818200675919343	No data	No data	0.5	0	0	1	1	1	0.16206000000000031	1	0.6043022614451186	-0.6078789695597772	0	No data	-1	No data	-1	0
TP53	0.8673103092687808	0.5103675241617764	No data	0.9405338532091131	0.9190679877429972	No data	No data	No data	No data	No data	0.9541367339615631	0.9564293622093953	0.898826057259688	0.607930797611621	0.14353921610274387	No data	No data	No data	0.9963023522808606	No data	0.7881442247152147	0.75	0	0	1	1	0	0	No data	-0.7412024269167126	-0.9868348194278981	0	-1	-1	0	-1	-1
ERBB2	0.8604000441200628	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.930950346514941	0.8027428085085121	0	0.9857024850308149	0.9936897391186561	No data	0.39637086149020134	No data	0.9996855614805827	0.038803908551412886	No data	1	1	0	1	1	1	0.38247	1	-0.6678433535576394	-0.9660855487877462	0	-1	No data	0	-1	-1
ATM	0.8408003398062435	0.7278691450088631	0.557008343538678	0.9696210932206527	0.9285669064556789	No data	No data	No data	No data	No data	0.7130352430768466	0.31827784253842134	0.7219178221638001	No data	No data	No data	No data	No data	0.9798931773988252	0.04957106141593586	0.6662424358796969	No data	0	0	1	1	0	0.20974999999999966	1	-0.21092112520683948	-0.9367263302218387	0	-1	-1	0	-1	-1
CDH1	0.8306015052897018	No data	No data	0.9397659893378916	No data	No data	0.3039653988058105	No data	No data	No data	0.948052298388233	0.9321010987734144	0.6839221473130737	0.607930797611621	No data	No data	No data	No data	0.9938567966678412	0.04909241990117273	No data	No data	1	0	0	0	0	0.05895500000000027	0	-0.6736900165471594	-0.8900187294950584	0	No data	-1	0	0.5	0
RAD51C	0.8274287203791272	No data	No data	0.947856440027424	0.8860591375189377	No data	0.607930797611621	0.9066612367713315	0.607930797611621	No data	0.6940504501635887	No data	No data	No data	No data	No data	No data	No data	0.858063415301489	No data	No data	No data	0	0	0	0	0	0.1888300000000001	No data	0.29862107004964145	-0.7604508230984164	-1	No data	-1	0	-1	-1
BRIP1	0.8273879423215109	No data	No data	0.9497173130305013	0.9066612367713315	No data	0.607930797611621	0.865457038266544	No data	0.006079307976116211	0.8975843076841554	No data	No data	No data	No data	No data	No data	No data	0.911900238880968	0.0951681728635311	0.2521696948493004	No data	0	0	0	0	0	0	No data	-0.20783232211803637	-0.7026276895458378	0	No data	-1	0	0.5	0.5
AKT1	0.8251557812584152	No data	No data	0.6179791931844026	No data	No data	0.607930797611621	No data	No data	No data	0.9306555580104489	0.9168934977953029	0.547137717850459	No data	0.6550312980713093	No data	0.32755312024654293	0.865457038266544	0.9914781091551894	No data	No data	1	0	0	1	1	1	0.9166649999999997	1	-0.7152785438499725	-0.9432888528266111	0	-1	-1	-0.5729175000000002	-1	-1
PTEN	0.8133098874813076	No data	No data	0.8692574176733001	0.8274613634158176	No data	No data	No data	No data	No data	0.8688802771306964	0.9046911177290106	No data	0.9190679877429972	No data	No data	No data	No data	0.9906285422145491	0.03347386294795311	0.734145804950375	No data	0	0	0	1	0	No data	No data	-0.4570325427468285	-0.9669786446700481	0	-1	-1	0	-1	-1
RAD51D	0.7830740865219114	No data	No data	0.9345313239677899	0.865457038266544	No data	0.607930797611621	No data	0.607930797611621	No data	0.6517524759394587	No data	No data	No data	No data	No data	No data	No data	0.4449562242444738	No data	No data	No data	0	0	0	0	0	0.16158500000000017	No data	0.22062879205736352	-0.7124831075549498	0	No data	-1	0	-1	-1
MAP3K1	0.7780627396128927	0.8026836803946016	No data	No data	No data	0.3799567485072632	No data	No data	No data	No data	0.9349362541593118	0.9006315936456548	No data	No data	No data	No data	No data	No data	0.8392863583560685	0.020035822922915156	No data	0.5	0	0	1	1	0	0.48412500000000025	No data	-0.8420297848869278	-0.9388655500383736	0	No data	No data	0	-1	-1
FGFR2	0.7608853647557257	0.906682002695054	No data	No data	No data	No data	No data	No data	No data	No data	0.709125760424553	0.4223970718496074	No data	0.607930797611621	0.18798663098352444	No data	0.48391290562256256	0.7599134970145264	0.9569938024325074	0.08816412479180225	No data	1	0	1	1	1	1	0.8781950000000002	1	-0.9032542746828461	-0.9837676382762558	0	No data	-1	-0.2813649999999999	1	0
GATA3	0.7571277976766984	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9315693279673053	0.8542860829429482	0	0.607930797611621	No data	No data	0.3890757104714375	No data	0.9854618386120944	0.09505699170644964	No data	No data	0	0	0	0	0	0.81982	No data	-0.819746276889134	-0.9690534016613139	0	-1	-1	-0.16103500000000004	0.5	0
KRAS	0.7545726934427639	No data	No data	0.8747511514845779	0.8274613634158176	No data	No data	No data	No data	No data	0.7097168042555643	0.7108644797308266	0.547137717850459	No data	No data	No data	0.31126057301529386	No data	0.9426901785777143	No data	0.6005433966683974	1	0	0	1	1	0	0.5212749999999999	1	-0.9139547710976282	-0.9769115543146147	0	No data	-1	-0.6675525	-1	-1
BARD1	0.7542801341454898	No data	0.22296642377288542	0.949537003764039	No data	0.7599134970145264	No data	No data	No data	No data	0.7057296038082658	No data	No data	No data	No data	No data	No data	No data	0.9298816324353814	No data	0.257276313549238	No data	0	0	0	0	0	0	No data	0.212796469939327	-0.6992493381680317	-1	No data	-1	No data	-1	0
TBX3	0.7518933504192267	0.7984070832966415	No data	No data	No data	No data	No data	No data	No data	No data	0.9184184282751694	0.8091110646099839	No data	No data	No data	No data	0.29667022459632714	No data	0.9079031941427842	0.025435167706207035	0.26827986098600837	No data	0	0	0	0	0	0.6887949999999996	No data	-0.7221180364037507	-0.9780729690258305	0	No data	-1	0	0.5	0
EGFR	0.748234392816332	0.5696059957213009	No data	0.19453785523571876	No data	No data	No data	No data	No data	No data	0.7076059334305238	0.23815419955647615	0	No data	0.9527177100572455	No data	0.2942385153203124	No data	0.9951547793242812	0.14884440509839097	No data	1	1	1	1	1	1	0.5247950000000003	1	-0.7139547710976282	-0.9856076612666143	0	-1	-1	0	0.5	0
