Entrez ID,Gene Symbol,Oncogene Score,p-value,LogFC
6457,SH3GL3,0.00147832,1.2e-22,-6.34306
6733,SRPK2,0.046,1.37e-20,3.88955
80736,SLC44A4,0.0203249,6.64e-20,5.85068
441666,LOC441666,,2.29e-19,-5.38556
728747,ANKRD20A4,,1.72e-18,-4.94476
79666,PLEKHF2,0.00626298,1.72e-18,4.9842
1462,VCAN,0.110585,1.72e-18,7.45133
284802,FRG1BP,,1.85e-18,-6.07333
79966,SCD5,0.0914925,2.44e-18,-3.9069
54845,ESRP1,0.111273,4.98e-18,4.71584
2764,GMFB,0.00624446,5.09e-18,3.92518
1300,COL10A1,0.124576,1.54e-17,8.64166
1303,COL12A1,0.0367934,1.99e-17,7.2005
7430,EZR,0.30001,2.18e-17,5.38798
23213,SULF1,0.105679,3.49e-17,5.94413
523,ATP6V1A,0.0223508,3.67e-17,4.86917
51495,HACD3,0.00552591,3.67e-17,5.47022
10051,SMC4,0.0462414,4.55e-17,4.75038
3316,HSPB2,0.102566,4.68e-17,-3.42905
3597,IL13RA1,0.0180152,6.24e-17,4.21972
7163,TPD52,0.110839,1.07e-16,6.28158
6285,S100B,0.113127,1.53e-16,-5.56016
29035,C16orf72,,1.86e-16,3.3554
3169,FOXA1,0.720848,1.86e-16,3.82225
94274,PPP1R14A,0.0282798,2.17e-16,-4.75704
1452,CSNK1A1,0.0175744,2.69e-16,4.3834
55137,FIGN,0.0161318,3.24e-16,-3.42805
11015,KDELR3,0.00611479,5.41e-16,3.98919
56977,STOX2,0.0129408,5.41e-16,-3.68352
771,CA12,0.0800576,5.57e-16,6.13946
7334,UBE2N,0.0846993,5.58e-16,4.27918
2335,FN1,0.128612,6.37e-16,3.62455
89122,TRIM4,0.100679,8.51e-16,-3.28171
7247,TSN,0.0396049,8.69e-16,3.63724
152687,ZNF595,,1.11e-15,-5.43345
728577,CNTNAP3B,,1.11e-15,-3.59229
100874392,ANKRD20A12P,,1.11e-15,-4.24808
51128,SAR1B,0.00576408,1.11e-15,3.16507
5819,NECTIN2,0.0646235,1.13e-15,4.82155
9221,NOLC1,0.0989993,1.21e-15,3.51722
7018,TF,0.125651,1.36e-15,-5.1696
56674,TMEM9B,0.0195877,1.85e-15,4.79424
4735,SEPT2,,1.96e-15,4.80115
9315,NREP,0.278354,2.02e-15,4.73584
23190,UBXN4,,2.04e-15,5.05378
23196,FAM120A,0.00225944,2.05e-15,3.46084
285237,C3orf38,,2.11e-15,3.16563
7328,UBE2H,0.00441443,2.14e-15,4.15536
100507311,LOC100507311,,2.47e-15,-3.59949
9645,MICAL2,0.118407,2.47e-15,4.38373
22803,XRN2,0.00990577,3.22e-15,3.74323
4311,MME,0.148877,3.25e-15,-3.80433
1277,COL1A1,0.289892,3.33e-15,5.45264
53844,COPG2IT1,0.019716,3.38e-15,-4.30073
10565,ARFGEF1,0.019486,3.99e-15,3.45626
3624,INHBA,0.113923,4.31e-15,6.12171
813,CALU,0.04589,4.38e-15,4.30004
55209,SETD5,0.0264026,4.83e-15,4.07638
51129,ANGPTL4,0.125318,5.43e-15,-4.12753
23185,LARP4B,0.279847,5.43e-15,3.5556
286133,SCARA5,0.0414511,6e-15,-6.69457
5832,ALDH18A1,0.0156901,6.34e-15,3.2864
23158,TBC1D9,0.115415,8.41e-15,4.38515
440026,TMEM41B,0.0567305,8.59e-15,4.0356
79868,ALG13,0.0101306,9.26e-15,3.36644
57484,RNF150,0.0157461,1.07e-14,-3.93524
55568,GALNT10,0.0125144,1.08e-14,4.30092
101927345,LOC101927345,,1.09e-14,-3.49858
116461,TSEN15,,1.1e-14,3.38426
9689,BZW1,0.0121611,1.15e-14,3.024
4074,M6PR,0.030708,1.17e-14,4.03524
28977,MRPL42,0.00602199,1.3e-14,3.80953
9802,DAZAP2,,1.33e-14,4.77417
64788,LMF1,,1.35e-14,-3.89172
55851,PSENEN,0.112708,1.37e-14,4.50705
81544,GDPD5,0.0269424,1.4e-14,-3.08461
100532742,PIR-FIGF,,1.45e-14,-4.93675
8840,WISP1,,1.73e-14,6.24812
4881,NPR1,0.0314509,1.89e-14,-4.28927
5756,TWF1,0.0295056,1.89e-14,3.7329
2935,GSPT1,0.0132998,2.13e-14,3.25153
51728,POLR3K,0.0104517,2.13e-14,4.00956
8553,BHLHE40,0.188598,2.21e-14,5.58404
2173,FABP7,0.116286,2.38e-14,-4.47098
23063,WAPL,0.00278411,2.47e-14,3.32816
50810,HDGFRP3,,2.5e-14,3.5867
901,CCNG2,0.0332229,2.68e-14,5.52905
11161,C14orf1,,2.7e-14,3.87928
4179,CD46,0.0206253,3.09e-14,4.95172
4320,MMP11,0.124727,3.35e-14,6.22327
1009,CDH11,0.535108,3.37e-14,5.57914
84248,FYTTD1,,3.5e-14,3.73548
51809,GALNT7,0.0877755,3.88e-14,5.14328
54502,RBM47,0.0827156,4.48e-14,3.72244
79956,ERMP1,0.017469,4.92e-14,3.67619
3183,HNRNPC,0.093039,4.96e-14,3.33372
47,ACLY,0.0509526,5.39e-14,4.12335
1457,CSNK2A1,0.179897,5.68e-14,3.76121
4237,MFAP2,0.0930261,5.68e-14,4.80916
25820,ARIH1,0.0897513,5.68e-14,3.58495
10920,COPS8,0.00955528,5.78e-14,4.20772
80315,CPEB4,0.0312098,6.08e-14,4.47758
6391,SDHC,0.540249,6.08e-14,4.11557
7705,ZNF146,0.0210282,6.32e-14,3.883
57085,AGTRAP,0.0810119,6.47e-14,3.79947
