#node1,node2,node1_string_id,node2_string_id,combined_score
ABAT,SGPL1,9606.ENSP00000379845,9606.ENSP00000362298,0.581
ABCA1,SPTLC2,9606.ENSP00000363868,9606.ENSP00000216484,0.587
ABCA1,AGO2,9606.ENSP00000363868,9606.ENSP00000220592,0.637
ABCA1,CANX,9606.ENSP00000363868,9606.ENSP00000247461,0.454
ABCA1,SQLE,9606.ENSP00000363868,9606.ENSP00000265896,0.524
ABCA1,DMD,9606.ENSP00000363868,9606.ENSP00000354923,0.567
ABCA1,TBL1XR1,9606.ENSP00000363868,9606.ENSP00000405574,0.447
ABCA1,ATP8B1,9606.ENSP00000363868,9606.ENSP00000497896,0.545
ABCA1,RHOA,9606.ENSP00000363868,9606.ENSP00000400175,0.546
ABCA1,ESR1,9606.ENSP00000363868,9606.ENSP00000405330,0.613
ABHD17C,LYPLA1,9606.ENSP00000258884,9606.ENSP00000320043,0.69
ABHD2,LYPLA1,9606.ENSP00000268129,9606.ENSP00000320043,0.422
ACACB,THRSP,9606.ENSP00000341044,9606.ENSP00000281030,0.67
ACACB,GLUL,9606.ENSP00000341044,9606.ENSP00000307900,0.41
ACACB,RGS1,9606.ENSP00000341044,9606.ENSP00000356429,0.422
ACACB,MCCC2,9606.ENSP00000341044,9606.ENSP00000343657,0.766
ACACB,ALDH18A1,9606.ENSP00000341044,9606.ENSP00000360268,0.785
ACACB,ACLY,9606.ENSP00000341044,9606.ENSP00000466259,0.97
ACLY,PCK1,9606.ENSP00000466259,9606.ENSP00000319814,0.959
ACLY,MLXIPL,9606.ENSP00000466259,9606.ENSP00000320886,0.911
ACLY,SDHC,9606.ENSP00000466259,9606.ENSP00000356953,0.95
ACLY,HSP90AB1,9606.ENSP00000466259,9606.ENSP00000360609,0.42
ACTR2,GPRC5A,9606.ENSP00000367220,9606.ENSP00000014914,0.422
ACTR2,MAPK1,9606.ENSP00000367220,9606.ENSP00000215832,0.693
ACTR2,YWHAH,9606.ENSP00000367220,9606.ENSP00000248975,0.605
ACTR2,DSG2,9606.ENSP00000367220,9606.ENSP00000261590,0.44
ACTR2,PIK3C2A,9606.ENSP00000367220,9606.ENSP00000265970,0.51
ACTR2,ATP6V1A,9606.ENSP00000367220,9606.ENSP00000273398,0.405
ACTR2,CYBRD1,9606.ENSP00000367220,9606.ENSP00000319141,0.432
ACTR2,HIP1,9606.ENSP00000367220,9606.ENSP00000336747,0.415
ACTR2,EZR,9606.ENSP00000367220,9606.ENSP00000338934,0.426
ACTR2,GMFB,9606.ENSP00000367220,9606.ENSP00000350757,0.571
ACTR2,TAGLN2,9606.ENSP00000367220,9606.ENSP00000357076,0.51
ACTR2,MYO6,9606.ENSP00000367220,9606.ENSP00000358994,0.514
ACTR2,MAPRE1,9606.ENSP00000367220,9606.ENSP00000364721,0.459
ACTR2,DCTN4,9606.ENSP00000367220,9606.ENSP00000414906,0.404
ACTR2,SEPTIN2,9606.ENSP00000367220,9606.ENSP00000479861,0.411
ACTR2,DAAM1,9606.ENSP00000367220,9606.ENSP00000378557,0.443
ACTR2,TPM4,9606.ENSP00000367220,9606.ENSP00000494125,0.506
ACTR2,YWHAZ,9606.ENSP00000367220,9606.ENSP00000379287,0.53
ACTR2,ITGB1,9606.ENSP00000367220,9606.ENSP00000379350,0.559
ACTR2,TWF1,9606.ENSP00000367220,9606.ENSP00000449428,0.593
ACTR2,RHOA,9606.ENSP00000367220,9606.ENSP00000400175,0.647
ACTR2,ARPC4-TTLL3,9606.ENSP00000367220,9606.ENSP00000380427,0.777
ACTR2,CFL1,9606.ENSP00000367220,9606.ENSP00000432660,0.963
ADAM12,FBN1,9606.ENSP00000357668,9606.ENSP00000325527,0.445
ADAMTS2,COMP,9606.ENSP00000251582,9606.ENSP00000222271,0.436
ADAMTS2,COL1A1,9606.ENSP00000251582,9606.ENSP00000225964,0.936
ADAMTS2,MMP3,9606.ENSP00000251582,9606.ENSP00000299855,0.445
ADAMTS2,COL12A1,9606.ENSP00000251582,9606.ENSP00000325146,0.523
ADAMTS2,COL6A1,9606.ENSP00000251582,9606.ENSP00000355180,0.542
ADAMTS2,LOXL1,9606.ENSP00000251582,9606.ENSP00000261921,0.568
ADAMTS2,FN1,9606.ENSP00000251582,9606.ENSP00000346839,0.59
ADAMTS2,COL8A1,9606.ENSP00000251582,9606.ENSP00000261037,0.595
ADAMTS2,COL10A1,9606.ENSP00000251582,9606.ENSP00000327368,0.616
ADAMTS2,COL11A1,9606.ENSP00000251582,9606.ENSP00000359114,0.697
ADAMTS2,FBN1,9606.ENSP00000251582,9606.ENSP00000325527,0.736
ADAMTS2,COL5A2,9606.ENSP00000251582,9606.ENSP00000364000,0.797
ADAMTS2,COL5A1,9606.ENSP00000251582,9606.ENSP00000360882,0.826
ADAMTS2,COL1A2,9606.ENSP00000251582,9606.ENSP00000297268,0.946
ADAMTS5,COL1A1,9606.ENSP00000284987,9606.ENSP00000225964,0.55
ADAMTS5,TIMP3,9606.ENSP00000284987,9606.ENSP00000266085,0.888
ADAMTS5,COL11A1,9606.ENSP00000284987,9606.ENSP00000359114,0.414
ADAMTS5,FN1,9606.ENSP00000284987,9606.ENSP00000346839,0.442
ADAMTS5,COL10A1,9606.ENSP00000284987,9606.ENSP00000327368,0.662
ADAMTS5,MMP3,9606.ENSP00000284987,9606.ENSP00000299855,0.89
ADH1B,GSTM5,9606.ENSP00000306606,9606.ENSP00000256593,0.75
ADH1B,MAOA,9606.ENSP00000306606,9606.ENSP00000340684,0.946
ADH1B,ADH1C,9606.ENSP00000306606,9606.ENSP00000426083,0.986
ADH1C,GSTM5,9606.ENSP00000426083,9606.ENSP00000256593,0.738
ADH1C,MAOA,9606.ENSP00000426083,9606.ENSP00000340684,0.936
ADIPOQ,FABP4,9606.ENSP00000389814,9606.ENSP00000256104,0.942
ADIPOQ,MLXIPL,9606.ENSP00000389814,9606.ENSP00000320886,0.709
ADIPOQ,EBF1,9606.ENSP00000389814,9606.ENSP00000322898,0.61
