Gene Symbol Origin,Gene Symbol Target,Combined Score
ARF5,ARFGAP2,0.499
ARF5,ERP44,0.531
ARF5,TMED10,0.499
ARF5,COPB1,0.565
ARF5,ARCN1,0.554
ARF5,KDELR3,0.499
ARF5,SEC22B,0.499
ARF5,RAB1B,0.499
ARF5,TMED9,0.499
ARF5,TMED3,0.499
ARF5,RAB1A,0.499
ARF5,COPG2,0.604
ARF5,RAB11FIP3,0.657
ARF5,COPE,0.58
ARF5,SURF4,0.499
ARF5,ARFGAP3,0.499
ARF5,ARFIP2,0.457
ARF5,IKBKG,0.562
ARF5,ARF3,0.477
ARF5,SERPINH1,0.477
ARF5,COPA,0.61
ARF5,COPG1,0.604
ARF5,USO1,0.499
ARF5,ARF1,0.625
ARF5,COPZ2,0.516
ARF5,ARF4,0.675
ARF5,TMED7,0.499
ARF5,KDELR1,0.499
ARF5,TMED2,0.499
ARF5,GBF1,0.63
ARF5,ARFGAP1,0.499
ARF5,COPB2,0.581
ARF5,COPZ1,0.616
ARF5,GORAB,0.466
ARF5,NUDCD1,0.619
ARF5,KDELR2,0.499
M6PR,VAMP4,0.4
M6PR,VAMP7,0.499
M6PR,PLIN3,0.716
M6PR,TFRC,0.4
M6PR,VAMP8,0.499
M6PR,SCARB2,0.4
M6PR,AP2S1,0.499
M6PR,VPS51,0.499
M6PR,VPS54,0.499
M6PR,STX16,0.499
M6PR,AP1B1,0.499
M6PR,CD4,0.4
M6PR,GGA2,0.43
M6PR,VAMP2,0.499
M6PR,AP1S2,0.499
M6PR,STX10,0.499
M6PR,DNM2,0.499
M6PR,GNS,0.499
M6PR,VPS53,0.499
M6PR,IGF2R,0.9
M6PR,TF,0.4
M6PR,DNASE2,0.499
M6PR,CLTA,0.499
M6PR,AP1S1,0.499
M6PR,VPS52,0.499
M6PR,AP1S3,0.499
M6PR,VAMP3,0.499
M6PR,CTSZ,0.499
M6PR,GGA1,0.764
M6PR,AP2B1,0.499
M6PR,CLTC,0.499
M6PR,AP2A2,0.499
M6PR,RABEPK,0.499
M6PR,VTI1A,0.499
M6PR,IL7R,0.4
M6PR,ARRB1,0.499
M6PR,CD3G,0.4
M6PR,SLC2A8,0.4
M6PR,AP1G1,0.499
M6PR,TGOLN2,0.4
M6PR,ARF1,0.499
M6PR,CD3D,0.4
M6PR,AP2A1,0.499
M6PR,AP2M1,0.499
M6PR,RHOBTB3,0.499
M6PR,AP1M1,0.499
M6PR,GGA3,0.97
M6PR,RAB9A,0.499
M6PR,AP1M2,0.499
M6PR,GCC2,0.529
M6PR,TXNDC5,0.499
FKBP4,AGO2,0.452
FKBP4,PPID,0.878
FKBP4,PGR,0.926
FKBP4,MAPT,0.447
FKBP4,NPB,0.414
FKBP4,FKBP5,0.97
FKBP4,ESR1,0.836
FKBP4,HSP90AB1,0.995
FKBP4,HSPA8,0.838
FKBP4,HSP90AA1,0.995
FKBP4,MTOR,0.934
FKBP4,PHLPP1,0.983
FKBP4,HSPA2,0.52
FKBP4,PTGES3,0.951
FKBP4,HSPA1A,0.538
FKBP4,AHSA1,0.74
FKBP4,HSPA4,0.986
FKBP4,MAP3K7,0.467
FKBP4,PPP5C,0.4
FKBP4,NR3C1,0.975
FKBP4,AR,0.86
FKBP4,USP19,0.435
FKBP4,STIP1,0.721
FKBP4,GLMN,0.787
FKBP4,IRF4,0.592
FKBP4,HSF1,0.716
FKBP4,NR3C2,0.891
CYP26B1,CYP26A1,0.9
NDUFAF7,NDUFB9,0.499
NDUFAF7,NDUFA5,0.499
NDUFAF7,NDUFS8,0.499
NDUFAF7,NDUFB5,0.499
NDUFAF7,NDUFA11,0.499
NDUFAF7,NDUFB10,0.499
NDUFAF7,NDUFS7,0.566
NDUFAF7,NDUFC2,0.499
NDUFAF7,NDUFB7,0.499
NDUFAF7,NDUFB3,0.499
NDUFAF7,NDUFAF4,0.499
NDUFAF7,NDUFC1,0.499
