Entrez ID,Gene Symbol,LogFC,p-value,Oncogene Score
146894,CD300LG,-7.23858,2.69893e-06,0.0561863
130399,ACVR1C,-6.32836,0.00013473,0.0430467
3716,JAK1,2.70059,0.000205123,0.56724
64326,RFWD2,2.60511,2.34628e-05,
26112,CCDC69,-2.495,0.000923619,0.10651
11329,STK38,2.6241,1.0846e-06,0.066037
80760,ITIH5,-4.41743,4.27353e-05,0.100955
5905,RANGAP1,3.02738,5.64444e-06,0.00753286
2296,FOXC1,-4.24869,1.2765e-12,0.11829
255520,ELMOD2,2.91022,0.000148344,
64283,ARHGEF28,-2.57453,3.01923e-19,0.0536506
285527,FRYL,3.00291,1.09534e-05,0.0854655
5527,PPP2R5C,2.76816,3.01411e-07,0.0168877
10097,ACTR2,2.52303,1.79508e-05,0.0383319
7705,ZNF146,3.78032,0.000239572,0.0210282
23063,WAPAL,3.10554,1.12244e-06,
51128,SAR1B,3.58495,1.54201e-06,0.00576408
140738,TMEM37,-3.2251,0.000124581,0.122516
220965,FAM13C,-2.73037,4.34409e-05,0.0132404
90522,YIF1B,2.9313,3.08475e-10,0.00277185
10380,BPNT1,2.47674,1.47113e-05,0.00462894
5716,PSMD10,2.54856,3.01859e-05,0.0844201
51008,ASCC1,3.61239,0.000508326,0.0355897
4735,SEPT2,3.87064,2.15688e-06,
84105,PCBD2,2.35818,0.000104376,
2207,FCER1G,3.00297,2.15572e-05,0.00651257
9926,LPGAT1,2.51231,1.37145e-05,
85465,EPT1,3.1193,4.06531e-06,
9793,CKAP5,2.71579,7.11375e-08,0.0540502
10492,SYNCRIP,2.84304,2.47374e-05,0.00147832
10055,SAE1,3.6339,8.03396e-09,0.0958109
1072,CFL1,3.09923,3.02264e-11,0.111958
57085,AGTRAP,2.99245,1.13469e-07,0.0810119
10631,POSTN,4.77936,0.000131997,0.114671
10092,ARPC5,2.47106,4.65168e-07,0.00628286
397,ARHGDIB,2.86615,0.000122943,0.0841741
387,RHOA,2.781,5.15891e-06,0.44523
10489,LRRC41,2.60537,1.14648e-05,0.459289
440944,THUMPD3-AS1,2.813,0.000762323,
1452,CSNK1A1,3.65428,1.58852e-07,0.0175744
?,CTB-167B5.2,-2.56495,2.34195e-05,
100652856,LINC00408,-4.9985,5.49311e-08,
100507098,ADAMTS9-AS2,-4.42437,1.69426e-06,0.02325
221091,LRRN4CL,-5.37452,7.95436e-07,0.0183756
285313,IGSF10,-3.8877,2.19936e-07,0.087775
203427,SLC25A43,2.52748,0.000906769,0.04124
101927870,LOC101927870,-3.56377,5.82757e-05,
3326,HSP90AB1,4.13289,3.66673e-05,0.310776
9147,NEMF,2.55303,2.90123e-05,0.118266
100127983,C8orf88,-2.53321,1.33916e-12,
5611,DNAJC3,3.31459,0.000322634,0.0514781
9782,MATR3,3.86351,0.000275084,0.0871892
1495,CTNNA1,3.56821,0.000612608,0.415202
6733,SRPK2,3.90361,6.63803e-07,0.046
