#node1,node2,node1_string_id,node2_string_id,combined_score
ABI1,ARPC5,9606.ENSP00000365312,9606.ENSP00000294742,0.499
ABI1,ACTR2,9606.ENSP00000365312,9606.ENSP00000367220,0.499
ACTR2,GPRC5A,9606.ENSP00000367220,9606.ENSP00000014914,0.422
ACTR2,ARPC5,9606.ENSP00000367220,9606.ENSP00000294742,0.998
ACTR2,CFL1,9606.ENSP00000367220,9606.ENSP00000432660,0.443
ACVR1C,INHBA,9606.ENSP00000243349,9606.ENSP00000242208,0.502
ADCY4,GNAI1,9606.ENSP00000312126,9606.ENSP00000497260,0.499
ADCY4,GNAI3,9606.ENSP00000312126,9606.ENSP00000358867,0.499
ADCY4,GNAL,9606.ENSP00000312126,9606.ENSP00000334051,0.609
ADH1B,ADH1C,9606.ENSP00000306606,9606.ENSP00000426083,0.946
ADRB1,ADRB2,9606.ENSP00000358301,9606.ENSP00000305372,0.919
ADRB2,SLC9A3R1,9606.ENSP00000305372,9606.ENSP00000262613,0.618
ADRB2,FZD4,9606.ENSP00000305372,9606.ENSP00000434034,0.4
ADRB2,GNB1,9606.ENSP00000305372,9606.ENSP00000367872,0.521
ADRB2,AKAP12,9606.ENSP00000305372,9606.ENSP00000384537,0.457
AGR2,YWHAE,9606.ENSP00000391490,9606.ENSP00000264335,0.457
AGR2,P4HB,9606.ENSP00000391490,9606.ENSP00000327801,0.457
AGR2,HSP90AB1,9606.ENSP00000391490,9606.ENSP00000360609,0.457
AGR2,YWHAZ,9606.ENSP00000391490,9606.ENSP00000379287,0.457
AGR2,RAB1A,9606.ENSP00000391490,9606.ENSP00000387286,0.457
AGTRAP,ESRP1,9606.ENSP00000319713,9606.ENSP00000405738,0.499
ALYREF,DDX39A,9606.ENSP00000421592,9606.ENSP00000242776,0.841
ALYREF,NCBP1,9606.ENSP00000421592,9606.ENSP00000364289,0.739
ALYREF,SRSF2,9606.ENSP00000421592,9606.ENSP00000376276,0.616
ANGPT1,PIK3R2,9606.ENSP00000428340,9606.ENSP00000222254,0.499
ANGPT1,GRB7,9606.ENSP00000428340,9606.ENSP00000403459,0.499
ANK2,SCN3A,9606.ENSP00000349588,9606.ENSP00000283254,0.499
ANK2,SCN4B,9606.ENSP00000349588,9606.ENSP00000322460,0.499
AOC3,MAOA,9606.ENSP00000312326,9606.ENSP00000340684,0.9
AP1M2,M6PR,9606.ENSP00000465685,9606.ENSP00000000412,0.499
AP1M2,CD74,9606.ENSP00000465685,9606.ENSP00000009530,0.499
AP1M2,IGF2R,9606.ENSP00000465685,9606.ENSP00000349437,0.499
AP1M2,HLA-DRA,9606.ENSP00000465685,9606.ENSP00000378786,0.499
AP1M2,NCALD,9606.ENSP00000465685,9606.ENSP00000379256,0.54
ARF4,KDELR3,9606.ENSP00000306010,9606.ENSP00000386918,0.499
ARF4,RAB1A,9606.ENSP00000306010,9606.ENSP00000387286,0.499
ARF4,ASAP1,9606.ENSP00000306010,9606.ENSP00000429900,0.499
ARF6,ASAP1,9606.ENSP00000298316,9606.ENSP00000429900,0.457
ARF6,RAB1A,9606.ENSP00000298316,9606.ENSP00000387286,0.527
ARHGDIB,RHOA,9606.ENSP00000228945,9606.ENSP00000400175,0.812
ARHGEF28,RHOA,9606.ENSP00000441913,9606.ENSP00000400175,0.519
ASCC1,FANCI,9606.ENSP00000339404,9606.ENSP00000310842,0.54
ATP1A2,ATP6V1A,9606.ENSP00000354490,9606.ENSP00000273398,0.422
