#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABI1	ARPC5	9606.ENSP00000365312	9606.ENSP00000294742	0	0	0.500	0	0.499
ABI1	ACTR2	9606.ENSP00000365312	9606.ENSP00000367220	0	0	0.500	0	0.499
ACTR2	GPRC5A	9606.ENSP00000367220	9606.ENSP00000014914	0	0.422	0	0	0.422
ACTR2	ARPC5	9606.ENSP00000367220	9606.ENSP00000294742	0	0.981	0.900	0	0.998
ACTR2	CFL1	9606.ENSP00000367220	9606.ENSP00000432660	0	0.443	0	0	0.443
ACVR1C	INHBA	9606.ENSP00000243349	9606.ENSP00000242208	0	0.046	0.500	0	0.502
ADCY4	GNAI1	9606.ENSP00000312126	9606.ENSP00000497260	0	0	0.500	0	0.499
ADCY4	GNAI3	9606.ENSP00000312126	9606.ENSP00000358867	0	0	0.500	0	0.499
ADCY4	GNAL	9606.ENSP00000312126	9606.ENSP00000334051	0	0.251	0.500	0	0.609
ADH1B	ADH1C	9606.ENSP00000306606	9606.ENSP00000426083	0	0.484	0.900	0	0.946
ADRB1	ADRB2	9606.ENSP00000358301	9606.ENSP00000305372	0	0.230	0.900	0	0.919
ADRB2	SLC9A3R1	9606.ENSP00000305372	9606.ENSP00000262613	0	0.618	0	0	0.618
ADRB2	FZD4	9606.ENSP00000305372	9606.ENSP00000434034	0	0	0.400	0	0.400
ADRB2	GNB1	9606.ENSP00000305372	9606.ENSP00000367872	0	0.521	0	0	0.521
ADRB2	AKAP12	9606.ENSP00000305372	9606.ENSP00000384537	0	0.457	0	0	0.457
AGR2	YWHAE	9606.ENSP00000391490	9606.ENSP00000264335	0	0.457	0	0	0.457
AGR2	P4HB	9606.ENSP00000391490	9606.ENSP00000327801	0	0.457	0	0	0.457
AGR2	HSP90AB1	9606.ENSP00000391490	9606.ENSP00000360609	0	0.457	0	0	0.457
AGR2	YWHAZ	9606.ENSP00000391490	9606.ENSP00000379287	0	0.457	0	0	0.457
AGR2	RAB1A	9606.ENSP00000391490	9606.ENSP00000387286	0	0.457	0	0	0.457
AGTRAP	ESRP1	9606.ENSP00000319713	9606.ENSP00000405738	0	0	0.500	0	0.499
ALYREF	DDX39A	9606.ENSP00000421592	9606.ENSP00000242776	0	0.695	0.500	0	0.841
ALYREF	NCBP1	9606.ENSP00000421592	9606.ENSP00000364289	0	0.499	0.500	0	0.739
ALYREF	SRSF2	9606.ENSP00000421592	9606.ENSP00000376276	0	0.616	0	0	0.616
ANGPT1	PIK3R2	9606.ENSP00000428340	9606.ENSP00000222254	0	0	0.500	0	0.499
ANGPT1	GRB7	9606.ENSP00000428340	9606.ENSP00000403459	0	0	0.500	0	0.499
ANK2	SCN3A	9606.ENSP00000349588	9606.ENSP00000283254	0	0	0.500	0	0.499
ANK2	SCN4B	9606.ENSP00000349588	9606.ENSP00000322460	0	0	0.500	0	0.499
AOC3	MAOA	9606.ENSP00000312326	9606.ENSP00000340684	0	0	0.900	0	0.900
AP1M2	M6PR	9606.ENSP00000465685	9606.ENSP00000000412	0	0	0.500	0	0.499
AP1M2	CD74	9606.ENSP00000465685	9606.ENSP00000009530	0	0	0.500	0	0.499
AP1M2	IGF2R	9606.ENSP00000465685	9606.ENSP00000349437	0	0	0.500	0	0.499
AP1M2	HLA-DRA	9606.ENSP00000465685	9606.ENSP00000378786	0	0	0.500	0	0.499
AP1M2	NCALD	9606.ENSP00000465685	9606.ENSP00000379256	0	0	0.540	0	0.540
ARF4	KDELR3	9606.ENSP00000306010	9606.ENSP00000386918	0	0	0.500	0	0.499
ARF4	RAB1A	9606.ENSP00000306010	9606.ENSP00000387286	0	0	0.500	0	0.499
ARF4	ASAP1	9606.ENSP00000306010	9606.ENSP00000429900	0	0	0.500	0	0.499
ARF6	ASAP1	9606.ENSP00000298316	9606.ENSP00000429900	0	0.457	0	0	0.457
ARF6	RAB1A	9606.ENSP00000298316	9606.ENSP00000387286	0	0.527	0	0	0.527
ARHGDIB	RHOA	9606.ENSP00000228945	9606.ENSP00000400175	0	0.400	0.700	0	0.812
ARHGEF28	RHOA	9606.ENSP00000441913	9606.ENSP00000400175	0	0.519	0	0	0.519
ASCC1	FANCI	9606.ENSP00000339404	9606.ENSP00000310842	0	0	0.540	0	0.540
ATP1A2	ATP6V1A	9606.ENSP00000354490	9606.ENSP00000273398	0	0.422	0	0	0.422
ATP1A2	ATP2A2	9606.ENSP00000354490	9606.ENSP00000440045	0	0	0.720	0	0.720
ATP1A2	FXYD1	9606.ENSP00000354490	9606.ENSP00000481244	0	0	0.900	0	0.900
ATP2A2	EGFR	9606.ENSP00000440045	9606.ENSP00000275493	0	0.400	0	0	0.400
ATP2A2	FXYD1	9606.ENSP00000440045	9606.ENSP00000481244	0	0	0.720	0	0.720
ATP6V1A	ATP6V1C1	9606.ENSP00000273398	9606.ENSP00000430282	0	0.949	0.720	0	0.985
AURKA	UBE2N	9606.ENSP00000216911	9606.ENSP00000316176	0	0.457	0	0	0.457
AURKA	UBE2S	9606.ENSP00000216911	9606.ENSP00000264552	0	0	0.500	0	0.499
AURKA	CCNE2	9606.ENSP00000216911	9606.ENSP00000429089	0	0.616	0	0	0.616
AURKA	CDK1	9606.ENSP00000216911	9606.ENSP00000378699	0	0.497	0	0	0.497
AURKA	CALU	9606.ENSP00000216911	9606.ENSP00000438248	0	0.724	0	0	0.724
AURKA	CCNB2	9606.ENSP00000216911	9606.ENSP00000288207	0	0.616	0	0	0.616
AURKA	UBE2C	9606.ENSP00000216911	9606.ENSP00000348838	0	0.292	0.400	0	0.557
AURKA	TACC3	9606.ENSP00000216911	9606.ENSP00000326550	0	0.943	0	0	0.943
AURKA	TPX2	9606.ENSP00000216911	9606.ENSP00000300403	0	0.971	0.900	0	0.996
BCL11A	EZH2	9606.ENSP00000496168	9606.ENSP00000320147	0	0.429	0	0	0.428
BOC	CTNNA1	9606.ENSP00000273395	9606.ENSP00000304669	0	0	0.500	0	0.499
BSG	HSP90AB1	9606.ENSP00000333769	9606.ENSP00000360609	0	0.457	0	0	0.457
BSG	SLC16A7	9606.ENSP00000333769	9606.ENSP00000448071	0	0	0.500	0	0.499
BSG	CAV1	9606.ENSP00000333769	9606.ENSP00000339191	0	0.118	0.900	0	0.908
BUB1	NDC80	9606.ENSP00000302530	9606.ENSP00000261597	0	0.725	0	0	0.725
BUB1	NUF2	9606.ENSP00000302530	9606.ENSP00000271452	0	0.725	0	0	0.725
BUB1	ZWINT	9606.ENSP00000302530	9606.ENSP00000363055	0	0.725	0	0	0.725
BUB1	BUB3	9606.ENSP00000302530	9606.ENSP00000357858	0	0.750	0.900	0	0.973
BUB3	UBE2S	9606.ENSP00000357858	9606.ENSP00000264552	0	0	0.500	0	0.499
BUB3	UBE2C	9606.ENSP00000357858	9606.ENSP00000348838	0	0	0.500	0	0.499
BUB3	NEK2	9606.ENSP00000357858	9606.ENSP00000355966	0	0	0.500	0	0.499
BUB3	CDK1	9606.ENSP00000357858	9606.ENSP00000378699	0	0	0.500	0	0.499
BZW1	CDC5L	9606.ENSP00000394316	9606.ENSP00000360532	0	0.427	0	0	0.426
CALML3	HSP90B1	9606.ENSP00000315299	9606.ENSP00000299767	0	0	0.800	0	0.800
CALML3	HSP90AB1	9606.ENSP00000315299	9606.ENSP00000360609	0	0	0.800	0	0.800
CALML3	CAV1	9606.ENSP00000315299	9606.ENSP00000339191	0	0	0.800	0	0.800
CALU	DNAJC10	9606.ENSP00000438248	9606.ENSP00000264065	0	0.520	0	0	0.520
CALU	HSP90B1	9606.ENSP00000438248	9606.ENSP00000299767	0	0.559	0	0	0.559
CALU	P4HB	9606.ENSP00000438248	9606.ENSP00000327801	0	0.611	0	0	0.611
CALU	DNAJC3	9606.ENSP00000438248	9606.ENSP00000473631	0	0.443	0	0	0.443
CAPRIN1	FUS	9606.ENSP00000340329	9606.ENSP00000254108	0	0.430	0	0	0.430
CAPRIN1	LARP4B	9606.ENSP00000340329	9606.ENSP00000326128	0	0.400	0	0	0.400
CAV1	YIPF5	9606.ENSP00000339191	9606.ENSP00000274496	0	0.422	0	0	0.422
CAV1	EGFR	9606.ENSP00000339191	9606.ENSP00000275493	0	0.523	0.800	0	0.900
CAV1	HSP90B1	9606.ENSP00000339191	9606.ENSP00000299767	0	0	0.800	0	0.800
CAV1	CAVIN2	9606.ENSP00000339191	9606.ENSP00000305675	0	0.423	0	0	0.422
CAV1	RHOJ	9606.ENSP00000339191	9606.ENSP00000316729	0	0.125	0.500	0	0.543
CAV1	RHOA	9606.ENSP00000339191	9606.ENSP00000400175	0	0.375	0.400	0	0.608
CAV1	HSP90AB1	9606.ENSP00000339191	9606.ENSP00000360609	0	0	0.800	0	0.800
CAV1	ESR1	9606.ENSP00000339191	9606.ENSP00000405330	0	0.457	0.500	0	0.716
CCDC69	RMI2	9606.ENSP00000347586	9606.ENSP00000310356	0	0.656	0	0	0.656
CCDC69	RMI1	9606.ENSP00000347586	9606.ENSP00000317039	0	0.605	0	0	0.605
CCDC8	KRT14	9606.ENSP00000303158	9606.ENSP00000167586	0	0.457	0	0	0.457
CCL21	CCL28	9606.ENSP00000259607	9606.ENSP00000354416	0	0.734	0	0	0.734
CCL21	CXCL2	9606.ENSP00000259607	9606.ENSP00000427279	0	0.734	0	0	0.734
CCL28	CXCL2	9606.ENSP00000354416	9606.ENSP00000427279	0	0.734	0	0	0.734
CCNB1	UBE2S	9606.ENSP00000256442	9606.ENSP00000264552	0	0	0.500	0	0.499
CCNB1	CDK5	9606.ENSP00000256442	9606.ENSP00000419782	0	0.438	0	0	0.438
CCNB1	PCNA	9606.ENSP00000256442	9606.ENSP00000368458	0	0.564	0	0	0.564
CCNB1	CDKN1C	9606.ENSP00000256442	9606.ENSP00000413720	0	0.457	0	0	0.457
CCNB1	NDC80	9606.ENSP00000256442	9606.ENSP00000261597	0	0.226	0.720	0	0.774
CCNB1	UBE2C	9606.ENSP00000256442	9606.ENSP00000348838	0	0	0.500	0	0.499
CCNB1	CKS2	9606.ENSP00000256442	9606.ENSP00000364976	0	0.934	0	0	0.934
CCNB1	CCNB2	9606.ENSP00000256442	9606.ENSP00000288207	0	0.724	0.900	0	0.971
CCNB1	CDK1	9606.ENSP00000256442	9606.ENSP00000378699	0	0.975	0.900	0	0.997
CCNB2	CKS2	9606.ENSP00000288207	9606.ENSP00000364976	0	0.632	0	0	0.632
CCNB2	CCNE2	9606.ENSP00000288207	9606.ENSP00000429089	0	0.616	0	0	0.616
CCNB2	CDK1	9606.ENSP00000288207	9606.ENSP00000378699	0	0.660	0.900	0	0.964
CCNE2	PCNA	9606.ENSP00000429089	9606.ENSP00000368458	0	0.670	0	0	0.670
CCNE2	CDK1	9606.ENSP00000429089	9606.ENSP00000378699	0	0.643	0	0	0.643
CD74	SEC24D	9606.ENSP00000009530	9606.ENSP00000280551	0	0	0.500	0	0.499
CD74	SAR1B	9606.ENSP00000009530	9606.ENSP00000385432	0	0	0.500	0	0.499
CD74	HLA-DRA	9606.ENSP00000009530	9606.ENSP00000378786	0	0.933	0.900	0	0.993
CDC5L	LSM4	9606.ENSP00000360532	9606.ENSP00000469468	0	0.800	0	0	0.800
CDC5L	NCBP1	9606.ENSP00000360532	9606.ENSP00000364289	0	0.838	0	0	0.838
CDCA5	WAPL	9606.ENSP00000275517	9606.ENSP00000298767	0	0.421	0.800	0	0.879
CDH11	CTNNA1	9606.ENSP00000268603	9606.ENSP00000304669	0	0.042	0.540	0	0.540
CDK1	FOXA1	9606.ENSP00000378699	9606.ENSP00000250448	0	0.457	0	0	0.457
CDK1	SPDYE1	9606.ENSP00000378699	9606.ENSP00000258704	0	0	0.800	0	0.800
CDK1	UBE2S	9606.ENSP00000378699	9606.ENSP00000264552	0	0	0.500	0	0.499
CDK1	EGFR	9606.ENSP00000378699	9606.ENSP00000275493	0	0.541	0	0	0.541
CDK1	EZH2	9606.ENSP00000378699	9606.ENSP00000320147	0	0.457	0	0	0.457
CDK1	UBE2C	9606.ENSP00000378699	9606.ENSP00000348838	0	0	0.500	0	0.499
CDK1	CKS2	9606.ENSP00000378699	9606.ENSP00000364976	0	0.972	0	0	0.972
CDK1	PCNA	9606.ENSP00000378699	9606.ENSP00000368458	0	0.584	0	0	0.584
CDK1	CDKN1C	9606.ENSP00000378699	9606.ENSP00000413720	0	0.671	0	0	0.671
CDK5	NES	9606.ENSP00000419782	9606.ENSP00000357206	0	0.457	0	0	0.457
CDK5	PCNA	9606.ENSP00000419782	9606.ENSP00000368458	0	0.667	0	0	0.667
CDKN1C	PCNA	9606.ENSP00000413720	9606.ENSP00000368458	0	0.460	0	0	0.460
CENPK	CENPM	9606.ENSP00000379911	9606.ENSP00000215980	0	0.947	0.800	0	0.988
CENPK	CENPU	9606.ENSP00000379911	9606.ENSP00000281453	0	0.920	0.800	0	0.983
CENPK	CENPW	9606.ENSP00000379911	9606.ENSP00000357308	0	0.800	0.800	0	0.958
CENPM	CENPW	9606.ENSP00000215980	9606.ENSP00000357308	0	0.800	0.800	0	0.958
CENPM	CENPU	9606.ENSP00000215980	9606.ENSP00000281453	0	0.917	0.800	0	0.982
CENPU	CENPW	9606.ENSP00000281453	9606.ENSP00000357308	0	0.800	0.800	0	0.958
CERS2	CERS6	9606.ENSP00000271688	9606.ENSP00000376453	0	0	0.900	0	0.900
CFH	PTX3	9606.ENSP00000356399	9606.ENSP00000295927	0	0.549	0	0	0.549
CFH	PLAUR	9606.ENSP00000356399	9606.ENSP00000339328	0	0	0.540	0	0.540
CFH	PLAU	9606.ENSP00000356399	9606.ENSP00000361850	0	0	0.540	0	0.540
CFL1	EGFR	9606.ENSP00000432660	9606.ENSP00000275493	0	0.464	0	0	0.463
CIDEA	CIDEC	9606.ENSP00000320209	9606.ENSP00000373328	0	0.292	0.900	0	0.926
CITED1	FOXA1	9606.ENSP00000401764	9606.ENSP00000250448	0	0	0.500	0	0.499
CITED1	GATA3	9606.ENSP00000401764	9606.ENSP00000368632	0	0	0.500	0	0.499
CITED1	ESR1	9606.ENSP00000401764	9606.ENSP00000405330	0	0.292	0.500	0	0.630
CKAP5	NDC80	9606.ENSP00000432768	9606.ENSP00000261597	0	0.847	0	0	0.847
CKAP5	NUF2	9606.ENSP00000432768	9606.ENSP00000271452	0	0.471	0	0	0.471
CKAP5	TACC3	9606.ENSP00000432768	9606.ENSP00000326550	0	0.729	0	0	0.729
CKAP5	MAPRE1	9606.ENSP00000432768	9606.ENSP00000364721	0	0.644	0	0	0.644
CLDN11	CLDN8	9606.ENSP00000064724	9606.ENSP00000382783	0	0	0.650	0	0.650
CLDN11	CLDN5	9606.ENSP00000064724	9606.ENSP00000385477	0	0	0.650	0	0.650
CLDN11	CLDN7	9606.ENSP00000064724	9606.ENSP00000353475	0	0	0.650	0	0.650
CLDN11	CLDN3	9606.ENSP00000064724	9606.ENSP00000378577	0	0	0.650	0	0.650
CLDN3	CLDN7	9606.ENSP00000378577	9606.ENSP00000353475	0	0	0.650	0	0.650
CLDN3	CLDN8	9606.ENSP00000378577	9606.ENSP00000382783	0	0	0.650	0	0.650
CLDN3	CLDN5	9606.ENSP00000378577	9606.ENSP00000385477	0	0.292	0.650	0	0.741
CLDN5	CLDN7	9606.ENSP00000385477	9606.ENSP00000353475	0	0	0.650	0	0.650
CLDN5	CLDN8	9606.ENSP00000385477	9606.ENSP00000382783	0	0	0.650	0	0.650
CLDN7	CLDN8	9606.ENSP00000353475	9606.ENSP00000382783	0	0	0.650	0	0.650
CNN1	RNF150	9606.ENSP00000252456	9606.ENSP00000425840	0	0.459	0	0	0.459
COL10A1	P3H2	9606.ENSP00000327368	9606.ENSP00000316881	0	0	0.500	0	0.499
COL10A1	COL12A1	9606.ENSP00000327368	9606.ENSP00000325146	0	0.164	0.400	0	0.476
COL10A1	P4HB	9606.ENSP00000327368	9606.ENSP00000327801	0	0.363	0.500	0	0.667
COL12A1	P3H2	9606.ENSP00000325146	9606.ENSP00000316881	0	0	0.500	0	0.499
COL12A1	P4HB	9606.ENSP00000325146	9606.ENSP00000327801	0	0	0.500	0	0.499
COL5A2	P3H2	9606.ENSP00000364000	9606.ENSP00000316881	0	0	0.500	0	0.499
COL5A2	P4HB	9606.ENSP00000364000	9606.ENSP00000327801	0	0	0.500	0	0.499
COL6A6	P3H2	9606.ENSP00000351310	9606.ENSP00000316881	0	0	0.500	0	0.499
COL6A6	P4HB	9606.ENSP00000351310	9606.ENSP00000327801	0	0	0.500	0	0.499
COL6A6	PDGFA	9606.ENSP00000351310	9606.ENSP00000346508	0	0	0.500	0	0.499
COMMD10	LRRC41	9606.ENSP00000274458	9606.ENSP00000477792	0	0	0.500	0	0.499
COMMD10	ZBTB16	9606.ENSP00000274458	9606.ENSP00000338157	0	0	0.500	0	0.499
COMMD10	KLHL13	9606.ENSP00000274458	9606.ENSP00000419803	0	0	0.500	0	0.499
COMMD10	COP1	9606.ENSP00000274458	9606.ENSP00000356641	0	0	0.500	0	0.499
COMMD10	DTL	9606.ENSP00000274458	9606.ENSP00000355958	0	0	0.500	0	0.499
COMMD10	DDA1	9606.ENSP00000274458	9606.ENSP00000352928	0	0	0.500	0	0.499
COMMD10	LRR1	9606.ENSP00000274458	9606.ENSP00000298288	0	0	0.500	0	0.499
COP1	DDA1	9606.ENSP00000356641	9606.ENSP00000352928	0	0.457	0.900	0	0.943
COP1	DTL	9606.ENSP00000356641	9606.ENSP00000355958	0	0	0.900	0	0.900
CRABP2	RARA	9606.ENSP00000482841	9606.ENSP00000254066	0	0	0.500	0	0.499
CRYAB	HSPB1	9606.ENSP00000433560	9606.ENSP00000248553	0	0.524	0	0	0.524
CRYAB	HSPB2	9606.ENSP00000433560	9606.ENSP00000302476	0	0.524	0	0	0.524
CSNK1A1	PPP1R14A	9606.ENSP00000261798	9606.ENSP00000301242	0	0.457	0	0	0.457
CSNK1A1	PPP2R5C	9606.ENSP00000261798	9606.ENSP00000412324	0	0	0.500	0	0.499
CSNK1A1	CSNK1D	9606.ENSP00000261798	9606.ENSP00000381531	0	0.515	0	0	0.515
CSNK1A1	HMMR	9606.ENSP00000261798	9606.ENSP00000377492	0	0.524	0	0	0.524
CSNK1A1	PNO1	9606.ENSP00000261798	9606.ENSP00000263657	0	0.800	0	0	0.800
CSNK1D	TP63	9606.ENSP00000381531	9606.ENSP00000264731	0	0.900	0	0	0.900
CSTF1	RRM2	9606.ENSP00000217109	9606.ENSP00000353770	0	0.422	0	0	0.422
CSTF1	NCBP1	9606.ENSP00000217109	9606.ENSP00000364289	0	0	0.500	0	0.499
CSTF1	NUDT21	9606.ENSP00000217109	9606.ENSP00000300291	0	0	0.540	0	0.540
CTNNA1	EGFR	9606.ENSP00000304669	9606.ENSP00000275493	0	0.542	0	0	0.542
CTNNA1	MAPRE1	9606.ENSP00000304669	9606.ENSP00000364721	0	0.422	0	0	0.422
CTNNA1	DMD	9606.ENSP00000304669	9606.ENSP00000354923	0	0.431	0	0	0.430
CTPS1	TSN	9606.ENSP00000497744	9606.ENSP00000374332	0	0.420	0	0	0.420
CX3CL1	GNG2	9606.ENSP00000006053	9606.ENSP00000334448	0	0.800	0	0	0.800
CX3CL1	GNAI1	9606.ENSP00000006053	9606.ENSP00000497260	0	0.800	0	0	0.800
CX3CL1	GNB1	9606.ENSP00000006053	9606.ENSP00000367872	0	0.800	0	0	0.800
DCTN4	KIF11	9606.ENSP00000414906	9606.ENSP00000260731	0	0	0.500	0	0.499
DCTN4	KIF2C	9606.ENSP00000414906	9606.ENSP00000361298	0	0	0.500	0	0.499
DCTN4	KIF20A	9606.ENSP00000414906	9606.ENSP00000378356	0	0	0.500	0	0.499
DCTN4	RACGAP1	9606.ENSP00000414906	9606.ENSP00000404190	0	0	0.500	0	0.499
DDA1	DTL	9606.ENSP00000352928	9606.ENSP00000355958	0	0.457	0.900	0	0.943
DESI1	PSMD12	9606.ENSP00000263256	9606.ENSP00000348442	0	0.734	0	0	0.734
DICER1	TSN	9606.ENSP00000437256	9606.ENSP00000374332	0	0	0.540	0	0.540
DICER1	EIF4E	9606.ENSP00000437256	9606.ENSP00000425561	0	0	0.900	0	0.900
DMD	LAMB3	9606.ENSP00000354923	9606.ENSP00000375778	0	0	0.500	0	0.499
DMD	PGM5	9606.ENSP00000354923	9606.ENSP00000379678	0	0	0.720	0	0.720
DNAJB1	PYCR3	9606.ENSP00000254322	9606.ENSP00000220966	0	0.421	0	0	0.420
DNAJC10	P4HB	9606.ENSP00000264065	9606.ENSP00000327801	0	0.233	0.360	0	0.488
DNAJC10	HSP90B1	9606.ENSP00000264065	9606.ENSP00000299767	0	0.249	0.360	0	0.498
DNAJC3	P4HB	9606.ENSP00000473631	9606.ENSP00000327801	0	0.446	0	0	0.446
DONSON	PCNA	9606.ENSP00000307143	9606.ENSP00000368458	0	0.292	0.720	0	0.793
DST	LAMB3	9606.ENSP00000307959	9606.ENSP00000375778	0	0	0.500	0	0.499
