Entrez ID,Gene Symbol,LogFC,p-value,Oncogene Score
132321,C4orf33,2.59311,2.02672e-06,
146894,CD300LG,-7.20531,3.9421e-06,0.0561863
130399,ACVR1C,-6.21343,0.000176818,0.0430467
3716,JAK1,3.74958,1.06336e-07,0.56724
139411,PTCHD1,-3.64733,0.000904813,0.0323602
26112,CCDC69,-2.77642,0.000544717,0.10651
1829,DSG2,3.42755,3.02977e-07,0.0871488
11329,STK38,2.60999,1.18769e-07,0.066037
80760,ITIH5,-4.24752,6.25375e-05,0.100955
5905,RANGAP1,2.56737,0.000307597,0.00753286
2296,FOXC1,-4.01051,2.77645e-12,0.11829
6667,SP1,2.63041,3.8622e-06,0.106619
5286,PIK3C2A,3.34612,5.94798e-06,0.0791042
388,RHOB,4.34692,0.00017836,0.0961442
64283,ARHGEF28,-2.375,1.90973e-18,0.0536506
9197,SLC33A1,2.41196,1.12549e-06,0.0156394
51125,GOLGA7,3.0272,1.87002e-06,
285527,FRYL,3.18297,2.882e-08,0.0854655
5527,PPP2R5C,2.65732,6.67721e-13,0.0168877
55293,UEVLD,3.34605,6.71699e-05,0.0073916
7083,TK1,2.55588,0.00067431,0.101653
7705,ZNF146,3.88576,5.07093e-09,0.0210282
23063,WAPAL,2.97307,1.95784e-11,
166968,MIER3,2.54765,1.59879e-07,0.365139
84326,C16orf13,3.53675,9.77081e-05,
51128,SAR1B,3.20576,4.07677e-08,0.00576408
140738,TMEM37,-2.82852,0.000404493,0.122516
90522,YIF1B,2.42615,2.41909e-07,0.00277185
1727,CYB5R3,2.32363,2.2918e-06,0.00791688
5716,PSMD10,2.42403,2.70943e-09,0.0844201
51008,ASCC1,3.34895,4.11226e-08,0.0355897
55353,LAPTM4B,3.67335,6.84538e-05,0.111161
4735,SEPT2,4.33257,2.52338e-09,
55005,RMND1,2.34645,1.74838e-05,0.101641
716,C1S,4.41977,0.000168929,0.0303103
85465,EPT1,2.41938,0.000921314,
9793,CKAP5,2.3233,5.34333e-12,0.0540502
64924,SLC30A5,2.67143,8.29569e-07,0.0757433
427,ASAH1,3.14952,2.49933e-07,0.10018
23155,CLCC1,2.31549,1.11131e-07,
10055,SAE1,3.397,3.61255e-08,0.0958109
1072,CFL1,2.85601,6.90631e-11,0.111958
57085,AGTRAP,3.3324,4.87115e-09,0.0810119
10631,POSTN,5.48355,7.4333e-07,0.114671
