#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABI1	ARPC5	9606.ENSP00000365312	9606.ENSP00000294742	0	0	0.500	0	0.499
ABI1	NFASC	9606.ENSP00000365312	9606.ENSP00000344786	0	0.443	0	0	0.443
ACVR1C	INHBA	9606.ENSP00000243349	9606.ENSP00000242208	0	0.046	0.500	0	0.502
ADGRL3	GNB1	9606.ENSP00000422533	9606.ENSP00000367872	0	0.749	0	0	0.749
ADH1B	ADH1C	9606.ENSP00000306606	9606.ENSP00000426083	0	0.484	0.900	0	0.946
ADM	GNB1	9606.ENSP00000436607	9606.ENSP00000367872	0	0.800	0	0	0.800
ADRB2	WNT5A	9606.ENSP00000305372	9606.ENSP00000264634	0	0	0.400	0	0.400
ADRB2	FZD4	9606.ENSP00000305372	9606.ENSP00000434034	0	0	0.400	0	0.400
ADRB2	GNB1	9606.ENSP00000305372	9606.ENSP00000367872	0	0.521	0	0	0.521
AGR2	YWHAE	9606.ENSP00000391490	9606.ENSP00000264335	0	0.457	0	0	0.457
AGR2	P4HB	9606.ENSP00000391490	9606.ENSP00000327801	0	0.457	0	0	0.457
AGR2	HSP90AB1	9606.ENSP00000391490	9606.ENSP00000360609	0	0.457	0	0	0.457
AGR2	AKR1C3	9606.ENSP00000391490	9606.ENSP00000369927	0	0.420	0	0	0.420
AGR2	YWHAZ	9606.ENSP00000391490	9606.ENSP00000379287	0	0.457	0	0	0.457
AGR2	RAB1A	9606.ENSP00000391490	9606.ENSP00000387286	0	0.457	0	0	0.457
AGTRAP	ESRP1	9606.ENSP00000319713	9606.ENSP00000405738	0	0	0.500	0	0.499
AKR1C2	AKR1C3	9606.ENSP00000370129	9606.ENSP00000369927	0	0.690	0.900	0	0.967
APPL2	RAB5A	9606.ENSP00000446917	9606.ENSP00000273047	0	0.457	0	0	0.457
AR	FKBP4	9606.ENSP00000363822	9606.ENSP00000001008	0	0.329	0.800	0	0.860
AR	FOXA1	9606.ENSP00000363822	9606.ENSP00000250448	0	0.457	0	0	0.457
AR	EZH2	9606.ENSP00000363822	9606.ENSP00000320147	0	0.457	0	0	0.457
