ID,Gene.symbol,Gene.title,Gene.ID,adj.P.Val,P.Value,t,B,logFC
211565_at,SH3GL3,"SH3 domain containing GRB2 like 3, endophilin A3",6457,1.2e-22,4.01e-27,-26.3,51.1008,-6.34306
1558254_s_at,SRPK2,SRSF protein kinase 2,6733,1.37e-20,1.37e-24,22.6,45.6103,3.88955
205597_at,SLC44A4,solute carrier family 44 member 4,80736,6.64e-20,8.89e-24,21.5,43.8294,5.85068
1562527_at,LOC441666,zinc finger protein 91 pseudogene,441666,2.29e-19,3.83e-23,-20.7,42.4282,-5.38556
224012_at,ANKRD20A4,ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A1,728747,1.72e-18,3.57e-22,-19.4,40.2788,-4.94476
222699_s_at,PLEKHF2,pleckstrin homology and FYVE domain containing 2,79666,1.72e-18,4.48e-22,19.3,40.0589,4.9842
215646_s_at,VCAN,versican,1462,1.72e-18,4.61e-22,19.3,40.0303,7.45133
243689_s_at,FRG1BP,"FSHD region gene 1 family member B, pseudogene",284802,1.85e-18,6.18e-22,-19.2,39.7464,-6.07333
220232_at,SCD5,stearoyl-CoA desaturase 5,79966,2.44e-18,8.98e-22,-19,39.3851,-3.9069
219121_s_at,ESRP1,epithelial splicing regulatory protein 1,54845,4.98e-18,2e-21,18.6,38.6093,4.71584
202543_s_at,GMFB,glia maturation factor beta,2764,5.09e-18,2.22e-21,18.5,38.5094,3.92518
205941_s_at,COL10A1,collagen type X alpha 1 chain,1300,1.54e-17,8.23e-21,17.8,37.2337,8.64166
231766_s_at,COL12A1,collagen type XII alpha 1 chain,1303,1.99e-17,1.13e-20,17.7,36.9241,7.2005
208622_s_at,EZR,ezrin,7430,2.18e-17,1.39e-20,17.6,36.7255,5.38798
212344_at,SULF1,sulfatase 1,23213,3.49e-17,2.34e-20,17.3,36.215,5.94413
201971_s_at,ATP6V1A,ATPase H+ transporting V1 subunit A,523,3.67e-17,2.62e-20,17.3,36.1055,4.86917
217777_s_at,HACD3,3-hydroxyacyl-CoA dehydratase 3,51495,3.67e-17,2.83e-20,17.2,36.0296,5.47022
201663_s_at,SMC4,structural maintenance of chromosomes 4,10051,4.55e-17,3.66e-20,17.1,35.7789,4.75038
205824_at,HSPB2,heat shock protein family B (small) member 2,3316,4.68e-17,3.92e-20,-17.1,35.7115,-3.42905
211612_s_at,IL13RA1,interleukin 13 receptor subunit alpha 1,3597,6.24e-17,5.43e-20,16.9,35.3919,4.21972
201688_s_at,TPD52,tumor protein D52,7163,1.07e-16,1.04e-19,16.6,34.756,6.28158
209686_at,S100B,S100 calcium binding protein B,6285,1.53e-16,1.59e-19,-16.4,34.3398,-5.56016
1568954_s_at,C16orf72,chromosome 16 open reading frame 72,29035,1.86e-16,2.03e-19,16.3,34.1039,3.3554
204667_at,FOXA1,forkhead box A1,3169,1.86e-16,2.07e-19,16.3,34.081,3.82225
227006_at,PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A,94274,2.17e-16,2.54e-19,-16.2,33.8833,-4.75704
1556006_s_at,CSNK1A1,casein kinase 1 alpha 1,1452,2.69e-16,3.52e-19,16.1,33.5629,4.3834
238964_at,FIGN,"fidgetin, microtubule severing factor",55137,3.24e-16,4.43e-19,-16,33.3376,-3.42805
207265_s_at,KDELR3,KDEL endoplasmic reticulum protein retention receptor 3,11015,5.41e-16,8.69e-19,15.6,32.6753,3.98919
231969_at,STOX2,storkhead box 2,56977,5.41e-16,8.7e-19,-15.6,32.6746,-3.68352
210735_s_at,CA12,carbonic anhydrase 12,771,5.57e-16,9.13e-19,15.6,32.627,6.13946
201523_x_at,UBE2N,ubiquitin conjugating enzyme E2 N,7334,5.58e-16,9.53e-19,15.6,32.5847,4.27918
210495_x_at,FN1,fibronectin 1,2335,6.37e-16,1.11e-18,15.5,32.4367,3.62455
224159_x_at,TRIM4,tripartite motif containing 4,89122,8.51e-16,1.57e-18,-15.4,32.0963,-3.28171
201504_s_at,TSN,translin,7247,8.69e-16,1.63e-18,15.4,32.0574,3.63724
227952_at,ZNF595,zinc finger protein 595,152687,1.11e-15,2.21e-18,-15.2,31.7585,-5.43345
223796_at,CNTNAP3B,contactin associated protein-like 3B///contactin associated protein-like 3 pseudogene 2///contactin associated protein-like 3,728577,1.11e-15,2.21e-18,-15.2,31.7578,-3.59229
1570255_s_at,ANKRD20A12P,"ankyrin repeat domain 20 family member A12, pseudogene///ankyrin repeat domain 20 family member A8, pseudogene///ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A5, pseudogene///ankyrin repeat domain 20 family member A1",100874392,1.11e-15,2.27e-18,-15.2,31.7294,-4.24808
1554482_a_at,SAR1B,secretion associated Ras related GTPase 1B,51128,1.11e-15,2.3e-18,15.2,31.7173,3.16507
232078_at,NECTIN2,nectin cell adhesion molecule 2,5819,1.13e-15,2.38e-18,15.2,31.6835,4.82155
205895_s_at,NOLC1,nucleolar and coiled-body phosphoprotein 1,9221,1.21e-15,2.58e-18,15.2,31.6044,3.51722
214063_s_at,TF,transferrin,7018,1.36e-15,3.01e-18,-15.1,31.453,-5.1696
222507_s_at,TMEM9B,TMEM9 domain family member B,56674,1.85e-15,4.35e-18,14.9,31.0923,4.79424
1554747_a_at,SEPT2,septin 2,4735,1.96e-15,4.65e-18,14.9,31.026,4.80115
201309_x_at,NREP,neuronal regeneration related protein,9315,2.02e-15,4.86e-18,14.9,30.9824,4.73584
212008_at,UBXN4,UBX domain protein 4,23190,2.04e-15,4.98e-18,14.9,30.9577,5.05378
1555948_s_at,FAM120A,family with sequence similarity 120A,23196,2.05e-15,5.08e-18,14.9,30.9386,3.46084
226524_at,C3orf38,chromosome 3 open reading frame 38,285237,2.11e-15,5.36e-18,14.8,30.8854,3.16563
217799_x_at,UBE2H,ubiquitin conjugating enzyme E2 H,7328,2.14e-15,5.52e-18,14.8,30.8569,4.15536
244655_at,LOC100507311,uncharacterized LOC100507311,100507311,2.47e-15,6.47e-18,-14.8,30.7003,-3.59949
212472_at,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2",9645,2.47e-15,6.53e-18,14.8,30.6908,4.38373
233878_s_at,XRN2,5'-3' exoribonuclease 2,22803,3.22e-15,8.83e-18,14.6,30.3934,3.74323
203435_s_at,MME,membrane metallo-endopeptidase,4311,3.25e-15,9.03e-18,-14.6,30.3718,-3.80433
202311_s_at,COL1A1,collagen type I alpha 1 chain,1277,3.33e-15,9.37e-18,14.6,30.3353,5.45264
213486_at,COPG2IT1,COPG2 imprinted transcript 1 (non-protein coding),53844,3.38e-15,9.63e-18,-14.6,30.3087,-4.30073
202955_s_at,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1,10565,3.99e-15,1.15e-17,14.5,30.1348,3.45626
210511_s_at,INHBA,inhibin beta A subunit,3624,4.31e-15,1.25e-17,14.5,30.0474,6.12171
214845_s_at,CALU,calumenin,813,4.38e-15,1.29e-17,14.5,30.0192,4.30004
1569106_s_at,SETD5,SET domain containing 5,55209,4.83e-15,1.45e-17,14.4,29.9014,4.07638
221009_s_at,ANGPTL4,angiopoietin like 4,51129,5.43e-15,1.65e-17,-14.4,29.7744,-4.12753
208952_s_at,LARP4B,La ribonucleoprotein domain family member 4B,23185,5.43e-15,1.67e-17,14.4,29.764,3.5556
229839_at,SCARA5,scavenger receptor class A member 5,286133,6e-15,1.87e-17,-14.3,29.6542,-6.69457
217791_s_at,ALDH18A1,aldehyde dehydrogenase 18 family member A1,5832,6.34e-15,2.06e-17,14.3,29.5591,3.2864
212960_at,TBC1D9,TBC1 domain family member 9,23158,8.41e-15,2.76e-17,14.2,29.2704,4.38515
212623_at,TMEM41B,transmembrane protein 41B,440026,8.59e-15,2.88e-17,14.1,29.229,4.0356
219015_s_at,ALG13,"ALG13, UDP-N-acetylglucosaminyltransferase subunit",79868,9.26e-15,3.19e-17,14.1,29.126,3.36644
236038_at,RNF150,ring finger protein 150,57484,1.07e-14,3.85e-17,-14,28.9414,-3.93524
230906_at,GALNT10,polypeptide N-acetylgalactosaminyltransferase 10,55568,1.08e-14,3.9e-17,14,28.9293,4.30092
237737_at,LOC101927345,"putative ankyrin repeat domain-containing protein 20A12 pseudogene///uncharacterized gene LOC101060632///putative ankyrin repeat domain-containing protein 20A12 pseudogene///ankyrin repeat domain 20 family member A12, pseudogene",101927345,1.09e-14,4.01e-17,-14,28.9017,-3.49858
