#node1,node2,node1_string_id,node2_string_id,combined_score
ADCY1,ADCY8,9606.ENSP00000297323,9606.ENSP00000286355,0.921
ADCY1,CALM3,9606.ENSP00000297323,9606.ENSP00000291295,0.975
ADCY1,ADCY9,9606.ENSP00000297323,9606.ENSP00000294016,0.775
ADCY1,ADCY6,9606.ENSP00000297323,9606.ENSP00000311405,0.556
ADCY1,ADCY4,9606.ENSP00000297323,9606.ENSP00000312126,0.568
ADCY1,ADCY5,9606.ENSP00000297323,9606.ENSP00000419361,0.595
ADCY1,CREB1,9606.ENSP00000297323,9606.ENSP00000387699,0.68
ADCY1,AKT2,9606.ENSP00000297323,9606.ENSP00000375892,0.68
ADCY1,AKT3,9606.ENSP00000297323,9606.ENSP00000500582,0.693
ADCY1,AKT1,9606.ENSP00000297323,9606.ENSP00000451828,0.714
ADCY1,ADCY2,9606.ENSP00000297323,9606.ENSP00000342952,0.715
ADCY1,ADCY7,9606.ENSP00000297323,9606.ENSP00000501053,0.718
ADCY1,GNAI2,9606.ENSP00000297323,9606.ENSP00000312999,0.765
ADCY1,GNAI1,9606.ENSP00000297323,9606.ENSP00000497260,0.798
ADCY1,GNAI3,9606.ENSP00000297323,9606.ENSP00000358867,0.852
ADCY1,ADCY3,9606.ENSP00000297323,9606.ENSP00000384484,0.91
ADCY1,PRKCD,9606.ENSP00000297323,9606.ENSP00000331602,0.915
ADCY1,PRKACA,9606.ENSP00000297323,9606.ENSP00000309591,0.948
ADCY1,PRKACB,9606.ENSP00000297323,9606.ENSP00000359719,0.949
ADCY1,PRKACG,9606.ENSP00000297323,9606.ENSP00000366488,0.963
ADCY1,CALML3,9606.ENSP00000297323,9606.ENSP00000315299,0.974
ADCY1,CALML4,9606.ENSP00000297323,9606.ENSP00000419081,0.975
ADCY1,CALML6,9606.ENSP00000297323,9606.ENSP00000304643,0.975
ADCY1,CALML5,9606.ENSP00000297323,9606.ENSP00000369689,0.976
ADCY1,GNAS,9606.ENSP00000297323,9606.ENSP00000360141,0.979
ADCY2,MAPK1,9606.ENSP00000342952,9606.ENSP00000215832,0.468
ADCY2,ADCY8,9606.ENSP00000342952,9606.ENSP00000286355,0.602
ADCY2,CALM3,9606.ENSP00000342952,9606.ENSP00000291295,0.745
ADCY2,ADCY9,9606.ENSP00000342952,9606.ENSP00000294016,0.658
ADCY2,CALML6,9606.ENSP00000342952,9606.ENSP00000304643,0.718
ADCY2,PRKACA,9606.ENSP00000342952,9606.ENSP00000309591,0.859
ADCY2,ADCY6,9606.ENSP00000342952,9606.ENSP00000311405,0.781
