#node1,node2,node1_string_id,node2_string_id,source,combined_score
ADCY1,ADCY8,9606.ENSP00000297323,9606.ENSP00000286355,estrogen-signaling-pathway-string,0.921
ADCY1,CALM3,9606.ENSP00000297323,9606.ENSP00000291295,estrogen-signaling-pathway-string,0.975
ADCY1,ADCY9,9606.ENSP00000297323,9606.ENSP00000294016,estrogen-signaling-pathway-string,0.775
ADCY1,ADCY6,9606.ENSP00000297323,9606.ENSP00000311405,estrogen-signaling-pathway-string,0.556
ADCY1,ADCY4,9606.ENSP00000297323,9606.ENSP00000312126,estrogen-signaling-pathway-string,0.568
ADCY1,ADCY5,9606.ENSP00000297323,9606.ENSP00000419361,estrogen-signaling-pathway-string,0.595
ADCY1,CREB1,9606.ENSP00000297323,9606.ENSP00000387699,estrogen-signaling-pathway-string,0.68
ADCY1,AKT2,9606.ENSP00000297323,9606.ENSP00000375892,estrogen-signaling-pathway-string,0.68
ADCY1,AKT3,9606.ENSP00000297323,9606.ENSP00000500582,estrogen-signaling-pathway-string,0.693
ADCY1,AKT1,9606.ENSP00000297323,9606.ENSP00000451828,estrogen-signaling-pathway-string,0.714
ADCY1,ADCY2,9606.ENSP00000297323,9606.ENSP00000342952,estrogen-signaling-pathway-string,0.715
ADCY1,ADCY7,9606.ENSP00000297323,9606.ENSP00000501053,estrogen-signaling-pathway-string,0.718
ADCY1,GNAI2,9606.ENSP00000297323,9606.ENSP00000312999,estrogen-signaling-pathway-string,0.765
ADCY1,GNAI1,9606.ENSP00000297323,9606.ENSP00000497260,estrogen-signaling-pathway-string,0.798
ADCY1,GNAI3,9606.ENSP00000297323,9606.ENSP00000358867,estrogen-signaling-pathway-string,0.852
ADCY1,ADCY3,9606.ENSP00000297323,9606.ENSP00000384484,estrogen-signaling-pathway-string,0.91
ADCY1,PRKCD,9606.ENSP00000297323,9606.ENSP00000331602,estrogen-signaling-pathway-string,0.915
ADCY1,PRKACA,9606.ENSP00000297323,9606.ENSP00000309591,estrogen-signaling-pathway-string,0.948
ADCY1,PRKACB,9606.ENSP00000297323,9606.ENSP00000359719,estrogen-signaling-pathway-string,0.949
ADCY1,PRKACG,9606.ENSP00000297323,9606.ENSP00000366488,estrogen-signaling-pathway-string,0.963
ADCY1,CALML3,9606.ENSP00000297323,9606.ENSP00000315299,estrogen-signaling-pathway-string,0.974
ADCY1,CALML4,9606.ENSP00000297323,9606.ENSP00000419081,estrogen-signaling-pathway-string,0.975
ADCY1,CALML6,9606.ENSP00000297323,9606.ENSP00000304643,estrogen-signaling-pathway-string,0.975
ADCY1,CALML5,9606.ENSP00000297323,9606.ENSP00000369689,estrogen-signaling-pathway-string,0.976
ADCY1,GNAS,9606.ENSP00000297323,9606.ENSP00000360141,estrogen-signaling-pathway-string,0.979
ADCY2,MAPK1,9606.ENSP00000342952,9606.ENSP00000215832,estrogen-signaling-pathway-string,0.468
ADCY2,ADCY8,9606.ENSP00000342952,9606.ENSP00000286355,estrogen-signaling-pathway-string,0.602
ADCY2,CALM3,9606.ENSP00000342952,9606.ENSP00000291295,estrogen-signaling-pathway-string,0.745
ADCY2,ADCY9,9606.ENSP00000342952,9606.ENSP00000294016,estrogen-signaling-pathway-string,0.658
ADCY2,CALML6,9606.ENSP00000342952,9606.ENSP00000304643,estrogen-signaling-pathway-string,0.718
ADCY2,PRKACA,9606.ENSP00000342952,9606.ENSP00000309591,estrogen-signaling-pathway-string,0.859
ADCY2,ADCY6,9606.ENSP00000342952,9606.ENSP00000311405,estrogen-signaling-pathway-string,0.781
ADCY2,ADCY4,9606.ENSP00000342952,9606.ENSP00000312126,estrogen-signaling-pathway-string,0.522
ADCY2,GNAI2,9606.ENSP00000342952,9606.ENSP00000312999,estrogen-signaling-pathway-string,0.759
ADCY2,CALML3,9606.ENSP00000342952,9606.ENSP00000315299,estrogen-signaling-pathway-string,0.743
ADCY2,PRKCD,9606.ENSP00000342952,9606.ENSP00000331602,estrogen-signaling-pathway-string,0.91
ADCY2,ADCY7,9606.ENSP00000342952,9606.ENSP00000501053,estrogen-signaling-pathway-string,0.525
ADCY2,ADCY3,9606.ENSP00000342952,9606.ENSP00000384484,estrogen-signaling-pathway-string,0.575
ADCY2,AKT2,9606.ENSP00000342952,9606.ENSP00000375892,estrogen-signaling-pathway-string,0.671
ADCY2,AKT1,9606.ENSP00000342952,9606.ENSP00000451828,estrogen-signaling-pathway-string,0.708
ADCY2,AKT3,9606.ENSP00000342952,9606.ENSP00000500582,estrogen-signaling-pathway-string,0.716
ADCY2,CALML5,9606.ENSP00000342952,9606.ENSP00000369689,estrogen-signaling-pathway-string,0.737
ADCY2,CALML4,9606.ENSP00000342952,9606.ENSP00000419081,estrogen-signaling-pathway-string,0.738
ADCY2,PRKACG,9606.ENSP00000342952,9606.ENSP00000366488,estrogen-signaling-pathway-string,0.764
ADCY2,GNAI3,9606.ENSP00000342952,9606.ENSP00000358867,estrogen-signaling-pathway-string,0.773
ADCY2,GNAI1,9606.ENSP00000342952,9606.ENSP00000497260,estrogen-signaling-pathway-string,0.78
ADCY2,PRKACB,9606.ENSP00000342952,9606.ENSP00000359719,estrogen-signaling-pathway-string,0.781
ADCY2,ADCY5,9606.ENSP00000342952,9606.ENSP00000419361,estrogen-signaling-pathway-string,0.891
ADCY2,GNAS,9606.ENSP00000342952,9606.ENSP00000360141,estrogen-signaling-pathway-string,0.978
ADCY3,MAPK1,9606.ENSP00000384484,9606.ENSP00000215832,estrogen-signaling-pathway-string,0.487
ADCY3,MAPK3,9606.ENSP00000384484,9606.ENSP00000263025,estrogen-signaling-pathway-string,0.516
ADCY3,ADCY8,9606.ENSP00000384484,9606.ENSP00000286355,estrogen-signaling-pathway-string,0.914
ADCY3,CALM3,9606.ENSP00000384484,9606.ENSP00000291295,estrogen-signaling-pathway-string,0.945
ADCY3,ADCY9,9606.ENSP00000384484,9606.ENSP00000294016,estrogen-signaling-pathway-string,0.933
ADCY3,CALML6,9606.ENSP00000384484,9606.ENSP00000304643,estrogen-signaling-pathway-string,0.94
ADCY3,PRKACA,9606.ENSP00000384484,9606.ENSP00000309591,estrogen-signaling-pathway-string,0.968
ADCY3,ADCY6,9606.ENSP00000384484,9606.ENSP00000311405,estrogen-signaling-pathway-string,0.919
ADCY3,ADCY4,9606.ENSP00000384484,9606.ENSP00000312126,estrogen-signaling-pathway-string,0.6
ADCY3,GNAI2,9606.ENSP00000384484,9606.ENSP00000312999,estrogen-signaling-pathway-string,0.753
ADCY3,CALML3,9606.ENSP00000384484,9606.ENSP00000315299,estrogen-signaling-pathway-string,0.943
ADCY3,PRKCD,9606.ENSP00000384484,9606.ENSP00000331602,estrogen-signaling-pathway-string,0.905
ADCY3,GNAI3,9606.ENSP00000384484,9606.ENSP00000358867,estrogen-signaling-pathway-string,0.76
ADCY3,PRKACB,9606.ENSP00000384484,9606.ENSP00000359719,estrogen-signaling-pathway-string,0.947
ADCY3,GNAS,9606.ENSP00000384484,9606.ENSP00000360141,estrogen-signaling-pathway-string,0.948
ADCY3,PRKACG,9606.ENSP00000384484,9606.ENSP00000366488,estrogen-signaling-pathway-string,0.946
ADCY3,CALML5,9606.ENSP00000384484,9606.ENSP00000369689,estrogen-signaling-pathway-string,0.942
ADCY3,AKT2,9606.ENSP00000384484,9606.ENSP00000375892,estrogen-signaling-pathway-string,0.671
ADCY3,ADCY7,9606.ENSP00000384484,9606.ENSP00000501053,estrogen-signaling-pathway-string,0.58
ADCY3,ADCY5,9606.ENSP00000384484,9606.ENSP00000419361,estrogen-signaling-pathway-string,0.585
ADCY3,AKT3,9606.ENSP00000384484,9606.ENSP00000500582,estrogen-signaling-pathway-string,0.693
ADCY3,AKT1,9606.ENSP00000384484,9606.ENSP00000451828,estrogen-signaling-pathway-string,0.723
ADCY3,GNAI1,9606.ENSP00000384484,9606.ENSP00000497260,estrogen-signaling-pathway-string,0.768
ADCY3,CALML4,9606.ENSP00000384484,9606.ENSP00000419081,estrogen-signaling-pathway-string,0.944
ADCY4,ADCY8,9606.ENSP00000312126,9606.ENSP00000286355,estrogen-signaling-pathway-string,0.945
ADCY4,CALM3,9606.ENSP00000312126,9606.ENSP00000291295,estrogen-signaling-pathway-string,0.773
ADCY4,ADCY9,9606.ENSP00000312126,9606.ENSP00000294016,estrogen-signaling-pathway-string,0.717
ADCY4,CALML6,9606.ENSP00000312126,9606.ENSP00000304643,estrogen-signaling-pathway-string,0.756
ADCY4,PRKACA,9606.ENSP00000312126,9606.ENSP00000309591,estrogen-signaling-pathway-string,0.796
ADCY4,ADCY6,9606.ENSP00000312126,9606.ENSP00000311405,estrogen-signaling-pathway-string,0.949
ADCY4,AKT3,9606.ENSP00000312126,9606.ENSP00000500582,estrogen-signaling-pathway-string,0.671
ADCY4,AKT2,9606.ENSP00000312126,9606.ENSP00000375892,estrogen-signaling-pathway-string,0.676
ADCY4,AKT1,9606.ENSP00000312126,9606.ENSP00000451828,estrogen-signaling-pathway-string,0.7
ADCY4,GNAI3,9606.ENSP00000312126,9606.ENSP00000358867,estrogen-signaling-pathway-string,0.734
ADCY4,GNAI1,9606.ENSP00000312126,9606.ENSP00000497260,estrogen-signaling-pathway-string,0.749
ADCY4,GNAI2,9606.ENSP00000312126,9606.ENSP00000312999,estrogen-signaling-pathway-string,0.755
ADCY4,CALML3,9606.ENSP00000312126,9606.ENSP00000315299,estrogen-signaling-pathway-string,0.772
