Entrez ID,Gene Symbol,Oncogene Score,LogFC,p-value,Adj p-value,Pathway Matrix Organization,Pathway Degradation Matrix,Pathway Collagen Formation
780,DDR1,0.115776,0.631563,0.00180138,0.00403206,1,0,0
5982,RFC2,0.0108836,1.15621,1.32403e-08,1.12127e-07,0,0,0
3310,HSPA6,0.0872812,1.27405,1.26081e-05,4.65922e-05,0,0,0
7318,MIR5193,0,-0.908142,0.000110145,0.000329738,0,0,0
7067,THRA,0.120175,-1.08649,2.78807e-10,4.29072e-09,0,0,0
6352,CCL5,0.118438,-0.443895,0.37776,0.459007,0,0,0
2049,EPHB3,0.116587,0.841875,0.0992624,0.145682,0,0,0
2101,ESRRA,0.117397,-0.215732,0.0812675,0.122444,0,0,0
949,SCARB1,0.0717511,-1.23974,0.000206295,0.0005752,0,0,0
23170,TTLL12,0,0.639722,0.0430969,0.0697675,0,0,0
112597,LINC00152,0,-0.137893,0.201251,0.270108,0,0,0
5594,MAPK1,0.541966,0.0692138,0.482793,0.561459,0,0,0
203102,ADAM32,0.00960908,-0.660974,5.87497e-08,4.0862e-07,0,0,0
54899,PXK,0,0.731708,0.000218077,0.00060473,0,0,0
91283,MSANTD3,0,1.3353,1.46443e-06,6.83655e-06,0,0,0
113235,SLC46A1,0.013849,0.131173,0.259321,0.335292,0,0,0
79844,ZDHHC11,0.0036958,0.23311,0.561036,0.633672,0,0,0
90423,ATP6V1E2,0.00517412,-0.471384,0.00206981,0.00457526,0,0,0
172,AFG3L1P,0,-0.0435064,0.794679,0.837434,0,0,0
148113,CILP2,0.0312927,1.82144,5.11233e-05,0.000164177,0,0,0
54965,PIGX,0.0660362,0.936741,0.000226079,0.000624495,0,0,0
91252,SLC39A13,0.0133049,0.391836,0.010061,0.0189972,0,0,0
84940,CORO6,0.111798,2.00307,0.0215517,0.0375386,0,0,0
113277,TMEM106A,0.00147832,0.19386,0.433428,0.512971,0,0,0
84920,ALG10,0,-0.0975779,0.346452,0.426948,0,0,0
125488,TTC39C,0,0.654969,0.0684993,0.105441,0,0,0
91624,NEXN,0.0102879,0.347452,0.407684,0.487616,0,0,0
123207,C15orf40,0,0.797662,0.0038162,0.00799536,0,0,0
