Entrez ID,Gene Symbol,Matrix Differential,LogFC,p-value
780,DDR1,M,0.660614,0.0043803
4238,MFAP3,M,0.256573,0.3269
132321,C4orf33,H,2.59311,2.02672e-06
146894,CD300LG,H,-7.20531,3.9421e-06
130399,ACVR1C,H,-6.21343,0.000176818
3716,JAK1,H,3.74958,1.06336e-07
5439,LOC441259,H,2.37534,1.29707e-05
92291,CAPN13,M,0.206877,0.434958
139411,PTCHD1,H,-3.64733,0.000904813
26112,CCDC69,H,-2.77642,0.000544717
1829,DSG2,H,3.42755,3.02977e-07
11329,STK38,H,2.60999,1.18769e-07
80760,ITIH5,H,-4.24752,6.25375e-05
3688,ITGB1,M,2.27879,6.18978e-08
5905,RANGAP1,H,2.56737,0.000307597
2296,FOXC1,H,-4.01051,2.77645e-12
6667,SP1,H,2.63041,3.8622e-06
5286,PIK3C2A,H,3.34612,5.94798e-06
388,RHOB,H,4.34692,0.00017836
64283,ARHGEF28,H,-2.375,1.90973e-18
9197,SLC33A1,H,2.41196,1.12549e-06
51125,GOLGA7,H,3.0272,1.87002e-06
3683,ITGAL,M,1.47991,0.110916
285527,FRYL,H,3.18297,2.882e-08
5527,PPP2R5C,H,2.65732,6.67721e-13
55293,UEVLD,H,3.34605,6.71699e-05
7083,TK1,H,2.55588,0.00067431
7705,ZNF146,H,3.88576,5.07093e-09
23063,WAPAL,H,2.97307,1.95784e-11
166968,MIER3,H,2.54765,1.59879e-07
10491,CRTAP,M,2.13063,3.54497e-06
84326,C16orf13,H,3.53675,9.77081e-05
51128,SAR1B,H,3.20576,4.07677e-08
140738,TMEM37,H,-2.82852,0.000404493
90522,YIF1B,H,2.42615,2.41909e-07
1727,CYB5R3,H,2.32363,2.2918e-06
5716,PSMD10,H,2.42403,2.70943e-09
51008,ASCC1,H,3.34895,4.11226e-08
55353,LAPTM4B,H,3.67335,6.84538e-05
4735,SEPT2,H,4.33257,2.52338e-09
22801,ITGA11,M,0.549546,0.0188473
55005,RMND1,H,2.34645,1.74838e-05
716,C1S,H,4.41977,0.000168929
85465,EPT1,H,2.41938,0.000921314
9793,CKAP5,H,2.3233,5.34333e-12
8754,ADAM9,M,2.33852,0.00824202
64924,SLC30A5,H,2.67143,8.29569e-07
3689,ITGB2,M,2.79344,0.00545706
427,ASAH1,H,3.14952,2.49933e-07
23155,CLCC1,H,2.31549,1.11131e-07
10055,SAE1,H,3.397,3.61255e-08
1072,CFL1,H,2.85601,6.90631e-11
57085,AGTRAP,H,3.3324,4.87115e-09
10631,POSTN,H,5.48355,7.4333e-07
