gene1_symbol,gene2_symbol,combined_score
M6PR,SCARB2,0.4
M6PR,IGF2R,0.9
M6PR,TF,0.4
M6PR,AGRN,0.292
FKBP4,MAPT,0.447
FKBP4,SAR1B,0.19
FKBP4,UBE2M,0.292
FKBP4,HSP90AB1,0.995
FKBP4,AGR2,0.165
FKBP4,AR,0.86
FKBP4,STIP1,0.721
FKBP4,SAE1,0.163
FKBP4,NR3C2,0.891
CX3CL1,ADAM15,0.236
CX3CL1,ITGA5,0.236
CX3CL1,ITGB2,0.236
CX3CL1,FGG,0.321
CX3CL1,ITGB4,0.236
CX3CL1,ITGB1,0.292
CX3CL1,ITGA4,0.376
CX3CL1,FN1,0.321
CX3CL1,GNAI1,0.8
CX3CL1,GNB1,0.8
INMT,GNAL,0.171
GPRC5A,ECT2,0.292
GPRC5A,RHOA,0.161
GPRC5A,NOLC1,0.22
GPRC5A,RHOB,0.185
DCN,TGFB2,0.774
DCN,ADGRL3,0.349
DCN,BMP1,0.292
DCN,FGF2,0.637
DCN,ELN,0.975
DCN,TGFB1,0.993
DCN,FN1,0.986
DCN,TGFB3,0.499
DCN,COL6A1,0.292
DCN,COL14A1,0.856
KDM4B,BAG2,0.214
KDM4B,CCT2,0.366
KDM4B,UBE2N,0.499
ICAM3,ICAM1,0.96
ICAM3,ICAM2,0.949
ICAM3,ITGAL,0.999
ICAM3,EZR,0.457
ICAM3,ITGB2,0.998
CEACAM1,CEACAM6,0.85
KRT14,PKP1,0.345
KRT14,KRT5,0.999
KRT14,KRT15,0.4
KRT14,PLEC,0.262
CA12,CA4,0.499
ROPN1,RHOA,0.499
ROPN1,ROPN1B,0.501
CLIC5,CASK,0.499
CLIC5,SRPK2,0.292
CLIC5,EZR,0.901
CLIC5,CLIC4,0.68
FAP,PLAUR,0.321
FAP,THY1,0.292
FAP,ECT2,0.292
FAP,ERLIN2,0.292
PLOD1,COL27A1,0.499
PLOD1,COL28A1,0.499
PLOD1,COL5A1,0.593
PLOD1,COL4A2,0.65
PLOD1,COL1A1,0.588
PLOD1,COL1A2,0.499
PLOD1,COL14A1,0.577
PLOD1,COL15A1,0.499
PLOD1,PLOD2,0.958
PLOD1,COL18A1,0.578
PLOD1,COL10A1,0.499
PLOD1,COL5A2,0.499
PLOD1,COL5A3,0.499
PLOD1,COL3A1,0.499
PLOD1,COL6A6,0.499
PLOD1,COL26A1,0.499
PLOD1,FOXA1,0.369
PLOD1,COL2A1,0.587
PLOD1,COL8A1,0.499
PLOD1,COL6A1,0.572
PLOD1,COL22A1,0.499
PLOD1,COL6A3,0.615
PLOD1,COL7A1,0.499
PLOD1,COL6A2,0.573
PLOD1,RHOA,0.156
PLOD1,COL12A1,0.55
PLOD1,DNAJC10,0.241
PLOD1,COL4A1,0.65
PLOD1,COL16A1,0.565
PLOD1,COL11A2,0.499
PLOD1,COLGALT1,0.23
PLOD1,COL8A2,0.499
PLOD1,COL11A1,0.499
PLOD1,DNAJC3,0.23
PLOD1,PLOD3,0.939
PLOD1,COL4A5,0.65
PLOD1,COL4A6,0.712
PLOD1,ECT2,0.292
PLOD1,COL4A3,0.499
PLOD1,COL21A1,0.774
PLOD1,COL4A4,0.569
PLOD1,COL13A1,0.592
PLOD1,CALU,0.239
PLOD1,COL9A3,0.675
PLOD1,COL9A2,0.499
ITGB4,LAMA2,0.499
ITGB4,ITGB5,0.785
ITGB4,ITGA6,0.999
ITGB4,LAMA3,0.499
ITGB4,ITGAX,0.734
ITGB4,ITGA10,0.734
ITGB4,ITGA2,0.737
ITGB4,CD151,0.809
ITGB4,ITGB1,0.823
ITGB4,SDC3,0.292
ITGB4,ITGA4,0.758
ITGB4,ITGB8,0.72
ITGB4,ITGAV,0.75
ITGB4,LAMB3,0.558
ITGB4,ITGAL,0.737
ITGB4,ITGA9,0.58
ITGB4,EMILIN1,0.54
ITGB4,DST,0.95
ITGB4,ITGAE,0.563
ITGB4,LAMC1,0.499
ITGB4,PLEC,0.999
ITGB4,PRKCA,0.651
ITGB4,ITGB2,0.72
ITGB4,ITGA8,0.741
ITGB4,ITGA5,0.751
ITGB4,ITGB6,0.744
ITGB4,ITGA1,0.734
ITGB4,SDC2,0.229
ITGB4,LAMA5,0.499
ITGB4,ITGA3,0.877
ITGB4,SDC1,0.771
ITGB4,ITGAM,0.563
ITGB4,LAMB2,0.499
ITGB4,ITGA11,0.734
ITGB4,ITGB7,0.72
ITGB4,ITGA7,0.658
ITGB4,LAMB1,0.501
ITGB4,ENPP2,0.292
ITGB4,LAMC2,0.562
MAPK13,YWHAZ,0.161
MAPK13,CCT2,0.161
MAPK13,STIP1,0.161
MAPK13,MAPT,0.457
MAPK13,FUS,0.161
MAPK13,PHGDH,0.161
MAPK13,GDI2,0.161
MMP11,TIMP2,0.241
MMP11,TIMP3,0.241
RASL10A,RHOA,0.511
NIPSNAP1,ZNF281,0.189
NIPSNAP1,CDH1,0.292
NIPSNAP1,SCCPDH,0.161
NIPSNAP1,HSPD1,0.193
NIPSNAP1,CCT2,0.163
NIPSNAP1,PLEC,0.163
NID2,TNC,0.292
NID2,LAMA5,0.599
NID2,PPIB,0.198
NID2,COL4A1,0.326
NID2,LAMA3,0.499
NID2,OLFM4,0.3
NID2,LAMA2,0.686
NID2,ELN,0.55
NID2,COL1A1,0.326
NID2,LAMC1,0.821
NID2,LAMA4,0.746
NID2,LAMB1,0.737
NID2,CRTAP,0.204
NID2,HSPG2,0.989
NID2,NID1,0.772
NID2,AGRN,0.574
NID2,LAMB2,0.62
CTSG,CTRB2,0.328
CTSG,SDC1,0.528
SNTA1,SSPN,0.732
SNTA1,SGCD,0.846
SNTA1,SGCE,0.72
SNTA1,DTNB,0.697
SNTA1,SGCB,0.72
SNTA1,SGCG,0.612
SNTA1,SNTB1,0.715
SNTA1,DTNA,0.77
SNTA1,DMD,0.962
SNTA1,UTRN,0.671
SNTA1,DAG1,0.914
SNTA1,PGM5,0.72
SNTA1,SNTB2,0.893
PSMD10,RHOA,0.292
PGRMC1,HACD3,0.443
PGRMC1,SRSF3,0.224
PGRMC1,PTPRS,0.292
