MoleculeName	
UniProt:P02461 COL3A1	
UniProt:Q17RW2 COL24A1	
UniProt:Q8IZC6 COL27A1	
UniProt:P02458 COL2A1	
UniProt:P12107 COL11A1	
UniProt:P13942 COL11A2	
UniProt:P25940 COL5A3	
UniProt:P05997 COL5A2	
UniProt:P20908 COL5A1	
UniProt:P08123 COL1A2	
UniProt:P02452 COL1A1	
UniProt:Q02388 COL7A1	
UniProt:Q9Y6L7 TLL2	
UniProt:O43897 TLL1	
UniProt:P13497 BMP1	
UniProt:Q16787 LAMA3	
UniProt:Q13753 LAMC2	
UniProt:Q13751 LAMB3	
UniProt:P08572 COL4A2	
UniProt:P02462 COL4A1	
UniProt:P53420 COL4A4	
UniProt:P29400 COL4A5	
UniProt:Q01955 COL4A3	
UniProt:Q14031 COL4A6	
UniProt:P07711 CTSL	
UniProt:P45452 MMP13	
UniProt:P14780 MMP9	
UniProt:P07858 CTSB	
UniProt:P25774 CTSS	
UniProt:P09237 MMP7	
UniProt:O60882 MMP20	
UniProt:P08254 MMP3	
UniProt:O60911 CTSV	
UniProt:P39060 COL18A1	
UniProt:P39059 COL15A1	
UniProt:Q05707 COL14A1	
UniProt:Q99715 COL12A1	
UniProt:Q03692 COL10A1	
UniProt:P27658 COL8A1	
UniProt:P25067 COL8A2	
UniProt:A8TX70 COL6A5	
UniProt:A6NMZ7 COL6A6	
UniProt:P12111 COL6A3	
UniProt:P12109 COL6A1	
UniProt:P12110 COL6A2	
UniProt:Q15149 PLEC	
UniProt:Q03001-3 DST	
UniProt:Q9UMD9 COL17A1	
UniProt:P23229 ITGA6	
UniProt:P16144 ITGB4	
UniProt:P48509 CD151	
UniProt:Q14055 COL9A2	
UniProt:P20849 COL9A1	
UniProt:Q14050 COL9A3	
UniProt:Q15113 PCOLCE	
UniProt:Q9Y4K0 LOXL2	
UniProt:Q96JB6 LOXL4	
UniProt:P58215 LOXL3	
UniProt:Q08397 LOXL1	
UniProt:P28300 LOX	
UniProt:Q92626 PXDN	
UniProt:Q14993 COL19A1	
UniProt:Q9BXS0 COL25A1	
UniProt:Q96A83 COL26A1	
UniProt:Q07092 COL16A1	
UniProt:Q9P218 COL20A1	
UniProt:Q96P44 COL21A1	
UniProt:Q8NFW1 COL22A1	
UniProt:Q86Y22 COL23A1	
UniProt:Q2UY09 COL28A1	
UniProt:Q5TAT6 COL13A1	
UniProt:Q8NBJ5 COLGALT1	
UniProt:Q8IYK4 COLGALT2	
UniProt:O60568 PLOD3	
UniProt:Q8IVL6 P3H3	
UniProt:Q32P28 P3H1	
UniProt:P23284 PPIB	
UniProt:O75718 CRTAP	
UniProt:Q8IVL5 P3H2	
UniProt:Q9UKZ9 PCOLCE2	
UniProt:O00469 PLOD2	
UniProt:Q02809 PLOD1	
UniProt:P50454 SERPINH1	
UniProt:O15072 ADAMTS3	
UniProt:O95450 ADAMTS2	
UniProt:Q8WXS8 ADAMTS14	
UniProt:P07237 P4HB	
UniProt:O15460 P4HA2	
UniProt:P13674 P4HA1	
UniProt:Q7Z4N8 P4HA3	
