MoleculeName	
UniProt:Q8IX30 SCUBE3	
UniProt:Q8IWY4 SCUBE1	
UniProt:P08253 MMP2	
UniProt:P45452 MMP13	
UniProt:P14780 MMP9	
UniProt:P39900 MMP12	
UniProt:Q75N90 FBN3	
UniProt:P35555 FBN1	
UniProt:P35556 FBN2	
UniProt:P25774 CTSS	
UniProt:P98160 HSPG2	
UniProt:P09237 MMP7	
UniProt:P08254 MMP3	
UniProt:P14543 NID1	
UniProt:P43235 CTSK	
UniProt:O60911 CTSV	
UniProt:Q8TE60 ADAMTS18	
UniProt:Q9UHI8 ADAMTS1	
UniProt:Q8TE57 ADAMTS16	
UniProt:Q9P2N4 ADAMTS9	
UniProt:Q9UP79 ADAMTS8	
UniProt:O75173 ADAMTS4	
UniProt:Q9UNA0 ADAMTS5	
UniProt:P16112 ACAN	
UniProt:Q99542 MMP19	
UniProt:P00747 PLG	
UniProt:P12830 CDH1	
UniProt:P08311 CTSG	
UniProt:P02751 FN1	
UniProt:Q02388 COL7A1	
UniProt:Q03692 COL10A1	
UniProt:P02452 COL1A1	
UniProt:P08123 COL1A2	
UniProt:P29400 COL4A5	
UniProt:Q01955 COL4A3	
UniProt:P53420 COL4A4	
UniProt:P08572 COL4A2	
UniProt:P02462 COL4A1	
UniProt:Q14031 COL4A6	
UniProt:P02461 COL3A1	
UniProt:P02458 COL2A1	
UniProt:P12107 COL11A1	
UniProt:P13942 COL11A2	
UniProt:P27658 COL8A1	
UniProt:P25067 COL8A2	
UniProt:P07711 CTSL	
UniProt:P07858 CTSB	
UniProt:O60882 MMP20	
UniProt:P39060 COL18A1	
UniProt:P09238 MMP10	
UniProt:P03956 MMP1	
UniProt:Q07092 COL16A1	
UniProt:Q8IU80 TMPRSS6	
UniProt:P50281 MMP14	
UniProt:P22894 MMP8	
UniProt:Q14993 COL19A1	
UniProt:P07478 PRSS2	
UniProt:Q5TAT6 COL13A1	
UniProt:P78536 ADAM17	
UniProt:O14672 ADAM10	
UniProt:Q13443 ADAM9	
UniProt:Q9UMD9 COL17A1	
UniProt:P08246 ELANE	
UniProt:P07339 CTSD	
UniProt:P51511 MMP15	
UniProt:P09958 FURIN	
UniProt:Q86Y22 COL23A1	
UniProt:P25940 COL5A3	
UniProt:P05997 COL5A2	
UniProt:P20908 COL5A1	
UniProt:Q99715 COL12A1	
UniProt:Q14055 COL9A2	
UniProt:P20849 COL9A1	
UniProt:Q14050 COL9A3	
UniProt:Q8IUZ5 PHYKPL	
UniProt:Q9BXS0 COL25A1	
UniProt:Q96A83 COL26A1	
UniProt:P39059 COL15A1	
UniProt:P24347 MMP11	
UniProt:A8TX70 COL6A5	
UniProt:A6NMZ7 COL6A6	
UniProt:P12111 COL6A3	
UniProt:P12109 COL6A1	
UniProt:P12110 COL6A2	
UniProt:Q05707 COL14A1	
UniProt:P01023 A2M	
UniProt:P15502 ELN	
UniProt:P78325 ADAM8	
UniProt:Q9Y6L7 TLL2	
UniProt:O43897 TLL1	
UniProt:P13497 BMP1	
UniProt:Q9NPA2 MMP25	
UniProt:Q9Y5R2 MMP24	
UniProt:Q9ULZ9 MMP17	
UniProt:P51512 MMP16	
UniProt:P07477 PRSS1	
UniProt:P17538 CTRB1	
UniProt:P03952 KLKB1	
UniProt:P20151 KLK2	
UniProt:P16035 TIMP2	
UniProt:P23946 CMA1	
UniProt:Q15661 TPSAB1	
UniProt:Q9BQ16 SPOCK3	
UniProt:P01033 TIMP1	
UniProt:Q6GPI1 CTRB2	
UniProt:P35613 BSG	
UniProt:Q9UBM4 OPTC	
UniProt:Q92542 NCSTN	
UniProt:P49768 PSEN1	
UniProt:Q92743 HTRA1	
UniProt:Q96L46 CAPNS2	
UniProt:P04632 CAPNS1	
UniProt:O14815 CAPN9	
UniProt:A8MX76 CAPN14	
UniProt:O15484 CAPN5	
UniProt:P20807 CAPN3	
UniProt:Q9HC96 CAPN10	
UniProt:Q9UMQ6 CAPN11	
UniProt:Q6MZZ7 CAPN13	
UniProt:O75808 CAPN15	
UniProt:Q9Y6Q1 CAPN6	
UniProt:A6NHC0 CAPN8	
UniProt:Q9Y6W3 CAPN7	
UniProt:Q6ZSI9 CAPN12	
UniProt:P17655 CAPN2	
UniProt:P07384 CAPN1	
UniProt:P20810 CAST	
UniProt:Q96GW7 BCAN	
UniProt:P07942 LAMB1	
UniProt:O15230 LAMA5	
UniProt:P11047 LAMC1	
UniProt:Q16787 LAMA3	
UniProt:Q13753 LAMC2	
UniProt:Q13751 LAMB3	
UniProt:P42574 CASP3	
UniProt:P16070 CD44	
UniProt:Q13444 ADAM15	
UniProt:P07585 DCN	
UniProt:P49862 KLK7	
UniProt:P10451 SPP1	
