MoleculeName	
UniProt:Q14055 COL9A2	
UniProt:P20849 COL9A1	
UniProt:Q14050 COL9A3	
UniProt:P08123 COL1A2	
UniProt:P02452 COL1A1	
UniProt:A8TX70 COL6A5	
UniProt:A6NMZ7 COL6A6	
UniProt:P12111 COL6A3	
UniProt:P12109 COL6A1	
UniProt:P12110 COL6A2	
UniProt:P21810 BGN	
UniProt:P04004 VTN	
UniProt:P08572 COL4A2	
UniProt:P02462 COL4A1	
UniProt:P53420 COL4A4	
UniProt:P29400 COL4A5	
UniProt:Q01955 COL4A3	
UniProt:Q14031 COL4A6	
UniProt:P10915 HAPLN1	
UniProt:P16112 ACAN	
UniProt:P02461 COL3A1	
UniProt:P02458 COL2A1	
UniProt:P02751 FN1	
UniProt:P22105 TNXB	
UniProt:Q9UQP3 TNN	
UniProt:Q92752 TNR	
UniProt:P24821 TNC	
UniProt:P49747 COMP	
UniProt:P21941 MATN1	
UniProt:O95460 MATN4	
UniProt:O15232 MATN3	
UniProt:O00468 AGRN	
UniProt:P24043 LAMA2	
UniProt:P07942 LAMB1	
UniProt:P11047 LAMC1	
UniProt:O15230 LAMA5	
UniProt:Q16363 LAMA4	
UniProt:P55268 LAMB2	
UniProt:Q16787 LAMA3	
UniProt:P25391 LAMA1	
UniProt:P09486 SPARC	
UniProt:P25940 COL5A3	
UniProt:P05997 COL5A2	
UniProt:P20908 COL5A1	
UniProt:P05067 APP	
UniProt:O75096 LRP4	
UniProt:O15146 MUSK	
UniProt:P13611 VCAN	
UniProt:O14594 NCAN	
UniProt:Q96GW7 BCAN	
UniProt:P98160 HSPG2	
UniProt:Q14118 DAG1	
UniProt:Q13332 PTPRS	
UniProt:P13591 NCAM1	
UniProt:P51884 LUM	
UniProt:Q9BXN1 ASPN	
UniProt:Q06828 FMOD	
UniProt:P07585 DCN	
UniProt:P10600 TGFB3	
UniProt:P61812 TGFB2	
UniProt:P01137 TGFB1	
UniProt:P17301 ITGA2	
UniProt:P05556 ITGB1	
UniProt:Q13797 ITGA9	
UniProt:P06756 ITGAV	
UniProt:P05106 ITGB3	
UniProt:P18564 ITGB6	
UniProt:P20702 ITGAX	
UniProt:Q13683 ITGA7	
UniProt:P53708 ITGA8	
UniProt:P05121 SERPINE1	
UniProt:Q9NZW4 DSPP	
UniProt:Q13316 DMP1	
UniProt:P21815 IBSP	
UniProt:P08514 ITGA2B	
UniProt:P18084 ITGB5	
UniProt:O43184 ADAM12	
UniProt:Q13444 ADAM15	
UniProt:Q9H013 ADAM19	
UniProt:Q5TCZ1 SH3PXD2A	
UniProt:Q96LD1 SGCZ	
UniProt:Q13326 SGCG	
UniProt:Q92629 SGCD	
UniProt:Q16585 SGCB	
UniProt:Q16586 SGCA	
UniProt:O43556 SGCE	
UniProt:Q14714 SSPN	
UniProt:Q13474 DRP2	
UniProt:P11532 DMD	
UniProt:P46939 UTRN	
UniProt:Q9Y4J8 DTNA	
UniProt:O60941 DTNB	
UniProt:Q13425 SNTB2	
UniProt:Q13424 SNTA1	
UniProt:Q9NY99 SNTG2	
UniProt:Q13884 SNTB1	
UniProt:Q13753 LAMC2	
UniProt:Q13751 LAMB3	
UniProt:Q9Y6N6 LAMC3	
UniProt:P63267 ACTG2	
UniProt:P62736 ACTA2	
