#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADCY1	ADCY8	9606.ENSP00000297323	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY1	GNAI1	9606.ENSP00000297323	9606.ENSP00000497260	0	0	0.500	0	0.499
ADCY1	GNAI3	9606.ENSP00000297323	9606.ENSP00000358867	0	0	0.500	0	0.499
ADCY1	GNAI2	9606.ENSP00000297323	9606.ENSP00000312999	0	0	0.500	0	0.499
ADCY1	GNAS	9606.ENSP00000297323	9606.ENSP00000360141	0	0.129	0.500	0	0.545
ADCY1	ADCY3	9606.ENSP00000297323	9606.ENSP00000384484	0	0	0.900	0	0.900
ADCY2	GNAI2	9606.ENSP00000342952	9606.ENSP00000312999	0	0	0.500	0	0.499
ADCY2	GNAI3	9606.ENSP00000342952	9606.ENSP00000358867	0	0	0.500	0	0.499
ADCY2	GNAI1	9606.ENSP00000342952	9606.ENSP00000497260	0	0	0.500	0	0.499
ADCY2	ADCY5	9606.ENSP00000342952	9606.ENSP00000419361	0	0.521	0	0	0.521
ADCY2	GNAS	9606.ENSP00000342952	9606.ENSP00000360141	0	0.599	0.500	0	0.791
ADCY3	ADCY8	9606.ENSP00000384484	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY3	ADCY9	9606.ENSP00000384484	9606.ENSP00000294016	0	0	0.900	0	0.900
ADCY3	ADCY6	9606.ENSP00000384484	9606.ENSP00000311405	0	0	0.900	0	0.900
ADCY3	GNAI2	9606.ENSP00000384484	9606.ENSP00000312999	0	0	0.500	0	0.499
ADCY3	GNAI3	9606.ENSP00000384484	9606.ENSP00000358867	0	0	0.500	0	0.499
ADCY3	GNAS	9606.ENSP00000384484	9606.ENSP00000360141	0	0.129	0.500	0	0.545
ADCY3	GNAI1	9606.ENSP00000384484	9606.ENSP00000497260	0	0	0.500	0	0.499
ADCY4	ADCY8	9606.ENSP00000312126	9606.ENSP00000286355	0	0	0.900	0	0.900
ADCY4	ADCY6	9606.ENSP00000312126	9606.ENSP00000311405	0	0.255	0.900	0	0.922
ADCY4	GNAI1	9606.ENSP00000312126	9606.ENSP00000497260	0	0	0.500	0	0.499
ADCY4	GNAI3	9606.ENSP00000312126	9606.ENSP00000358867	0	0	0.500	0	0.499
ADCY4	GNAI2	9606.ENSP00000312126	9606.ENSP00000312999	0	0	0.500	0	0.499
ADCY4	GNAS	9606.ENSP00000312126	9606.ENSP00000360141	0	0.251	0.500	0	0.609
ADCY5	ADCY6	9606.ENSP00000419361	9606.ENSP00000311405	0	0	0.900	0	0.900
