source,target,correlation,uncorrected p,FDR
3119,972,0.977,9.65216e-20,1.00572e-14
3119,3123,0.958,4.00502e-16,2.08654e-11
10376,84790,0.955,9.78128e-16,3.39723e-11
3105,3106,0.946,1.03551e-14,2.69739e-10
1281,1290,0.94,3.63002e-14,7.56468e-10
25878,7058,0.936,8.41458e-14,1.46128e-09
2200,7058,0.934,1.25587e-13,1.76806e-09
3106,3135,0.934,1.38541e-13,1.76806e-09
3119,3122,0.933,1.52717e-13,1.76806e-09
1291,1293,0.932,2.03658e-13,2.12036e-09
1295,54829,0.932,2.23847e-13,2.12036e-09
115908,1290,0.927,5.08419e-13,4.4146e-09
3956,7058,0.927,5.55159e-13,4.44964e-09
3956,7077,0.926,6.60721e-13,4.91746e-09
10631,1290,0.924,8.54078e-13,5.93276e-09
1281,6678,0.919,1.93851e-12,1.26241e-08
1290,1293,0.919,2.09806e-12,1.28594e-08
2200,25878,0.917,2.65208e-12,1.5352e-08
3105,3133,0.917,2.86477e-12,1.57104e-08
1290,6678,0.916,3.09306e-12,1.61142e-08
7058,7077,0.915,3.60061e-12,1.78652e-08
3123,972,0.913,5.22292e-12,2.47367e-08
10410,10581,0.911,6.97839e-12,3.16139e-08
1009,6678,0.909,8.6347e-12,3.74875e-08
6201,9045,0.909,9.2625e-12,3.86046e-08
10169,5411,0.908,9.93203e-12,3.9803e-08
3105,3135,0.907,1.22167e-11,4.71458e-08
1290,2200,0.906,1.39983e-11,5.20917e-08
2335,3956,0.903,1.95473e-11,7.02327e-08
11167,2200,0.902,2.22848e-11,7.73996e-08
1293,6678,0.899,3.48815e-11,1.17243e-07
3122,972,0.899,3.71384e-11,1.20927e-07
3122,3123,0.898,3.95287e-11,1.2481e-07
1009,1290,0.897,4.47385e-11,1.33188e-07
1293,25878,0.897,4.47385e-11,1.33188e-07
1281,1293,0.896,5.37438e-11,1.55552e-07
1293,7058,0.895,5.70971e-11,1.60792e-07
51386,6122,0.895,6.06416e-11,1.66279e-07
1278,1281,0.893,7.69351e-11,2.05547e-07
1278,1293,0.891,9.16932e-11,2.38852e-07
1293,4267,0.89,1.0901e-10,2.77035e-07
1462,7058,0.888,1.29283e-10,3.20733e-07
1937,6204,0.886,1.61702e-10,3.82926e-07
2335,7058,0.886,1.61702e-10,3.82926e-07
1278,6678,0.885,1.80567e-10,4.18097e-07
1009,1281,0.884,2.12673e-10,4.81732e-07
25873,6227,0.883,2.27892e-10,5.05221e-07
170960,8621,0.883,2.369e-10,5.14251e-07
1293,800,0.882,2.63635e-10,5.49395e-07
10631,115908,0.882,2.63635e-10,5.49395e-07
3106,3107,0.881,2.78015e-10,5.68002e-07
54829,6678,0.879,3.43025e-10,6.87344e-07
1290,800,0.879,3.61321e-10,7.10344e-07
2200,23022,0.878,4.00625e-10,7.73028e-07
3151,57570,0.875,5.16639e-10,9.61281e-07
115908,7077,0.875,5.16639e-10,9.61281e-07
115908,1293,0.875,5.43249e-10,9.93059e-07
1293,1462,0.874,5.71109e-10,1.02599e-06
10399,6159,0.874,6.00273e-10,1.04243e-06
1290,7058,0.874,6.00273e-10,1.04243e-06
3107,3135,0.873,6.30796e-10,1.0601e-06
6678,7058,0.873,6.30796e-10,1.0601e-06
1009,1303,0.872,6.96149e-10,1.15136e-06
1278,1290,0.872,7.311e-10,1.19028e-06
6135,6146,0.871,7.67652e-10,1.19383e-06
1290,25878,0.871,7.67652e-10,1.19383e-06
115908,6678,0.871,7.67652e-10,1.19383e-06
6146,6160,0.871,8.05872e-10,1.19955e-06
170960,9208,0.871,8.05872e-10,1.19955e-06
11167,1293,0.871,8.05872e-10,1.19955e-06
1843,1958,0.87,8.45827e-10,1.22405e-06
1300,1303,0.87,8.45827e-10,1.22405e-06
8621,9208,0.87,8.8759e-10,1.26689e-06
6160,6173,0.869,9.31233e-10,1.29374e-06
1009,54829,0.869,9.31233e-10,1.29374e-06
6135,6201,0.869,9.76834e-10,1.33924e-06
3492,3512,0.868,1.02447e-09,1.38631e-06
2200,7077,0.868,1.07423e-09,1.435e-06
1293,2200,0.867,1.18044e-09,1.55693e-06
6135,6173,0.867,1.23708e-09,1.57194e-06
1293,7077,0.867,1.23708e-09,1.57194e-06
1462,6678,0.867,1.23708e-09,1.57194e-06
1303,2335,0.866,1.2962e-09,1.62721e-06
11167,1290,0.865,1.42226e-09,1.74345e-06
10631,1281,0.865,1.42226e-09,1.74345e-06
10399,11224,0.864,1.55945e-09,1.86768e-06
1634,2200,0.864,1.55945e-09,1.86768e-06
6194,6208,0.864,1.63249e-09,1.91123e-06
6135,6203,0.864,1.63249e-09,1.91123e-06
3106,3133,0.863,1.70866e-09,1.95643e-06
7058,800,0.863,1.70866e-09,1.95643e-06
23521,6203,0.863,1.78807e-09,2.0251e-06
6130,6173,0.862,1.9571e-09,2.14654e-06
1009,2200,0.862,1.9571e-09,2.14654e-06
1293,3956,0.862,1.9571e-09,2.14654e-06
23521,6146,0.861,2.04699e-09,2.22175e-06
23521,6223,0.861,2.14064e-09,2.25299e-06
11167,1462,0.861,2.14064e-09,2.25299e-06
115908,7058,0.861,2.14064e-09,2.25299e-06
6130,6160,0.86,2.2382e-09,2.33211e-06
1009,1293,0.86,2.33981e-09,2.41385e-06
1295,1303,0.859,2.5558e-09,2.61083e-06
1937,6173,0.858,2.7899e-09,2.76853e-06
115908,1281,0.858,2.7899e-09,2.76853e-06
2200,3956,0.858,2.7899e-09,2.76853e-06
7077,800,0.857,2.91415e-09,2.86456e-06
1009,115908,0.857,3.04346e-09,2.9637e-06
115908,800,0.856,3.31793e-09,3.1717e-06
1009,1462,0.856,3.31793e-09,3.1717e-06
6193,6223,0.855,3.4635e-09,3.2512e-06
6130,6234,0.855,3.4635e-09,3.2512e-06
6173,6222,0.855,3.61488e-09,3.33324e-06
10631,6678,0.855,3.61488e-09,3.33324e-06
6135,6160,0.854,3.7723e-09,3.4179e-06
11167,800,0.854,3.7723e-09,3.4179e-06
6146,6173,0.853,4.10608e-09,3.68825e-06
6130,6218,0.852,4.46667e-09,3.87841e-06
6201,6203,0.852,4.46667e-09,3.87841e-06
11167,25878,0.852,4.46667e-09,3.87841e-06
1281,2200,0.852,4.46667e-09,3.87841e-06
115908,3956,0.851,4.856e-09,4.18162e-06
6160,6164,0.851,5.06208e-09,4.32334e-06
3514,3537,0.849,5.72923e-09,4.81421e-06
25878,6678,0.849,5.72923e-09,4.81421e-06
6173,6194,0.848,6.47585e-09,5.35522e-06
1462,2200,0.848,6.47585e-09,5.35522e-06
1634,7058,0.847,6.74383e-09,5.53292e-06
4736,6139,0.847,7.02191e-09,5.71605e-06
6159,9045,0.845,7.9202e-09,6.39732e-06
3122,5552,0.845,8.24221e-09,6.40899e-06
1933,23521,0.845,8.24221e-09,6.40899e-06
6130,6161,0.845,8.24221e-09,6.40899e-06
115908,2200,0.845,8.24221e-09,6.40899e-06
2200,6678,0.845,8.24221e-09,6.40899e-06
23521,6124,0.844,8.57612e-09,6.61924e-06
1937,6223,0.844,8.92236e-09,6.83584e-06
10410,8519,0.843,9.28132e-09,6.95738e-06
25878,800,0.843,9.28132e-09,6.95738e-06
1278,25878,0.843,9.28132e-09,6.95738e-06
6135,6194,0.843,9.65342e-09,7.18463e-06
2200,800,0.842,1.00391e-08,7.41869e-06
25878,4267,0.842,1.04388e-08,7.65974e-06
4582,50848,0.841,1.0853e-08,7.7989e-06
1300,2335,0.841,1.0853e-08,7.7989e-06
1281,800,0.841,1.0853e-08,7.7989e-06
1290,1291,0.84,1.17268e-08,8.36905e-06
6193,6203,0.84,1.21873e-08,8.58019e-06
1303,6678,0.84,1.21873e-08,8.58019e-06
1933,4736,0.839,1.26643e-08,8.68138e-06
1009,1278,0.839,1.26643e-08,8.68138e-06
1281,54829,0.839,1.26643e-08,8.68138e-06
11167,1281,0.839,1.26643e-08,8.68138e-06
6159,6173,0.839,1.31583e-08,8.84543e-06
2200,54829,0.839,1.31583e-08,8.84543e-06
1295,6678,0.839,1.31583e-08,8.84543e-06
4513,4538,0.838,1.36698e-08,9.13038e-06
6194,6201,0.838,1.41994e-08,9.42372e-06
6124,6181,0.838,1.43568e-08,9.46784e-06
11167,7058,0.837,1.47477e-08,9.66448e-06
