genes,Entrez ID,Gene Symbol,GSM1116180,GSM1116181,GSM1116184,GSM1116187,GSM1116190,GSM1116191,GSM1116194,GSM1116195,GSM1116199,GSM1116200,GSM1116203,GSM1116204,GSM1116205,GSM1116208,GSM1116209,GSM1116213,GSM1116216,GSM1116217,GSM1116220,GSM1116221,GSM1116222,GSM1116223,GSM1116224,GSM1116225,GSM1116228,GSM1116231,GSM1116232,GSM1116234,GSM1116235
string,string,string,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
meta,meta,meta,batch=1 class=1|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=1 class=1|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=1 class=1|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=1 class=1|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=2 class=2|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=2 class=2|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=2 class=2|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=2 class=2|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=2 class=2|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=2 class=2|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=3 class=3|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=3 class=3|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=3 class=3|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=3 class=3|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=3 class=3|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=3 class=3|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=5 class=5|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=5 class=5|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=5 class=5|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=5 class=5|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=5 class=5|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A
1007_s_at,780,DDR1,9.25581,9.65648,9.67101,10.2789,9.26293,9.79335,9.68111,9.23725,10.9918,10.7909,10.7544,10.4059,10.2163,10.088,9.83567,10.097,10.7279,11.1014,9.67831,10.7017,10.5528,10.3353,10.2945,11.0944,10.2281,10.0329,9.84599,10.5547,9.4529
1053_at,5982,RFC2,7.42271,7.03281,6.70343,7.39894,7.22615,6.79832,6.84965,7.29869,6.8832,6.40945,7.12197,7.15877,7.06667,6.99632,6.67889,6.99333,6.84023,7.25026,6.91589,5.68589,6.0882,7.35386,7.20402,7.31024,6.96242,7.41607,5.83454,6.88277,6.837
117_at,3310,HSPA6,5.90116,5.01108,4.26019,4.94541,5.41029,5.41365,5.70363,4.10106,5.63173,5.61878,6.28205,5.57738,4.66778,4.5139,6.13449,5.75165,6.29517,4.81102,5.47914,4.42508,6.8979,5.32343,5.91998,5.48543,6.46595,4.50611,4.78051,4.14597,6.10766
1294_at,7318,MIR5193,6.39339,7.75967,6.79128,7.72522,7.92009,5.79406,7.59827,7.23315,8.54789,7.72629,8.06425,7.3886,7.66124,6.32999,7.39462,6.85385,7.78182,7.12204,6.74362,7.21228,8.56077,7.24038,8.17657,7.31011,7.5239,7.44448,7.03001,6.37882,6.99674
1316_at,7067,THRA,3.31515,3.34,3.14845,3.09989,3.42857,3.55201,3.25987,3.21713,3.56032,3.5493,3.53381,3.42532,3.45824,3.40397,3.2068,3.27224,3.26699,3.22369,3.53458,3.64618,3.3479,3.39311,3.88391,3.62851,3.39838,3.31572,3.70289,3.55309,3.23899
1405_i_at,6352,CCL5,8.82882,10.1577,7.2341,7.28429,10.3067,8.30816,8.25211,8.6942,7.43344,8.93008,9.05865,9.05033,8.42317,6.75887,8.75712,5.543,5.68833,7.36957,5.93992,6.99717,10.9298,8.09043,9.85975,4.42757,9.40301,7.32929,7.18265,6.36287,9.56499
1438_at,2049,EPHB3,4.89195,2.55596,3.75623,4.12133,4.78485,3.54494,4.53491,3.48512,5.12557,2.04451,1.92351,4.92741,2.31724,4.60967,4.73809,4.57641,4.40045,6.60912,4.58068,6.21276,2.09133,2.35065,2.16074,2.07259,3.87368,4.29189,4.27692,3.58838,5.11154
1487_at,2101,ESRRA,5.87079,5.66254,5.5687,5.97959,5.76388,5.8533,5.9864,6.01533,6.2752,5.67647,6.0265,6.29119,6.16206,5.76807,6.07703,6.35496,5.6315,5.68627,6.09857,6.15301,6.60274,6.48914,6.16903,6.64642,5.22549,5.89958,5.45788,6.44435,5.82317
