Entrez ID,Gene Symbol,expression_mean
4512,COX1,15.7215
4536,ND2,15.0958
4508,ATP6,15.5846
4513,COX2,15.4642
4537,ND3,15.3741
1072,CFL1,12.0866
10631,POSTN,13.7981
3094,HINT1,12.3712
1277,COL1A1,14.3131
378938,MALAT1,13.6044
11224,RPL35,13.5073
6158,MIR6805,14.9946
1982,EIF4G2,13.4167
11315,PARK7,12.6408
6727,SRP14,13.1179
2665,GDI2,12.8765
6135,RPL11,14.0008
6144,RPL21,14.5403
6152,RPL24,13.6826
4735,SEPT2,12.655
3178,HNRNPA1,14.0274
6233,RPS27A,14.4477
6207,LOC100508408,14.6246
2197,FAU,13.0071
6141,RPL18,14.3083
8665,EIF3F,12.5383
6193,RPS5,13.8992
6155,RPL27,14.2665
6164,RPL34,14.7242
6143,RPL19,14.2758
5250,SLC25A3,12.364
6205,RPS11,14.8434
6133,RPL9,14.6008
1655,DDX5,13.7497
6128,RPL6,14.2771
4736,RPL10A,13.8362
11335,CBX3,12.4802
6139,C18orf32,14.6145
7528,YY1,12.1724
10899,JTB,12.246
4841,NONO,12.4259
387,RHOA,13.0378
6229,RPS24,15.0794
6156,RPL30,14.6733
4869,NPM1,13.782
3326,HSP90AB1,12.365
375,ARF1,12.1668
3184,HNRNPD,12.1493
9045,RPL14,13.5817
4946,OAZ1,13.6383
3020,H3F3A,14.0504
6194,RPS6,14.3211
6201,RPS7,13.2714
10959,TMED2,12.6978
6136,NBEAL1,14.8377
6124,RPL4,13.4846
6230,RPS25,14.0498
6167,RPL37,15.0142
1938,EEF2,12.9036
6204,RPS10,14.2678
8992,ATP6V0E1,12.2718
3190,HNRNPK,12.5426
6189,RPS3A,15.0635
3192,HNRNPU,12.5037
7184,HSP90B1,12.519
5573,PRKAR1A,12.6712
1832,DSP,12.5272
5885,RAD21,12.2599
1213,CLTC,12.5913
9528,TMEM59,12.4429
9782,MATR3,12.1575
10728,PTGES3,12.6663
7314,UBB,14.3786
7534,YWHAZ,12.2313
6647,SOD1,12.3834
11337,GABARAP,12.2784
3939,LDHA,13.277
10399,GNB2L1,13.9826
6282,S100A11,12.1805
9804,TOMM20,12.0993
967,CD63,13.149
6678,SPARC,14.1891
7494,XBP1,12.7373
9741,LAPTM4A,13.4259
6161,RPL32,14.3434
975,CD81,12.0265
754,PTTG1IP,12.3539
3146,HMGB1,13.724
9295,SRSF11,12.7937
1937,EEF1G,13.9323
10971,YWHAQ,12.1402
1933,EEF1B2,12.8332
23521,RPL13A,12.7779
6129,RPL7,15.3245
6500,SKP1,13.7806
6134,RPL10,14.1266
4666,NACA,14.1158
5230,PGK1,12.0089
6232,RPS27,15.5858
2495,FTH1,14.7595
10550,ARL6IP5,12.6071
6176,RPLP1,15.6196
5757,LOC100506248,12.6097
23196,FAM120A,12.1608
9689,BZW1,12.2325
2778,GNAS,13.6946
6210,RPS15A,14.9208
9802,DAZAP2,12.5834
8404,SPARCL1,12.9307
4170,MCL1,12.3995
3303,HSPA1A,12.997
7009,TMBIM6,12.1209
3329,HSPD1,12.7799
1153,CIRBP,12.6611
539,ATP5O,12.0691
6209,RPS15,14.267
6159,RPL29,13.6341
6633,SNRPD2,12.3984
6227,RPS21,14.551
1508,CTSB,12.2566
51669,SARAF,12.8114
6202,RPS8,14.6311
6142,RPL18A,13.8114
5660,PSAP,13.3593
6281,S100A10,12.9162
9349,RPL23,14.5561
6745,SSR1,12.3176
23022,PALLD,12.6443
9403,SEP15,12.2073
3133,HLA-E,12.5489
6181,RPLP2,14.4302
1974,EIF4A2,13.7981
3895,KTN1,12.0744
6228,RPS23,15.1901
6191,RPS4X,14.8802
6132,RPL8,14.0894
6083,RPL5,13.8911
3150,HMGN1,12.8019
22872,SEC31A,12.0842
6224,RPS20,14.8749
6160,RPL31,14.7299
226,ALDOA,12.7364
5479,PPIB,12.2381
5538,PPT1,12.6413
966,CD59,12.0238
928,CD9,13.5673
10628,TXNIP,12.1964
11034,DSTN,13.081
4267,CD99,12.23
3187,HNRNPH1,12.629
6175,RPLP0,14.3291
1843,DUSP1,12.3738
6222,RPS18,15.283
23451,SF3B1,12.4663
10376,TUBA1B,12.6695
6235,RPS29,14.7502
378,ARF4,12.7998
25832,NBPF10,12.235
3956,LGALS1,13.6634
2879,GPX4,12.2705
999,CDH1,12.3959
1350,COX7C,12.5943
10457,GPNMB,12.4798
7078,TIMP3,12.7162
3490,IGFBP7,12.9204
8553,BHLHE40,12.1663
1476,CSTB,12.193
6122,RNU86,14.4903
9789,SPCS2,12.0164
481,ATP1B1,13.3329
6217,RPS16,14.4651
4831,NME1-NME2,12.016
6726,SRP9,13.468
397,ARHGDIB,12.2136
3491,CYR61,12.1178
23478,SEC11A,12.2304
5478,LOC101060363,13.9774
6451,SH3BGRL,13.4156
10581,IFITM2,12.3314
10627,MYL12A,13.7548
1315,COPB1,12.4683
678,ZFP36L2,12.5448
1665,DHX15,12.0799
23471,TRAM1,12.5627
4259,MGST3,12.0953
6173,RPL36A,13.9203
7431,VIM,14.292
6414,SEPP1,13.7328
6168,RPL37A,15.3531
1293,COL6A3,14.0968
10159,ATP6AP2,13.6551
6171,RPL41,15.6381
1973,EIF4A1,12.3005
3916,LAMP1,13.3442
302,ANXA2,13.7792
8667,EIF3H,12.0599
3875,KRT18,12.0132
1347,COX7A2,12.3531
4942,OAT,12.4893
11331,PHB2,12.2346
8519,IFITM1,12.3039
6218,RPS17,14.5149
2697,GJA1,14.0143
4082,MARCKS,12.0469
7163,TPD52,12.097
4060,LUM,14.3693
1345,COX6C,13.8507
103,ADAR,12.4051
165,AEBP1,12.1257
54543,C4orf46,12.1
4072,EPCAM,12.1217
3315,HSPB1,12.2191
1281,COL3A1,15.2499
5552,SRGN,12.2984
567,B2M,14.9031
1634,DCN,13.9747
214,ALCAM,12.4083
51622,CCZ1,12.4695
3799,KIF5B,12.3268
9643,MORF4L2,13.0094
6993,DYNLT1,12.3461
10209,EIF1,12.5374
6169,RPL38,13.4268
25800,SLC39A6,14.4541
27020,NPTN,12.4055
10480,EIF3M,12.2679
5692,PSMB4,12.2693
5872,RAB13,12.0933
4070,TACSTD2,13.4443
4256,MGP,14.5912
522,ATP5J,12.2239
3685,ITGAV,12.4819
1278,COL1A2,15.1541
1622,DBI,12.2282
1513,CTSK,12.4803
8204,NRIP1,12.4647
6223,RPS19,13.9319
10140,TOB1,12.159
2200,FBN1,12.4474
901,CCNG2,12.6826
5825,ABCD3,12.2947
6147,RPL23A,14.667
6157,RPL27A,14.9138
7058,THBS2,12.6564
6187,RPS2,14.7451
1936,EEF1D,12.6406
6635,SNRPE,12.176
6902,TBCA,12.2728
1462,VCAN,13.3259
3123,HLA-DRB1,12.657
1915,EEF1A1,15.4067
3181,HNRNPA2B1,12.865
6876,TAGLN,12.6361
7381,UQCRB,12.8392
1300,COL10A1,12.3673
7555,CNBP,12.0783
8483,CILP,12.0992
5204,PFDN5,12.1518
1009,CDH11,12.6676
801,CALM1,14.3227
6166,RPL36AL,12.5773
10075,HUWE1,14.8821
9584,RBM39,12.0295
5042,PABPC3,13.6096
8763,CD164,12.3459
689,BTF3,13.0237
8073,PTP4A2,12.4041
4904,YBX1,12.4918
5879,RAC1,12.9076
6208,RPS14,14.8262
10983,CCNI,12.2043
7267,TTC3,12.2202
3151,HMGN2,13.3868
57515,SERINC1,12.0812
10109,ARPC2,12.7691
3312,HSPA8,13.2203
6188,RPS3,14.4818
6170,RPL39,15.1548
3646,EIF3E,12.7423
1983,EIF5,12.2013
10521,DDX17,13.4111
5861,RAB1A,12.6766
3106,HLA-B,13.1726
6612,LOC101929087,12.0857
10284,SAP18,12.538
7529,YWHAB,12.1438
10632,ATP5L,12.2175
517,ATP5G2,12.0928
10236,HNRNPR,12.387
6146,RPL22,13.6953
7514,XPO1,12.015
11167,FSTL1,12.1349
4179,CD46,13.0935
60481,ELOVL5,13.8879
1191,CLU,12.0732
5687,KIAA0391,12.1563
3107,HLA-C,13.9183
7419,VDAC3,12.2256
7295,TXN,12.0309
3122,HLA-DRA,13.0215
6234,RPS28,14.8
6137,RPL13,14.0574
3958,LGALS3,13.3984
1854,DUT,12.3486
7316,UBC,14.341
1490,CTGF,12.4844
7846,TUBA1A,13.4763
3537,IGLC1,13.4641
30851,P2RX5-TAX1BP3,12.0711
84790,TUBA1C,12.728
563,AZGP1,13.7286
3119,HLA-DQB1,13.1182
25878,MXRA5,12.6396
2625,GATA3,14.4492
972,CD74,12.8379
100133941,CD24,13.3047
5376,PMP22,12.186
5411,PNN,12.2808
3320,HSP90AA1,13.6011
2335,FN1,14.344
8724,SNX3,12.0357
8031,NCOA4,12.5615
2969,GTF2I,12.7932
57142,RTN4,13.521
7168,TPM1,12.8544
3500,IGHG1,13.1327
83955,NACAP1,13
9208,LRRFIP1,12.6688
3135,HLA-G,12.2198
5800,PTPRO,12.3839
2509,FTH1P5,14.0883
515,ATP5F1,12.8912
6426,SRSF1,12.3579
23204,ARL6IP1,12.0785
3309,HSPA5,12.5343
7178,LOC101928826,15.1752
3688,ITGB1,13.5176
23215,PRRC2C,12.2105
677,ZFP36L1,12.2285
79026,AHNAK,12.1761
3113,HLA-DPA1,13.3103
960,CD44,12.0223
800,CALD1,12.7982
4637,MYL6,14.283
293,SLC25A6,12.7507
3572,IL6ST,13.784
10410,IFITM3,13.0891
6430,SRSF5,12.3144
10972,TMED10,12.0178
6925,TCF4,12.5004
2597,GAPDH,13.9552
3512,IGJ,12.1704
27250,MIR4680,12.5284
11059,WWP1,12.5287
2512,FTL,14.3183
6738,TROVE2,12.0039
10923,SUB1,13.1642
23158,TBC1D9,12.8107
23405,DICER1,12.7861
509,ATP5C1,12.0063
6206,RPS12,14.5389
1291,COL6A1,12.8138
6165,RPL35A,13.1482
4582,MUC1,12.4397
427,ASAH1,13.1358
498,ATP5A1,13.5493
3921,RPSA,14.2009
4673,NAP1L1,12.2586
3015,H2AFZ,12.1027
3105,HLA-A,13.5608
7503,XIST,12.6038
5689,PSMB1,12.2897
388677,NOTCH2NL,13.1639
3514,IGK,12.7011
2752,GLUL,13.5948
8848,TSC22D1,12.1601
26986,PABPC1,13.8664
170960,ZNF721,12.1079
7114,TMSB4X,15.099
100422872,MIR1244-3,12.2886
3492,IGH,13.3972
51386,EIF3L,13.3086
9445,ITM2B,13.824
9168,TMSB10,14.0487
6130,RPL7A,14.0929
6203,RPS9,13.5336
6231,LOC100996747,12.6632
10169,HYPK,12.2206
11031,RAB31,12.5222
718,C3,12.0827
51637,C14orf166,12.2424
4697,NDUFA4,12.4516
514,ATP5E,12.9657
64710,NUCKS1,12.4376
29997,GLTSCR2,13.3042
25994,HIGD1A,12.0644
4282,MIF,12.3448
28972,SPCS1,12.2718
54918,CMTM6,12.2646
27018,NGFRAP1,12.0117
27075,TSPAN13,12.8374
10933,MORF4L1,13.3532
51065,RPS27L,12.3202
4718,NDUFC2,12.3281
4710,NDUFB4,12.2447
81539,SLC38A1,12.5986
54829,ASPN,13.6296
57758,SCUBE2,12.6476
25873,RPL36,12.4118
103910,MYL12B,12.9781
6138,RPL15,13.6899
665,BNIP3L,12.188
7311,UBA52,13.2311
1290,COL5A2,13.3113
51372,TMA7,13.2565
3842,TNPO1,12.2019
57570,TRMT5,12.1402
64065,PERP,12.5424
51495,PTPLAD1,12.0755
79901,CYBRD1,12.2014
7227,TRPS1,12.2703
51643,TMBIM4,12.0339
7170,TPM3,13.2168
54407,SLC38A2,12.9389
50848,F11R,12.1536
54940,OCIAD1,12.0151
79718,TBL1XR1,12.0893
25912,C1orf43,12.9006
30061,SLC40A1,13.1714
51522,TMEM14B,12.8051
6423,SFRP2,13.1149
51313,FAM198B,12.7387
64207,IRF2BPL,12.1557
4538,ND4,15.3839
7077,TIMP2,12.2816
283131,MIR612,13.9196
359948,IRF2BP2,12.5317
29058,TMEM230,12.1089
50809,HP1BP3,12.3293
647979,LINC00657,13.1699
81671,MIR21,12.6931
4257,MGST1,12.1501
26799,SNHG5,12.6042
170622,COMMD6,12.253
84833,USMG5,12.6084
641638,SNHG6,12.8033
1303,COL12A1,13.4272
115908,CTHRC1,13.3975
93621,MRFAP1,13.4632
1295,COL8A1,12.0071
6651,SON,12.7257
1958,EGR1,13.9941
280636,C11orf31,12.433
8621,CDK13,12.4858
7001,PRDX2,12.1095
