Gene Symbol Origin,Gene Symbol Target,Correlation,p-value,FDR
COL5A1,COL5A2,0.945,1.31294e-14,2.87259e-09
COL3A1,COL5A2,0.94,3.63002e-14,3.97108e-09
KRT14,KRT5,0.933,1.85159e-13,1.35037e-08
FAP,FBN1,0.931,2.69862e-13,1.47608e-08
COL5A2,CTHRC1,0.927,5.08419e-13,2.22475e-08
COL5A2,POSTN,0.924,8.54078e-13,3.11441e-08
COL5A1,SERPINH1,0.921,1.40558e-12,4.39326e-08
CTHRC1,FAP,0.92,1.65238e-12,4.51907e-08
COL5A1,POSTN,0.918,2.454e-12,5.80251e-08
COL5A1,FAP,0.917,2.65208e-12,5.80251e-08
COL5A2,VCAN,0.916,3.09306e-12,6.08598e-08
DST,KRT5,0.916,3.33797e-12,6.08598e-08
ADAM12,COL5A1,0.915,3.88214e-12,6.53367e-08
FUS,LOC100190986,0.914,4.50688e-12,7.04332e-08
COL12A1,COL8A2,0.912,5.61888e-12,8.03583e-08
CENPU,KIAA0101,0.912,6.04228e-12,8.03583e-08
COL5A1,FBN1,0.911,6.49484e-12,8.03583e-08
CRYAB,IRX1,0.911,6.97839e-12,8.03583e-08
COL8A2,LRRC15,0.911,6.97839e-12,8.03583e-08
SEPT2,TSN,0.909,9.2625e-12,1.01328e-07
FBN1,PRRX1,0.908,9.93203e-12,1.03478e-07
KRT5,MIA,0.907,1.14064e-11,1.13437e-07
KRT5,TRIM29,0.906,1.30797e-11,1.24422e-07
COL5A1,CTHRC1,0.903,1.95473e-11,1.78199e-07
COL3A1,FAP,0.902,2.22848e-11,1.95029e-07
ABCA8,EBF1,0.902,2.37818e-11,2.00125e-07
FBN1,SERPINH1,0.901,2.53707e-11,2.05588e-07
ADH1B,FABP4,0.9,3.27513e-11,2.47093e-07
COL5A2,FAP,0.9,3.27513e-11,2.47093e-07
ADAM12,FBN1,0.897,4.47385e-11,3.26279e-07
COL5A2,SERPINH1,0.895,5.70971e-11,4.02978e-07
ANKRD35,PLAC9,0.894,6.83438e-11,4.66686e-07
DST,TRIM29,0.893,7.25227e-11,4.66686e-07
CTHRC1,SERPINH1,0.893,7.25227e-11,4.66686e-07
CHRDL1,EBF1,0.892,8.65077e-11,5.40774e-07
C2orf40,MIA,0.891,9.71626e-11,5.74549e-07
FAP,SERPINH1,0.891,9.71626e-11,5.74549e-07
ADH1B,CHRDL1,0.889,1.15418e-10,6.64539e-07
ACVR1C,C1orf213,0.888,1.29283e-10,7.0715e-07
ABCA8,ENPP2,0.888,1.29283e-10,7.0715e-07
BGN,COL5A1,0.887,1.52965e-10,8.16275e-07
DST,MIA,0.886,1.70896e-10,8.90251e-07
C2orf40,CRYAB,0.885,1.90738e-10,9.48449e-07
COL8A2,COMP,0.885,1.90738e-10,9.48449e-07
ALOX5AP,LAPTM5,0.884,2.01432e-10,9.58076e-07
DST,KRT14,0.884,2.01432e-10,9.58076e-07
CDH11,FBN1,0.884,2.12673e-10,9.90021e-07
COL3A1,COL5A1,0.883,2.24487e-10,1.02325e-06
KRT14,MIA,0.882,2.4994e-10,1.11601e-06
CTHRC1,POSTN,0.882,2.63635e-10,1.15362e-06
KRT5,SYNM,0.88,3.25582e-10,1.39676e-06
RAB5A,RAD1,0.875,5.16639e-10,2.13276e-06
LRRC15,PPAPDC1A,0.875,5.16639e-10,2.13276e-06
KIT,NDRG2,0.875,5.43249e-10,2.20107e-06
INMT,RASIP1,0.874,5.71109e-10,2.27188e-06
KRT14,TRIM29,0.874,6.00273e-10,2.34526e-06
ADH1B,GPX3,0.872,6.96149e-10,2.67212e-06
CTHRC1,PPAPDC1A,0.872,7.311e-10,2.7579e-06
