#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACACB	RGS1	9606.ENSP00000341044	9606.ENSP00000356429	0	0.423	0	0	0.422
ACTR2	GPRC5A	9606.ENSP00000367220	9606.ENSP00000014914	0	0.422	0	0	0.422
ACTR2	DSG2	9606.ENSP00000367220	9606.ENSP00000261590	0	0.418	0	0	0.418
ACTR2	CYBRD1	9606.ENSP00000367220	9606.ENSP00000319141	0	0.421	0	0	0.420
ACTR2	MYO6	9606.ENSP00000367220	9606.ENSP00000358994	0	0.423	0	0	0.423
ACTR2	ARPC4-TTLL3	9606.ENSP00000367220	9606.ENSP00000380427	0	0.634	0.360	0	0.755
ACTR2	CFL1	9606.ENSP00000367220	9606.ENSP00000432660	0	0.443	0	0	0.443
ACVR1C	INHBA	9606.ENSP00000243349	9606.ENSP00000242208	0	0.046	0.500	0	0.502
ADH1B	ADH1C	9606.ENSP00000306606	9606.ENSP00000426083	0	0.484	0.900	0	0.946
ADM	GNB1	9606.ENSP00000436607	9606.ENSP00000367872	0	0.800	0	0	0.800
AGO2	FKBP4	9606.ENSP00000220592	9606.ENSP00000001008	0	0.422	0	0	0.422
AGO2	FKBP5	9606.ENSP00000220592	9606.ENSP00000444810	0	0.416	0	0	0.416
AGO2	PRKAR1A	9606.ENSP00000220592	9606.ENSP00000376475	0	0.497	0	0	0.497
AGO2	H2BC9	9606.ENSP00000220592	9606.ENSP00000479169	0	0	0.500	0	0.499
AGO2	H2BS1	9606.ENSP00000220592	9606.ENSP00000481622	0	0	0.500	0	0.499
AGO2	H2BC5	9606.ENSP00000220592	9606.ENSP00000289316	0	0	0.500	0	0.499
AGO2	H2BC21	9606.ENSP00000220592	9606.ENSP00000358151	0	0	0.500	0	0.499
AGO2	TSN	9606.ENSP00000220592	9606.ENSP00000374332	0	0.292	0.540	0	0.660
AGO2	DICER1	9606.ENSP00000220592	9606.ENSP00000437256	0	0.737	0.900	0	0.972
AGR2	CANX	9606.ENSP00000391490	9606.ENSP00000247461	0	0.457	0	0	0.457
AGR2	YWHAE	9606.ENSP00000391490	9606.ENSP00000264335	0	0.457	0	0	0.457
AGR2	S100P	9606.ENSP00000391490	9606.ENSP00000296370	0	0.420	0	0	0.420
AGR2	P4HB	9606.ENSP00000391490	9606.ENSP00000327801	0	0.457	0	0	0.457
AGR2	MCCC2	9606.ENSP00000391490	9606.ENSP00000343657	0	0.457	0	0	0.457
AGR2	TAGLN2	9606.ENSP00000391490	9606.ENSP00000357076	0	0.457	0	0	0.457
AGR2	HSP90AB1	9606.ENSP00000391490	9606.ENSP00000360609	0	0.457	0	0	0.457
AGR2	PGK1	9606.ENSP00000391490	9606.ENSP00000362413	0	0.457	0	0	0.457
AGR2	AKR1C3	9606.ENSP00000391490	9606.ENSP00000369927	0	0.420	0	0	0.420
AGR2	AKR1C1	9606.ENSP00000391490	9606.ENSP00000370254	0	0.420	0	0	0.420
AGR2	YWHAZ	9606.ENSP00000391490	9606.ENSP00000379287	0	0.457	0	0	0.457
AGR2	RAB1A	9606.ENSP00000391490	9606.ENSP00000387286	0	0.457	0	0	0.457
AGR2	ENO1	9606.ENSP00000391490	9606.ENSP00000495530	0	0.457	0	0	0.457
AGR2	RAB5C	9606.ENSP00000391490	9606.ENSP00000447053	0	0.457	0	0	0.457
AGTRAP	ESRP1	9606.ENSP00000319713	9606.ENSP00000405738	0	0	0.500	0	0.499
AKR1C1	AKR1C3	9606.ENSP00000370254	9606.ENSP00000369927	0	0.711	0	0	0.711
ALYREF	FYTTD1	9606.ENSP00000421592	9606.ENSP00000241502	0	0.292	0.400	0	0.557
ALYREF	SRSF1	9606.ENSP00000421592	9606.ENSP00000258962	0	0.616	0	0	0.616
ALYREF	PRPF4B	9606.ENSP00000421592	9606.ENSP00000337194	0	0.193	0.800	0	0.831
ALYREF	DDX3X	9606.ENSP00000421592	9606.ENSP00000494040	0	0.631	0	0	0.631
ANGPTL4	ITGB1	9606.ENSP00000301455	9606.ENSP00000379350	0	0.405	0	0	0.404
AOC3	MAOA	9606.ENSP00000312326	9606.ENSP00000340684	0	0	0.900	0	0.900
AP2B1	M6PR	9606.ENSP00000483185	9606.ENSP00000000412	0	0	0.500	0	0.499
AP2B1	CD74	9606.ENSP00000483185	9606.ENSP00000009530	0	0	0.500	0	0.499
AP2B1	MAPK1	9606.ENSP00000483185	9606.ENSP00000215832	0	0	0.500	0	0.499
AP2B1	SCARB2	9606.ENSP00000483185	9606.ENSP00000264896	0	0	0.500	0	0.499
AP2B1	SH3GL3	9606.ENSP00000483185	9606.ENSP00000320092	0	0	0.500	0	0.499
AP2B1	HIP1	9606.ENSP00000483185	9606.ENSP00000336747	0	0.129	0.800	0	0.818
AP2B1	MYO6	9606.ENSP00000483185	9606.ENSP00000358994	0	0.457	0	0	0.457
AP2B1	PICALM	9606.ENSP00000483185	9606.ENSP00000377015	0	0.529	0.720	0	0.862
AP2B1	HLA-DRA	9606.ENSP00000483185	9606.ENSP00000378786	0	0	0.500	0	0.499
AP2B1	NCALD	9606.ENSP00000483185	9606.ENSP00000379256	0	0	0.900	0	0.900
AP2B1	TF	9606.ENSP00000483185	9606.ENSP00000385834	0	0	0.500	0	0.499
AP2B1	TFAP2A	9606.ENSP00000483185	9606.ENSP00000501092	0	0.457	0	0	0.457
APPL1	RAB5A	9606.ENSP00000288266	9606.ENSP00000273047	0	0.549	0	0	0.549
APPL1	TRAPPC11	9606.ENSP00000288266	9606.ENSP00000335371	0	0.420	0	0	0.420
APPL1	APPL2	9606.ENSP00000288266	9606.ENSP00000446917	0	0.962	0	0	0.962
APPL2	RAB5A	9606.ENSP00000446917	9606.ENSP00000273047	0	0.457	0	0	0.457
APPL2	RAB5C	9606.ENSP00000446917	9606.ENSP00000447053	0	0.515	0	0	0.515
AR	FKBP4	9606.ENSP00000363822	9606.ENSP00000001008	0	0.329	0.800	0	0.860
AR	RANBP9	9606.ENSP00000363822	9606.ENSP00000011619	0	0.457	0	0	0.457
AR	FOXA1	9606.ENSP00000363822	9606.ENSP00000250448	0	0.457	0	0	0.457
AR	SMARCC1	9606.ENSP00000363822	9606.ENSP00000254480	0	0.451	0	0	0.451
AR	H2BC5	9606.ENSP00000363822	9606.ENSP00000289316	0	0	0.500	0	0.499
AR	PRKDC	9606.ENSP00000363822	9606.ENSP00000313420	0	0.457	0	0	0.457
AR	SIAH2	9606.ENSP00000363822	9606.ENSP00000322457	0	0.457	0	0	0.457
AR	PGR	9606.ENSP00000363822	9606.ENSP00000325120	0	0	0.500	0	0.499
AR	H2BC21	9606.ENSP00000363822	9606.ENSP00000358151	0	0	0.500	0	0.499
AR	RUNX2	9606.ENSP00000363822	9606.ENSP00000360493	0	0	0.700	0	0.700
AR	HSP90AB1	9606.ENSP00000363822	9606.ENSP00000360609	0	0.462	0.800	0	0.887
AR	FKBP5	9606.ENSP00000363822	9606.ENSP00000444810	0	0.457	0	0	0.457
AR	H2BC9	9606.ENSP00000363822	9606.ENSP00000479169	0	0	0.500	0	0.499
AR	H2BS1	9606.ENSP00000363822	9606.ENSP00000481622	0	0	0.500	0	0.499
ARF4	TMED2	9606.ENSP00000306010	9606.ENSP00000262225	0	0	0.500	0	0.499
ARF4	KDELR1	9606.ENSP00000306010	9606.ENSP00000329471	0	0	0.500	0	0.499
ARF4	KDELR3	9606.ENSP00000306010	9606.ENSP00000386918	0	0	0.500	0	0.499
ARF4	RAB1A	9606.ENSP00000306010	9606.ENSP00000387286	0	0	0.500	0	0.499
ARFGEF1	PRKAR1A	9606.ENSP00000262215	9606.ENSP00000376475	0	0.457	0	0	0.457
ARFGEF1	ARFGEF2	9606.ENSP00000262215	9606.ENSP00000360985	0	0.589	0	0	0.589
ARFGEF2	CCT2	9606.ENSP00000360985	9606.ENSP00000299300	0	0	0.500	0	0.499
ARFGEF2	PRKAR1A	9606.ENSP00000360985	9606.ENSP00000376475	0	0.457	0	0	0.457
ARHGAP32	RHOA	9606.ENSP00000310561	9606.ENSP00000400175	0	0.457	0	0	0.457
ARHGDIB	RHOH	9606.ENSP00000228945	9606.ENSP00000371219	0	0.415	0.500	0	0.695
ARHGDIB	RHOA	9606.ENSP00000228945	9606.ENSP00000400175	0	0.400	0.700	0	0.812
ARIH1	UBE2N	9606.ENSP00000369217	9606.ENSP00000316176	0	0.457	0	0	0.457
ASCC1	MSH6	9606.ENSP00000339404	9606.ENSP00000234420	0	0	0.540	0	0.540
ASCC1	PRKDC	9606.ENSP00000339404	9606.ENSP00000313420	0	0	0.540	0	0.540
ASPN	TGFB1	9606.ENSP00000364694	9606.ENSP00000221930	0	0	0.500	0	0.499
ATAD2	ESR1	9606.ENSP00000287394	9606.ENSP00000405330	0	0.318	0.900	0	0.928
ATG5	TRIM4	9606.ENSP00000358072	9606.ENSP00000348216	0	0	0.500	0	0.499
ATG5	VDAC1	9606.ENSP00000358072	9606.ENSP00000378487	0	0	0.500	0	0.499
ATP1A2	ATP6V1A	9606.ENSP00000354490	9606.ENSP00000273398	0	0.422	0	0	0.422
ATP1A2	FXYD1	9606.ENSP00000354490	9606.ENSP00000481244	0	0	0.900	0	0.900
ATP6AP2	ATP6V1A	9606.ENSP00000490083	9606.ENSP00000273398	0	0.944	0.720	0	0.983
ATP6AP2	ATP6V1C1	9606.ENSP00000490083	9606.ENSP00000430282	0	0.947	0.720	0	0.984
ATP6V1A	ATP6V1C1	9606.ENSP00000273398	9606.ENSP00000430282	0	0.949	0.720	0	0.985
ATP8B1	TMEM30A	9606.ENSP00000497896	9606.ENSP00000230461	0	0.960	0.900	0	0.995
BCL11A	SMARCC1	9606.ENSP00000496168	9606.ENSP00000254480	0	0	0.900	0	0.900
BCL11A	UBXN4	9606.ENSP00000496168	9606.ENSP00000272638	0	0.591	0	0	0.591
BCL11A	EML4	9606.ENSP00000496168	9606.ENSP00000320663	0	0	0.400	0	0.400
BCL11A	HIP1	9606.ENSP00000496168	9606.ENSP00000336747	0	0	0.400	0	0.400
BCL11A	FN1	9606.ENSP00000496168	9606.ENSP00000346839	0	0	0.400	0	0.400
BCL11A	PRKAR1A	9606.ENSP00000496168	9606.ENSP00000376475	0	0	0.400	0	0.400
BCL11A	TPM4	9606.ENSP00000496168	9606.ENSP00000494125	0	0	0.500	0	0.499
BGN	TGFB1	9606.ENSP00000327336	9606.ENSP00000221930	0	0.292	0.500	0	0.630
BMPR1B	TF	9606.ENSP00000401907	9606.ENSP00000385834	0	0	0.540	0	0.540
BMPR1B	RGMA	9606.ENSP00000401907	9606.ENSP00000452126	0	0	0.900	0	0.900
BZW1	CDC5L	9606.ENSP00000394316	9606.ENSP00000360532	0	0.427	0	0	0.426
CA12	CA4	9606.ENSP00000178638	9606.ENSP00000300900	0	0	0.500	0	0.499
CALD1	TPM4	9606.ENSP00000354826	9606.ENSP00000494125	0	0	0.500	0	0.499
CALD1	MYH11	9606.ENSP00000354826	9606.ENSP00000379616	0	0	0.800	0	0.800
CALD1	LMOD1	9606.ENSP00000354826	9606.ENSP00000356257	0	0.195	0.800	0	0.832
CALU	TMED2	9606.ENSP00000438248	9606.ENSP00000262225	0	0.479	0	0	0.479
CALU	DNAJC10	9606.ENSP00000438248	9606.ENSP00000264065	0	0.520	0	0	0.520
CALU	P4HB	9606.ENSP00000438248	9606.ENSP00000327801	0	0.611	0	0	0.611
CALU	TPD52	9606.ENSP00000438248	9606.ENSP00000429309	0	0.421	0	0	0.420
CALU	DNAJC3	9606.ENSP00000438248	9606.ENSP00000473631	0	0.443	0	0	0.443
CANX	CD74	9606.ENSP00000247461	9606.ENSP00000009530	0	0.169	0.500	0	0.566
CANX	PGRMC1	9606.ENSP00000247461	9606.ENSP00000217971	0	0.457	0	0	0.457
CANX	SEC61A1	9606.ENSP00000247461	9606.ENSP00000243253	0	0.457	0	0	0.457
CANX	ITGB1	9606.ENSP00000247461	9606.ENSP00000379350	0	0.457	0	0	0.457
CANX	HLA-DRA	9606.ENSP00000247461	9606.ENSP00000378786	0	0	0.500	0	0.499
CANX	VDAC1	9606.ENSP00000247461	9606.ENSP00000378487	0	0.440	0	0	0.440
CANX	TMX1	9606.ENSP00000247461	9606.ENSP00000393316	0	0.480	0	0	0.480
CAP2	CFL1	9606.ENSP00000229922	9606.ENSP00000432660	0	0.726	0	0	0.726
CARMIL1	MYO6	9606.ENSP00000331983	9606.ENSP00000358994	0	0	0.540	0	0.540
CARMIL1	PDLIM5	9606.ENSP00000331983	9606.ENSP00000480359	0	0	0.540	0	0.540
CCL28	CXCL10	9606.ENSP00000354416	9606.ENSP00000305651	0	0.734	0	0	0.734
CCL28	CXCR4	9606.ENSP00000354416	9606.ENSP00000386884	0	0	0.650	0	0.650
CCL28	CXCL9	9606.ENSP00000354416	9606.ENSP00000354901	0	0.734	0	0	0.734
CCL4	CXCR4	9606.ENSP00000482259	9606.ENSP00000386884	0	0	0.650	0	0.650
CCN1	ZWINT	9606.ENSP00000398736	9606.ENSP00000363055	0	0.724	0	0	0.724
CCNG2	PPP2R5C	9606.ENSP00000315743	9606.ENSP00000412324	0	0.457	0	0	0.457
CCT2	XRN2	9606.ENSP00000299300	9606.ENSP00000366396	0	0	0.500	0	0.499
CCT2	SPAG1	9606.ENSP00000299300	9606.ENSP00000373450	0	0	0.540	0	0.540
CCT2	GNB1	9606.ENSP00000299300	9606.ENSP00000367872	0	0.229	0.500	0	0.598
CCT2	HSP90AB1	9606.ENSP00000299300	9606.ENSP00000360609	0	0.292	0.720	0	0.793
CCT2	STIP1	9606.ENSP00000299300	9606.ENSP00000351646	0	0	0.900	0	0.900
CD74	EIF2S3	9606.ENSP00000009530	9606.ENSP00000253039	0	0.448	0	0	0.448
CD74	SAR1B	9606.ENSP00000009530	9606.ENSP00000385432	0	0	0.500	0	0.499
CD74	RPS23	9606.ENSP00000009530	9606.ENSP00000296674	0	0.496	0	0	0.495
CD74	HLA-DRA	9606.ENSP00000009530	9606.ENSP00000378786	0	0.933	0.900	0	0.993
CDC5L	SRSF1	9606.ENSP00000360532	9606.ENSP00000258962	0	0.907	0	0	0.907
CDC5L	PRKDC	9606.ENSP00000360532	9606.ENSP00000313420	0	0.427	0	0	0.426
CDC5L	DHX15	9606.ENSP00000360532	9606.ENSP00000336741	0	0.953	0	0	0.953
CDC5L	SPTBN1	9606.ENSP00000360532	9606.ENSP00000349259	0	0.409	0	0	0.408
CDC5L	TOP2A	9606.ENSP00000360532	9606.ENSP00000411532	0	0.459	0	0	0.459
CDC5L	LSM4	9606.ENSP00000360532	9606.ENSP00000469468	0	0.800	0	0	0.800
CDH11	CTNNA1	9606.ENSP00000268603	9606.ENSP00000304669	0	0.042	0.540	0	0.540
CFB	CFD	9606.ENSP00000416561	9606.ENSP00000468253	0	0.900	0.900	0	0.989
CFL1	UBE2M	9606.ENSP00000432660	9606.ENSP00000253023	0	0.457	0	0	0.457
CFL1	TWF1	9606.ENSP00000432660	9606.ENSP00000449428	0	0.518	0	0	0.518
CIDEA	CIDEC	9606.ENSP00000320209	9606.ENSP00000373328	0	0.292	0.900	0	0.926
CILP	HLA-DRA	9606.ENSP00000261883	9606.ENSP00000378786	0	0.800	0	0	0.800
CITED2	TFAP2A	9606.ENSP00000444198	9606.ENSP00000501092	0	0.457	0.700	0	0.830
CLDN3	CLDN8	9606.ENSP00000378577	9606.ENSP00000382783	0	0	0.650	0	0.650
CLDND1	GOLGA7	9606.ENSP00000377735	9606.ENSP00000350378	0	0.646	0	0	0.646
COG5	MAN2A1	9606.ENSP00000297135	9606.ENSP00000261483	0	0	0.500	0	0.499
COL10A1	COL8A1	9606.ENSP00000327368	9606.ENSP00000261037	0	0	0.540	0	0.540
COL10A1	CRTAP	9606.ENSP00000327368	9606.ENSP00000323696	0	0.163	0.500	0	0.563
COL10A1	COL12A1	9606.ENSP00000327368	9606.ENSP00000325146	0	0.164	0.400	0	0.476
COL10A1	COL8A2	9606.ENSP00000327368	9606.ENSP00000380901	0	0	0.400	0	0.400
COL10A1	P4HB	9606.ENSP00000327368	9606.ENSP00000327801	0	0.363	0.500	0	0.667
COL11A1	COL1A1	9606.ENSP00000359114	9606.ENSP00000225964	0	0	0.720	0	0.720
COL11A1	COL1A2	9606.ENSP00000359114	9606.ENSP00000297268	0	0	0.900	0	0.900
COL11A1	COL3A1	9606.ENSP00000359114	9606.ENSP00000304408	0	0	0.720	0	0.720
COL11A1	CRTAP	9606.ENSP00000359114	9606.ENSP00000323696	0	0	0.500	0	0.499
COL11A1	P4HB	9606.ENSP00000359114	9606.ENSP00000327801	0	0	0.500	0	0.499
