ID,Gene.symbol,Gene.title,Gene.ID,adj.P.Val,P.Value,t,B,logFC
1558254_s_at,SRPK2,SRSF protein kinase 2,6733,1.37e-20,1.37e-24,22.6,45.6103,3.88955
205597_at,SLC44A4,solute carrier family 44 member 4,80736,6.64e-20,8.89e-24,21.5,43.8294,5.85068
222699_s_at,PLEKHF2,pleckstrin homology and FYVE domain containing 2,79666,1.72e-18,4.48e-22,19.3,40.0589,4.9842
215646_s_at,VCAN,versican,1462,1.72e-18,4.61e-22,19.3,40.0303,7.45133
219121_s_at,ESRP1,epithelial splicing regulatory protein 1,54845,4.98e-18,2e-21,18.6,38.6093,4.71584
202543_s_at,GMFB,glia maturation factor beta,2764,5.09e-18,2.22e-21,18.5,38.5094,3.92518
205941_s_at,COL10A1,collagen type X alpha 1 chain,1300,1.54e-17,8.23e-21,17.8,37.2337,8.64166
231766_s_at,COL12A1,collagen type XII alpha 1 chain,1303,1.99e-17,1.13e-20,17.7,36.9241,7.2005
208622_s_at,EZR,ezrin,7430,2.18e-17,1.39e-20,17.6,36.7255,5.38798
212344_at,SULF1,sulfatase 1,23213,3.49e-17,2.34e-20,17.3,36.215,5.94413
201971_s_at,ATP6V1A,ATPase H+ transporting V1 subunit A,523,3.67e-17,2.62e-20,17.3,36.1055,4.86917
217777_s_at,HACD3,3-hydroxyacyl-CoA dehydratase 3,51495,3.67e-17,2.83e-20,17.2,36.0296,5.47022
201663_s_at,SMC4,structural maintenance of chromosomes 4,10051,4.55e-17,3.66e-20,17.1,35.7789,4.75038
211612_s_at,IL13RA1,interleukin 13 receptor subunit alpha 1,3597,6.24e-17,5.43e-20,16.9,35.3919,4.21972
201688_s_at,TPD52,tumor protein D52,7163,1.07e-16,1.04e-19,16.6,34.756,6.28158
1568954_s_at,C16orf72,chromosome 16 open reading frame 72,29035,1.86e-16,2.03e-19,16.3,34.1039,3.3554
204667_at,FOXA1,forkhead box A1,3169,1.86e-16,2.07e-19,16.3,34.081,3.82225
1556006_s_at,CSNK1A1,casein kinase 1 alpha 1,1452,2.69e-16,3.52e-19,16.1,33.5629,4.3834
207265_s_at,KDELR3,KDEL endoplasmic reticulum protein retention receptor 3,11015,5.41e-16,8.69e-19,15.6,32.6753,3.98919
210735_s_at,CA12,carbonic anhydrase 12,771,5.57e-16,9.13e-19,15.6,32.627,6.13946
201523_x_at,UBE2N,ubiquitin conjugating enzyme E2 N,7334,5.58e-16,9.53e-19,15.6,32.5847,4.27918
210495_x_at,FN1,fibronectin 1,2335,6.37e-16,1.11e-18,15.5,32.4367,3.62455
201504_s_at,TSN,translin,7247,8.69e-16,1.63e-18,15.4,32.0574,3.63724
1554482_a_at,SAR1B,secretion associated Ras related GTPase 1B,51128,1.11e-15,2.3e-18,15.2,31.7173,3.16507
232078_at,NECTIN2,nectin cell adhesion molecule 2,5819,1.13e-15,2.38e-18,15.2,31.6835,4.82155
205895_s_at,NOLC1,nucleolar and coiled-body phosphoprotein 1,9221,1.21e-15,2.58e-18,15.2,31.6044,3.51722
222507_s_at,TMEM9B,TMEM9 domain family member B,56674,1.85e-15,4.35e-18,14.9,31.0923,4.79424
1554747_a_at,SEPT2,septin 2,4735,1.96e-15,4.65e-18,14.9,31.026,4.80115
201309_x_at,NREP,neuronal regeneration related protein,9315,2.02e-15,4.86e-18,14.9,30.9824,4.73584
212008_at,UBXN4,UBX domain protein 4,23190,2.04e-15,4.98e-18,14.9,30.9577,5.05378
1555948_s_at,FAM120A,family with sequence similarity 120A,23196,2.05e-15,5.08e-18,14.9,30.9386,3.46084
226524_at,C3orf38,chromosome 3 open reading frame 38,285237,2.11e-15,5.36e-18,14.8,30.8854,3.16563
217799_x_at,UBE2H,ubiquitin conjugating enzyme E2 H,7328,2.14e-15,5.52e-18,14.8,30.8569,4.15536
212472_at,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2",9645,2.47e-15,6.53e-18,14.8,30.6908,4.38373
233878_s_at,XRN2,5'-3' exoribonuclease 2,22803,3.22e-15,8.83e-18,14.6,30.3934,3.74323
202311_s_at,COL1A1,collagen type I alpha 1 chain,1277,3.33e-15,9.37e-18,14.6,30.3353,5.45264
202955_s_at,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1,10565,3.99e-15,1.15e-17,14.5,30.1348,3.45626
210511_s_at,INHBA,inhibin beta A subunit,3624,4.31e-15,1.25e-17,14.5,30.0474,6.12171
214845_s_at,CALU,calumenin,813,4.38e-15,1.29e-17,14.5,30.0192,4.30004
1569106_s_at,SETD5,SET domain containing 5,55209,4.83e-15,1.45e-17,14.4,29.9014,4.07638
208952_s_at,LARP4B,La ribonucleoprotein domain family member 4B,23185,5.43e-15,1.67e-17,14.4,29.764,3.5556
217791_s_at,ALDH18A1,aldehyde dehydrogenase 18 family member A1,5832,6.34e-15,2.06e-17,14.3,29.5591,3.2864
212960_at,TBC1D9,TBC1 domain family member 9,23158,8.41e-15,2.76e-17,14.2,29.2704,4.38515
