#node1,node2,combined_score
ABAT,GLUL,0.562
ABAT,ALDH18A1,0.433
ABCA1,SCARB2,0.83
ABCA1,ACLY,0.405
ABHD12,GDE1,0.618
ABHD12,ABHD2,0.494
ABHD12,LYPLA1,0.477
ABHD2,CASD1,0.462
ACLY,SCARB2,0.53
ACLY,SQLE,0.558
ACLY,GLUL,0.43
ACLY,ALDH18A1,0.481
ACLY,PGK1,0.554
ACLY,VDAC1,0.406
ACLY,FBP1,0.518
ACLY,ALYREF,0.422
ACLY,ENO1,0.577
ADAM12,MMP11,0.518
ADAM12,COL1A1,0.446
ADAM12,CCN4,0.47
ADAM12,ADAMTS2,0.453
ADAM12,TIMP3,0.504
ADAM12,COL1A2,0.428
ADAM12,MMP3,0.405
ADAM12,CD46,0.452
ADAM12,COL10A1,0.578
ADAM12,PRKCD,0.434
ADAM12,FN1,0.665
ADAM12,MYOF,0.469
ADAM12,SPP1,0.436
ADAM12,COL5A2,0.442
ADAM12,ITGB1,0.487
ADAM12,POSTN,0.506
ADAM12,COL5A1,0.515
ADAM12,COL11A1,0.516
ADAMTS2,CCN4,0.477
ADAMTS2,TMEM9B,0.404
ADAMTS2,SGPL1,0.424
ADAMTS2,TIMP3,0.638
ADAMTS2,BGN,0.667
AGO2,TGFB1,0.481
AGO2,SMARCC1,0.482
AGO2,ARHGAP32,0.493
AGO2,SDHC,0.585
AGO2,FUS,0.635
AGR2,ERP27,0.464
AGR2,AGR3,0.661
AGR2,CLDN3,0.423
AGR2,DCTN4,0.423
AGR2,MUC1,0.479
AGR2,ESR1,0.772
AGR3,FOXA1,0.472
AGR3,ERP27,0.504
AGR3,ESR1,0.624
AKIRIN1,UHMK1,0.547
ALDH18A1,ATP7B,0.402
ALDH18A1,DNAJC10,0.413
ALDH18A1,SCARB2,0.459
ALDH18A1,SQLE,0.488
ALDH18A1,ATP6V1A,0.461
ALDH18A1,EIF5A,0.525
ALDH18A1,ENO1,0.409
ALDH18A1,UGCG,0.44
ALDH18A1,TOP2A,0.453
ALDH18A1,PGK1,0.518
ALDH18A1,REEP1,0.663
ALOX5AP,SRGN,0.67
ALYREF,WTAP,0.48
ANAPC5,SRSF1,0.445
ANAPC5,UBXN4,0.47
ANKH,RUNX2,0.402
ANKH,FCGR3B,0.412
ANKH,SPP1,0.455
ANP32E,SMC4,0.41
ANP32E,H2AC18,0.667
AP2B1,CANX,0.452
AP2B1,RAB5A,0.588
APPL1,ARFGEF1,0.478
APPL1,PGR,0.442
APPL1,ESR1,0.482
APPL1,RABEP1,0.642
AR,TGFB1,0.46
AR,ATAD2,0.585
AR,SDHC,0.418
AR,CLDN3,0.408
AR,MUC1,0.425
AR,NUSAP1,0.442
AR,CXCR4,0.597
AR,ESR1,0.981
ARFGEF1,RASA1,0.45
ARFGEF1,MYO6,0.503
ARFGEF1,FRYL,0.504
ARFGEF1,NIPBL,0.539
ARFGEF2,RAB3GAP2,0.456
ARHGAP32,EVL,0.43
ARHGAP32,LYPLA1,0.445
ARHGDIB,ASAH1,0.414
ARHGDIB,GDI2,0.622
ARHGDIB,CFL1,0.624
ARHGDIB,SRGN,0.627
ARIH1,UBE2M,0.415
ARIH1,C16orf72,0.655
ARIH1,UBE2H,0.464
ASAH1,SPTLC2,0.761
ASAH1,SCARB2,0.504
ASAH1,CTSB,0.46
ASAH1,CTSS,0.427
ASCC1,CTHRC1,0.479
ASPN,CILP,0.88
ASPN,FNDC1,0.483
ASPN,MMP3,0.423
ASPN,FN1,0.42
ASPN,CCN2,0.499
ASPN,C4B,0.412
ATAD2,CENPU,0.477
ATAD2,TPD52,0.427
ATAD2,ZWINT,0.444
ATAD2,PCLAF,0.45
ATAD2,RRM1,0.583
