source,target,edge_type,logic,pathway_position_id,pathway_position_type
hsa:2690,FU_c8512fb4,gene_to_FU,AND,,
hsa:3716,FU_c8512fb4,gene_to_FU,AND,,
FU_c8512fb4,path:hsa04151;path:hsa04151,FU_to_pathway,,266,node
hsa:3679,FU_6481ef4b,gene_to_FU,AND,,
hsa:3688,FU_6481ef4b,gene_to_FU,AND,,
FU_6481ef4b,path:hsa04151;path:hsa04151,FU_to_pathway,,267,node
hsa:2782,FU_f6d17dc7,gene_to_FU,AND,,
FU_f6d17dc7,path:hsa04151;path:hsa04151,FU_to_pathway,,268,node
hsa:3326,FU_b6ff84e7,gene_to_FU,AND,,
FU_b6ff84e7,path:hsa04151;path:hsa04151,FU_to_pathway,,269,node
hsa:2261,FU_430ef546,gene_to_FU,OR,,
hsa:4915,FU_430ef546,gene_to_FU,OR,,
hsa:5979,FU_430ef546,gene_to_FU,OR,,
FU_430ef546,path:hsa04151;path:hsa04151,FU_to_pathway,,43,node
hsa:5105,FU_681bdb2b,gene_to_FU,OR,,
FU_681bdb2b,path:hsa04151;path:hsa04151,FU_to_pathway,,58,node
hsa:7531,FU_ada886ac,gene_to_FU,OR,,
hsa:7533,FU_ada886ac,gene_to_FU,OR,,
hsa:7534,FU_ada886ac,gene_to_FU,OR,,
FU_ada886ac,path:hsa04151;path:hsa04151,FU_to_pathway,,89,node
hsa:5527,FU_603f040f,gene_to_FU,OR,,
FU_603f040f,path:hsa04151;path:hsa04151,FU_to_pathway,,105,node
hsa:3326,FU_ad00e550,gene_to_FU,OR,,
FU_ad00e550,path:hsa04151;path:hsa04151,FU_to_pathway,,106,node
hsa:5594,FU_3c23ad93,gene_to_FU,OR,,
FU_3c23ad93,path:hsa04151;path:hsa04151,FU_to_pathway,,171,node
hsa:2782,FU_c9c8715e,gene_to_FU,OR,,
FU_c9c8715e,path:hsa04151;path:hsa04151,FU_to_pathway,,185,node
hsa:3679,FU_7927513a,gene_to_FU,OR,,
FU_7927513a,path:hsa04151;path:hsa04151,FU_to_pathway,,187,node
hsa:3688,FU_bb1bdc61,gene_to_FU,OR,,
FU_bb1bdc61,path:hsa04151;path:hsa04151,FU_to_pathway,,188,node
hsa:1277,FU_5088e2c7,gene_to_FU,OR,,
hsa:1278,FU_5088e2c7,gene_to_FU,OR,,
hsa:1291,FU_5088e2c7,gene_to_FU,OR,,
hsa:1311,FU_5088e2c7,gene_to_FU,OR,,
hsa:131873,FU_5088e2c7,gene_to_FU,OR,,
hsa:2335,FU_5088e2c7,gene_to_FU,OR,,
hsa:3914,FU_5088e2c7,gene_to_FU,OR,,
hsa:5649,FU_5088e2c7,gene_to_FU,OR,,
hsa:6696,FU_5088e2c7,gene_to_FU,OR,,
hsa:7057,FU_5088e2c7,gene_to_FU,OR,,
hsa:7148,FU_5088e2c7,gene_to_FU,OR,,
FU_5088e2c7,path:hsa04151;path:hsa04151,FU_to_pathway,,189,node
hsa:2690,FU_c43ea1ce,gene_to_FU,OR,,
FU_c43ea1ce,path:hsa04151;path:hsa04151,FU_to_pathway,,198,node
hsa:3716,FU_683e31e4,gene_to_FU,OR,,
FU_683e31e4,path:hsa04151;path:hsa04151,FU_to_pathway,,199,node
hsa:4170,FU_48f1c643,gene_to_FU,SINGLE,,
FU_48f1c643,path:hsa04151;path:hsa04151,FU_to_pathway,,215,node
hsa:100533105,FU_d51a8662,gene_to_FU,OR,,
FU_d51a8662,path:hsa04151;path:hsa04151,FU_to_pathway,,232,node
hsa:3679,FU_43e5aaf3,gene_to_FU,AND,,
hsa:3688,FU_43e5aaf3,gene_to_FU,AND,,
FU_43e5aaf3,path:hsa05165,FU_to_pathway,,408,node
hsa:5663,FU_dcb0293c,gene_to_FU,AND,,
FU_dcb0293c,path:hsa05165,FU_to_pathway,,416,node
hsa:4853,FU_d8ee02bf,gene_to_FU,AND,,
FU_d8ee02bf,path:hsa05165,FU_to_pathway,,417,node
hsa:84612,FU_ec09fb7f,gene_to_FU,AND,,
FU_ec09fb7f,path:hsa05165,FU_to_pathway,,418,node
hsa:5594,FU_c875c59d,gene_to_FU,OR,,
FU_c875c59d,path:hsa05165,FU_to_pathway,,59,node
hsa:3679,FU_f297a1e2,gene_to_FU,OR,,
FU_f297a1e2,path:hsa05165,FU_to_pathway,,62,node
hsa:3688,FU_80284c8f,gene_to_FU,OR,,
FU_80284c8f,path:hsa05165,FU_to_pathway,,63,node
hsa:1277,FU_cbabfdae,gene_to_FU,OR,,
hsa:1278,FU_cbabfdae,gene_to_FU,OR,,
hsa:1291,FU_cbabfdae,gene_to_FU,OR,,
hsa:1311,FU_cbabfdae,gene_to_FU,OR,,
hsa:131873,FU_cbabfdae,gene_to_FU,OR,,
hsa:2335,FU_cbabfdae,gene_to_FU,OR,,
hsa:3914,FU_cbabfdae,gene_to_FU,OR,,
hsa:5649,FU_cbabfdae,gene_to_FU,OR,,
hsa:6696,FU_cbabfdae,gene_to_FU,OR,,
hsa:7057,FU_cbabfdae,gene_to_FU,OR,,
hsa:7148,FU_cbabfdae,gene_to_FU,OR,,
FU_cbabfdae,path:hsa05165,FU_to_pathway,,64,node
hsa:84612,FU_6a8d6d31,gene_to_FU,OR,,
FU_6a8d6d31,path:hsa05165,FU_to_pathway,,100,node
hsa:4853,FU_c50aa6d0,gene_to_FU,OR,,
FU_c50aa6d0,path:hsa05165,FU_to_pathway,,165,node
hsa:4853,FU_d247dbb4,gene_to_FU,OR,,
FU_d247dbb4,path:hsa05165,FU_to_pathway,,166,node
hsa:4853,FU_96e66ddf,gene_to_FU,OR,,
FU_96e66ddf,path:hsa05165,FU_to_pathway,,201,node
hsa:5663,FU_13f4ac86,gene_to_FU,SINGLE,,
FU_13f4ac86,path:hsa05165,FU_to_pathway,,205,node
hsa:3716,FU_41178128,gene_to_FU,SINGLE,,
FU_41178128,path:hsa05165,FU_to_pathway,,218,node
hsa:523,FU_f3937b6e,gene_to_FU,OR,,
hsa:528,FU_f3937b6e,gene_to_FU,OR,,
FU_f3937b6e,path:hsa05165,FU_to_pathway,,252,node
hsa:5527,FU_40d91624,gene_to_FU,OR,,
FU_40d91624,path:hsa05165,FU_to_pathway,,295,node
hsa:1857,FU_d67f98ae,gene_to_FU,OR,,
FU_d67f98ae,path:hsa05165,FU_to_pathway,,319,node
hsa:1452,FU_cd0b9671,gene_to_FU,OR,,
FU_cd0b9671,path:hsa05165,FU_to_pathway,,325,node
