node_id,node_type,label,extra
path:hsa04151;path:hsa04151,pathway,path:hsa04151;path:hsa04151,
FU_c8512fb4,functional_unit,FU_c8512fb4,logic=AND
hsa:2690,gene,hsa:2690,
hsa:3716,gene,hsa:3716,
FU_6481ef4b,functional_unit,FU_6481ef4b,logic=AND
hsa:3679,gene,hsa:3679,
hsa:3688,gene,hsa:3688,
FU_f6d17dc7,functional_unit,FU_f6d17dc7,logic=AND
hsa:2782,gene,hsa:2782,
FU_b6ff84e7,functional_unit,FU_b6ff84e7,logic=AND
hsa:3326,gene,hsa:3326,
FU_430ef546,functional_unit,FU_430ef546,logic=OR
hsa:2261,gene,hsa:2261,
hsa:4915,gene,hsa:4915,
hsa:5979,gene,hsa:5979,
FU_681bdb2b,functional_unit,FU_681bdb2b,logic=OR
hsa:5105,gene,hsa:5105,
FU_ada886ac,functional_unit,FU_ada886ac,logic=OR
hsa:7531,gene,hsa:7531,
hsa:7533,gene,hsa:7533,
hsa:7534,gene,hsa:7534,
FU_603f040f,functional_unit,FU_603f040f,logic=OR
hsa:5527,gene,hsa:5527,
FU_ad00e550,functional_unit,FU_ad00e550,logic=OR
FU_3c23ad93,functional_unit,FU_3c23ad93,logic=OR
hsa:5594,gene,hsa:5594,
FU_c9c8715e,functional_unit,FU_c9c8715e,logic=OR
FU_7927513a,functional_unit,FU_7927513a,logic=OR
FU_bb1bdc61,functional_unit,FU_bb1bdc61,logic=OR
FU_5088e2c7,functional_unit,FU_5088e2c7,logic=OR
hsa:1277,gene,hsa:1277,
hsa:1278,gene,hsa:1278,
hsa:1291,gene,hsa:1291,
hsa:1311,gene,hsa:1311,
hsa:131873,gene,hsa:131873,
hsa:2335,gene,hsa:2335,
hsa:3914,gene,hsa:3914,
hsa:5649,gene,hsa:5649,
hsa:6696,gene,hsa:6696,
hsa:7057,gene,hsa:7057,
hsa:7148,gene,hsa:7148,
FU_c43ea1ce,functional_unit,FU_c43ea1ce,logic=OR
FU_683e31e4,functional_unit,FU_683e31e4,logic=OR
FU_48f1c643,functional_unit,FU_48f1c643,logic=SINGLE
hsa:4170,gene,hsa:4170,
FU_d51a8662,functional_unit,FU_d51a8662,logic=OR
hsa:100533105,gene,hsa:100533105,
path:hsa05165,pathway,path:hsa05165,
FU_43e5aaf3,functional_unit,FU_43e5aaf3,logic=AND
FU_dcb0293c,functional_unit,FU_dcb0293c,logic=AND
hsa:5663,gene,hsa:5663,
FU_d8ee02bf,functional_unit,FU_d8ee02bf,logic=AND
hsa:4853,gene,hsa:4853,
FU_ec09fb7f,functional_unit,FU_ec09fb7f,logic=AND
hsa:84612,gene,hsa:84612,
FU_c875c59d,functional_unit,FU_c875c59d,logic=OR
FU_f297a1e2,functional_unit,FU_f297a1e2,logic=OR
FU_80284c8f,functional_unit,FU_80284c8f,logic=OR
FU_cbabfdae,functional_unit,FU_cbabfdae,logic=OR
FU_6a8d6d31,functional_unit,FU_6a8d6d31,logic=OR
FU_c50aa6d0,functional_unit,FU_c50aa6d0,logic=OR
FU_d247dbb4,functional_unit,FU_d247dbb4,logic=OR
FU_96e66ddf,functional_unit,FU_96e66ddf,logic=OR
FU_13f4ac86,functional_unit,FU_13f4ac86,logic=SINGLE
FU_41178128,functional_unit,FU_41178128,logic=SINGLE
FU_f3937b6e,functional_unit,FU_f3937b6e,logic=OR
hsa:523,gene,hsa:523,
hsa:528,gene,hsa:528,
FU_40d91624,functional_unit,FU_40d91624,logic=OR
FU_d67f98ae,functional_unit,FU_d67f98ae,logic=OR
hsa:1857,gene,hsa:1857,
FU_cd0b9671,functional_unit,FU_cd0b9671,logic=OR
hsa:1452,gene,hsa:1452,
