source,target,edge_type,logic,pathway_position_id,pathway_position_type
hsa:8202,FU_e664764b,gene_to_FU,AND,,
hsa:8648,FU_e664764b,gene_to_FU,AND,,
hsa:2353,FU_e664764b,gene_to_FU,AND,,
hsa:3725,FU_e664764b,gene_to_FU,AND,,
hsa:6667,FU_e664764b,gene_to_FU,AND,,
hsa:2099,FU_e664764b,gene_to_FU,AND,,
hsa:2100,FU_e664764b,gene_to_FU,AND,,
FU_e664764b,path:hsa05224,FU_to_pathway,,254,node
hsa:8202,FU_71988a43,gene_to_FU,AND,,
hsa:8648,FU_71988a43,gene_to_FU,AND,,
hsa:2099,FU_71988a43,gene_to_FU,AND,,
hsa:2100,FU_71988a43,gene_to_FU,AND,,
FU_71988a43,path:hsa05224,FU_to_pathway,,255,node
hsa:5241,FU_759f133c,gene_to_FU,AND,,
hsa:8202,FU_759f133c,gene_to_FU,AND,,
hsa:8648,FU_759f133c,gene_to_FU,AND,,
FU_759f133c,path:hsa05224,FU_to_pathway,,256,node
hsa:4040,FU_28e0f39c,gene_to_FU,AND,,
hsa:4041,FU_28e0f39c,gene_to_FU,AND,,
hsa:11211,FU_28e0f39c,gene_to_FU,AND,,
hsa:2535,FU_28e0f39c,gene_to_FU,AND,,
hsa:7855,FU_28e0f39c,gene_to_FU,AND,,
hsa:7976,FU_28e0f39c,gene_to_FU,AND,,
hsa:8321,FU_28e0f39c,gene_to_FU,AND,,
hsa:8322,FU_28e0f39c,gene_to_FU,AND,,
hsa:8323,FU_28e0f39c,gene_to_FU,AND,,
hsa:8324,FU_28e0f39c,gene_to_FU,AND,,
hsa:8325,FU_28e0f39c,gene_to_FU,AND,,
hsa:8326,FU_28e0f39c,gene_to_FU,AND,,
FU_28e0f39c,path:hsa05224,FU_to_pathway,,257,node
hsa:1019,FU_158dc52a,gene_to_FU,AND,,
hsa:1021,FU_158dc52a,gene_to_FU,AND,,
hsa:595,FU_158dc52a,gene_to_FU,AND,,
FU_158dc52a,path:hsa05224,FU_to_pathway,,258,node
hsa:2099,FU_7e0f6bfe,gene_to_FU,OR,,
hsa:2100,FU_7e0f6bfe,gene_to_FU,OR,,
FU_7e0f6bfe,path:hsa05224,FU_to_pathway,,6,node
hsa:2099,FU_c8425db1,gene_to_FU,OR,,
hsa:2100,FU_c8425db1,gene_to_FU,OR,,
FU_c8425db1,path:hsa05224,FU_to_pathway,,7,node
hsa:1956,FU_ea517902,gene_to_FU,SINGLE,,
FU_ea517902,path:hsa05224,FU_to_pathway,,11,node
hsa:2099,FU_c1bef09e,gene_to_FU,OR,,
hsa:2100,FU_c1bef09e,gene_to_FU,OR,,
FU_c1bef09e,path:hsa05224,FU_to_pathway,,15,node
hsa:8202,FU_343f9f09,gene_to_FU,OR,,
hsa:8648,FU_343f9f09,gene_to_FU,OR,,
FU_343f9f09,path:hsa05224,FU_to_pathway,,16,node
hsa:3265,FU_6548d733,gene_to_FU,OR,,
hsa:3845,FU_6548d733,gene_to_FU,OR,,
hsa:4893,FU_6548d733,gene_to_FU,OR,,
FU_6548d733,path:hsa05224,FU_to_pathway,,17,node
hsa:369,FU_304f7aa6,gene_to_FU,OR,,
hsa:5894,FU_304f7aa6,gene_to_FU,OR,,
hsa:673,FU_304f7aa6,gene_to_FU,OR,,
FU_304f7aa6,path:hsa05224,FU_to_pathway,,18,node
hsa:5604,FU_efc697c6,gene_to_FU,OR,,
hsa:5605,FU_efc697c6,gene_to_FU,OR,,
FU_efc697c6,path:hsa05224,FU_to_pathway,,19,node
hsa:5594,FU_79e9dbba,gene_to_FU,OR,,
hsa:5595,FU_79e9dbba,gene_to_FU,OR,,
FU_79e9dbba,path:hsa05224,FU_to_pathway,,20,node
hsa:25759,FU_b133c6e4,gene_to_FU,OR,,
hsa:399694,FU_b133c6e4,gene_to_FU,OR,,
hsa:53358,FU_b133c6e4,gene_to_FU,OR,,
hsa:6464,FU_b133c6e4,gene_to_FU,OR,,
FU_b133c6e4,path:hsa05224,FU_to_pathway,,25,node
hsa:2885,FU_e9a8c566,gene_to_FU,SINGLE,,
FU_e9a8c566,path:hsa05224,FU_to_pathway,,26,node
hsa:6654,FU_7479ea48,gene_to_FU,OR,,
hsa:6655,FU_7479ea48,gene_to_FU,OR,,
FU_7479ea48,path:hsa05224,FU_to_pathway,,27,node
hsa:182,FU_395cf3bf,gene_to_FU,OR,,
hsa:3714,FU_395cf3bf,gene_to_FU,OR,,
FU_395cf3bf,path:hsa05224,FU_to_pathway,,33,node
hsa:4851,FU_b269a87f,gene_to_FU,OR,,
hsa:4853,FU_b269a87f,gene_to_FU,OR,,
hsa:4854,FU_b269a87f,gene_to_FU,OR,,
hsa:4855,FU_b269a87f,gene_to_FU,OR,,
FU_b269a87f,path:hsa05224,FU_to_pathway,,34,node
hsa:2475,FU_8b9702fd,gene_to_FU,SINGLE,,
FU_8b9702fd,path:hsa05224,FU_to_pathway,,36,node
hsa:6198,FU_4477a88a,gene_to_FU,OR,,
hsa:6199,FU_4477a88a,gene_to_FU,OR,,
FU_4477a88a,path:hsa05224,FU_to_pathway,,37,node
hsa:3479,FU_6e15282b,gene_to_FU,SINGLE,,
FU_6e15282b,path:hsa05224,FU_to_pathway,,39,node
hsa:3480,FU_a51b5c1b,gene_to_FU,SINGLE,,
FU_a51b5c1b,path:hsa05224,FU_to_pathway,,40,node
hsa:2064,FU_88761320,gene_to_FU,SINGLE,,
FU_88761320,path:hsa05224,FU_to_pathway,,42,node
hsa:8202,FU_61b7bad6,gene_to_FU,OR,,
hsa:8648,FU_61b7bad6,gene_to_FU,OR,,
FU_61b7bad6,path:hsa05224,FU_to_pathway,,43,node
hsa:2353,FU_3fbad4b1,gene_to_FU,OR,,
hsa:3725,FU_3fbad4b1,gene_to_FU,OR,,
hsa:6667,FU_3fbad4b1,gene_to_FU,OR,,
FU_3fbad4b1,path:hsa05224,FU_to_pathway,,45,node
hsa:2099,FU_9cce0dbe,gene_to_FU,OR,,
hsa:2100,FU_9cce0dbe,gene_to_FU,OR,,
FU_9cce0dbe,path:hsa05224,FU_to_pathway,,47,node
hsa:10683,FU_2903e9c2,gene_to_FU,OR,,
hsa:28514,FU_2903e9c2,gene_to_FU,OR,,
hsa:54567,FU_2903e9c2,gene_to_FU,OR,,
FU_2903e9c2,path:hsa05224,FU_to_pathway,,48,node
hsa:2099,FU_19a949e5,gene_to_FU,OR,,
hsa:2100,FU_19a949e5,gene_to_FU,OR,,
FU_19a949e5,path:hsa05224,FU_to_pathway,,58,node
hsa:5241,FU_7691c271,gene_to_FU,SINGLE,,
FU_7691c271,path:hsa05224,FU_to_pathway,,71,node
hsa:5241,FU_1c1c4a7e,gene_to_FU,SINGLE,,
FU_1c1c4a7e,path:hsa05224,FU_to_pathway,,74,node
hsa:8202,FU_0288c1b7,gene_to_FU,OR,,
hsa:8648,FU_0288c1b7,gene_to_FU,OR,,
FU_0288c1b7,path:hsa05224,FU_to_pathway,,75,node
hsa:3265,FU_65892597,gene_to_FU,OR,,
hsa:3845,FU_65892597,gene_to_FU,OR,,
hsa:4893,FU_65892597,gene_to_FU,OR,,
FU_65892597,path:hsa05224,FU_to_pathway,,76,node
hsa:369,FU_723de1d1,gene_to_FU,OR,,
hsa:5894,FU_723de1d1,gene_to_FU,OR,,
