node_id,node_type,label,extra
path:hsa05224,pathway,path:hsa05224,
FU_e664764b,functional_unit,FU_e664764b,logic=AND
hsa:8202,gene,hsa:8202,
hsa:8648,gene,hsa:8648,
hsa:2353,gene,hsa:2353,
hsa:3725,gene,hsa:3725,
hsa:6667,gene,hsa:6667,
hsa:2099,gene,hsa:2099,
hsa:2100,gene,hsa:2100,
FU_71988a43,functional_unit,FU_71988a43,logic=AND
FU_759f133c,functional_unit,FU_759f133c,logic=AND
hsa:5241,gene,hsa:5241,
FU_28e0f39c,functional_unit,FU_28e0f39c,logic=AND
hsa:4040,gene,hsa:4040,
hsa:4041,gene,hsa:4041,
hsa:11211,gene,hsa:11211,
hsa:2535,gene,hsa:2535,
hsa:7855,gene,hsa:7855,
hsa:7976,gene,hsa:7976,
hsa:8321,gene,hsa:8321,
hsa:8322,gene,hsa:8322,
hsa:8323,gene,hsa:8323,
hsa:8324,gene,hsa:8324,
hsa:8325,gene,hsa:8325,
hsa:8326,gene,hsa:8326,
FU_158dc52a,functional_unit,FU_158dc52a,logic=AND
hsa:1019,gene,hsa:1019,
hsa:1021,gene,hsa:1021,
hsa:595,gene,hsa:595,
FU_7e0f6bfe,functional_unit,FU_7e0f6bfe,logic=OR
FU_c8425db1,functional_unit,FU_c8425db1,logic=OR
FU_ea517902,functional_unit,FU_ea517902,logic=SINGLE
hsa:1956,gene,hsa:1956,
FU_c1bef09e,functional_unit,FU_c1bef09e,logic=OR
FU_343f9f09,functional_unit,FU_343f9f09,logic=OR
FU_6548d733,functional_unit,FU_6548d733,logic=OR
hsa:3265,gene,hsa:3265,
hsa:3845,gene,hsa:3845,
hsa:4893,gene,hsa:4893,
FU_304f7aa6,functional_unit,FU_304f7aa6,logic=OR
hsa:369,gene,hsa:369,
hsa:5894,gene,hsa:5894,
hsa:673,gene,hsa:673,
FU_efc697c6,functional_unit,FU_efc697c6,logic=OR
hsa:5604,gene,hsa:5604,
hsa:5605,gene,hsa:5605,
FU_79e9dbba,functional_unit,FU_79e9dbba,logic=OR
hsa:5594,gene,hsa:5594,
hsa:5595,gene,hsa:5595,
FU_b133c6e4,functional_unit,FU_b133c6e4,logic=OR
hsa:25759,gene,hsa:25759,
hsa:399694,gene,hsa:399694,
hsa:53358,gene,hsa:53358,
hsa:6464,gene,hsa:6464,
FU_e9a8c566,functional_unit,FU_e9a8c566,logic=SINGLE
hsa:2885,gene,hsa:2885,
FU_7479ea48,functional_unit,FU_7479ea48,logic=OR
hsa:6654,gene,hsa:6654,
hsa:6655,gene,hsa:6655,
FU_395cf3bf,functional_unit,FU_395cf3bf,logic=OR
hsa:182,gene,hsa:182,
hsa:3714,gene,hsa:3714,
FU_b269a87f,functional_unit,FU_b269a87f,logic=OR
hsa:4851,gene,hsa:4851,
hsa:4853,gene,hsa:4853,
hsa:4854,gene,hsa:4854,
hsa:4855,gene,hsa:4855,
FU_8b9702fd,functional_unit,FU_8b9702fd,logic=SINGLE
hsa:2475,gene,hsa:2475,
FU_4477a88a,functional_unit,FU_4477a88a,logic=OR
hsa:6198,gene,hsa:6198,
hsa:6199,gene,hsa:6199,
FU_6e15282b,functional_unit,FU_6e15282b,logic=SINGLE
hsa:3479,gene,hsa:3479,
FU_a51b5c1b,functional_unit,FU_a51b5c1b,logic=SINGLE
hsa:3480,gene,hsa:3480,
FU_88761320,functional_unit,FU_88761320,logic=SINGLE
hsa:2064,gene,hsa:2064,
FU_61b7bad6,functional_unit,FU_61b7bad6,logic=OR
FU_3fbad4b1,functional_unit,FU_3fbad4b1,logic=OR
FU_9cce0dbe,functional_unit,FU_9cce0dbe,logic=OR
FU_2903e9c2,functional_unit,FU_2903e9c2,logic=OR
hsa:10683,gene,hsa:10683,
hsa:28514,gene,hsa:28514,
hsa:54567,gene,hsa:54567,
FU_19a949e5,functional_unit,FU_19a949e5,logic=OR
FU_7691c271,functional_unit,FU_7691c271,logic=SINGLE
FU_1c1c4a7e,functional_unit,FU_1c1c4a7e,logic=SINGLE
FU_0288c1b7,functional_unit,FU_0288c1b7,logic=OR
FU_65892597,functional_unit,FU_65892597,logic=OR
FU_723de1d1,functional_unit,FU_723de1d1,logic=OR
FU_181f7b4e,functional_unit,FU_181f7b4e,logic=OR
FU_ee02ce5d,functional_unit,FU_ee02ce5d,logic=OR
FU_d162b67f,functional_unit,FU_d162b67f,logic=OR
FU_5509363b,functional_unit,FU_5509363b,logic=SINGLE
FU_baaefcf5,functional_unit,FU_baaefcf5,logic=OR
FU_9ddb59f9,functional_unit,FU_9ddb59f9,logic=OR
hsa:110117499,gene,hsa:110117499,
hsa:5290,gene,hsa:5290,
hsa:5291,gene,hsa:5291,
hsa:5293,gene,hsa:5293,
hsa:5295,gene,hsa:5295,
hsa:5296,gene,hsa:5296,
hsa:8503,gene,hsa:8503,
FU_47277246,functional_unit,FU_47277246,logic=OR
hsa:10000,gene,hsa:10000,
hsa:207,gene,hsa:207,
hsa:208,gene,hsa:208,
FU_91c851d6,functional_unit,FU_91c851d6,logic=SINGLE
FU_cc200e10,functional_unit,FU_cc200e10,logic=OR
