pathway_id,pathway_position_id,pathway_position_type,functional_unit_id,functional_unit_logic,gene_id,entry_id,evidence,notes
path:hsa05224,254,node,FU_ff7e0284,AND,hsa:8202,254,KGML,protein complex inferred from group
path:hsa05224,254,node,FU_ff7e0284,AND,hsa:8648,254,KGML,protein complex inferred from group
path:hsa05224,254,node,FU_ff7e0284,AND,hsa:2353,254,KGML,protein complex inferred from group
path:hsa05224,254,node,FU_ff7e0284,AND,hsa:3725,254,KGML,protein complex inferred from group
path:hsa05224,254,node,FU_ff7e0284,AND,hsa:6667,254,KGML,protein complex inferred from group
path:hsa05224,254,node,FU_ff7e0284,AND,hsa:2099,254,KGML,protein complex inferred from group
path:hsa05224,254,node,FU_ff7e0284,AND,hsa:2100,254,KGML,protein complex inferred from group
path:hsa05224,255,node,FU_62cb5aa4,AND,hsa:8202,255,KGML,protein complex inferred from group
path:hsa05224,255,node,FU_62cb5aa4,AND,hsa:8648,255,KGML,protein complex inferred from group
path:hsa05224,255,node,FU_62cb5aa4,AND,hsa:2099,255,KGML,protein complex inferred from group
path:hsa05224,255,node,FU_62cb5aa4,AND,hsa:2100,255,KGML,protein complex inferred from group
path:hsa05224,256,node,FU_6953742d,AND,hsa:5241,256,KGML,protein complex inferred from group
path:hsa05224,256,node,FU_6953742d,AND,hsa:8202,256,KGML,protein complex inferred from group
path:hsa05224,256,node,FU_6953742d,AND,hsa:8648,256,KGML,protein complex inferred from group
path:hsa05224,257,node,FU_13786009,AND,hsa:4040,257,KGML,protein complex inferred from group
path:hsa05224,257,node,FU_13786009,AND,hsa:4041,257,KGML,protein complex inferred from group
path:hsa05224,257,node,FU_13786009,AND,hsa:11211,257,KGML,protein complex inferred from group
path:hsa05224,257,node,FU_13786009,AND,hsa:2535,257,KGML,protein complex inferred from group
path:hsa05224,257,node,FU_13786009,AND,hsa:7855,257,KGML,protein complex inferred from group
path:hsa05224,257,node,FU_13786009,AND,hsa:7976,257,KGML,protein complex inferred from group
path:hsa05224,257,node,FU_13786009,AND,hsa:8321,257,KGML,protein complex inferred from group
path:hsa05224,257,node,FU_13786009,AND,hsa:8322,257,KGML,protein complex inferred from group
path:hsa05224,257,node,FU_13786009,AND,hsa:8323,257,KGML,protein complex inferred from group
path:hsa05224,257,node,FU_13786009,AND,hsa:8324,257,KGML,protein complex inferred from group
path:hsa05224,257,node,FU_13786009,AND,hsa:8325,257,KGML,protein complex inferred from group
