ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
8155754	0.00042	1.29e-08	1.29e+01	8.81698	1.67	MAMDC2	MAM domain containing 2	256691
8098060	0.00042	3.19e-08	1.19e+01	8.20351	2.13	RXFP1	relaxin/insulin like family peptide receptor 1	59350
8056491	0.00042	3.78e-08	1.17e+01	8.08407	1.92	SCN9A	sodium voltage-gated channel alpha subunit 9	6335
7908459	0.000904	1.09e-07	1.07e+01	7.32407	1.95	CFH	complement factor H	3075
8098195	0.001523	2.29e-07	1.00e+01	6.76459	2.18	MSMO1	methylsterol monooxygenase 1	6307
8045539	0.001652	2.98e-07	9.80	6.56157	2.13	KYNU	kynureninase	8942
7918857	0.00327	6.88e-07	9.09	5.90326	1.61	TSPAN2	tetraspanin 2	10100
8022674	0.00391	1.04e-06	-8.76	5.56685	-1.62	CDH2	cadherin 2	1000
7896690	0.00391	1.14e-06	-8.68	5.49431	-1.50			
7935270	0.00391	1.20e-06	-8.64	5.44992	-1.48	BLNK	B-cell linker	29760
7916432	0.00391	1.29e-06	8.59	5.39312	2.01	DHCR24	24-dehydrocholesterol reductase	1718
7918457	0.004145	1.49e-06	-8.47	5.2738	-2.34	KCNA3	potassium voltage-gated channel subfamily A member 3	3738
8041781	0.004338	1.69e-06	8.37	5.17053	1.56	EPAS1	endothelial PAS domain protein 1	2034
7896707	0.006171	2.59e-06	-8.05	4.81584	-1.40			
8004691	0.007581	3.42e-06	-7.84	4.58481	-1.22	TMEM88	transmembrane protein 88	92162
7918323	0.008629	4.50e-06	7.64	4.35053	1.16	SORT1	sortilin 1	6272
8154215	0.008629	4.55e-06	7.63	4.3416	1.18			
8162455	0.008629	4.66e-06	-7.61	4.32043	-1.06	NINJ1	ninjurin 1	4814
8152215	0.011055	6.31e-06	-7.40	4.06216	-1.55	KLF10	Kruppel like factor 10	7071
7929816	0.012058	7.31e-06	7.29	3.93545	1.33	SCD	stearoyl-CoA desaturase	6319
8051462	0.012058	7.60e-06	7.26	3.90119	1.67			
8028652	0.012899	8.52e-06	-7.18	3.80266	-1.77	ZFP36	ZFP36 ring finger protein	7538
7913450	0.013001	9.44e-06	7.11	3.71376	1.23	HSPG2	heparan sulfate proteoglycan 2	3339
7971731	0.013001	9.54e-06	7.11	3.70508	1.04	ATP7B	ATPase copper transporting beta	540
7953835	0.013001	1.03e-05	7.05	3.63771	1.43	KLRG1	killer cell lectin like receptor G1	10219
8040103	0.013001	1.03e-05	-7.05	3.6352	-2.04	ID2	inhibitor of DNA binding 2, HLH protein	3398
7902072	0.013001	1.05e-05	7.04	3.618	1.22			
8150962	0.017568	1.53e-05	6.78	3.29242	8.54e-01	TOX	thymocyte selection associated high mobility group box	9760
8126153	0.017568	1.54e-05	6.78	3.28419	9.14e-01	KCNK5	potassium two pore domain channel subfamily K member 5	8645
8103226	0.017568	1.63e-05	6.74	3.23687	1.12	TMEM154	transmembrane protein 154	201799
8103922	0.017568	1.64e-05	6.74	3.23357	1.05	CASP3	caspase 3	836
7903308	0.018878	1.81e-05	6.67	3.14225	9.88e-01	TRMT13	tRNA methyltransferase 13 homolog	54482
7916986	0.019063	1.89e-05	-6.64	3.1065	-1.23	NEGR1	neuronal growth regulator 1	257194
7925954	0.019132	1.95e-05	6.62	3.07692	9.20e-01	NET1	neuroepithelial cell transforming 1	10276
7902074	0.019772	2.08e-05	6.58	3.02221	1.31	LEPROT///LEPR	leptin receptor overlapping transcript///leptin receptor	54741///3953
8072744	0.019893	2.15e-05	6.56	2.99186	1.19	NCF4	neutrophil cytosolic factor 4	4689
8149071	0.019896	2.21e-05	6.54	2.9675	1.55	ANGPT2	angiopoietin 2	285
7898623	0.020795	2.37e-05	6.49	2.90466	1.13	UBXN10	UBX domain protein 10	127733
7965838	0.021084	2.47e-05	6.46	2.86935	1.61			
8178435	0.02197	2.64e-05	-6.42	2.81027	-2.05	IER3	immediate early response 3	8870
8005829	0.022396	2.87e-05	6.37	2.73538	1.04			
7906757	0.022396	2.90e-05	6.36	2.72596	1.32	FCGR2A	Fc fragment of IgG receptor IIa	2212
8121130	0.022396	2.96e-05	6.35	2.70761	1.32			
8180268	0.022396	3.02e-05	6.33	2.6906	1.04	CYP51A1	cytochrome P450 family 51 subfamily A member 1	1595
8154207	0.022396	3.03e-05	6.33	2.68832	9.76e-01			
8023220	0.022752	3.14e-05	-6.31	2.65464	-1.68	SMAD7	SMAD family member 7	4092
8124848	0.023456	3.42e-05	-6.25	2.58011	-1.84	IER3	immediate early response 3	8870
8179704	0.023456	3.42e-05	-6.25	2.58011	-1.84	IER3	immediate early response 3	8870
7903162	0.023456	3.45e-05	-6.25	2.57099	-9.74e-01	TMEM56-RWDD3///TMEM56	TMEM56-RWDD3 readthrough///transmembrane protein 56	100527978///148534
8022310	0.025651	3.85e-05	6.18	2.47284	1.85	PIEZO2	piezo type mechanosensitive ion channel component 2	63895
8001067	0.025875	3.96e-05	6.16	2.44731	1.13	HERC2P4///HERC2P2///HERC2P3///HERC2	hect domain and RLD 2 pseudogene 4///hect domain and RLD 2 pseudogene 2///hect domain and RLD 2 pseudogene 3///HECT and RLD domain containing E3 ubiquitin protein ligase 2	100289574///400322///283755///8924
7926506	0.02617	4.09e-05	6.14	2.41971	1.03	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	783
8095343	0.026976	4.37e-05	6.10	2.36063	1.41	STAP1	signal transducing adaptor family member 1	26228
7922219	0.026976	4.39e-05	-6.09	2.35655	-1.35	SELL	selectin L	6402
8120826	0.026976	4.49e-05	6.08	2.33443	8.00e-01	IRAK1BP1	interleukin 1 receptor associated kinase 1 binding protein 1	134728
7957260	0.026976	4.59e-05	-6.07	2.31504	-1.62	GLIPR1	GLI pathogenesis related 1	11010
8057677	0.026976	4.69e-05	6.05	2.29647	9.14e-01	SLC40A1	solute carrier family 40 member 1	30061
7957551	0.026976	4.78e-05	6.04	2.27895	1.18	SOCS2	suppressor of cytokine signaling 2	8835
8148448	0.026976	4.85e-05	-6.03	2.26682	-8.88e-01	KHDRBS3	KH RNA binding domain containing, signal transduction associated 3	10656
8049435	0.026976	4.86e-05	-6.03	2.26392	-1.04	SH3BP4	SH3 domain binding protein 4	23677
8146794	0.027038	5.06e-05	-6.00	2.22799	-1.08	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	80243
7972674	0.027038	5.21e-05	5.99	2.20183	8.44e-01	TEX30	testis expressed 30	93081
7896703	0.027038	5.22e-05	-5.98	2.19933	-1.16			
8175593	0.027038	5.34e-05	-5.97	2.17864	-1.48	IDS	iduronate 2-sulfatase	3423
8168472	0.027038	5.35e-05	5.97	2.17686	8.06e-01	ATP7A	ATPase copper transporting alpha	538
7917954	0.027038	5.39e-05	5.96	2.1705	8.92e-01	FRRS1	ferric chelate reductase 1	391059
7896687	0.027038	5.47e-05	-5.96	2.15791	-1.33			
8058670	0.027038	5.57e-05	5.94	2.1417	9.90e-01	IKZF2	IKAROS family zinc finger 2	22807
8116835	0.027038	5.60e-05	5.94	2.1359	1.35	GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	2651
8085797	0.027426	5.77e-05	5.92	2.11006	1.26	THRB	thyroid hormone receptor beta	7068
7983650	0.028872	6.16e-05	5.88	2.05084	8.88e-01	SLC27A2	solute carrier family 27 member 2	11001
8022295	0.02985	6.47e-05	5.85	2.00647	1.93	PIEZO2	piezo type mechanosensitive ion channel component 2	63895
8105989	0.02985	6.66e-05	-5.83	1.98005	-9.94e-01	LOC441081	POM121 membrane glycoprotein (rat) pseudogene	441081
7977270	0.02985	6.69e-05	-5.83	1.97632	-9.48e-01	LOC388022	uncharacterized LOC388022	388022
7932285	0.02985	6.72e-05	5.83	1.97116	7.38e-01	FAM188A	family with sequence similarity 188 member A	80013
7949532	0.030839	7.04e-05	-5.80	1.92964	-8.48e-01	FOSL1	FOS like 1, AP-1 transcription factor subunit	8061
8151223	0.031112	7.23e-05	-5.78	1.90479	-7.32e-01	SLCO5A1	solute carrier organic anion transporter family member 5A1	81796
8121814	0.031112	7.38e-05	5.77	1.8871	7.50e-01	NKAIN2	Na+/K+ transporting ATPase interacting 2	154215
8150439	0.031112	7.42e-05	5.77	1.88139	8.08e-01	ANK1	ankyrin 1	286
8001099	0.031112	7.70e-05	5.74	1.84873	1.11	HERC2P4///HERC2P2///HERC2P3///HERC2	hect domain and RLD 2 pseudogene 4///hect domain and RLD 2 pseudogene 2///hect domain and RLD 2 pseudogene 3///HECT and RLD domain containing E3 ubiquitin protein ligase 2	100289574///400322///283755///8924
7896715	0.031112	7.79e-05	-5.74	1.83799	-1.93			
7982154	0.031112	7.79e-05	5.74	1.83767	1.10	HERC2P9///HERC2P2///HERC2P3///HERC2	hect domain and RLD 2 pseudogene 9///hect domain and RLD 2 pseudogene 2///hect domain and RLD 2 pseudogene 3///HECT and RLD domain containing E3 ubiquitin protein ligase 2	440248///400322///283755///8924
7986569	0.031112	7.80e-05	5.73	1.83604	1.04	HERC2P4///HERC2P9///HERC2P2///HERC2P3///HERC2	hect domain and RLD 2 pseudogene 4///hect domain and RLD 2 pseudogene 9///hect domain and RLD 2 pseudogene 2///hect domain and RLD 2 pseudogene 3///HECT and RLD domain containing E3 ubiquitin protein ligase 2	100289574///440248///400322///283755///8924
7926223	0.031112	7.85e-05	5.73	1.83092	9.38e-01	CAMK1D	calcium/calmodulin dependent protein kinase ID	57118
7932407	0.032208	8.25e-05	5.70	1.78592	9.72e-01	ST8SIA6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	338596
8018114	0.032208	8.42e-05	-5.69	1.76697	-1.22	SDK2	sidekick cell adhesion molecule 2	54549
8077366	0.032208	8.47e-05	-5.68	1.76164	-1.02	LRRN1	leucine rich repeat neuronal 1	57633
7968789	0.032208	8.62e-05	-5.67	1.74607	-1.54	RGCC	regulator of cell cycle	28984
8012918	0.032208	8.70e-05	5.67	1.73729	9.04e-01	TVP23C-CDRT4///CDRT4	TVP23C-CDRT4 readthrough///CMT1A duplicated region transcript 4	100533496///284040
8095819	0.032208	8.71e-05	5.67	1.73683	1.20	FAM47E-STBD1///FAM47E	FAM47E-STBD1 readthrough///family with sequence similarity 47 member E	100631383///100129583
8083876	0.032318	8.97e-05	-5.65	1.71007	-2.24	SKIL	SKI-like proto-oncogene	6498
7983638	0.032318	8.98e-05	5.65	1.70898	9.40e-01	DTWD1	DTW domain containing 1	56986
8099476	0.032318	9.03e-05	-5.65	1.70392	-1.43	PROM1	prominin 1	8842
8029465	0.033873	9.65e-05	-5.61	1.64339	-1.16	BCL3	B-cell CLL/lymphoma 3	602
